Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,65,260.0,234,23.0,57,9,1,3,4,1,22,69,3.14,0.244,0.313,0.329,0.642,77.0,3.0,2.0,1,1,1,3,0.331,100,79,44
Platoon Splits,vs RHB,64,173.0,154,19.0,39,7,1,3,4,1,16,42,2.63,0.253,0.33,0.37,0.7,57.0,3.0,2.0,0,1,1,3,0.327,118,96,28
Platoon Splits,vs LHB,56,87.0,80,4.0,18,2,0,0,0,0,6,27,4.5,0.225,0.279,0.25,0.529,20.0,0.0,0.0,1,0,0,0,0.34,65,47,16
Platoon Splits,vs RHB as LHP,64,173.0,154,19.0,39,7,1,3,4,1,16,42,2.63,0.253,0.33,0.37,0.7,57.0,3.0,2.0,0,1,1,3,0.327,118,91,28
Platoon Splits,vs LHB as LHP,56,87.0,80,4.0,18,2,0,0,0,0,6,27,4.5,0.225,0.279,0.25,0.529,20.0,0.0,0.0,1,0,0,0,0.34,65,60,16
Home or Away,Home,34,139.0,127,17.0,32,3,1,2,1,0,11,32,2.91,0.252,0.309,0.339,0.648,43.0,3.0,0.0,0,1,0,1,0.319,102,82,26
Home or Away,Away,31,121.0,107,6.0,25,6,0,1,3,1,11,37,3.36,0.234,0.317,0.318,0.635,34.0,0.0,2.0,1,0,1,2,0.348,98,75,18
First or Second Half,1st Half,43,164.0,146,15.0,35,6,0,1,3,1,15,43,2.87,0.24,0.313,0.301,0.614,44.0,3.0,1.0,1,1,1,1,0.33,92,72,28
First or Second Half,2nd Half,22,96.0,88,8.0,22,3,1,2,1,0,7,26,3.71,0.25,0.313,0.375,0.688,33.0,0.0,1.0,0,0,0,2,0.333,114,89,16
Months,April/March,13,51.0,40,3.0,7,4,0,0,2,1,10,11,1.1,0.175,0.34,0.275,0.615,11.0,1.0,0.0,1,0,1,0,0.241,92,75,3
Months,May,11,49.0,45,6.0,18,1,0,1,0,0,3,11,3.67,0.4,0.449,0.489,0.938,22.0,0.0,1.0,0,0,0,0,0.515,192,160,16
Months,June,13,41.0,39,2.0,5,1,0,0,0,0,1,14,14.0,0.128,0.146,0.154,0.3,6.0,2.0,0.0,0,1,0,0,0.192,-7,-16,4
Months,July,9,33.0,32,4.0,6,0,0,0,1,0,1,13,13.0,0.188,0.212,0.188,0.4,6.0,0.0,0.0,0,0,0,1,0.316,25,10,6
