Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,61,258.0,220,27.0,49,6,2,7,1,0,34,72,2.12,0.223,0.331,0.364,0.694,80.0,3.0,2.0,1,1,1,0,0.296,100,88,34
Platoon Splits,vs RHB,58,121.0,103,14.0,26,1,2,3,0,0,14,33,2.36,0.252,0.35,0.388,0.738,40.0,1.0,2.0,1,1,0,0,0.338,112,101,20
Platoon Splits,vs LHB,55,137.0,117,14.0,23,5,0,4,1,0,20,39,1.95,0.197,0.314,0.342,0.656,40.0,2.0,0.0,0,0,1,0,0.257,89,75,14
Platoon Splits,vs RHB as RHP,58,121.0,103,14.0,26,1,2,3,0,0,14,33,2.36,0.252,0.35,0.388,0.738,40.0,1.0,2.0,1,1,0,0,0.338,112,104,20
Platoon Splits,vs LHB as RHP,55,137.0,117,14.0,23,5,0,4,1,0,20,39,1.95,0.197,0.314,0.342,0.656,40.0,2.0,0.0,0,0,1,0,0.257,89,71,14
Home or Away,Home,31,114.0,101,8.0,17,0,1,3,0,0,12,40,3.33,0.168,0.254,0.277,0.532,28.0,3.0,0.0,0,1,0,0,0.237,53,47,13
Home or Away,Away,30,144.0,119,19.0,32,6,1,4,1,0,22,32,1.45,0.269,0.392,0.437,0.829,52.0,0.0,2.0,1,0,1,0,0.337,139,118,21
First or Second Half,1st Half,34,142.0,121,14.0,24,4,1,3,0,0,18,42,2.33,0.198,0.312,0.322,0.634,39.0,3.0,2.0,1,0,1,0,0.276,83,72,16
First or Second Half,2nd Half,27,116.0,99,13.0,25,2,1,4,1,0,16,30,1.88,0.253,0.353,0.414,0.768,41.0,0.0,0.0,0,1,0,0,0.318,120,106,18
Months,April/March,10,39.0,33,4.0,7,1,0,1,0,0,6,10,1.67,0.212,0.333,0.333,0.667,11.0,1.0,0.0,0,0,0,0,0.273,92,87,5
