Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,69,276.0,230,31.0,55,16,0,5,22,3,35,71,2.03,0.239,0.354,0.374,0.728,86.0,4.0,7.0,2,2,2,1,0.321,100,103,34
Platoon Splits,vs RHB,68,175.0,146,22.0,32,6,0,5,16,2,24,44,1.83,0.219,0.337,0.363,0.7,53.0,4.0,3.0,0,2,1,0,0.273,92,95,21
Platoon Splits,vs LHB,53,101.0,84,11.0,23,10,0,0,6,1,11,27,2.45,0.274,0.384,0.393,0.777,33.0,0.0,4.0,2,0,1,1,0.404,114,117,13
Platoon Splits,vs RHB as RHP,68,175.0,146,22.0,32,6,0,5,16,2,24,44,1.83,0.219,0.337,0.363,0.7,53.0,4.0,3.0,0,2,1,0,0.273,92,100,21
Platoon Splits,vs LHB as RHP,53,101.0,84,11.0,23,10,0,0,6,1,11,27,2.45,0.274,0.384,0.393,0.777,33.0,0.0,4.0,2,0,1,1,0.404,114,113,13
Home or Away,Home,34,141.0,115,16.0,30,9,0,4,13,1,21,36,1.71,0.261,0.386,0.444,0.829,51.0,3.0,3.0,1,1,0,1,0.342,128,134,17
Home or Away,Away,35,135.0,115,15.0,25,7,0,1,9,2,14,35,2.5,0.217,0.321,0.304,0.625,35.0,1.0,4.0,1,1,2,0,0.3,72,72,17
First or Second Half,1st Half,40,159.0,136,13.0,28,7,0,0,12,0,20,43,2.15,0.206,0.317,0.257,0.574,35.0,3.0,2.0,1,0,0,1,0.301,58,64,21
First or Second Half,2nd Half,29,117.0,94,18.0,27,9,0,5,10,3,15,28,1.87,0.287,0.405,0.543,0.948,51.0,1.0,5.0,1,2,2,0,0.349,160,156,13
Months,April/March,11,43.0,35,5.0,7,2,0,0,3,0,7,13,1.86,0.2,0.349,0.257,0.606,9.0,2.0,1.0,0,0,0,0,0.318,67,79,5
Months,May,13,52.0,42,4.0,6,2,0,0,4,0,9,15,1.67,0.143,0.308,0.191,0.498,8.0,0.0,1.0,0,0,0,0,0.222,38,46,4
Months,June,12,47.0,44,3.0,11,3,0,0,3,0,3,11,3.67,0.25,0.298,0.318,0.616,14.0,1.0,0.0,0,0,0,0,0.333,69,69,8
Months,July,10,43.0,34,8.0,11,4,0,0,6,0,4,10,2.5,0.324,0.415,0.441,0.856,15.0,1.0,2.0,2,1,0,1,0.44,135,134,7
Months,August,10,43.0,34,2.0,8,1,0,0,4,2,7,7,1.0,0.235,0.372,0.265,0.637,9.0,0.0,1.0,0,1,1,0,0.286,76,82,7
Months,Sept/Oct,13,48.0,41,9.0,12,4,0,5,2,1,5,15,3.0,0.293,0.396,0.756,1.152,31.0,0.0,2.0,0,0,1,0,0.333,214,202,3
Game Outcome for Pitcher,in Wins,7,25.0,23,3.0,4,2,0,1,3,0,1,8,8.0,0.174,0.24,0.391,0.631,9.0,0.0,1.0,0,0,0,0,0.214,72,134,1
Game Outcome for Pitcher,in Losses,3,14.0,10,6.0,6,2,0,0,4,0,2,1,0.5,0.6,0.714,0.8,1.514,8.0,0.0,2.0,0,0,0,0,0.667,316,213,4
Game Outcome for Pitcher,in No Dec.,48,187.0,154,18.0,34,9,0,4,13,3,25,48,1.92,0.221,0.341,0.357,0.698,55.0,4.0,4.0,2,2,2,1,0.289,92,97,21
Game Outcome for Pitcher,in Saves,11,50.0,43,4.0,11,3,0,0,2,0,7,14,2.0,0.256,0.36,0.326,0.686,14.0,0.0,0.0,0,0,0,0,0.379,89,211,8
Game Outcome for Pitcher,in Sv Situ,40,167.0,142,22.0,37,12,0,4,15,2,21,44,2.1,0.261,0.365,0.43,0.795,61.0,3.0,3.0,0,1,0,0,0.347,118,132,21
Game Outcome for Pitcher,in non-Sv,29,109.0,88,9.0,18,4,0,1,7,1,14,27,1.93,0.205,0.336,0.284,0.621,25.0,1.0,4.0,2,1,2,1,0.279,71,74,13
Pitching Role,as Reliever,69,276.0,230,31.0,55,16,0,5,22,3,35,71,2.03,0.239,0.354,0.374,0.728,86.0,4.0,7.0,2,2,2,1,0.321,100,105,34
Batting Order Positions,Batting 1st,26,26.0,22,3.0,7,2,0,0,2,1,4,2,0.5,0.318,0.423,0.409,0.832,9.0,0.0,0.0,0,0,0,0,0.35,129,122,5
Batting Order Positions,Batting 2nd,34,34.0,26,1.0,2,0,0,1,4,0,6,10,1.67,0.077,0.294,0.192,0.486,5.0,2.0,2.0,0,0,0,0,0.067,34,32,1
Batting Order Positions,Batting 3rd,36,36.0,29,6.0,7,2,0,1,1,0,6,9,1.5,0.241,0.361,0.414,0.775,12.0,0.0,0.0,0,1,1,0,0.3,113,94,4
Batting Order Positions,Batting 4th,38,37.0,32,7.0,12,4,0,1,5,1,4,7,1.75,0.375,0.444,0.594,1.038,19.0,1.0,0.0,1,0,1,0,0.458,184,167,7
Batting Order Positions,Batting 5th,34,34.0,27,3.0,5,3,0,0,1,0,3,8,2.67,0.185,0.303,0.296,0.599,8.0,1.0,2.0,1,1,0,1,0.25,65,65,2
Batting Order Positions,Batting 6th,32,32.0,26,3.0,6,2,0,1,4,1,4,11,2.75,0.231,0.375,0.423,0.798,11.0,0.0,2.0,0,0,0,0,0.357,119,123,3
Batting Order Positions,Batting 7th,33,33.0,30,4.0,5,1,0,1,3,0,2,10,5.0,0.167,0.242,0.3,0.542,9.0,0.0,1.0,0,0,0,0,0.211,49,57,3
Batting Order Positions,Batting 8th,27,27.0,23,2.0,5,1,0,0,2,0,4,10,2.5,0.217,0.333,0.261,0.594,6.0,0.0,0.0,0,0,0,0,0.385,64,83,4
Batting Order Positions,Batting 9th,17,17.0,15,4.0,6,1,0,0,0,0,2,4,2.0,0.4,0.471,0.467,0.937,7.0,0.0,0.0,0,0,0,0,0.546,158,233,5
Batting Order Positions,"Bat1-2,non-P",36,60.0,48,4.0,9,2,0,1,6,1,10,12,1.2,0.188,0.35,0.292,0.642,14.0,2.0,2.0,0,0,0,0,0.229,77,72,6
