Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,77,306.0,287,24.0,65,12,1,11,0,1,15,76,5.07,0.227,0.266,0.39,0.656,112.0,1.0,1.0,1,2,3,0,0.267,100,74,41
Platoon Splits,vs RHB,76,180.0,167,21.0,37,9,0,6,0,1,11,47,4.27,0.222,0.268,0.383,0.651,64.0,0.0,0.0,1,1,0,0,0.27,99,74,22
Platoon Splits,vs LHB,65,126.0,120,14.0,28,3,1,5,0,0,4,29,7.25,0.233,0.262,0.4,0.662,48.0,1.0,1.0,0,1,3,0,0.264,101,72,19
Platoon Splits,vs RHB as RHP,76,180.0,167,21.0,37,9,0,6,0,1,11,47,4.27,0.222,0.268,0.383,0.651,64.0,0.0,0.0,1,1,0,0,0.27,99,77,22
Platoon Splits,vs LHB as RHP,65,126.0,120,14.0,28,3,1,5,0,0,4,29,7.25,0.233,0.262,0.4,0.662,48.0,1.0,1.0,0,1,3,0,0.264,101,69,19
Home or Away,Home,43,165.0,152,5.0,28,7,1,2,0,1,11,43,3.91,0.184,0.236,0.283,0.519,43.0,0.0,0.0,0,2,2,0,0.239,61,42,18
Home or Away,Away,34,141.0,135,19.0,37,5,0,9,0,0,4,33,8.25,0.274,0.3,0.511,0.811,69.0,1.0,1.0,1,0,1,0,0.301,144,107,23
First or Second Half,1st Half,41,173.0,166,12.0,41,8,1,5,0,0,5,43,8.6,0.247,0.266,0.398,0.664,66.0,0.0,0.0,0,2,1,0,0.3,102,76,27
First or Second Half,2nd Half,36,133.0,121,12.0,24,4,0,6,0,1,10,33,3.3,0.198,0.265,0.38,0.645,46.0,1.0,1.0,1,0,2,0,0.22,97,71,14
Months,April/March,13,51.0,50,6.0,13,2,1,4,0,0,0,16,,0.26,0.255,0.58,0.835,29.0,0.0,0.0,0,1,0,0,0.29,145,123,6
Months,May,15,62.0,58,4.0,15,2,0,1,0,0,3,16,5.33,0.259,0.29,0.345,0.635,20.0,0.0,0.0,0,1,0,0,0.333,98,71,12
Months,June,11,52.0,50,2.0,12,3,0,0,0,0,2,9,4.5,0.24,0.269,0.3,0.569,15.0,0.0,0.0,0,0,1,0,0.293,78,50,9
Months,July,9,35.0,34,2.0,9,2,0,1,0,0,1,7,7.0,0.265,0.286,0.412,0.698,14.0,1.0,0.0,0,0,0,0,0.308,113,84,6
Months,August,13,47.0,42,6.0,7,1,0,3,0,1,3,15,5.0,0.167,0.239,0.405,0.644,17.0,0.0,1.0,1,0,0,0,0.167,94,67,3
Months,Sept/Oct,16,59.0,53,4.0,9,2,0,2,0,0,6,13,2.17,0.17,0.254,0.321,0.575,17.0,0.0,0.0,0,0,2,0,0.184,78,56,5
Game Outcome for Pitcher,in Wins,2,9.0,8,0.0,0,0,0,0,0,0,1,3,3.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0,0,0,0,0.0,-58,-58,0
