Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,70,323.0,302,26.0,71,10,0,5,0,0,15,56,3.73,0.235,0.273,0.318,0.591,96.0,12.0,2.0,1,3,4,1,0.271,100,59,56
Platoon Splits,vs RHB,64,221.0,207,18.0,57,9,0,4,0,0,12,33,2.75,0.275,0.317,0.377,0.694,78.0,9.0,1.0,0,1,4,0,0.31,135,88,44
Platoon Splits,vs LHB,53,102.0,95,15.0,14,1,0,1,0,0,3,23,7.67,0.147,0.178,0.19,0.368,18.0,3.0,1.0,1,2,0,1,0.178,25,-2,12
Platoon Splits,vs RHB as LHP,64,221.0,207,18.0,57,9,0,4,0,0,12,33,2.75,0.275,0.317,0.377,0.694,78.0,9.0,1.0,0,1,4,0,0.31,135,82,44
Platoon Splits,vs LHB as LHP,53,102.0,95,15.0,14,1,0,1,0,0,3,23,7.67,0.147,0.178,0.19,0.368,18.0,3.0,1.0,1,2,0,1,0.178,25,8,12
Home or Away,Home,33,164.0,150,10.0,34,4,0,1,0,0,9,32,3.56,0.227,0.276,0.273,0.549,41.0,5.0,2.0,1,2,4,0,0.277,87,53,29
Home or Away,Away,37,159.0,152,16.0,37,6,0,4,0,0,6,24,4.0,0.243,0.27,0.362,0.632,55.0,7.0,0.0,0,1,0,1,0.264,113,64,27
First or Second Half,1st Half,40,180.0,168,15.0,41,7,0,4,0,0,10,31,3.1,0.244,0.289,0.357,0.646,60.0,8.0,1.0,0,1,0,0,0.276,118,73,30
First or Second Half,2nd Half,30,143.0,134,11.0,30,3,0,1,0,0,5,25,5.0,0.224,0.254,0.269,0.522,36.0,4.0,1.0,1,2,4,1,0.264,78,41,26
Months,April/March,9,33.0,31,0.0,6,2,0,0,0,0,2,4,2.0,0.194,0.242,0.258,0.501,8.0,5.0,0.0,0,0,0,0,0.222,70,40,4
Months,May,14,63.0,58,8.0,15,2,0,4,0,0,4,8,2.0,0.259,0.318,0.5,0.818,29.0,1.0,1.0,0,0,0,0,0.239,173,116,9
Months,June,13,62.0,59,4.0,16,1,0,0,0,0,2,12,6.0,0.271,0.29,0.288,0.578,17.0,1.0,0.0,0,1,0,0,0.333,97,53,15
Months,July,11,56.0,51,5.0,8,3,0,0,0,0,5,9,1.8,0.157,0.232,0.216,0.448,11.0,3.0,0.0,0,0,3,0,0.191,53,21,5
Months,August,12,64.0,63,7.0,17,2,0,1,0,0,1,17,17.0,0.27,0.281,0.349,0.631,22.0,2.0,0.0,0,0,0,1,0.356,113,67,14
Months,Sept/Oct,11,45.0,40,2.0,9,0,0,0,0,0,1,6,6.0,0.225,0.25,0.225,0.475,9.0,0.0,1.0,1,2,1,0,0.25,62,31,9
Game Outcome for Pitcher,in Wins,4,31.0,28,0.0,4,0,0,0,0,0,2,1,0.5,0.143,0.194,0.143,0.336,4.0,3.0,0.0,0,1,1,0,0.143,16,19,4
Game Outcome for Pitcher,in Losses,2,20.0,16,4.0,6,0,0,0,0,0,3,0,0.0,0.375,0.45,0.375,0.825,6.0,0.0,0.0,0,1,3,0,0.353,183,75,6
Game Outcome for Pitcher,in No Dec.,53,224.0,211,20.0,53,9,0,4,0,0,9,44,4.89,0.251,0.287,0.351,0.638,74.0,7.0,2.0,1,1,0,1,0.299,116,74,40
Game Outcome for Pitcher,in Saves,11,48.0,47,2.0,8,1,0,1,0,0,1,11,11.0,0.17,0.188,0.255,0.443,12.0,2.0,0.0,0,0,0,0,0.2,49,103,6
Game Outcome for Pitcher,in Sv Situ,23,97.0,89,8.0,23,3,0,1,0,0,4,16,4.0,0.258,0.289,0.326,0.615,29.0,2.0,1.0,0,3,1,0,0.293,108,86,19
Game Outcome for Pitcher,in non-Sv,46,210.0,197,15.0,44,7,0,2,0,0,11,39,3.55,0.223,0.268,0.289,0.557,57.0,10.0,1.0,1,0,3,1,0.269,89,51,35
Pitching Role,as Starter,1,16.0,16,3.0,4,0,0,2,0,0,0,1,,0.25,0.25,0.625,0.875,10.0,0.0,0.0,0,0,0,0,0.154,188,119,2
Pitching Role,as Reliever,69,307.0,286,23.0,67,10,0,3,0,0,15,55,3.67,0.234,0.275,0.301,0.575,86.0,12.0,2.0,1,3,4,1,0.277,95,60,54
Run Support,6+ Runs Scored,1,16.0,16,3.0,4,0,0,2,0,0,0,1,,0.25,0.25,0.625,0.875,10.0,0.0,0.0,0,0,0,0,0.154,188,120,2
Batting Order Positions,Batting 1st,38,40.0,39,3.0,7,0,0,0,0,0,1,7,7.0,0.18,0.2,0.18,0.38,7.0,1.0,0.0,0,0,0,1,0.219,30,3,7
Batting Order Positions,Batting 2nd,39,41.0,37,7.0,13,1,0,1,0,0,1,9,9.0,0.351,0.366,0.46,0.825,17.0,0.0,1.0,0,2,1,0,0.414,178,110,11
Batting Order Positions,Batting 3rd,29,32.0,29,7.0,5,0,0,2,0,0,3,8,2.67,0.172,0.25,0.379,0.629,11.0,2.0,0.0,0,0,1,0,0.158,111,51,3
