Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,65,281.0,246,27.0,57,12,1,4,1,0,23,58,2.52,0.232,0.299,0.337,0.636,83.0,6.0,3.0,3,6,7,4,0.279,100,71,40
Platoon Splits,vs RHB,61,141.0,127,17.0,30,8,0,1,0,0,6,28,4.67,0.236,0.273,0.323,0.596,41.0,4.0,2.0,2,4,2,1,0.284,87,61,21
Platoon Splits,vs LHB,60,140.0,119,11.0,27,4,1,3,1,0,17,30,1.76,0.227,0.324,0.353,0.677,42.0,2.0,1.0,1,2,5,3,0.273,113,80,19
Platoon Splits,vs RHB as RHP,61,141.0,127,17.0,30,8,0,1,0,0,6,28,4.67,0.236,0.273,0.323,0.596,41.0,4.0,2.0,2,4,2,1,0.284,87,64,21
Platoon Splits,vs LHB as RHP,60,140.0,119,11.0,27,4,1,3,1,0,17,30,1.76,0.227,0.324,0.353,0.677,42.0,2.0,1.0,1,2,5,3,0.273,113,77,19
Home or Away,Home,32,141.0,125,13.0,34,7,0,2,0,0,9,24,2.67,0.272,0.314,0.376,0.69,47.0,5.0,1.0,1,5,3,3,0.308,117,89,25
Home or Away,Away,33,140.0,121,14.0,23,5,1,2,1,0,14,34,2.43,0.19,0.283,0.298,0.58,36.0,1.0,2.0,2,1,4,1,0.244,83,53,15
First or Second Half,1st Half,38,178.0,151,19.0,37,9,0,3,1,0,18,36,2.0,0.245,0.326,0.364,0.69,55.0,3.0,2.0,3,4,7,2,0.293,117,86,25
First or Second Half,2nd Half,27,103.0,95,8.0,20,3,1,1,0,0,5,22,4.4,0.211,0.252,0.295,0.547,28.0,3.0,1.0,0,2,0,2,0.257,72,47,15
Months,April/March,11,49.0,41,5.0,10,1,0,0,0,0,5,8,1.6,0.244,0.306,0.268,0.574,11.0,2.0,0.0,0,3,1,0,0.278,82,62,9
Months,May,14,54.0,49,3.0,7,1,0,1,0,0,4,15,3.75,0.143,0.208,0.225,0.432,11.0,1.0,0.0,1,0,1,1,0.182,36,17,5
Months,June,9,53.0,43,9.0,15,6,0,2,1,0,5,11,2.2,0.349,0.431,0.628,1.059,27.0,0.0,2.0,2,1,4,1,0.419,231,173,7
Months,July,11,53.0,46,4.0,12,2,1,0,0,0,6,7,1.17,0.261,0.359,0.348,0.706,16.0,1.0,1.0,0,0,1,1,0.308,123,91,9
Months,August,12,42.0,40,1.0,5,1,0,0,0,0,1,13,13.0,0.125,0.143,0.15,0.293,6.0,0.0,0.0,0,1,0,0,0.179,-8,-22,4
Months,Sept/Oct,8,30.0,27,5.0,8,1,0,1,0,0,2,4,2.0,0.296,0.333,0.444,0.778,12.0,2.0,0.0,0,1,0,1,0.304,143,109,6
Game Outcome for Pitcher,in Wins,2,19.0,13,3.0,4,2,0,0,0,0,4,1,0.25,0.308,0.5,0.462,0.962,6.0,0.0,1.0,1,0,3,1,0.333,204,236,2
Game Outcome for Pitcher,in Losses,3,22.0,13,7.0,7,2,0,0,0,0,5,4,0.8,0.539,0.619,0.692,1.311,9.0,0.0,1.0,1,2,3,0,0.636,312,170,5
Game Outcome for Pitcher,in No Dec.,13,53.0,49,7.0,11,2,1,1,0,0,3,8,2.67,0.225,0.264,0.367,0.632,18.0,1.0,0.0,0,1,0,2,0.244,97,71,7
Game Outcome for Pitcher,in Saves,47,187.0,171,10.0,35,6,0,3,1,0,11,45,4.09,0.205,0.253,0.292,0.545,50.0,5.0,1.0,1,3,1,1,0.254,71,150,26
Game Outcome for Pitcher,in Sv Situ,54,227.0,204,20.0,49,11,1,3,1,0,16,49,3.06,0.24,0.297,0.348,0.645,71.0,6.0,2.0,1,4,4,3,0.295,102,95,34
