Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,70,317.0,262,32.0,46,4,0,9,8,1,52,95,1.83,0.176,0.316,0.294,0.609,77.0,1.0,2.0,0,1,1,3,0.233,100,71,33
Platoon Splits,vs RHB,67,157.0,133,11.0,26,2,0,4,4,1,22,52,2.36,0.196,0.312,0.301,0.613,40.0,0.0,1.0,0,1,0,1,0.282,101,72,20
Platoon Splits,vs LHB,67,160.0,129,28.0,20,2,0,5,4,0,30,43,1.43,0.155,0.319,0.287,0.606,37.0,1.0,1.0,0,0,1,2,0.185,99,71,13
Platoon Splits,vs RHB as RHP,67,157.0,133,11.0,26,2,0,4,4,1,22,52,2.36,0.196,0.312,0.301,0.613,40.0,0.0,1.0,0,1,0,1,0.282,101,76,20
Platoon Splits,vs LHB as RHP,67,160.0,129,28.0,20,2,0,5,4,0,30,43,1.43,0.155,0.319,0.287,0.606,37.0,1.0,1.0,0,0,1,2,0.185,99,67,13
Home or Away,Home,38,176.0,149,18.0,27,3,0,5,2,0,26,50,1.92,0.181,0.307,0.302,0.609,45.0,1.0,1.0,0,0,0,2,0.234,100,74,19
Home or Away,Away,32,141.0,113,14.0,19,1,0,4,6,1,26,45,1.73,0.168,0.326,0.283,0.609,32.0,0.0,1.0,0,1,1,1,0.231,100,68,14
First or Second Half,1st Half,38,176.0,143,8.0,22,2,0,2,6,1,32,54,1.69,0.154,0.307,0.21,0.517,30.0,1.0,0.0,0,1,1,1,0.227,69,49,18
First or Second Half,2nd Half,32,141.0,119,24.0,24,2,0,7,2,0,20,41,2.05,0.202,0.326,0.395,0.721,47.0,0.0,2.0,0,0,0,2,0.239,138,96,15
Months,April/March,12,52.0,42,0.0,6,1,0,0,1,0,10,14,1.4,0.143,0.308,0.167,0.474,7.0,0.0,0.0,0,0,0,0,0.214,55,43,5
Months,May,14,69.0,54,3.0,7,1,0,1,3,0,15,25,1.67,0.13,0.319,0.204,0.523,11.0,0.0,0.0,0,0,1,0,0.214,71,53,5
Months,June,9,38.0,32,2.0,5,0,0,1,2,1,5,12,2.4,0.156,0.263,0.25,0.513,8.0,1.0,0.0,0,1,0,1,0.2,69,42,4
Months,July,10,46.0,37,6.0,7,1,0,0,0,0,8,7,0.88,0.189,0.348,0.216,0.564,8.0,0.0,1.0,0,0,0,0,0.233,84,60,6
Months,August,11,53.0,46,14.0,12,1,0,3,2,0,6,14,2.33,0.261,0.359,0.478,0.837,22.0,0.0,1.0,0,0,0,2,0.31,176,129,8
Months,Sept/Oct,14,59.0,51,7.0,9,0,0,4,0,0,8,23,2.88,0.177,0.288,0.412,0.7,21.0,0.0,0.0,0,0,0,0,0.208,132,87,5
Game Outcome for Pitcher,in Wins,10,60.0,49,5.0,4,0,0,2,1,0,11,18,1.64,0.082,0.25,0.204,0.454,10.0,0.0,0.0,0,0,1,0,0.069,49,73,2
Game Outcome for Pitcher,in Losses,8,41.0,34,16.0,13,1,0,5,1,0,7,12,1.71,0.382,0.488,0.853,1.341,29.0,0.0,0.0,0,0,0,1,0.471,345,165,7
Game Outcome for Pitcher,in No Dec.,23,89.0,69,8.0,12,1,0,1,4,1,18,28,1.56,0.174,0.348,0.232,0.58,16.0,0.0,1.0,0,1,0,0,0.268,89,68,10
Game Outcome for Pitcher,in Saves,29,127.0,110,3.0,17,2,0,1,2,0,16,37,2.31,0.155,0.268,0.2,0.468,22.0,1.0,1.0,0,0,0,2,0.222,53,113,14
Game Outcome for Pitcher,in Sv Situ,38,164.0,140,15.0,27,4,0,4,2,0,23,50,2.17,0.193,0.311,0.307,0.618,43.0,1.0,1.0,0,0,0,3,0.267,103,82,19
Game Outcome for Pitcher,in non-Sv,32,153.0,122,17.0,19,0,0,5,6,1,29,45,1.55,0.156,0.32,0.279,0.599,34.0,0.0,1.0,0,1,1,0,0.192,97,68,14
Pitching Role,as Reliever,70,317.0,262,32.0,46,4,0,9,8,1,52,95,1.83,0.176,0.316,0.294,0.609,77.0,1.0,2.0,0,1,1,3,0.233,100,73,33
Batting Order Positions,Batting 1st,37,37.0,30,2.0,4,1,0,0,2,0,7,9,1.29,0.133,0.297,0.167,0.464,5.0,0.0,0.0,0,0,1,0,0.191,51,28,3
Batting Order Positions,Batting 2nd,36,36.0,30,4.0,6,0,0,1,1,0,6,11,1.83,0.2,0.333,0.3,0.633,9.0,0.0,0.0,0,0,0,0,0.278,108,68,5
Batting Order Positions,Batting 3rd,36,36.0,31,4.0,6,1,0,0,1,0,5,14,2.8,0.194,0.306,0.226,0.531,7.0,0.0,0.0,0,0,0,0,0.353,74,38,5
Batting Order Positions,Batting 4th,37,37.0,30,10.0,7,1,0,2,1,0,7,12,1.71,0.233,0.378,0.467,0.845,14.0,0.0,0.0,0,0,0,1,0.313,179,118,4
Batting Order Positions,Batting 5th,36,37.0,30,3.0,4,0,0,1,0,1,6,12,2.0,0.133,0.297,0.233,0.531,7.0,0.0,1.0,0,0,0,0,0.177,74,48,3
Batting Order Positions,Batting 6th,34,34.0,26,7.0,4,0,0,4,0,0,7,12,1.71,0.154,0.353,0.615,0.968,16.0,0.0,1.0,0,0,0,0,0.0,221,163,0
Batting Order Positions,Batting 7th,31,31.0,28,1.0,5,0,0,0,1,0,3,5,1.67,0.179,0.258,0.179,0.437,5.0,1.0,0.0,0,0,0,1,0.217,43,31,5
Batting Order Positions,Batting 8th,34,34.0,29,3.0,7,1,0,0,1,0,4,10,2.5,0.241,0.324,0.276,0.599,8.0,0.0,0.0,0,1,0,0,0.35,97,84,6
Batting Order Positions,Batting 9th,35,35.0,28,5.0,3,0,0,1,1,0,7,10,1.43,0.107,0.286,0.214,0.5,6.0,0.0,0.0,0,0,0,1,0.118,64,79,2
Batting Order Positions,"Bat1-2,non-P",45,73.0,60,6.0,10,1,0,1,3,0,13,20,1.54,0.167,0.315,0.233,0.548,14.0,0.0,0.0,0,0,1,0,0.231,79,48,8
Batting Order Positions,"Bat3-6,non-P",56,144.0,117,24.0,21,2,0,7,2,1,25,50,2.0,0.18,0.333,0.376,0.709,44.0,0.0,2.0,0,0,0,1,0.233,134,88,12
Batting Order Positions,"Bat7-9,non-P",45,98.0,83,9.0,15,1,0,1,3,0,14,24,1.71,0.181,0.296,0.229,0.525,19.0,1.0,0.0,0,1,0,2,0.237,72,60,13
Swung or Took First Pitch of PA,Swung at 1st Pitch,51,93.0,87,16.0,19,1,0,6,,,4,29,7.25,0.218,0.269,0.437,0.706,38.0,0.0,2.0,0,0,0,0,0.25,134,93,12
Swung or Took First Pitch of PA,Took 1st Pitch,68,224.0,175,22.0,27,3,0,3,,,48,66,1.38,0.154,0.335,0.223,0.558,39.0,1.0,0.0,0,1,1,3,0.224,82,58,21
Count/Balls-Strikes,First Pitch,24,28.0,28,6.0,10,1,0,3,,,0,0,,0.357,0.357,0.714,1.071,20.0,0.0,0.0,0,0,0,0,0.28,256,124,6
Count/Balls-Strikes,1-0 Count,21,24.0,24,5.0,5,1,0,1,,,0,0,,0.208,0.208,0.375,0.583,9.0,0.0,0.0,0,0,0,1,0.174,94,27,3
Count/Balls-Strikes,2-0 Count,5,5.0,5,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,13,17.0,0,1.0,0,0,0,0,,,17,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,24,26.0,24,4.0,7,1,0,2,,,0,0,,0.292,0.346,0.583,0.93,14.0,0.0,2.0,0,0,0,1,0.227,208,120,4
Count/Balls-Strikes,1-1 Count,14,15.0,14,4.0,5,0,0,0,,,0,0,,0.357,0.333,0.357,0.69,5.0,0.0,0.0,0,1,0,0,0.333,127,60,5
Count/Balls-Strikes,2-1 Count,8,9.0,9,1.0,2,0,0,0,,,0,0,,0.222,0.222,0.222,0.444,2.0,0.0,0.0,0,0,0,0,0.222,46,2,2
Count/Balls-Strikes,3-1 Count,19,19.0,6,3.0,2,0,0,0,,,13,0,0.0,0.333,0.79,0.333,1.123,2.0,0.0,0.0,0,0,0,0,0.333,264,60,2
