Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,59,255.0,213,18.0,28,3,0,5,8,0,33,83,2.52,0.132,0.26,0.216,0.476,46.0,4.0,5.0,1,3,3,1,0.18,100,38,20
Platoon Splits,vs RHB,56,132.0,112,7.0,12,0,0,2,4,0,15,53,3.53,0.107,0.221,0.161,0.382,18.0,1.0,2.0,1,2,0,1,0.17,60,11,10
Platoon Splits,vs LHB,56,123.0,101,14.0,16,3,0,3,4,0,18,30,1.67,0.158,0.301,0.277,0.578,28.0,3.0,3.0,0,1,3,0,0.188,144,69,10
Platoon Splits,vs RHB as RHP,56,132.0,112,7.0,12,0,0,2,4,0,15,53,3.53,0.107,0.221,0.161,0.382,18.0,1.0,2.0,1,2,0,1,0.17,60,13,10
Platoon Splits,vs LHB as RHP,56,123.0,101,14.0,16,3,0,3,4,0,18,30,1.67,0.158,0.301,0.277,0.578,28.0,3.0,3.0,0,1,3,0,0.188,144,66,10
Home or Away,Home,30,130.0,114,7.0,12,1,0,3,4,0,12,45,3.75,0.105,0.215,0.193,0.408,22.0,2.0,4.0,0,0,0,1,0.136,72,20,8
Home or Away,Away,29,125.0,99,11.0,16,2,0,2,4,0,21,38,1.81,0.162,0.307,0.242,0.549,24.0,2.0,1.0,1,3,3,0,0.226,130,57,12
First or Second Half,1st Half,32,140.0,115,11.0,16,2,0,3,2,0,20,43,2.15,0.139,0.279,0.235,0.513,27.0,1.0,3.0,0,2,1,0,0.183,116,49,11
First or Second Half,2nd Half,27,115.0,98,7.0,12,1,0,2,6,0,13,40,3.08,0.122,0.237,0.194,0.431,19.0,3.0,2.0,1,1,2,1,0.175,81,25,9
Months,April/March,9,36.0,32,1.0,5,0,0,1,1,0,4,9,2.25,0.156,0.25,0.25,0.5,8.0,0.0,0.0,0,0,0,0,0.182,112,49,4
Months,May,13,59.0,48,2.0,4,0,0,0,1,0,8,21,2.63,0.083,0.237,0.083,0.321,4.0,0.0,2.0,0,1,0,0,0.143,30,-3,4
Months,June,5,28.0,22,6.0,5,2,0,2,0,0,4,6,1.5,0.227,0.357,0.591,0.948,13.0,0.0,1.0,0,1,0,0,0.2,311,158,1
Months,July,10,36.0,31,3.0,3,0,0,1,0,0,5,12,2.4,0.097,0.222,0.194,0.416,6.0,1.0,0.0,0,0,1,0,0.111,75,19,2
Months,August,12,49.0,44,2.0,6,1,0,0,2,0,5,21,4.2,0.136,0.225,0.159,0.384,7.0,0.0,0.0,0,0,0,1,0.261,60,12,5
Months,Sept/Oct,10,47.0,36,4.0,5,0,0,1,4,0,7,14,2.0,0.139,0.304,0.222,0.527,8.0,3.0,2.0,1,1,2,0,0.182,120,55,4
Game Outcome for Pitcher,in Wins,7,39.0,35,2.0,3,0,0,2,3,0,2,16,8.0,0.086,0.18,0.257,0.437,9.0,0.0,2.0,0,0,0,0,0.059,88,62,1
Game Outcome for Pitcher,in Losses,3,14.0,10,4.0,3,1,0,0,0,0,3,4,1.33,0.3,0.5,0.4,0.9,4.0,0.0,1.0,0,0,2,0,0.5,278,97,2
Game Outcome for Pitcher,in No Dec.,39,161.0,136,8.0,18,2,0,2,4,0,20,48,2.4,0.132,0.25,0.191,0.441,26.0,1.0,2.0,1,2,1,0,0.182,85,31,14
Game Outcome for Pitcher,in Saves,10,41.0,32,4.0,4,0,0,1,1,0,8,15,1.88,0.125,0.293,0.219,0.512,7.0,3.0,0.0,0,1,0,1,0.177,114,144,3
Game Outcome for Pitcher,in Sv Situ,27,111.0,92,10.0,13,2,0,2,3,0,16,34,2.13,0.141,0.27,0.228,0.499,21.0,3.0,1.0,0,2,0,1,0.19,109,54,9
Game Outcome for Pitcher,in non-Sv,32,144.0,121,8.0,15,1,0,3,5,0,17,49,2.88,0.124,0.252,0.207,0.458,25.0,1.0,4.0,1,1,3,0,0.171,93,33,11
Pitching Role,as Reliever,59,255.0,213,18.0,28,3,0,5,8,0,33,83,2.52,0.132,0.26,0.216,0.476,46.0,4.0,5.0,1,3,3,1,0.18,100,40,20
Batting Order Positions,Batting 1st,28,28.0,22,1.0,4,1,0,0,1,0,5,9,1.8,0.182,0.321,0.227,0.549,5.0,0.0,0.0,0,1,0,0,0.286,129,58,3
Batting Order Positions,Batting 2nd,33,33.0,27,2.0,4,0,0,1,0,0,5,7,1.4,0.148,0.303,0.259,0.562,7.0,1.0,1.0,0,0,0,0,0.158,136,52,3
Batting Order Positions,Batting 3rd,34,34.0,32,6.0,5,0,0,2,0,0,2,12,6.0,0.156,0.206,0.344,0.55,11.0,0.0,0.0,0,0,1,1,0.167,139,41,3
Batting Order Positions,Batting 4th,36,35.0,28,2.0,2,0,0,0,2,0,5,7,1.4,0.071,0.257,0.071,0.329,2.0,2.0,2.0,0,0,1,0,0.095,32,-3,2
Batting Order Positions,Batting 5th,31,31.0,26,4.0,4,1,0,1,0,0,3,14,4.67,0.154,0.226,0.308,0.534,8.0,1.0,0.0,0,2,0,0,0.231,130,52,2
Batting Order Positions,Batting 6th,26,26.0,22,2.0,3,0,0,1,1,0,2,7,3.5,0.136,0.24,0.273,0.513,6.0,0.0,1.0,1,0,0,0,0.143,119,49,2
Batting Order Positions,Batting 7th,22,22.0,17,2.0,3,1,0,0,1,0,4,9,2.25,0.177,0.364,0.235,0.599,4.0,0.0,1.0,0,0,1,0,0.375,149,85,2
Batting Order Positions,Batting 8th,21,21.0,17,0.0,0,0,0,0,2,0,4,10,2.5,0.0,0.191,0.0,0.191,0.0,0.0,0.0,0,0,0,0,0.0,-27,-36,0
Batting Order Positions,Batting 9th,25,25.0,22,2.0,3,0,0,0,1,0,3,8,2.67,0.136,0.24,0.136,0.376,3.0,0.0,0.0,0,0,0,0,0.214,55,22,3
Batting Order Positions,"Bat1-2,non-P",35,61.0,49,3.0,8,1,0,1,1,0,10,16,1.6,0.163,0.312,0.245,0.556,12.0,1.0,1.0,0,1,0,0,0.212,133,55,6
Batting Order Positions,"Bat3-6,non-P",49,126.0,108,14.0,14,1,0,4,3,0,12,40,3.33,0.13,0.232,0.25,0.482,27.0,3.0,3.0,1,2,2,1,0.152,105,35,9
Batting Order Positions,"Bat7-9,non-P",36,68.0,56,4.0,6,1,0,0,4,0,11,27,2.45,0.107,0.265,0.125,0.39,7.0,0.0,1.0,0,0,1,0,0.207,60,25,5
Swung or Took First Pitch of PA,Swung at 1st Pitch,49,96.0,86,8.0,14,1,0,1,,,5,30,6.0,0.163,0.221,0.209,0.43,18.0,4.0,2.0,1,2,0,0,0.228,82,28,12
Swung or Took First Pitch of PA,Took 1st Pitch,56,159.0,127,13.0,14,2,0,4,,,28,53,1.89,0.11,0.283,0.221,0.504,28.0,0.0,3.0,0,1,3,1,0.141,111,45,8
Count/Balls-Strikes,First Pitch,21,24.0,22,1.0,4,0,0,0,,,0,0,,0.182,0.217,0.182,0.399,4.0,2.0,1.0,1,0,0,0,0.182,68,-5,4
