Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,69,361.0,315,51.0,80,18,1,11,6,1,31,75,2.42,0.254,0.326,0.422,0.748,133.0,4.0,6.0,2,7,2,0,0.292,100,106,50
Platoon Splits,vs RHB,65,171.0,155,26.0,37,6,1,5,3,1,11,36,3.27,0.239,0.29,0.387,0.677,60.0,2.0,1.0,2,2,0,0,0.276,81,87,25
Platoon Splits,vs LHB,68,190.0,160,28.0,43,12,0,6,3,0,20,39,1.95,0.269,0.358,0.456,0.814,73.0,2.0,5.0,0,5,2,0,0.308,118,124,25
Platoon Splits,vs RHB as RHP,65,171.0,155,26.0,37,6,1,5,3,1,11,36,3.27,0.239,0.29,0.387,0.677,60.0,2.0,1.0,2,2,0,0,0.276,81,92,25
Platoon Splits,vs LHB as RHP,68,190.0,160,28.0,43,12,0,6,3,0,20,39,1.95,0.269,0.358,0.456,0.814,73.0,2.0,5.0,0,5,2,0,0.308,118,117,25
Home or Away,Home,35,173.0,150,31.0,40,11,0,8,2,1,17,40,2.35,0.267,0.339,0.5,0.839,75.0,1.0,1.0,2,3,2,0,0.305,123,135,21
Home or Away,Away,34,188.0,165,20.0,40,7,1,3,4,0,14,35,2.5,0.242,0.314,0.352,0.665,58.0,3.0,5.0,0,4,0,0,0.282,80,81,29
First or Second Half,1st Half,41,183.0,160,22.0,38,6,0,4,3,0,14,41,2.93,0.238,0.304,0.35,0.654,56.0,2.0,3.0,2,4,2,0,0.286,76,82,28
First or Second Half,2nd Half,28,178.0,155,29.0,42,12,1,7,3,1,17,34,2.0,0.271,0.348,0.497,0.845,77.0,2.0,3.0,0,3,0,0,0.299,125,132,22
Months,April/March,10,37.0,30,8.0,9,3,0,1,0,0,5,8,1.6,0.3,0.432,0.5,0.932,15.0,0.0,2.0,0,0,2,0,0.381,151,163,5
Months,May,15,75.0,66,6.0,13,1,0,2,2,0,6,20,3.33,0.197,0.27,0.303,0.573,20.0,0.0,1.0,1,1,0,0,0.244,55,58,10
Months,June,12,54.0,49,5.0,11,1,0,0,1,0,2,12,6.0,0.225,0.245,0.245,0.49,12.0,2.0,0.0,1,2,0,0,0.282,33,36,10
Months,July,12,54.0,46,3.0,9,2,0,1,0,0,6,7,1.17,0.196,0.296,0.304,0.601,14.0,1.0,1.0,0,1,0,0,0.205,63,67,6
