Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,68,323.0,294,17.0,49,5,2,5,1,0,24,91,3.79,0.167,0.228,0.248,0.476,73.0,3.0,0.0,3,2,3,4,0.22,100,28,37
Platoon Splits,vs RHB,66,169.0,157,10.0,29,3,2,1,0,0,10,51,5.1,0.185,0.234,0.248,0.482,39.0,2.0,0.0,2,0,0,3,0.267,103,32,23
Platoon Splits,vs LHB,62,154.0,137,15.0,20,2,0,4,1,0,14,40,2.86,0.146,0.222,0.248,0.47,34.0,1.0,0.0,1,2,3,1,0.168,97,24,14
Platoon Splits,vs RHB as RHP,66,169.0,157,10.0,29,3,2,1,0,0,10,51,5.1,0.185,0.234,0.248,0.482,39.0,2.0,0.0,2,0,0,3,0.267,103,34,23
Platoon Splits,vs LHB as RHP,62,154.0,137,15.0,20,2,0,4,1,0,14,40,2.86,0.146,0.222,0.248,0.47,34.0,1.0,0.0,1,2,3,1,0.168,97,22,14
Home or Away,Home,33,146.0,137,9.0,20,3,2,3,1,0,8,53,6.63,0.146,0.193,0.263,0.456,36.0,1.0,0.0,1,0,2,2,0.21,91,24,12
Home or Away,Away,35,177.0,157,8.0,29,2,0,2,0,0,16,38,2.38,0.185,0.257,0.236,0.493,37.0,2.0,0.0,2,2,1,2,0.227,108,31,25
First or Second Half,1st Half,39,206.0,183,11.0,31,4,1,3,0,0,19,60,3.16,0.169,0.245,0.251,0.497,46.0,2.0,0.0,2,2,2,3,0.23,109,34,23
First or Second Half,2nd Half,29,117.0,111,6.0,18,1,1,2,1,0,5,31,6.2,0.162,0.198,0.243,0.442,27.0,1.0,0.0,1,0,1,1,0.205,85,17,14
Months,April/March,11,57.0,50,2.0,3,0,0,1,0,0,6,18,3.0,0.06,0.161,0.12,0.281,6.0,1.0,0.0,1,0,0,2,0.065,19,-24,2
Months,May,12,72.0,63,6.0,17,2,0,2,0,0,6,20,3.33,0.27,0.324,0.397,0.721,25.0,1.0,0.0,1,2,1,0,0.349,202,92,13
Months,June,12,58.0,52,3.0,9,0,1,0,0,0,6,16,2.67,0.173,0.259,0.212,0.47,11.0,0.0,0.0,0,0,1,1,0.25,99,32,8
Months,July,11,58.0,53,4.0,11,2,1,1,0,0,4,15,3.75,0.208,0.263,0.34,0.603,18.0,1.0,0.0,1,0,1,0,0.27,152,61,7
Months,August,11,36.0,36,0.0,4,0,0,0,1,0,0,7,,0.111,0.111,0.111,0.222,4.0,0.0,0.0,0,0,0,0,0.138,-7,-41,4
Months,Sept/Oct,11,42.0,40,2.0,5,1,0,1,0,0,2,15,7.5,0.125,0.167,0.225,0.392,9.0,0.0,0.0,0,0,0,1,0.167,64,5,3
Game Outcome for Pitcher,in Wins,6,34.0,32,1.0,7,0,0,0,1,0,1,11,11.0,0.219,0.235,0.219,0.454,7.0,1.0,0.0,0,1,0,1,0.318,91,54,7
Game Outcome for Pitcher,in Losses,3,24.0,21,5.0,6,0,2,1,0,0,3,5,1.67,0.286,0.375,0.619,0.994,13.0,0.0,0.0,0,0,2,0,0.333,314,100,3
Game Outcome for Pitcher,in No Dec.,33,153.0,136,7.0,19,3,0,3,0,0,14,48,3.43,0.14,0.219,0.228,0.446,31.0,1.0,0.0,2,1,1,2,0.186,88,22,13
Game Outcome for Pitcher,in Saves,26,112.0,105,4.0,17,2,0,1,0,0,6,27,4.5,0.162,0.207,0.21,0.417,22.0,1.0,0.0,1,0,0,1,0.208,76,79,14
Game Outcome for Pitcher,in Sv Situ,32,151.0,141,6.0,25,4,0,1,0,0,9,38,4.22,0.177,0.227,0.227,0.454,32.0,2.0,0.0,1,0,0,1,0.235,91,32,20
Game Outcome for Pitcher,in non-Sv,36,172.0,153,11.0,24,1,2,4,1,0,15,53,3.53,0.157,0.229,0.268,0.497,41.0,1.0,0.0,2,2,3,3,0.204,109,34,17
Pitching Role,as Reliever,68,323.0,294,17.0,49,5,2,5,1,0,24,91,3.79,0.167,0.228,0.248,0.476,73.0,3.0,0.0,3,2,3,4,0.22,100,31,37
Batting Order Positions,Batting 1st,33,34.0,32,2.0,5,0,0,0,1,0,2,11,5.5,0.156,0.206,0.156,0.362,5.0,1.0,0.0,0,0,1,0,0.238,53,-3,5
Batting Order Positions,Batting 2nd,30,30.0,28,3.0,8,0,0,1,0,0,1,4,4.0,0.286,0.3,0.393,0.693,11.0,0.0,0.0,0,1,0,0,0.292,190,83,7
Batting Order Positions,Batting 3rd,26,26.0,24,3.0,5,1,0,2,0,0,2,9,4.5,0.208,0.269,0.5,0.769,12.0,0.0,0.0,0,0,0,0,0.231,220,80,2
Batting Order Positions,Batting 4th,33,33.0,28,1.0,3,0,1,0,0,0,5,8,1.6,0.107,0.242,0.179,0.421,5.0,1.0,0.0,0,0,0,1,0.15,78,7,2
Batting Order Positions,Batting 5th,36,36.0,33,2.0,4,0,1,0,0,0,3,7,2.33,0.121,0.194,0.182,0.376,6.0,0.0,0.0,0,0,1,1,0.154,59,-2,3
