Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,60,246.0,218,16.0,33,4,0,5,1,1,20,100,5.0,0.151,0.237,0.239,0.475,52.0,1.0,5.0,1,2,1,6,0.244,100,34,24
Platoon Splits,vs RHB,60,199.0,175,11.0,23,3,0,4,0,0,17,79,4.65,0.131,0.227,0.217,0.444,38.0,1.0,5.0,1,1,1,4,0.204,87,27,16
Platoon Splits,vs LHB,31,47.0,43,5.0,10,1,0,1,1,1,3,21,7.0,0.233,0.277,0.326,0.602,14.0,0.0,0.0,0,1,0,2,0.409,153,65,8
Platoon Splits,vs RHB as LHP,60,199.0,175,11.0,23,3,0,4,0,0,17,79,4.65,0.131,0.227,0.217,0.444,38.0,1.0,5.0,1,1,1,4,0.204,87,22,16
Platoon Splits,vs LHB as LHP,31,47.0,43,5.0,10,1,0,1,1,1,3,21,7.0,0.233,0.277,0.326,0.602,14.0,0.0,0.0,0,1,0,2,0.409,153,80,8
Home or Away,Home,30,120.0,112,4.0,16,1,0,2,0,1,6,48,8.0,0.143,0.193,0.205,0.399,23.0,1.0,1.0,1,0,0,2,0.226,67,14,13
Home or Away,Away,30,126.0,106,12.0,17,3,0,3,1,0,14,52,3.71,0.16,0.278,0.274,0.551,29.0,0.0,4.0,0,2,1,4,0.264,132,52,11
First or Second Half,1st Half,29,119.0,103,7.0,10,1,0,2,0,0,11,47,4.27,0.097,0.21,0.165,0.375,17.0,0.0,4.0,0,1,0,6,0.146,58,9,7
First or Second Half,2nd Half,31,127.0,115,9.0,23,3,0,3,1,1,9,53,5.89,0.2,0.262,0.304,0.566,35.0,1.0,1.0,1,1,1,0,0.333,138,55,17
Months,April/March,10,43.0,37,0.0,3,1,0,0,0,0,4,20,5.0,0.081,0.209,0.108,0.317,4.0,0.0,2.0,0,0,0,0,0.177,33,-6,2
Months,May,12,42.0,37,2.0,2,0,0,1,0,0,5,15,3.0,0.054,0.167,0.135,0.302,5.0,0.0,0.0,0,0,0,2,0.048,27,-13,1
Months,June,4,18.0,15,1.0,3,0,0,0,0,0,1,8,8.0,0.2,0.333,0.2,0.533,3.0,0.0,2.0,0,0,0,0,0.429,124,56,3
Months,July,9,37.0,34,6.0,6,0,0,2,0,0,2,11,5.5,0.177,0.216,0.353,0.569,12.0,0.0,0.0,0,1,0,4,0.182,139,56,4
Months,August,11,45.0,41,3.0,11,2,0,0,0,1,2,16,8.0,0.268,0.296,0.317,0.613,13.0,1.0,0.0,1,1,0,0,0.423,157,69,9
Months,Sept/Oct,14,61.0,54,4.0,8,1,0,2,1,0,6,30,5.0,0.148,0.246,0.278,0.524,15.0,0.0,1.0,0,0,1,0,0.273,120,43,5
Game Outcome for Pitcher,in Wins,3,17.0,15,2.0,4,1,0,2,0,1,2,8,4.0,0.267,0.353,0.733,1.086,11.0,0.0,0.0,0,0,1,0,0.4,356,282,1
Game Outcome for Pitcher,in Losses,2,8.0,6,3.0,3,0,0,1,0,0,2,2,1.0,0.5,0.625,1.0,1.625,6.0,0.0,0.0,0,0,0,0,0.667,582,237,2
Game Outcome for Pitcher,in No Dec.,19,76.0,67,5.0,7,1,0,0,1,0,6,27,4.5,0.105,0.173,0.119,0.293,8.0,1.0,0.0,1,2,0,4,0.167,23,-15,6
Game Outcome for Pitcher,in Saves,36,145.0,130,6.0,19,2,0,2,0,0,10,63,6.3,0.146,0.235,0.208,0.442,27.0,0.0,5.0,0,0,0,2,0.262,86,98,15
Game Outcome for Pitcher,in Sv Situ,38,162.0,144,10.0,25,4,0,4,0,0,12,69,5.75,0.174,0.259,0.285,0.544,41.0,0.0,5.0,0,1,1,2,0.292,129,68,17
Game Outcome for Pitcher,in non-Sv,22,84.0,74,6.0,8,0,0,1,1,1,8,31,3.88,0.108,0.193,0.149,0.341,11.0,1.0,0.0,1,1,0,4,0.163,44,-3,7
Pitching Role,as Reliever,60,246.0,218,16.0,33,4,0,5,1,1,20,100,5.0,0.151,0.237,0.239,0.475,52.0,1.0,5.0,1,2,1,6,0.244,100,37,24
Batting Order Positions,Batting 1st,29,29.0,25,0.0,1,0,0,0,0,0,2,16,8.0,0.04,0.172,0.04,0.212,1.0,0.0,2.0,0,0,0,0,0.111,-11,-38,1
Batting Order Positions,Batting 2nd,28,28.0,26,0.0,4,0,0,0,0,0,2,10,5.0,0.154,0.214,0.154,0.368,4.0,0.0,0.0,0,0,0,2,0.25,55,1,4
Batting Order Positions,Batting 3rd,25,25.0,22,1.0,4,1,0,0,0,0,3,8,2.67,0.182,0.28,0.227,0.507,5.0,0.0,0.0,0,0,0,1,0.286,113,29,3
Batting Order Positions,Batting 4th,20,20.0,18,3.0,3,0,0,1,0,0,1,10,10.0,0.167,0.2,0.333,0.533,6.0,0.0,0.0,0,1,0,1,0.25,124,32,2
Batting Order Positions,Batting 5th,21,22.0,22,7.0,6,0,0,2,0,0,0,7,,0.273,0.273,0.546,0.818,12.0,0.0,0.0,0,0,0,2,0.308,243,115,4
Batting Order Positions,Batting 6th,27,28.0,25,2.0,2,0,0,1,0,0,1,9,9.0,0.08,0.143,0.2,0.343,5.0,0.0,1.0,0,1,0,0,0.063,44,-4,1
Batting Order Positions,Batting 7th,31,31.0,26,0.0,6,1,0,0,0,1,4,9,2.25,0.231,0.355,0.269,0.624,7.0,0.0,1.0,0,0,0,0,0.353,162,86,5
Batting Order Positions,Batting 8th,32,32.0,27,1.0,5,2,0,0,0,0,3,17,5.67,0.185,0.29,0.259,0.55,7.0,1.0,1.0,1,0,0,0,0.5,131,68,3
Batting Order Positions,Batting 9th,31,31.0,27,2.0,2,0,0,1,1,0,4,14,3.5,0.074,0.194,0.185,0.379,5.0,0.0,0.0,0,0,1,0,0.083,59,38,1
Batting Order Positions,"Bat1-2,non-P",37,57.0,51,0.0,5,0,0,0,0,0,4,26,6.5,0.098,0.193,0.098,0.291,5.0,0.0,2.0,0,0,0,2,0.2,22,-18,5
Batting Order Positions,"Bat3-6,non-P",45,95.0,87,13.0,15,1,0,4,0,0,5,34,6.8,0.172,0.221,0.322,0.543,28.0,0.0,1.0,0,2,0,4,0.216,128,41,10
Batting Order Positions,"Bat7-9,non-P",44,94.0,80,3.0,13,3,0,1,1,1,11,40,3.64,0.163,0.28,0.238,0.517,19.0,1.0,2.0,1,0,1,0,0.308,118,57,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,41,61.0,57,5.0,11,1,0,3,,,3,24,8.0,0.193,0.233,0.368,0.602,21.0,1.0,0.0,1,0,0,0,0.267,152,65,7
Swung or Took First Pitch of PA,Took 1st Pitch,57,185.0,161,11.0,22,3,0,2,,,17,76,4.47,0.137,0.238,0.193,0.43,31.0,0.0,5.0,0,2,1,6,0.235,81,22,17
Count/Balls-Strikes,First Pitch,20,21.0,20,3.0,7,1,0,2,,,0,0,,0.35,0.35,0.7,1.05,14.0,0.0,0.0,1,0,0,0,0.278,341,127,4
Count/Balls-Strikes,1-0 Count,5,6.0,6,0.0,1,0,0,0,,,0,0,,0.167,0.167,0.167,0.333,1.0,0.0,0.0,0,0,0,0,0.167,40,-21,1
Count/Balls-Strikes,2-0 Count,4,4.0,4,1.0,1,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0,0,0,0,0.25,110,9,1
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,16,17.0,17,1.0,3,1,0,0,,,0,0,,0.177,0.177,0.235,0.412,4.0,0.0,0.0,0,0,0,1,0.177,73,3,2
Count/Balls-Strikes,1-1 Count,13,16.0,16,4.0,4,0,0,1,,,0,0,,0.25,0.25,0.438,0.688,7.0,0.0,0.0,0,0,0,0,0.2,189,59,3
Count/Balls-Strikes,2-1 Count,7,7.0,7,0.0,4,1,0,0,,,0,0,,0.571,0.571,0.714,1.286,5.0,0.0,0.0,0,0,0,0,0.571,440,203,3
Count/Balls-Strikes,3-1 Count,10,12.0,4,3.0,2,0,0,1,,,7,0,0.0,0.5,0.833,1.25,2.083,5.0,0.0,1.0,0,0,0,1,0.333,775,214,1
Count/Balls-Strikes,0-2 Count,38,51.0,49,1.0,5,0,0,0,,,0,38,,0.102,0.118,0.102,0.22,5.0,1.0,1.0,0,1,0,0,0.417,-8,15,5
Count/Balls-Strikes,1-2 Count,35,51.0,48,1.0,3,1,0,0,,,0,31,,0.063,0.098,0.083,0.181,4.0,0.0,2.0,0,1,0,0,0.167,-24,-10,2
Count/Balls-Strikes,2-2 Count,17,24.0,23,0.0,1,0,0,0,,,0,15,,0.044,0.083,0.044,0.127,1.0,0.0,1.0,0,0,0,2,0.125,-47,-40,1
Count/Balls-Strikes,Full Count,26,33.0,24,2.0,2,0,0,1,,,9,16,1.78,0.083,0.333,0.208,0.542,5.0,0.0,0.0,0,0,0,2,0.143,128,35,1
Count/Balls-Strikes,After 1-0,48,84.0,67,4.0,8,0,0,1,,,14,31,2.21,0.119,0.298,0.164,0.462,11.0,0.0,3.0,0,0,1,3,0.2,94,17,7
Count/Balls-Strikes,After 2-0,23,31.0,16,2.0,2,0,0,0,,,13,9,0.69,0.125,0.548,0.125,0.673,2.0,0.0,2.0,0,0,1,1,0.286,184,36,2
Count/Balls-Strikes,After 3-0,8,9.0,1,1.0,0,0,0,0,,,8,1,0.13,0.0,0.889,0.0,0.889,0.0,0.0,0.0,0,0,1,0,,275,21,0
Count/Balls-Strikes,After 0-1,56,141.0,131,9.0,18,3,0,2,,,6,69,11.5,0.137,0.184,0.206,0.391,27.0,1.0,2.0,0,2,0,3,0.258,64,30,13
Count/Balls-Strikes,After 1-1,45,94.0,87,7.0,13,1,0,2,,,5,41,8.2,0.149,0.202,0.23,0.432,20.0,0.0,1.0,0,1,0,3,0.244,82,30,10
Count/Balls-Strikes,After 2-1,30,41.0,31,2.0,7,1,0,1,,,8,13,1.63,0.226,0.415,0.355,0.769,11.0,0.0,2.0,0,0,0,3,0.353,224,96,5
Count/Balls-Strikes,After 3-1,19,21.0,11,3.0,2,0,0,1,,,9,6,0.67,0.182,0.571,0.455,1.026,5.0,0.0,1.0,0,0,0,2,0.25,331,95,1
Count/Balls-Strikes,After 0-2,45,77.0,72,3.0,7,1,0,1,,,2,50,25.0,0.097,0.143,0.153,0.296,11.0,1.0,2.0,0,1,0,1,0.273,24,31,5
Count/Balls-Strikes,After 1-2,45,81.0,74,3.0,5,1,0,1,,,4,48,12.0,0.068,0.136,0.122,0.257,9.0,0.0,2.0,0,1,0,2,0.154,8,5,3
Count/Balls-Strikes,After 2-2,29,48.0,40,2.0,3,0,0,1,,,7,25,3.57,0.075,0.229,0.15,0.379,6.0,0.0,1.0,0,0,0,3,0.143,59,30,2
Count/Balls-Strikes,Zero Balls,50,89.0,86,5.0,15,2,0,2,,,0,38,,0.174,0.182,0.267,0.449,23.0,1.0,1.0,1,1,0,1,0.277,89,26,11
Count/Balls-Strikes,Zero Strikes,31,35.0,30,4.0,9,1,0,2,,,4,0,0.0,0.3,0.382,0.533,0.916,16.0,0.0,0.0,1,0,1,0,0.25,284,90,6
Count/Balls-Strikes,Three Balls,32,49.0,28,5.0,4,0,0,2,,,20,16,0.8,0.143,0.51,0.357,0.867,10.0,0.0,1.0,0,0,1,3,0.2,265,80,2
Count/Balls-Strikes,Two Strikes,56,159.0,144,4.0,11,1,0,1,,,9,100,11.11,0.076,0.151,0.104,0.255,15.0,1.0,4.0,0,2,0,4,0.222,7,0,9
Count/Balls-Strikes,Batter Ahead,39,66.0,45,6.0,10,1,0,2,,,20,16,0.8,0.222,0.47,0.378,0.848,17.0,0.0,1.0,0,0,1,3,0.296,257,78,7
Count/Balls-Strikes,Even Count,40,61.0,59,7.0,12,1,0,3,,,0,15,,0.203,0.217,0.373,0.59,22.0,0.0,1.0,1,0,0,2,0.22,148,65,8
Count/Balls-Strikes,Pitcher Ahead,53,119.0,114,3.0,11,2,0,0,,,0,69,,0.097,0.118,0.114,0.232,13.0,1.0,3.0,0,2,0,1,0.234,-3,-8,9
Leading Off Inning,First Batter,60,60.0,53,0.0,7,1,0,0,,,6,20,3.33,0.132,0.233,0.151,0.384,8.0,0.0,1.0,0,0,0,1,0.212,62,15,6
Leading Off Inning,Leadoff Inn.,52,56.0,53,0.0,8,1,0,0,,,3,20,6.67,0.151,0.196,0.17,0.366,9.0,0.0,0.0,0,0,0,1,0.242,54,5,7
Opposition Defensive Position,vs. Non-P,60,246.0,218,16.0,33,4,0,5,1,1,20,100,5.0,0.151,0.237,0.239,0.475,52.0,1.0,5.0,1,2,1,6,0.244,100,32,24
Number of Outs in Inning,0 outs,54,71.0,66,1.0,9,2,0,0,0,1,3,27,9.0,0.136,0.171,0.167,0.338,11.0,1.0,0.0,1,1,0,1,0.225,42,-6,7
Number of Outs in Inning,1 out,54,81.0,72,7.0,11,0,0,3,0,0,4,36,9.0,0.153,0.235,0.278,0.512,20.0,0.0,4.0,0,1,0,3,0.235,116,43,8
Number of Outs in Inning,2 outs,59,94.0,80,8.0,13,2,0,2,1,0,13,37,2.85,0.163,0.287,0.263,0.55,21.0,0.0,1.0,0,0,1,2,0.268,131,58,9
Bases Occupied,RISP,26,49.0,40,9.0,5,0,0,0,1,0,7,18,2.57,0.125,0.245,0.125,0.37,5.0,0.0,0.0,0,2,1,2,0.208,56,4,5
Bases Occupied,---,53,145.0,133,3.0,22,3,0,3,0,0,9,57,6.33,0.165,0.235,0.256,0.49,34.0,0.0,3.0,0,0,0,2,0.26,106,41,16
Bases Occupied,Men On,38,101.0,85,13.0,11,1,0,2,1,1,11,43,3.91,0.129,0.24,0.212,0.452,18.0,1.0,2.0,1,2,1,4,0.214,90,24,8
Bases Occupied,1--,30,52.0,45,4.0,6,1,0,2,0,1,4,25,6.25,0.133,0.235,0.289,0.524,13.0,1.0,2.0,1,0,0,2,0.222,120,40,3
Bases Occupied,-2-,15,19.0,17,3.0,3,0,0,0,0,0,2,7,3.5,0.177,0.263,0.177,0.44,3.0,0.0,0.0,0,0,1,0,0.3,85,21,3
Bases Occupied,--3,2,2.0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,111,34,0
Bases Occupied,12-,14,15.0,13,3.0,2,0,0,0,0,0,2,4,2.0,0.154,0.267,0.154,0.421,2.0,0.0,0.0,0,0,0,2,0.222,77,25,2
Bases Occupied,1-3,3,1.0,1,0.0,0,0,0,0,1,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,-100,-100,0
Bases Occupied,-23,5,6.0,3,2.0,0,0,0,0,0,0,1,3,3.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0,2,0,0,0.0,-30,-56,0
Bases Occupied,123,4,6.0,5,1.0,0,0,0,0,0,0,1,3,3.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0,0,0,0,0.0,-30,-47,0
Bases Occupied,"on 1st, <2 out",24,38.0,34,3.0,4,1,0,1,0,1,1,18,18.0,0.118,0.189,0.235,0.425,8.0,1.0,2.0,1,0,0,3,0.2,78,12,2
Bases Occupied,"on 3rd, <2 out",4,4.0,2,2.0,0,0,0,0,0,0,0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0.0,-100,-100,0
Bases Occupied,"on 3rd, 2 out",8,11.0,8,1.0,0,0,0,0,0,0,3,5,1.67,0.0,0.273,0.0,0.273,0.0,0.0,0.0,0,0,0,0,0.0,15,-18,0
