Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,64,225.0,195,17.0,28,5,2,6,2,0,26,70,2.69,0.144,0.242,0.282,0.524,55.0,4.0,0.0,2,2,0,1,0.182,100,46,15
Platoon Splits,vs RHB,58,146.0,126,11.0,18,4,0,4,2,0,16,39,2.44,0.143,0.236,0.27,0.506,34.0,2.0,0.0,2,2,0,0,0.165,93,43,10
Platoon Splits,vs LHB,54,79.0,69,5.0,10,1,2,2,0,0,10,31,3.1,0.145,0.253,0.304,0.558,21.0,2.0,0.0,0,0,0,1,0.222,112,53,5
Platoon Splits,vs RHB as LHP,58,146.0,126,11.0,18,4,0,4,2,0,16,39,2.44,0.143,0.236,0.27,0.506,34.0,2.0,0.0,2,2,0,0,0.165,93,35,10
Platoon Splits,vs LHB as LHP,54,79.0,69,5.0,10,1,2,2,0,0,10,31,3.1,0.145,0.253,0.304,0.558,21.0,2.0,0.0,0,0,0,1,0.222,112,70,5
Home or Away,Home,30,101.0,90,6.0,13,3,0,2,0,0,9,24,2.67,0.144,0.218,0.244,0.462,22.0,2.0,0.0,0,2,0,1,0.167,77,32,8
Home or Away,Away,34,124.0,105,11.0,15,2,2,4,2,0,17,46,2.71,0.143,0.262,0.314,0.577,33.0,2.0,0.0,2,0,0,0,0.2,120,57,7
First or Second Half,1st Half,36,123.0,107,3.0,11,3,0,2,2,0,14,38,2.71,0.103,0.205,0.187,0.392,20.0,1.0,0.0,1,1,0,0,0.132,51,12,6
First or Second Half,2nd Half,28,102.0,88,14.0,17,2,2,4,0,0,12,32,2.67,0.193,0.287,0.398,0.685,35.0,3.0,0.0,1,1,0,1,0.245,160,86,9
Months,April/March,10,38.0,34,1.0,4,0,0,1,2,0,4,16,4.0,0.118,0.211,0.206,0.416,7.0,1.0,0.0,0,0,0,0,0.177,60,19,3
Months,May,11,38.0,32,2.0,6,3,0,1,0,0,5,10,2.0,0.188,0.29,0.375,0.665,12.0,0.0,0.0,0,1,0,0,0.227,152,86,2
Months,June,11,34.0,29,0.0,1,0,0,0,0,0,4,7,1.75,0.035,0.152,0.035,0.186,1.0,0.0,0.0,1,0,0,0,0.046,-25,-43,1
Months,July,12,41.0,38,3.0,4,1,1,0,0,0,3,15,5.0,0.105,0.171,0.184,0.355,7.0,0.0,0.0,0,0,0,0,0.174,36,0,2
Months,August,10,37.0,33,2.0,4,0,0,2,0,0,3,14,4.67,0.121,0.194,0.303,0.497,10.0,1.0,0.0,1,0,0,0,0.118,88,33,2
Months,Sept/Oct,10,37.0,29,9.0,9,1,1,2,0,0,7,8,1.14,0.31,0.432,0.621,1.053,18.0,2.0,0.0,0,1,0,1,0.35,299,188,5
