Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,66,317.0,272,30.0,67,15,2,5,3,1,36,87,2.42,0.246,0.343,0.371,0.714,101.0,6.0,5.0,2,2,2,2,0.341,100,92,45
Platoon Splits,vs RHB,64,183.0,156,17.0,36,6,0,3,0,1,19,43,2.26,0.231,0.33,0.327,0.657,51.0,4.0,5.0,1,2,1,1,0.295,84,79,27
Platoon Splits,vs LHB,56,134.0,116,19.0,31,9,2,2,3,0,17,44,2.59,0.267,0.361,0.431,0.792,50.0,2.0,0.0,1,0,1,1,0.414,121,109,18
Platoon Splits,vs RHB as RHP,64,183.0,156,17.0,36,6,0,3,0,1,19,43,2.26,0.231,0.33,0.327,0.657,51.0,4.0,5.0,1,2,1,1,0.295,84,83,27
Platoon Splits,vs LHB as RHP,56,134.0,116,19.0,31,9,2,2,3,0,17,44,2.59,0.267,0.361,0.431,0.792,50.0,2.0,0.0,1,0,1,1,0.414,121,106,18
Home or Away,Home,34,168.0,143,16.0,37,8,1,4,1,1,19,46,2.42,0.259,0.349,0.413,0.762,59.0,4.0,2.0,2,2,1,0,0.347,113,106,24
Home or Away,Away,32,149.0,129,14.0,30,7,1,1,2,0,17,41,2.41,0.233,0.336,0.326,0.661,42.0,2.0,3.0,0,0,1,2,0.333,86,77,21
First or Second Half,1st Half,35,189.0,162,24.0,46,12,2,3,2,0,23,54,2.35,0.284,0.374,0.438,0.813,71.0,2.0,1.0,2,1,2,2,0.406,127,118,29
First or Second Half,2nd Half,31,128.0,110,6.0,21,3,0,2,1,1,13,33,2.54,0.191,0.297,0.273,0.57,30.0,4.0,4.0,0,1,0,0,0.25,60,54,16
Months,April/March,11,56.0,47,3.0,13,2,0,2,0,0,6,15,2.5,0.277,0.364,0.447,0.81,21.0,0.0,1.0,1,1,0,0,0.355,127,120,9
Months,May,12,64.0,53,11.0,17,3,2,0,1,0,10,16,1.6,0.321,0.429,0.453,0.881,24.0,1.0,0.0,1,0,1,2,0.46,147,138,12
Months,June,11,61.0,55,10.0,15,6,0,1,1,0,6,19,3.17,0.273,0.344,0.436,0.781,24.0,1.0,0.0,0,0,1,0,0.4,118,105,8
Months,July,8,36.0,30,0.0,4,1,0,0,0,1,5,14,2.8,0.133,0.278,0.167,0.445,5.0,1.0,1.0,0,0,0,0,0.25,26,24,3
Months,August,14,60.0,53,5.0,11,3,0,2,0,0,4,12,3.0,0.208,0.283,0.377,0.661,20.0,1.0,2.0,0,1,0,0,0.225,84,70,6
Months,Sept/Oct,10,40.0,34,1.0,7,0,0,0,1,0,5,11,2.2,0.206,0.325,0.206,0.531,7.0,2.0,1.0,0,0,0,0,0.304,50,51,7
