Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,62,235.0,211,19.0,42,5,3,7,1,0,21,64,3.05,0.199,0.277,0.351,0.627,74.0,3.0,2.0,0,1,1,1,0.248,100,68,27
Platoon Splits,vs RHB,59,125.0,119,11.0,22,2,0,4,1,0,4,36,9.0,0.185,0.224,0.303,0.527,36.0,3.0,2.0,0,0,0,1,0.228,67,41,16
Platoon Splits,vs LHB,58,110.0,92,9.0,20,3,3,3,0,0,17,28,1.65,0.217,0.336,0.413,0.749,38.0,0.0,0.0,0,1,1,0,0.274,139,98,11
Platoon Splits,vs RHB as RHP,59,125.0,119,11.0,22,2,0,4,1,0,4,36,9.0,0.185,0.224,0.303,0.527,36.0,3.0,2.0,0,0,0,1,0.228,67,44,16
Platoon Splits,vs LHB as RHP,58,110.0,92,9.0,20,3,3,3,0,0,17,28,1.65,0.217,0.336,0.413,0.749,38.0,0.0,0.0,0,1,1,0,0.274,139,94,11
Home or Away,Home,36,136.0,122,10.0,24,4,1,3,0,0,13,38,2.92,0.197,0.279,0.32,0.599,39.0,0.0,1.0,0,0,1,0,0.259,92,65,16
Home or Away,Away,26,99.0,89,9.0,18,1,2,4,1,0,8,26,3.25,0.202,0.273,0.393,0.666,35.0,3.0,1.0,0,1,0,1,0.233,111,72,11
First or Second Half,1st Half,37,140.0,126,10.0,25,3,1,5,1,0,12,39,3.25,0.198,0.279,0.357,0.636,45.0,2.0,2.0,0,0,0,1,0.244,102,70,16
First or Second Half,2nd Half,25,95.0,85,9.0,17,2,2,2,0,0,9,25,2.78,0.2,0.274,0.341,0.615,29.0,1.0,0.0,0,1,1,0,0.254,96,64,11
Months,April/March,11,43.0,39,6.0,10,1,0,3,0,0,3,12,4.0,0.256,0.326,0.513,0.838,20.0,2.0,1.0,0,0,0,0,0.292,164,129,6
Months,May,13,46.0,41,1.0,4,0,0,1,1,0,4,14,3.5,0.098,0.196,0.171,0.366,7.0,0.0,1.0,0,0,0,1,0.115,20,1,3
Months,June,11,42.0,39,1.0,8,2,1,0,0,0,3,11,3.67,0.205,0.262,0.308,0.57,12.0,0.0,0.0,0,0,0,0,0.286,82,49,5
Months,July,6,25.0,23,4.0,9,0,1,1,0,0,2,4,2.0,0.391,0.44,0.609,1.049,14.0,1.0,0.0,0,0,0,0,0.444,232,177,7
Months,August,12,41.0,38,4.0,7,1,1,2,0,0,2,12,6.0,0.184,0.22,0.421,0.641,16.0,0.0,0.0,0,1,0,0,0.2,99,65,3
Months,Sept/Oct,9,38.0,31,3.0,4,1,0,0,0,0,7,11,1.57,0.129,0.29,0.161,0.451,5.0,0.0,0.0,0,0,1,0,0.2,50,28,3
Game Outcome for Pitcher,in Wins,5,24.0,21,0.0,3,1,0,0,0,0,3,9,3.0,0.143,0.25,0.191,0.441,4.0,1.0,0.0,0,0,1,0,0.25,44,55,2
Game Outcome for Pitcher,in Losses,3,11.0,11,7.0,7,1,0,5,1,0,0,2,,0.636,0.636,2.091,2.727,23.0,0.0,0.0,0,0,0,1,0.5,725,409,1
Game Outcome for Pitcher,in No Dec.,40,148.0,131,11.0,25,2,2,2,0,0,15,36,2.4,0.191,0.284,0.282,0.566,37.0,2.0,2.0,0,0,0,0,0.247,83,56,19
Game Outcome for Pitcher,in Saves,14,52.0,48,1.0,7,1,1,0,0,0,3,17,5.67,0.146,0.192,0.208,0.401,10.0,0.0,0.0,0,1,0,0,0.219,29,84,5
Game Outcome for Pitcher,in Sv Situ,34,131.0,113,11.0,22,1,3,2,0,0,16,35,2.19,0.195,0.298,0.31,0.607,35.0,2.0,1.0,0,1,0,0,0.26,96,85,16
Game Outcome for Pitcher,in non-Sv,28,104.0,98,8.0,20,4,0,5,1,0,5,29,5.8,0.204,0.25,0.398,0.648,39.0,1.0,1.0,0,0,1,1,0.234,104,72,11
Pitching Role,as Reliever,62,235.0,211,19.0,42,5,3,7,1,0,21,64,3.05,0.199,0.277,0.351,0.627,74.0,3.0,2.0,0,1,1,1,0.248,100,73,27
Batting Order Positions,Batting 1st,24,24.0,24,4.0,7,0,2,2,0,0,0,7,,0.292,0.292,0.708,1.0,17.0,0.0,0.0,0,0,0,1,0.333,207,155,3
Batting Order Positions,Batting 2nd,28,28.0,27,4.0,6,1,0,2,0,0,1,6,6.0,0.222,0.25,0.482,0.732,13.0,0.0,0.0,0,0,0,0,0.211,127,81,3
Batting Order Positions,Batting 3rd,34,34.0,30,2.0,5,1,0,0,0,0,4,9,2.25,0.167,0.265,0.2,0.465,6.0,1.0,0.0,0,0,0,0,0.238,53,18,4
Batting Order Positions,Batting 4th,31,31.0,27,5.0,7,1,0,1,1,0,4,8,2.0,0.259,0.355,0.407,0.762,11.0,1.0,0.0,0,0,0,0,0.333,144,92,5
Batting Order Positions,Batting 5th,27,27.0,23,1.0,2,0,0,0,0,0,4,8,2.0,0.087,0.222,0.087,0.309,2.0,0.0,0.0,0,0,1,0,0.133,5,-13,2
Batting Order Positions,Batting 6th,26,26.0,26,2.0,3,1,0,1,0,0,0,8,,0.115,0.115,0.269,0.385,7.0,1.0,0.0,0,0,0,0,0.118,18,-1,1
Batting Order Positions,Batting 7th,23,23.0,20,0.0,3,0,0,0,0,0,3,11,3.67,0.15,0.261,0.15,0.411,3.0,0.0,0.0,0,0,0,0,0.333,37,18,3
Batting Order Positions,Batting 8th,20,20.0,16,0.0,4,0,1,0,0,0,3,3,1.0,0.25,0.4,0.375,0.775,6.0,0.0,1.0,0,0,0,0,0.308,151,123,3
Batting Order Positions,Batting 9th,22,22.0,18,2.0,5,1,0,1,0,0,2,4,2.0,0.278,0.364,0.5,0.864,9.0,0.0,1.0,0,1,0,0,0.286,174,195,3
Batting Order Positions,"Bat1-2,non-P",31,52.0,51,8.0,13,1,2,4,0,0,1,13,13.0,0.255,0.269,0.588,0.857,30.0,0.0,0.0,0,0,0,1,0.265,165,115,6
Batting Order Positions,"Bat3-6,non-P",53,118.0,106,10.0,17,3,0,2,1,0,12,33,2.75,0.16,0.246,0.245,0.491,26.0,3.0,0.0,0,0,1,0,0.211,59,27,12
Batting Order Positions,"Bat7-9,non-P",36,64.0,53,2.0,12,1,1,1,0,0,8,17,2.13,0.226,0.344,0.34,0.683,18.0,0.0,2.0,0,1,0,0,0.306,121,96,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,52,85.0,81,10.0,19,2,0,4,,,2,25,12.5,0.235,0.259,0.407,0.666,33.0,1.0,1.0,0,1,0,1,0.283,110,78,13
Swung or Took First Pitch of PA,Took 1st Pitch,59,150.0,130,9.0,23,3,3,3,,,19,39,2.05,0.177,0.287,0.315,0.602,41.0,2.0,1.0,0,0,1,0,0.227,93,61,14
Count/Balls-Strikes,First Pitch,23,26.0,26,5.0,10,0,0,2,,,0,0,,0.385,0.385,0.615,1.0,16.0,1.0,0.0,0,0,0,0,0.333,214,114,8
Count/Balls-Strikes,1-0 Count,20,22.0,22,0.0,8,1,1,0,,,0,0,,0.364,0.364,0.5,0.864,11.0,0.0,0.0,0,0,0,0,0.364,174,87,6
