Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,61,243.0,198,23.0,36,8,0,9,5,1,38,97,2.55,0.182,0.32,0.359,0.678,71.0,0.0,3.0,2,2,2,1,0.287,100,88,19
Platoon Splits,vs RHB,61,190.0,155,16.0,31,7,0,8,3,0,31,75,2.42,0.2,0.333,0.4,0.733,62.0,0.0,1.0,1,2,1,0,0.311,116,102,16
Platoon Splits,vs LHB,36,53.0,43,5.0,5,1,0,1,2,1,7,22,3.14,0.116,0.269,0.209,0.479,9.0,0.0,2.0,1,0,1,1,0.2,42,36,3
Platoon Splits,vs RHB as LHP,61,190.0,155,16.0,31,7,0,8,3,0,31,75,2.42,0.2,0.333,0.4,0.733,62.0,0.0,1.0,1,2,1,0,0.311,116,93,16
Platoon Splits,vs LHB as LHP,36,53.0,43,5.0,5,1,0,1,2,1,7,22,3.14,0.116,0.269,0.209,0.479,9.0,0.0,2.0,1,0,1,1,0.2,42,48,3
Home or Away,Home,31,128.0,98,16.0,18,2,0,6,3,1,26,50,1.92,0.184,0.354,0.388,0.742,38.0,0.0,1.0,1,2,2,0,0.273,119,111,10
Home or Away,Away,30,115.0,100,7.0,18,6,0,3,2,0,12,47,3.92,0.18,0.281,0.33,0.611,33.0,0.0,2.0,1,0,0,1,0.3,80,66,9
First or Second Half,1st Half,33,131.0,105,17.0,22,5,0,5,1,0,22,52,2.36,0.21,0.349,0.4,0.749,42.0,0.0,1.0,2,1,2,1,0.347,121,110,12
First or Second Half,2nd Half,28,112.0,93,6.0,14,3,0,4,4,1,16,45,2.81,0.151,0.286,0.312,0.598,29.0,0.0,2.0,0,1,0,0,0.222,76,64,7
Months,April/March,8,29.0,26,0.0,2,2,0,0,0,0,3,20,6.67,0.077,0.172,0.154,0.326,4.0,0.0,0.0,0,0,0,0,0.333,-3,-5,0
Months,May,12,44.0,36,2.0,4,1,0,1,1,0,6,18,3.0,0.111,0.233,0.222,0.455,8.0,0.0,0.0,1,1,1,1,0.167,35,30,2
Months,June,11,49.0,38,12.0,14,2,0,3,0,0,10,11,1.1,0.368,0.5,0.658,1.158,25.0,0.0,0.0,1,0,1,0,0.458,240,214,9
Months,July,10,40.0,30,4.0,4,1,0,2,0,1,8,16,2.0,0.133,0.35,0.367,0.717,11.0,0.0,2.0,0,0,0,0,0.167,112,96,1
Months,August,6,26.0,22,2.0,6,0,0,1,1,0,4,7,1.75,0.273,0.385,0.409,0.794,9.0,0.0,0.0,0,0,0,0,0.357,134,120,5
Months,Sept/Oct,14,55.0,46,3.0,6,2,0,2,3,0,7,25,3.57,0.13,0.255,0.304,0.559,14.0,0.0,1.0,0,1,0,0,0.2,64,51,2
Game Outcome for Pitcher,in Wins,6,28.0,22,3.0,6,1,0,1,1,0,5,9,1.8,0.273,0.407,0.455,0.862,10.0,0.0,0.0,1,0,1,0,0.417,154,225,4
Game Outcome for Pitcher,in Losses,4,16.0,11,9.0,7,0,0,3,0,0,2,3,1.5,0.636,0.667,1.455,2.121,16.0,0.0,1.0,1,1,0,0,0.667,514,310,4
Game Outcome for Pitcher,in No Dec.,21,83.0,65,8.0,11,2,0,3,3,1,17,36,2.12,0.169,0.337,0.339,0.676,22.0,0.0,0.0,0,1,1,0,0.296,100,91,6
Game Outcome for Pitcher,in Saves,30,116.0,100,3.0,12,5,0,2,1,0,14,49,3.5,0.12,0.241,0.23,0.471,23.0,0.0,2.0,0,0,0,1,0.204,39,114,5
Game Outcome for Pitcher,in Sv Situ,35,142.0,119,14.0,23,5,0,6,1,0,20,53,2.65,0.193,0.324,0.387,0.711,46.0,0.0,3.0,0,0,1,1,0.283,109,108,12
Game Outcome for Pitcher,in non-Sv,26,101.0,79,9.0,13,3,0,3,4,1,18,44,2.44,0.165,0.313,0.317,0.63,25.0,0.0,0.0,2,2,1,0,0.294,86,75,7
Pitching Role,as Reliever,61,243.0,198,23.0,36,8,0,9,5,1,38,97,2.55,0.182,0.32,0.359,0.678,71.0,0.0,3.0,2,2,2,1,0.287,100,91,19
Batting Order Positions,Batting 1st,24,24.0,20,1.0,5,1,0,0,1,0,3,9,3.0,0.25,0.333,0.3,0.633,6.0,0.0,0.0,0,1,0,0,0.417,88,70,4
Batting Order Positions,Batting 2nd,23,23.0,18,5.0,4,0,0,2,1,0,5,10,2.0,0.222,0.391,0.556,0.947,10.0,0.0,0.0,0,0,1,0,0.333,177,143,2
Batting Order Positions,Batting 3rd,24,24.0,21,6.0,6,0,0,2,1,0,3,8,2.67,0.286,0.375,0.571,0.946,12.0,0.0,0.0,0,0,1,1,0.364,176,132,4
Batting Order Positions,Batting 4th,21,21.0,18,6.0,8,2,0,3,0,0,3,6,2.0,0.444,0.524,1.056,1.579,19.0,0.0,0.0,0,0,0,0,0.556,358,294,3
Batting Order Positions,Batting 5th,26,26.0,19,0.0,3,1,0,0,0,0,6,6,1.0,0.158,0.385,0.211,0.595,4.0,0.0,1.0,0,0,0,0,0.231,79,71,2
Batting Order Positions,Batting 6th,33,33.0,26,2.0,2,1,0,1,0,0,5,16,3.2,0.077,0.219,0.231,0.45,6.0,0.0,0.0,1,1,0,0,0.1,33,26,0
Batting Order Positions,Batting 7th,33,33.0,30,1.0,2,0,0,1,1,1,3,18,6.0,0.067,0.152,0.167,0.318,5.0,0.0,0.0,0,0,0,0,0.091,-6,-7,1
Batting Order Positions,Batting 8th,31,31.0,23,0.0,4,2,0,0,0,0,7,8,1.14,0.174,0.387,0.261,0.648,6.0,0.0,1.0,0,0,0,0,0.267,94,101,2
Batting Order Positions,Batting 9th,28,28.0,23,0.0,2,1,0,0,1,0,3,16,5.33,0.087,0.222,0.13,0.353,3.0,0.0,1.0,1,0,0,0,0.286,6,27,1
Batting Order Positions,"Bat1-2,non-P",27,47.0,38,6.0,9,1,0,2,2,0,8,19,2.38,0.237,0.362,0.421,0.783,16.0,0.0,0.0,0,1,1,0,0.389,130,105,6
Batting Order Positions,"Bat3-6,non-P",50,104.0,84,14.0,19,4,0,6,1,0,17,36,2.12,0.226,0.359,0.488,0.847,41.0,0.0,1.0,1,1,1,1,0.302,148,122,9
Batting Order Positions,"Bat7-9,non-P",45,92.0,76,1.0,8,3,0,1,2,1,13,42,3.23,0.105,0.253,0.184,0.437,14.0,0.0,2.0,1,0,0,0,0.212,30,33,4
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,79.0,68,6.0,17,1,0,3,,,8,33,4.13,0.25,0.338,0.397,0.735,27.0,0.0,1.0,2,0,0,0,0.438,116,108,13
Swung or Took First Pitch of PA,Took 1st Pitch,61,164.0,130,15.0,19,7,0,6,,,30,64,2.13,0.146,0.311,0.339,0.65,44.0,0.0,2.0,0,2,2,1,0.21,91,79,6
Count/Balls-Strikes,First Pitch,16,19.0,16,4.0,11,1,0,1,,,0,0,,0.688,0.722,0.938,1.66,15.0,0.0,2.0,1,0,0,0,0.667,387,265,9
