Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,60,249,213,21.0,46,9,2,4,4,0,28,58,2.07,0.216,0.317,0.333,0.65,71.0,5.0,4.0,2,1,3,3,0.276,100,75,31
Platoon Splits,vs RHB,59,173,152,13.0,32,7,1,2,3,0,17,38,2.24,0.211,0.292,0.309,0.602,47.0,4.0,1.0,1,1,2,3,0.266,85,64,22
Platoon Splits,vs LHB,50,76,61,8.0,14,2,1,2,1,0,11,20,1.82,0.23,0.373,0.393,0.767,24.0,1.0,3.0,1,0,1,0,0.308,136,103,9
Platoon Splits,vs RHB as LHP,59,173,152,13.0,32,7,1,2,3,0,17,38,2.24,0.211,0.292,0.309,0.602,47.0,4.0,1.0,1,1,2,3,0.266,85,56,22
Platoon Splits,vs LHB as LHP,50,76,61,8.0,14,2,1,2,1,0,11,20,1.82,0.23,0.373,0.393,0.767,24.0,1.0,3.0,1,0,1,0,0.308,136,120,9
Home or Away,Home,32,127,108,7.0,18,2,0,2,4,0,15,32,2.13,0.167,0.28,0.241,0.521,26.0,3.0,2.0,1,0,1,2,0.216,61,46,14
Home or Away,Away,28,122,105,14.0,28,7,2,2,0,0,13,26,2.0,0.267,0.355,0.429,0.784,45.0,2.0,2.0,1,1,2,1,0.333,141,104,17
First or Second Half,1st Half,33,133,114,10.0,24,3,1,3,2,0,16,33,2.06,0.211,0.313,0.333,0.646,38.0,3.0,1.0,2,0,2,0,0.269,99,76,17
First or Second Half,2nd Half,27,116,99,11.0,22,6,1,1,2,0,12,25,2.08,0.222,0.322,0.333,0.655,33.0,2.0,3.0,0,1,1,3,0.284,102,74,14
Months,April/March,5,21,19,0.0,4,0,1,0,0,0,2,6,3.0,0.211,0.286,0.316,0.602,6.0,0.0,0.0,0,0,0,0,0.308,85,65,3
Months,May,12,48,41,1.0,7,2,0,1,0,0,6,14,2.33,0.171,0.277,0.293,0.569,12.0,1.0,0.0,1,0,0,0,0.231,75,56,4
Months,June,12,49,41,6.0,9,0,0,1,2,0,6,11,1.83,0.22,0.333,0.293,0.626,12.0,0.0,1.0,1,0,2,0,0.276,93,71,8
Months,July,9,36,32,4.0,8,2,0,1,0,0,4,4,1.0,0.25,0.333,0.406,0.74,13.0,2.0,0.0,0,0,0,0,0.259,127,95,5
Months,August,12,48,42,4.0,11,3,0,0,0,0,5,10,2.0,0.262,0.354,0.333,0.688,14.0,2.0,1.0,0,0,1,0,0.344,112,84,8
Months,Sept/Oct,10,47,38,6.0,7,2,1,1,2,0,5,13,2.6,0.184,0.304,0.368,0.673,14.0,0.0,2.0,0,1,0,3,0.24,106,78,3
Game Outcome for Pitcher,in Wins,2,6,6,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,4,23,17,9.0,10,1,0,1,2,0,5,2,0.4,0.588,0.696,0.824,1.519,14.0,0.0,1.0,0,0,2,0,0.643,367,217,8
Game Outcome for Pitcher,in No Dec.,22,91,79,8.0,16,4,1,1,1,0,9,19,2.11,0.203,0.289,0.317,0.605,25.0,1.0,1.0,1,1,1,1,0.25,86,64,10
Game Outcome for Pitcher,in Saves,32,129,111,4.0,20,4,1,2,1,0,14,36,2.57,0.18,0.284,0.288,0.572,32.0,4.0,2.0,1,0,0,2,0.247,76,150,13
Game Outcome for Pitcher,in Sv Situ,37,156,132,15.0,30,5,1,4,2,0,18,40,2.22,0.227,0.338,0.371,0.709,49.0,4.0,4.0,1,0,2,3,0.296,118,104,20
Game Outcome for Pitcher,in non-Sv,23,93,81,6.0,16,4,1,0,2,0,10,18,1.8,0.198,0.283,0.272,0.554,22.0,1.0,0.0,1,1,1,0,0.25,71,51,11
Pitching Role,as Reliever,60,249,213,21.0,46,9,2,4,4,0,28,58,2.07,0.216,0.317,0.333,0.65,71.0,5.0,4.0,2,1,3,3,0.276,100,79,31
Batting Order Positions,Batting 1st,26,26,22,1.0,4,2,0,0,0,0,3,6,2.0,0.182,0.308,0.273,0.58,6.0,0.0,1.0,0,0,1,0,0.25,79,55,2
Batting Order Positions,Batting 2nd,26,26,24,1.0,4,0,0,1,0,0,2,5,2.5,0.167,0.231,0.292,0.523,7.0,0.0,0.0,0,0,0,1,0.167,61,41,3
Batting Order Positions,Batting 3rd,24,24,18,0.0,3,1,1,0,3,0,5,4,0.8,0.167,0.375,0.333,0.708,6.0,1.0,1.0,0,0,0,0,0.214,118,76,1
Batting Order Positions,Batting 4th,24,24,21,5.0,8,2,0,1,0,0,2,4,2.0,0.381,0.417,0.619,1.036,13.0,1.0,0.0,0,1,0,0,0.412,217,145,5
Batting Order Positions,Batting 5th,25,25,20,3.0,6,0,1,1,0,0,5,7,1.4,0.3,0.44,0.55,0.99,11.0,0.0,0.0,0,0,1,0,0.417,204,154,4
Batting Order Positions,Batting 6th,30,30,24,5.0,9,1,0,1,1,0,5,7,1.4,0.375,0.5,0.542,1.042,13.0,1.0,1.0,0,0,0,0,0.5,221,177,7
