Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,71,268.0,239,14.0,38,6,1,5,3,1,22,104,4.73,0.159,0.238,0.255,0.493,61.0,4.0,3.0,3,1,3,2,0.252,100,37,26
Platoon Splits,vs RHB,70,205.0,183,15.0,34,6,1,5,1,0,16,79,4.94,0.186,0.257,0.312,0.569,57.0,3.0,2.0,3,1,3,2,0.29,130,58,22
Platoon Splits,vs LHB,49,63.0,56,1.0,4,0,0,0,2,1,6,25,4.17,0.071,0.175,0.071,0.246,4.0,1.0,1.0,0,0,0,0,0.129,1,-30,4
Platoon Splits,vs RHB as LHP,70,205.0,183,15.0,34,6,1,5,1,0,16,79,4.94,0.186,0.257,0.312,0.569,57.0,3.0,2.0,3,1,3,2,0.29,130,53,22
Platoon Splits,vs LHB as LHP,49,63.0,56,1.0,4,0,0,0,2,1,6,25,4.17,0.071,0.175,0.071,0.246,4.0,1.0,1.0,0,0,0,0,0.129,1,-25,4
Home or Away,Home,41,150.0,135,8.0,20,3,0,4,2,1,11,62,5.64,0.148,0.218,0.259,0.477,35.0,4.0,1.0,3,0,2,2,0.232,93,35,13
Home or Away,Away,30,118.0,104,6.0,18,3,1,1,1,0,11,42,3.82,0.173,0.263,0.25,0.513,26.0,0.0,2.0,0,1,1,0,0.274,109,39,13
First or Second Half,1st Half,38,143.0,128,5.0,20,2,1,3,0,0,12,56,4.67,0.156,0.234,0.258,0.492,33.0,2.0,1.0,2,0,0,0,0.246,100,35,14
First or Second Half,2nd Half,33,125.0,111,9.0,18,4,0,2,3,1,10,48,4.8,0.162,0.242,0.252,0.494,28.0,2.0,2.0,1,1,3,2,0.258,101,38,12
Months,April/March,8,31.0,26,2.0,3,1,0,1,0,0,4,13,3.25,0.115,0.258,0.269,0.527,7.0,1.0,1.0,0,0,0,0,0.167,114,44,1
Months,May,12,48.0,43,2.0,9,1,1,1,0,0,3,19,6.33,0.209,0.261,0.349,0.61,15.0,0.0,0.0,2,0,0,0,0.348,147,66,6
Months,June,12,44.0,39,0.0,6,0,0,0,0,0,5,17,3.4,0.154,0.25,0.154,0.404,6.0,1.0,0.0,0,0,0,0,0.273,65,14,6
Months,July,13,48.0,45,5.0,8,2,0,2,0,0,2,15,7.5,0.178,0.229,0.356,0.585,16.0,0.0,1.0,0,0,1,0,0.214,136,57,4
Months,August,12,46.0,41,3.0,7,0,0,1,1,1,3,15,5.0,0.171,0.239,0.244,0.483,10.0,2.0,1.0,0,1,1,2,0.231,96,35,6
Months,Sept/Oct,14,51.0,45,2.0,5,2,0,0,2,0,5,25,5.0,0.111,0.2,0.156,0.356,7.0,0.0,0.0,1,0,1,0,0.25,45,3,3
Game Outcome for Pitcher,in Wins,7,29.0,25,3.0,8,1,0,1,1,0,1,10,10.0,0.32,0.333,0.48,0.813,12.0,1.0,0.0,2,1,0,0,0.467,228,180,6
Game Outcome for Pitcher,in Losses,2,10.0,8,3.0,3,0,0,1,0,0,2,2,1.0,0.375,0.5,0.75,1.25,6.0,0.0,0.0,0,0,1,0,0.4,404,165,2
Game Outcome for Pitcher,in No Dec.,25,100.0,85,7.0,14,3,1,3,0,0,12,37,3.08,0.165,0.283,0.329,0.612,28.0,2.0,2.0,1,0,1,2,0.244,148,71,7
Game Outcome for Pitcher,in Saves,37,129.0,121,1.0,13,2,0,0,2,1,7,55,7.86,0.107,0.163,0.124,0.287,15.0,1.0,1.0,0,0,1,0,0.197,17,23,11
Game Outcome for Pitcher,in Sv Situ,44,167.0,152,11.0,25,4,0,4,3,1,11,60,5.45,0.165,0.229,0.27,0.499,41.0,2.0,2.0,1,1,3,2,0.236,102,48,17
Game Outcome for Pitcher,in non-Sv,27,101.0,87,3.0,13,2,1,1,0,0,11,44,4.0,0.149,0.253,0.23,0.482,20.0,2.0,1.0,2,0,0,0,0.286,97,34,9
Pitching Role,as Reliever,71,268.0,239,14.0,38,6,1,5,3,1,22,104,4.73,0.159,0.238,0.255,0.493,61.0,4.0,3.0,3,1,3,2,0.252,100,39,26
Batting Order Positions,Batting 1st,30,30.0,26,0.0,5,0,0,0,0,0,4,7,1.75,0.192,0.3,0.192,0.492,5.0,0.0,0.0,0,0,0,0,0.263,101,41,5
Batting Order Positions,Batting 2nd,30,30.0,28,5.0,8,2,0,2,0,0,1,8,8.0,0.286,0.31,0.571,0.882,16.0,1.0,0.0,1,0,0,0,0.333,254,136,4
Batting Order Positions,Batting 3rd,34,34.0,29,2.0,6,0,1,0,0,1,3,11,3.67,0.207,0.303,0.276,0.579,8.0,1.0,1.0,1,0,1,0,0.333,136,44,5
Batting Order Positions,Batting 4th,33,33.0,32,2.0,5,2,0,0,0,0,0,16,,0.156,0.182,0.219,0.401,7.0,1.0,1.0,0,0,0,1,0.313,62,0,3
Batting Order Positions,Batting 5th,31,31.0,23,3.0,2,0,0,0,0,0,6,8,1.33,0.087,0.29,0.087,0.377,2.0,0.0,1.0,0,1,1,0,0.125,56,6,2
Batting Order Positions,Batting 6th,27,27.0,24,1.0,4,0,0,0,2,0,2,14,7.0,0.167,0.231,0.167,0.398,4.0,0.0,0.0,1,0,0,1,0.4,63,11,4
Batting Order Positions,Batting 7th,28,28.0,25,1.0,1,0,0,1,1,0,3,16,5.33,0.04,0.143,0.16,0.303,4.0,0.0,0.0,0,0,1,0,0.0,23,-13,0
Batting Order Positions,Batting 8th,26,26.0,26,0.0,1,0,0,0,0,0,0,13,,0.039,0.039,0.039,0.077,1.0,1.0,0.0,0,0,0,0,0.077,-69,-78,1
Batting Order Positions,Batting 9th,29,29.0,26,2.0,6,2,0,2,0,0,3,11,3.67,0.231,0.31,0.539,0.849,14.0,0.0,0.0,0,0,0,0,0.308,241,202,2
Batting Order Positions,"Bat1-2,non-P",39,60.0,54,5.0,13,2,0,2,0,0,5,15,3.0,0.241,0.305,0.389,0.694,21.0,1.0,0.0,1,0,0,0,0.297,181,92,9
Batting Order Positions,"Bat3-6,non-P",55,125.0,108,8.0,17,2,1,0,2,1,11,49,4.45,0.157,0.252,0.194,0.446,21.0,2.0,3.0,2,1,2,2,0.283,82,17,14
Batting Order Positions,"Bat7-9,non-P",46,83.0,77,3.0,8,2,0,3,1,0,6,40,6.67,0.104,0.169,0.247,0.416,19.0,1.0,0.0,0,0,1,0,0.147,68,21,3
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,69.0,64,5.0,13,5,0,2,,,3,26,8.67,0.203,0.246,0.375,0.621,24.0,1.0,1.0,0,1,0,1,0.297,150,72,6
Swung or Took First Pitch of PA,Took 1st Pitch,68,199.0,175,10.0,25,1,1,3,,,19,78,4.11,0.143,0.235,0.211,0.446,37.0,3.0,2.0,3,0,3,1,0.234,82,23,20
Count/Balls-Strikes,First Pitch,16,18.0,16,1.0,8,4,0,0,,,0,0,,0.5,0.556,0.75,1.306,12.0,1.0,2.0,0,0,0,0,0.5,428,204,4
Count/Balls-Strikes,1-0 Count,12,13.0,12,0.0,1,0,0,0,,,0,0,,0.083,0.083,0.083,0.167,1.0,0.0,0.0,1,0,0,0,0.083,-33,-61,1
Count/Balls-Strikes,2-0 Count,2,2.0,2,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,6,6.0,1,0.0,0,0,0,0,,,5,0,0.0,0.0,0.833,0.0,0.833,0.0,0.0,0.0,0,0,2,0,0.0,250,-14,0
Count/Balls-Strikes,0-1 Count,16,16.0,14,4.0,3,0,0,2,,,0,0,,0.214,0.267,0.643,0.91,9.0,1.0,1.0,1,0,0,1,0.083,264,115,1
Count/Balls-Strikes,1-1 Count,14,15.0,15,3.0,5,1,0,0,,,0,0,,0.333,0.333,0.4,0.733,6.0,0.0,0.0,0,0,0,0,0.333,197,81,4
Count/Balls-Strikes,2-1 Count,8,8.0,8,1.0,3,0,1,0,,,0,0,,0.375,0.375,0.625,1.0,5.0,0.0,0.0,0,0,0,0,0.375,303,132,2
Count/Balls-Strikes,3-1 Count,10,12.0,4,0.0,0,0,0,0,,,7,0,0.0,0.0,0.636,0.0,0.636,0.0,0.0,0.0,1,0,1,0,0.0,167,-8,0
Count/Balls-Strikes,0-2 Count,30,40.0,40,0.0,3,1,0,0,,,0,27,,0.075,0.075,0.1,0.175,4.0,1.0,0.0,0,0,0,0,0.231,-29,-9,2
Count/Balls-Strikes,1-2 Count,39,51.0,51,3.0,5,0,0,2,,,0,34,,0.098,0.098,0.216,0.314,11.0,0.0,0.0,0,0,0,1,0.2,26,48,3
Count/Balls-Strikes,2-2 Count,37,53.0,52,2.0,7,0,0,1,,,0,30,,0.135,0.132,0.192,0.324,10.0,1.0,0.0,0,1,0,0,0.273,31,38,6
