Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,67,276.0,253,24.0,63,11,1,12,4,1,19,70,3.68,0.249,0.308,0.443,0.751,112.0,4.0,3.0,0,1,1,0,0.297,100,105,39
Platoon Splits,vs RHB,63,147.0,134,19.0,31,4,1,7,2,1,9,40,4.44,0.231,0.293,0.433,0.725,58.0,1.0,3.0,0,1,1,0,0.273,93,100,19
Platoon Splits,vs LHB,64,129.0,119,9.0,32,7,0,5,2,0,10,30,3.0,0.269,0.326,0.454,0.779,54.0,3.0,0.0,0,0,0,0,0.321,108,111,20
Platoon Splits,vs RHB as RHP,63,147.0,134,19.0,31,4,1,7,2,1,9,40,4.44,0.231,0.293,0.433,0.725,58.0,1.0,3.0,0,1,1,0,0.273,93,102,19
Platoon Splits,vs LHB as RHP,64,129.0,119,9.0,32,7,0,5,2,0,10,30,3.0,0.269,0.326,0.454,0.779,54.0,3.0,0.0,0,0,0,0,0.321,108,106,20
Home or Away,Home,35,139.0,128,10.0,26,5,1,5,3,1,8,44,5.5,0.203,0.259,0.375,0.634,48.0,3.0,2.0,0,1,0,0,0.263,69,75,15
Home or Away,Away,32,137.0,125,14.0,37,6,0,7,1,0,11,26,2.36,0.296,0.358,0.512,0.87,64.0,1.0,1.0,0,0,1,0,0.326,132,135,24
First or Second Half,1st Half,43,180.0,165,15.0,39,9,1,6,1,0,14,50,3.57,0.236,0.294,0.412,0.707,68.0,2.0,0.0,0,1,1,0,0.3,89,94,23
First or Second Half,2nd Half,24,96.0,88,9.0,24,2,0,6,3,1,5,20,4.0,0.273,0.333,0.5,0.833,44.0,2.0,3.0,0,0,0,0,0.29,121,126,16
Months,April/March,14,63.0,58,7.0,17,2,1,3,1,0,5,13,2.6,0.293,0.349,0.517,0.866,30.0,1.0,0.0,0,0,0,0,0.333,130,139,11
Months,May,11,45.0,42,1.0,9,3,0,0,0,0,3,16,5.33,0.214,0.267,0.286,0.552,12.0,0.0,0.0,0,0,1,0,0.346,51,54,6
Months,June,14,54.0,48,6.0,8,2,0,3,0,0,5,18,3.6,0.167,0.241,0.396,0.637,19.0,1.0,0.0,0,1,0,0,0.179,68,74,3
Months,July,8,37.0,32,4.0,8,2,0,2,2,0,4,8,2.0,0.25,0.351,0.5,0.851,16.0,1.0,1.0,0,0,0,0,0.273,127,128,4
Months,August,13,47.0,44,4.0,10,1,0,3,0,1,2,10,5.0,0.227,0.277,0.455,0.731,20.0,1.0,1.0,0,0,0,0,0.226,93,96,6
Months,Sept/Oct,7,30.0,29,2.0,11,1,0,1,1,0,0,5,,0.379,0.4,0.517,0.917,15.0,0.0,1.0,0,0,0,0,0.435,147,155,9
Game Outcome for Pitcher,in Wins,2,4.0,4,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,1,4.0,4,1.0,1,0,0,1,0,0,0,1,,0.25,0.25,1.0,1.25,4.0,0.0,0.0,0,0,0,0,0.0,207,135,0
Game Outcome for Pitcher,in No Dec.,50,209.0,190,19.0,49,9,1,10,4,1,15,50,3.33,0.258,0.321,0.474,0.794,90.0,3.0,3.0,0,1,0,0,0.298,111,120,29
Game Outcome for Pitcher,in Saves,14,59.0,55,4.0,13,2,0,1,0,0,4,18,4.5,0.236,0.288,0.327,0.615,18.0,1.0,0.0,0,0,1,0,0.333,67,174,10
Game Outcome for Pitcher,in Sv Situ,23,102.0,90,10.0,27,6,0,4,0,0,10,27,2.7,0.3,0.373,0.5,0.873,45.0,1.0,1.0,0,1,1,0,0.383,134,162,17
Game Outcome for Pitcher,in non-Sv,44,174.0,163,14.0,36,5,1,8,4,1,9,43,4.78,0.221,0.27,0.411,0.681,67.0,3.0,2.0,0,0,0,0,0.25,80,82,22
Pitching Role,as Reliever,67,276.0,253,24.0,63,11,1,12,4,1,19,70,3.68,0.249,0.308,0.443,0.751,112.0,4.0,3.0,0,1,1,0,0.297,100,106,39
Batting Order Positions,Batting 1st,26,26.0,23,4.0,7,1,0,1,2,0,3,5,1.67,0.304,0.385,0.478,0.863,11.0,0.0,0.0,0,0,0,0,0.353,133,130,5
