Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,72,325.0,292,35.0,80,14,2,6,3,1,25,74,2.96,0.274,0.339,0.397,0.736,116.0,12.0,5.0,0,3,3,2,0.344,100,98,58
Platoon Splits,vs RHB,71,175.0,163,23.0,41,7,1,1,1,1,10,37,3.7,0.252,0.297,0.325,0.622,53.0,11.0,1.0,0,1,1,2,0.318,70,69,32
Platoon Splits,vs LHB,68,150.0,129,26.0,39,7,1,5,2,0,15,37,2.47,0.302,0.387,0.488,0.875,63.0,1.0,4.0,0,2,2,0,0.382,137,131,26
Platoon Splits,vs RHB as RHP,71,175.0,163,23.0,41,7,1,1,1,1,10,37,3.7,0.252,0.297,0.325,0.622,53.0,11.0,1.0,0,1,1,2,0.318,70,72,32
Platoon Splits,vs LHB as RHP,68,150.0,129,26.0,39,7,1,5,2,0,15,37,2.47,0.302,0.387,0.488,0.875,63.0,1.0,4.0,0,2,2,0,0.382,137,126,26
Home or Away,Home,39,178.0,159,17.0,39,7,2,3,2,1,13,42,3.23,0.245,0.32,0.371,0.691,59.0,6.0,5.0,0,1,1,0,0.313,88,90,27
Home or Away,Away,33,147.0,133,18.0,41,7,0,3,1,0,12,32,2.67,0.308,0.361,0.429,0.789,57.0,6.0,0.0,0,2,2,2,0.38,115,107,31
First or Second Half,1st Half,37,169.0,150,24.0,48,9,1,3,2,0,13,32,2.46,0.32,0.379,0.453,0.832,68.0,10.0,3.0,0,3,1,0,0.381,126,124,35
First or Second Half,2nd Half,35,156.0,142,11.0,32,5,1,3,1,1,12,42,3.5,0.225,0.295,0.338,0.633,48.0,2.0,2.0,0,0,2,2,0.299,72,70,23
Months,April/March,12,54.0,46,10.0,17,2,0,1,1,0,8,9,1.13,0.37,0.463,0.478,0.941,22.0,2.0,0.0,0,0,0,0,0.444,157,164,14
Months,May,11,54.0,48,7.0,16,5,0,1,0,0,3,11,3.67,0.333,0.37,0.5,0.87,24.0,3.0,1.0,0,2,1,0,0.395,135,132,10
Months,June,11,54.0,49,7.0,14,2,1,1,1,0,2,10,5.0,0.286,0.333,0.429,0.762,21.0,4.0,2.0,0,1,0,0,0.333,107,98,10
Months,July,12,41.0,38,2.0,5,0,0,1,0,0,3,12,4.0,0.132,0.195,0.211,0.406,8.0,1.0,0.0,0,0,0,0,0.16,11,9,4
Months,August,12,58.0,55,4.0,14,1,0,2,1,1,3,15,5.0,0.255,0.293,0.382,0.675,21.0,2.0,0.0,0,0,1,1,0.316,83,78,11
Months,Sept/Oct,14,64.0,56,5.0,14,4,1,0,0,0,6,17,2.83,0.25,0.344,0.357,0.701,20.0,0.0,2.0,0,0,1,1,0.359,92,92,9
Game Outcome for Pitcher,in Wins,3,17.0,17,3.0,6,2,0,2,0,0,0,4,,0.353,0.353,0.824,1.176,14.0,0.0,0.0,0,0,0,0,0.364,212,295,2
Game Outcome for Pitcher,in Losses,6,36.0,29,9.0,11,3,1,0,0,1,3,8,2.67,0.379,0.472,0.552,1.024,16.0,0.0,3.0,0,1,2,1,0.5,179,110,7
Game Outcome for Pitcher,in No Dec.,47,202.0,179,20.0,49,7,1,3,2,0,19,39,2.05,0.274,0.347,0.374,0.721,67.0,11.0,2.0,0,2,1,0,0.331,97,98,38
