Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,57,243.0,222,18.0,51,12,1,3,5,0,17,38,2.24,0.23,0.286,0.333,0.62,74.0,9.0,1.0,2,1,4,1,0.264,100,66,35
Platoon Splits,vs RHB,53,116.0,108,12.0,26,7,0,3,5,0,5,15,3.0,0.241,0.272,0.389,0.661,42.0,7.0,0.0,2,1,0,1,0.253,112,77,16
Platoon Splits,vs LHB,56,127.0,114,8.0,25,5,1,0,0,0,12,23,1.92,0.219,0.299,0.281,0.58,32.0,2.0,1.0,0,0,4,0,0.275,89,54,19
Platoon Splits,vs RHB as RHP,53,116.0,108,12.0,26,7,0,3,5,0,5,15,3.0,0.241,0.272,0.389,0.661,42.0,7.0,0.0,2,1,0,1,0.253,112,82,16
Platoon Splits,vs LHB as RHP,56,127.0,114,8.0,25,5,1,0,0,0,12,23,1.92,0.219,0.299,0.281,0.58,32.0,2.0,1.0,0,0,4,0,0.275,89,52,19
Home or Away,Home,32,134.0,123,9.0,31,7,0,2,4,0,8,18,2.25,0.252,0.301,0.358,0.659,44.0,6.0,1.0,1,1,3,0,0.279,113,81,22
Home or Away,Away,25,109.0,99,9.0,20,5,1,1,1,0,9,20,2.22,0.202,0.269,0.303,0.572,30.0,3.0,0.0,1,0,1,1,0.244,85,50,13
First or Second Half,1st Half,32,125.0,114,7.0,28,8,0,1,4,0,8,19,2.38,0.246,0.293,0.342,0.635,39.0,6.0,0.0,2,1,2,1,0.284,105,72,19
First or Second Half,2nd Half,25,118.0,108,11.0,23,4,1,2,1,0,9,19,2.11,0.213,0.28,0.324,0.604,35.0,3.0,1.0,0,0,2,0,0.241,95,59,16
Months,April/March,12,47.0,41,3.0,11,3,0,0,3,0,5,6,1.2,0.268,0.34,0.342,0.682,14.0,3.0,0.0,0,1,2,0,0.306,121,87,8
Months,May,11,39.0,37,1.0,6,1,0,1,0,0,1,8,8.0,0.162,0.184,0.27,0.455,10.0,1.0,0.0,1,0,0,1,0.179,45,22,4
Months,June,9,39.0,36,3.0,11,4,0,0,1,0,2,5,2.5,0.306,0.342,0.417,0.759,15.0,2.0,0.0,1,0,0,0,0.355,145,103,7
Months,July,5,20.0,18,2.0,3,2,0,0,0,0,2,2,1.0,0.167,0.25,0.278,0.528,5.0,0.0,0.0,0,0,0,0,0.188,71,40,1
Months,August,11,48.0,43,1.0,7,1,0,0,1,0,4,7,1.75,0.163,0.25,0.186,0.436,8.0,0.0,1.0,0,0,1,0,0.194,43,18,6
Months,Sept/Oct,9,50.0,47,8.0,13,1,1,2,0,0,3,10,3.33,0.277,0.32,0.468,0.788,22.0,3.0,0.0,0,0,1,0,0.314,152,107,9
Game Outcome for Pitcher,in Wins,3,16.0,14,0.0,4,1,0,0,1,0,2,2,1.0,0.286,0.375,0.357,0.732,5.0,1.0,0.0,0,0,2,0,0.333,138,150,3
Game Outcome for Pitcher,in Losses,1,12.0,10,2.0,3,0,1,0,0,0,2,2,1.0,0.3,0.417,0.5,0.917,5.0,0.0,0.0,0,0,1,0,0.375,196,91,2
Game Outcome for Pitcher,in No Dec.,23,105.0,98,14.0,30,7,0,2,2,0,6,18,3.0,0.306,0.346,0.439,0.785,43.0,2.0,0.0,1,0,1,0,0.359,153,112,21
Game Outcome for Pitcher,in Saves,30,110.0,100,2.0,14,4,0,1,2,0,7,16,2.29,0.14,0.202,0.21,0.412,21.0,6.0,1.0,1,1,0,1,0.155,34,80,9
Game Outcome for Pitcher,in Sv Situ,34,140.0,127,9.0,25,6,1,1,3,0,9,23,2.56,0.197,0.254,0.284,0.537,36.0,6.0,1.0,2,1,1,1,0.231,74,54,17
Game Outcome for Pitcher,in non-Sv,23,103.0,95,9.0,26,6,0,2,2,0,8,15,1.88,0.274,0.33,0.4,0.73,38.0,3.0,0.0,0,0,3,0,0.308,136,97,18
Pitching Role,as Reliever,57,243.0,222,18.0,51,12,1,3,5,0,17,38,2.24,0.23,0.286,0.333,0.62,74.0,9.0,1.0,2,1,4,1,0.264,100,70,35
Batting Order Positions,Batting 1st,26,27.0,25,5.0,10,5,1,0,0,0,2,2,1.0,0.4,0.444,0.68,1.124,17.0,1.0,0.0,0,0,1,0,0.435,259,193,4
