Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,69,271.0,234,29.0,54,7,0,9,6,3,32,74,2.31,0.231,0.327,0.376,0.703,88.0,4.0,2.0,2,1,5,2,0.296,100,96,38
Platoon Splits,vs RHB,63,124.0,105,17.0,25,3,0,5,5,1,16,42,2.63,0.238,0.35,0.41,0.759,43.0,1.0,2.0,1,0,3,0,0.345,116,115,17
Platoon Splits,vs LHB,66,147.0,129,15.0,29,4,0,4,1,2,16,32,2.0,0.225,0.308,0.349,0.657,45.0,3.0,0.0,1,1,2,2,0.266,87,81,21
Platoon Splits,vs RHB as RHP,63,124.0,105,17.0,25,3,0,5,5,1,16,42,2.63,0.238,0.35,0.41,0.759,43.0,1.0,2.0,1,0,3,0,0.345,116,118,17
Platoon Splits,vs LHB as RHP,66,147.0,129,15.0,29,4,0,4,1,2,16,32,2.0,0.225,0.308,0.349,0.657,45.0,3.0,0.0,1,1,2,2,0.266,87,77,21
Home or Away,Home,38,144.0,133,14.0,27,3,0,6,3,1,10,50,5.0,0.203,0.264,0.361,0.625,48.0,1.0,1.0,0,0,2,1,0.273,77,77,18
Home or Away,Away,31,127.0,101,15.0,27,4,0,3,3,2,22,24,1.09,0.267,0.4,0.396,0.796,40.0,3.0,1.0,2,1,3,1,0.32,128,119,20
First or Second Half,1st Half,40,154.0,133,14.0,29,4,0,5,2,3,18,48,2.67,0.218,0.314,0.361,0.675,48.0,0.0,1.0,1,1,1,1,0.296,92,91,20
First or Second Half,2nd Half,29,117.0,101,15.0,25,3,0,4,4,0,14,26,1.86,0.248,0.345,0.396,0.741,40.0,4.0,1.0,1,0,4,1,0.296,111,103,18
Months,April/March,10,37.0,32,2.0,5,2,0,0,0,1,5,13,2.6,0.156,0.27,0.219,0.489,7.0,0.0,0.0,0,0,0,0,0.263,41,42,3
Months,May,12,42.0,39,4.0,8,0,0,2,0,1,3,15,5.0,0.205,0.262,0.359,0.621,14.0,0.0,0.0,0,0,0,0,0.273,76,73,6
Months,June,11,50.0,42,3.0,12,1,0,2,2,1,6,14,2.33,0.286,0.38,0.452,0.832,19.0,0.0,1.0,0,1,1,0,0.37,136,134,9
Months,July,12,49.0,39,6.0,8,1,0,1,0,0,7,10,1.43,0.205,0.34,0.308,0.648,12.0,1.0,1.0,2,0,1,1,0.25,86,84,6
Months,August,12,48.0,42,6.0,12,2,0,1,3,0,6,12,2.0,0.286,0.375,0.405,0.78,17.0,1.0,0.0,0,0,2,1,0.379,122,115,9
Months,Sept/Oct,12,45.0,40,8.0,9,1,0,3,1,0,5,10,2.0,0.225,0.311,0.475,0.786,19.0,2.0,0.0,0,0,1,0,0.222,121,111,5
Game Outcome for Pitcher,in Wins,4,19.0,16,2.0,5,0,0,1,0,1,2,7,3.5,0.313,0.368,0.5,0.868,8.0,0.0,0.0,0,1,1,0,0.444,146,210,4
Game Outcome for Pitcher,in Losses,10,48.0,37,19.0,20,4,0,5,2,1,9,4,0.44,0.541,0.63,1.054,1.685,39.0,1.0,0.0,2,0,3,2,0.536,373,248,11
Game Outcome for Pitcher,in No Dec.,14,57.0,48,3.0,10,2,0,1,2,0,7,15,2.14,0.208,0.333,0.313,0.646,15.0,2.0,2.0,0,0,1,0,0.281,85,85,7
Game Outcome for Pitcher,in Saves,41,147.0,133,5.0,19,1,0,2,2,1,14,48,3.43,0.143,0.225,0.196,0.42,26.0,1.0,0.0,0,0,0,0,0.205,20,87,16
Game Outcome for Pitcher,in Sv Situ,49,189.0,167,16.0,34,4,0,5,3,2,20,54,2.7,0.204,0.291,0.317,0.608,53.0,4.0,1.0,0,1,2,1,0.266,73,88,25
Game Outcome for Pitcher,in non-Sv,20,82.0,67,13.0,20,3,0,4,3,1,12,20,1.67,0.299,0.413,0.522,0.935,35.0,0.0,1.0,2,0,3,1,0.372,165,160,13
Pitching Role,as Reliever,69,271.0,234,29.0,54,7,0,9,6,3,32,74,2.31,0.231,0.327,0.376,0.703,88.0,4.0,2.0,2,1,5,2,0.296,100,101,38
Batting Order Positions,Batting 1st,26,26.0,24,3.0,7,1,0,0,0,0,1,5,5.0,0.292,0.308,0.333,0.641,8.0,1.0,0.0,0,1,0,0,0.35,83,76,6
Batting Order Positions,Batting 2nd,27,27.0,23,3.0,5,1,0,1,2,0,4,8,2.0,0.217,0.333,0.391,0.725,9.0,1.0,0.0,0,0,1,0,0.286,106,93,3
Batting Order Positions,Batting 3rd,29,29.0,23,1.0,5,1,0,0,1,0,5,9,1.8,0.217,0.379,0.261,0.64,6.0,0.0,1.0,0,0,1,0,0.357,85,64,4
Batting Order Positions,Batting 4th,35,35.0,30,4.0,7,2,0,2,0,1,4,12,3.0,0.233,0.343,0.5,0.843,15.0,1.0,1.0,0,0,2,1,0.313,138,111,3
Batting Order Positions,Batting 5th,39,39.0,33,5.0,5,0,0,2,0,1,6,8,1.33,0.152,0.282,0.333,0.615,11.0,0.0,0.0,0,0,1,0,0.13,75,68,3
Batting Order Positions,Batting 6th,35,35.0,29,6.0,11,1,0,2,1,0,5,6,1.2,0.379,0.471,0.621,1.091,18.0,0.0,0.0,1,0,0,1,0.429,209,207,8
Batting Order Positions,Batting 7th,29,29.0,25,4.0,5,0,0,1,0,0,3,10,3.33,0.2,0.286,0.32,0.606,8.0,1.0,0.0,1,0,0,0,0.286,73,76,4
Batting Order Positions,Batting 8th,26,26.0,22,1.0,2,0,0,0,1,1,4,5,1.25,0.091,0.231,0.091,0.322,2.0,0.0,0.0,0,0,0,0,0.118,-5,2,2
Batting Order Positions,Batting 9th,25,25.0,25,5.0,7,1,0,1,1,0,0,11,,0.28,0.28,0.44,0.72,11.0,0.0,0.0,0,0,0,0,0.462,103,157,5
Batting Order Positions,"Bat1-2,non-P",33,53.0,47,6.0,12,2,0,1,2,0,5,13,2.6,0.255,0.321,0.362,0.683,17.0,2.0,0.0,0,1,1,0,0.324,94,85,9
Batting Order Positions,"Bat3-6,non-P",58,138.0,115,16.0,28,4,0,6,2,2,20,35,1.75,0.244,0.365,0.435,0.8,50.0,1.0,2.0,1,0,4,2,0.297,127,111,18
Batting Order Positions,"Bat7-9,non-P",41,80.0,72,10.0,14,1,0,2,2,1,7,26,3.71,0.194,0.266,0.292,0.558,21.0,1.0,0.0,1,0,0,0,0.273,59,67,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,43,67.0,62,8.0,15,3,0,3,,,3,12,4.0,0.242,0.284,0.436,0.719,27.0,2.0,1.0,0,1,0,1,0.25,103,98,9
Swung or Took First Pitch of PA,Took 1st Pitch,68,204.0,172,24.0,39,4,0,6,,,29,62,2.14,0.227,0.342,0.355,0.696,61.0,2.0,1.0,2,0,5,1,0.317,99,95,29
Count/Balls-Strikes,First Pitch,16,18.0,18,3.0,3,0,0,1,,,0,0,,0.167,0.167,0.333,0.5,6.0,2.0,0.0,0,0,0,1,0.118,40,8,2
Count/Balls-Strikes,1-0 Count,8,10.0,9,7.0,3,0,0,2,,,0,0,,0.333,0.333,1.0,1.333,9.0,1.0,0.0,1,0,0,0,0.143,268,176,1
Count/Balls-Strikes,2-0 Count,3,3.0,2,1.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,8,10.0,1,0.0,0,0,0,0,,,9,0,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0,0,5,0,0.0,175,-5,0
Count/Balls-Strikes,0-1 Count,24,25.0,24,2.0,5,2,0,0,,,0,0,,0.208,0.24,0.292,0.532,7.0,0.0,1.0,0,0,0,0,0.208,51,34,3
Count/Balls-Strikes,1-1 Count,18,20.0,19,5.0,8,1,0,2,,,0,0,,0.421,0.45,0.79,1.24,15.0,0.0,1.0,0,0,0,0,0.353,248,186,5
Count/Balls-Strikes,2-1 Count,13,14.0,14,4.0,4,2,0,1,,,0,0,,0.286,0.286,0.643,0.929,9.0,0.0,0.0,0,0,0,0,0.231,159,105,1
Count/Balls-Strikes,3-1 Count,10,12.0,3,2.0,1,0,0,0,,,9,0,0.0,0.333,0.833,0.333,1.167,1.0,1.0,0.0,0,0,0,0,0.333,243,73,1
Count/Balls-Strikes,0-2 Count,31,35.0,35,3.0,3,0,0,2,,,0,16,,0.086,0.086,0.257,0.343,9.0,0.0,0.0,0,0,0,0,0.059,-5,62,1
Count/Balls-Strikes,1-2 Count,33,45.0,44,2.0,11,1,0,0,,,0,28,,0.25,0.244,0.273,0.517,12.0,0.0,0.0,0,1,0,0,0.647,47,150,10
Count/Balls-Strikes,2-2 Count,34,46.0,46,2.0,10,1,0,0,,,0,22,,0.217,0.217,0.239,0.457,11.0,0.0,0.0,0,0,0,0,0.417,30,103,9
Count/Balls-Strikes,Full Count,27,33.0,19,1.0,6,0,0,1,,,14,8,0.57,0.316,0.606,0.474,1.08,9.0,0.0,0.0,0,0,0,0,0.5,211,173,5
Count/Balls-Strikes,After 1-0,52,120.0,93,19.0,24,3,0,4,,,24,27,1.13,0.258,0.415,0.419,0.835,39.0,2.0,1.0,2,0,5,1,0.323,138,106,17
Count/Balls-Strikes,After 2-0,34,46.0,29,3.0,5,0,0,1,,,16,9,0.56,0.172,0.467,0.276,0.743,8.0,1.0,0.0,1,0,5,1,0.211,116,51,4
Count/Balls-Strikes,After 3-0,13,17.0,6,0.0,1,0,0,0,,,11,0,0.0,0.167,0.706,0.167,0.873,1.0,1.0,0.0,0,0,5,0,0.167,160,30,1
Count/Balls-Strikes,After 0-1,64,133.0,123,10.0,27,4,0,4,,,8,47,5.88,0.22,0.271,0.35,0.62,43.0,0.0,1.0,0,1,0,0,0.315,76,104,19
Count/Balls-Strikes,After 1-1,60,112.0,96,13.0,28,4,0,3,,,15,37,2.47,0.292,0.393,0.427,0.82,41.0,0.0,1.0,0,0,0,0,0.446,134,147,21
Count/Balls-Strikes,After 2-1,43,69.0,50,8.0,12,3,0,2,,,19,19,1.0,0.24,0.449,0.42,0.869,21.0,0.0,0.0,0,0,0,0,0.345,149,121,7
