Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,69,289.0,258,32.0,72,15,1,5,8,1,28,60,2.14,0.279,0.351,0.403,0.754,104.0,4.0,1.0,1,1,2,6,0.345,100,109,51
Platoon Splits,vs RHB,68,165.0,152,20.0,37,9,1,4,6,0,12,40,3.33,0.243,0.297,0.395,0.692,60.0,3.0,0.0,0,1,1,5,0.303,83,92,23
Platoon Splits,vs LHB,58,124.0,106,17.0,35,6,0,1,2,1,16,20,1.25,0.33,0.423,0.415,0.838,44.0,1.0,1.0,1,0,1,1,0.4,124,131,28
Platoon Splits,vs RHB as RHP,68,165.0,152,20.0,37,9,1,4,6,0,12,40,3.33,0.243,0.297,0.395,0.692,60.0,3.0,0.0,0,1,1,5,0.303,83,94,23
Platoon Splits,vs LHB as RHP,58,124.0,106,17.0,35,6,0,1,2,1,16,20,1.25,0.33,0.423,0.415,0.838,44.0,1.0,1.0,1,0,1,1,0.4,124,126,28
Home or Away,Home,36,146.0,136,18.0,39,9,0,2,6,1,9,29,3.22,0.287,0.336,0.397,0.733,54.0,3.0,1.0,0,0,0,4,0.352,94,105,28
Home or Away,Away,33,143.0,122,14.0,33,6,1,3,2,0,19,31,1.63,0.271,0.366,0.41,0.776,50.0,1.0,0.0,1,1,2,2,0.337,106,112,23
First or Second Half,1st Half,39,172.0,153,20.0,45,13,0,3,3,0,18,38,2.11,0.294,0.368,0.438,0.806,67.0,3.0,0.0,1,0,1,2,0.375,114,123,29
First or Second Half,2nd Half,30,117.0,105,12.0,27,2,1,2,5,1,10,22,2.2,0.257,0.325,0.352,0.677,37.0,1.0,1.0,0,1,1,4,0.305,80,88,22
Months,April/March,11,51.0,44,7.0,12,3,0,1,0,0,6,13,2.17,0.273,0.36,0.409,0.769,18.0,1.0,0.0,1,0,0,1,0.367,104,115,8
Months,May,10,47.0,42,2.0,11,2,0,0,2,0,5,12,2.4,0.262,0.34,0.31,0.65,13.0,1.0,0.0,0,0,1,1,0.367,74,82,9
Months,June,13,53.0,47,5.0,14,4,0,1,1,0,6,8,1.33,0.298,0.377,0.447,0.824,21.0,1.0,0.0,0,0,0,0,0.342,118,130,9
Months,July,9,39.0,37,10.0,14,4,0,2,0,0,2,5,2.5,0.378,0.41,0.649,1.059,24.0,1.0,0.0,0,0,0,1,0.4,178,181,8
Months,August,14,54.0,47,5.0,10,0,0,0,5,1,7,14,2.0,0.213,0.315,0.213,0.528,10.0,0.0,0.0,0,0,1,3,0.303,43,50,10
Months,Sept/Oct,12,45.0,41,3.0,11,2,1,1,0,0,2,8,4.0,0.268,0.311,0.439,0.75,18.0,0.0,1.0,0,1,0,0,0.303,98,107,7
Game Outcome for Pitcher,in Wins,2,5.0,5,0.0,1,0,0,0,0,0,0,2,,0.2,0.2,0.2,0.4,1.0,0.0,0.0,0,0,0,0,0.333,7,46,1
Game Outcome for Pitcher,in Losses,4,22.0,19,6.0,8,1,0,0,3,0,3,4,1.33,0.421,0.5,0.474,0.974,9.0,0.0,0.0,0,0,0,3,0.533,160,108,7
Game Outcome for Pitcher,in No Dec.,51,206.0,189,25.0,54,13,1,5,3,1,15,44,2.93,0.286,0.34,0.444,0.784,84.0,1.0,1.0,0,1,1,2,0.348,107,118,35
Game Outcome for Pitcher,in Saves,12,56.0,45,1.0,9,1,0,0,2,0,10,10,1.0,0.2,0.346,0.222,0.568,10.0,3.0,0.0,1,0,1,1,0.257,53,153,8
Game Outcome for Pitcher,in Sv Situ,28,124.0,105,14.0,29,6,0,1,4,1,17,24,1.41,0.276,0.382,0.362,0.744,38.0,3.0,1.0,1,0,1,4,0.35,99,126,22
Game Outcome for Pitcher,in non-Sv,41,165.0,153,18.0,43,9,1,4,4,0,11,36,3.27,0.281,0.327,0.431,0.759,66.0,1.0,0.0,0,1,1,2,0.342,100,104,29
Pitching Role,as Reliever,69,289.0,258,32.0,72,15,1,5,8,1,28,60,2.14,0.279,0.351,0.403,0.754,104.0,4.0,1.0,1,1,2,6,0.345,100,110,51
Batting Order Positions,Batting 1st,32,32.0,30,4.0,7,1,0,0,2,0,1,5,5.0,0.233,0.258,0.267,0.525,8.0,1.0,0.0,1,0,0,2,0.28,40,41,6
Batting Order Positions,Batting 2nd,28,28.0,25,4.0,7,1,0,1,2,0,3,5,1.67,0.28,0.357,0.44,0.797,11.0,1.0,0.0,0,0,0,0,0.316,111,108,5
Batting Order Positions,Batting 3rd,21,21.0,18,6.0,10,1,1,1,1,0,3,5,1.67,0.556,0.619,0.889,1.508,16.0,0.0,0.0,0,0,1,0,0.75,297,275,7
Batting Order Positions,Batting 4th,24,24.0,22,1.0,5,1,0,0,2,0,1,6,6.0,0.227,0.25,0.273,0.523,6.0,0.0,0.0,0,1,1,0,0.294,39,35,4
Batting Order Positions,Batting 5th,30,30.0,28,1.0,6,1,0,0,0,0,2,10,5.0,0.214,0.267,0.25,0.517,7.0,1.0,0.0,0,0,0,2,0.333,38,41,5
Batting Order Positions,Batting 6th,34,34.0,30,4.0,9,1,0,0,0,1,4,4,1.0,0.3,0.382,0.333,0.716,10.0,0.0,0.0,0,0,0,1,0.346,92,103,8
Batting Order Positions,Batting 7th,37,37.0,33,2.0,8,4,0,0,0,0,3,8,2.67,0.242,0.324,0.364,0.688,12.0,0.0,1.0,0,0,0,0,0.32,83,99,4
Batting Order Positions,Batting 8th,41,41.0,37,10.0,11,2,0,1,0,0,4,6,1.5,0.297,0.366,0.432,0.798,16.0,1.0,0.0,0,0,0,1,0.333,112,138,8
Batting Order Positions,Batting 9th,42,42.0,35,5.0,9,3,0,2,1,0,7,11,1.57,0.257,0.381,0.514,0.895,18.0,0.0,0.0,0,0,0,0,0.318,136,215,4
Batting Order Positions,"Bat1-2,non-P",40,60.0,55,8.0,14,2,0,1,4,0,4,10,2.5,0.255,0.305,0.346,0.651,19.0,2.0,0.0,1,0,0,2,0.296,73,72,11
Batting Order Positions,"Bat3-6,non-P",50,109.0,98,12.0,30,4,1,1,3,1,10,25,2.5,0.306,0.367,0.398,0.765,39.0,1.0,0.0,0,1,2,3,0.397,103,103,24
Batting Order Positions,"Bat7-9,non-P",55,120.0,105,17.0,28,9,0,3,1,0,14,25,1.79,0.267,0.358,0.438,0.796,46.0,1.0,1.0,0,0,0,1,0.325,111,135,16
Swung or Took First Pitch of PA,Swung at 1st Pitch,54,83.0,81,9.0,24,7,0,1,,,2,16,8.0,0.296,0.313,0.42,0.733,34.0,2.0,0.0,0,0,0,1,0.359,93,103,16
Swung or Took First Pitch of PA,Took 1st Pitch,67,206.0,177,28.0,48,8,1,4,,,26,44,1.69,0.271,0.366,0.396,0.761,70.0,2.0,1.0,1,1,2,5,0.339,102,111,35
Count/Balls-Strikes,First Pitch,23,24.0,24,2.0,8,3,0,0,,,0,0,,0.333,0.333,0.458,0.792,11.0,0.0,0.0,0,0,0,1,0.333,109,75,5
Count/Balls-Strikes,1-0 Count,17,18.0,17,3.0,5,0,0,0,,,0,0,,0.294,0.278,0.294,0.572,5.0,1.0,0.0,0,1,0,0,0.278,52,33,5
Count/Balls-Strikes,2-0 Count,5,6.0,6,2.0,2,0,0,1,,,0,0,,0.333,0.333,0.833,1.167,5.0,0.0,0.0,0,0,0,0,0.2,202,124,1
Count/Balls-Strikes,3-0 Count,7,7.0,1,0.0,0,0,0,0,,,6,0,0.0,0.0,0.857,0.0,0.857,0.0,0.0,0.0,0,0,1,0,0.0,144,-9,0
Count/Balls-Strikes,0-1 Count,22,25.0,25,3.0,5,1,0,0,,,0,0,,0.2,0.2,0.24,0.44,6.0,1.0,0.0,0,0,0,2,0.2,17,8,4
