Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,69,301.0,262,28.0,52,16,1,8,0,1,28,106,3.79,0.199,0.298,0.359,0.657,94.0,6.0,9.0,2,0,2,2,0.297,100,82,27
Platoon Splits,vs RHB,67,189.0,159,19.0,36,10,0,5,0,0,21,58,2.76,0.226,0.346,0.384,0.729,61.0,5.0,8.0,1,0,2,2,0.323,123,105,21
Platoon Splits,vs LHB,59,112.0,103,11.0,16,6,1,3,0,1,7,48,6.86,0.155,0.216,0.32,0.537,33.0,1.0,1.0,1,0,0,0,0.25,62,44,6
Platoon Splits,vs RHB as LHP,67,189.0,159,19.0,36,10,0,5,0,0,21,58,2.76,0.226,0.346,0.384,0.729,61.0,5.0,8.0,1,0,2,2,0.323,123,99,21
Platoon Splits,vs LHB as LHP,59,112.0,103,11.0,16,6,1,3,0,1,7,48,6.86,0.155,0.216,0.32,0.537,33.0,1.0,1.0,1,0,0,0,0.25,62,59,6
Home or Away,Home,34,142.0,124,18.0,26,7,1,5,0,1,12,56,4.67,0.21,0.3,0.403,0.703,50.0,2.0,4.0,2,0,1,1,0.333,113,95,13
Home or Away,Away,35,159.0,138,10.0,26,9,0,3,0,0,16,50,3.13,0.188,0.296,0.319,0.614,44.0,4.0,5.0,0,0,1,1,0.271,88,69,14
First or Second Half,1st Half,41,186.0,163,21.0,33,11,1,5,0,1,15,65,4.33,0.203,0.297,0.374,0.672,61.0,4.0,7.0,1,0,1,1,0.301,104,85,16
First or Second Half,2nd Half,28,115.0,99,7.0,19,5,0,3,0,0,13,41,3.15,0.192,0.298,0.333,0.632,33.0,2.0,2.0,1,0,1,1,0.291,93,75,11
Months,April/March,13,59.0,49,11.0,10,1,0,1,0,1,7,21,3.0,0.204,0.328,0.286,0.613,14.0,2.0,2.0,1,0,0,1,0.333,90,74,8
Months,May,13,58.0,50,1.0,6,2,0,1,0,0,7,22,3.14,0.12,0.241,0.22,0.461,11.0,1.0,1.0,0,0,0,0,0.185,42,29,3
Months,June,12,52.0,48,8.0,13,6,1,3,0,0,1,15,15.0,0.271,0.327,0.625,0.952,30.0,1.0,3.0,0,0,1,0,0.333,184,158,3
Months,July,8,35.0,34,2.0,7,3,0,1,0,0,0,12,,0.206,0.229,0.382,0.611,13.0,1.0,1.0,0,0,0,0,0.286,83,62,3
