Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,67,283.0,239,51.0,72,12,3,11,11,1,34,61,1.79,0.301,0.398,0.515,0.912,123.0,4.0,5.0,4,1,3,4,0.363,100,143,46
Platoon Splits,vs RHB,63,142.0,123,29.0,35,2,2,8,4,1,13,32,2.46,0.285,0.355,0.529,0.884,65.0,1.0,1.0,4,1,0,2,0.321,92,136,23
Platoon Splits,vs LHB,62,141.0,116,22.0,37,10,1,3,7,0,21,29,1.38,0.319,0.44,0.5,0.94,58.0,3.0,4.0,0,0,3,2,0.405,108,148,23
Platoon Splits,vs RHB as RHP,63,142.0,123,29.0,35,2,2,8,4,1,13,32,2.46,0.285,0.355,0.529,0.884,65.0,1.0,1.0,4,1,0,2,0.321,92,141,23
Platoon Splits,vs LHB as RHP,62,141.0,116,22.0,37,10,1,3,7,0,21,29,1.38,0.319,0.44,0.5,0.94,58.0,3.0,4.0,0,0,3,2,0.405,108,143,23
Home or Away,Home,33,139.0,121,21.0,33,7,2,5,3,0,12,33,2.75,0.273,0.355,0.488,0.843,59.0,3.0,4.0,1,1,2,0,0.333,84,129,19
Home or Away,Away,34,144.0,118,30.0,39,5,1,6,8,1,22,28,1.27,0.331,0.44,0.542,0.982,64.0,1.0,1.0,3,0,1,4,0.393,116,156,27
First or Second Half,1st Half,35,152.0,130,27.0,40,9,1,8,5,1,19,37,1.95,0.308,0.397,0.577,0.974,75.0,3.0,1.0,1,1,2,1,0.372,112,158,22
First or Second Half,2nd Half,32,131.0,109,24.0,32,3,2,3,6,0,15,24,1.6,0.294,0.398,0.44,0.839,48.0,1.0,4.0,3,0,1,3,0.354,85,124,24
Months,April/March,9,43.0,37,7.0,11,2,0,3,0,0,5,12,2.4,0.297,0.395,0.595,0.99,22.0,0.0,1.0,0,0,0,0,0.364,115,157,6
Months,May,16,69.0,60,13.0,19,4,1,3,5,0,8,14,1.75,0.317,0.391,0.567,0.958,34.0,2.0,0.0,0,1,1,0,0.364,108,153,11
Months,June,5,21.0,17,5.0,6,2,0,1,0,1,4,2,0.5,0.353,0.476,0.647,1.123,11.0,0.0,0.0,0,0,0,1,0.357,145,205,3
Months,July,12,47.0,36,7.0,8,2,0,2,1,0,7,13,1.86,0.222,0.378,0.444,0.822,16.0,2.0,2.0,2,0,1,0,0.286,81,121,4
Months,August,13,49.0,43,10.0,12,1,0,2,2,0,4,9,2.25,0.279,0.34,0.442,0.782,19.0,0.0,0.0,2,0,1,3,0.313,71,103,9
Months,Sept/Oct,12,54.0,46,9.0,16,1,2,0,3,0,6,11,1.83,0.348,0.444,0.457,0.901,21.0,0.0,2.0,0,0,0,0,0.457,100,145,13
Game Outcome for Pitcher,in Losses,8,43.0,31,19.0,19,4,0,3,2,0,10,5,0.5,0.613,0.707,1.032,1.74,32.0,1.0,0.0,2,0,2,2,0.696,278,254,12
Game Outcome for Pitcher,in No Dec.,28,119.0,101,19.0,29,7,2,4,5,0,11,19,1.73,0.287,0.381,0.515,0.896,52.0,1.0,5.0,1,1,1,0,0.317,96,142,16
Game Outcome for Pitcher,in Saves,31,121.0,107,13.0,24,1,1,4,4,1,13,37,2.85,0.224,0.308,0.365,0.673,39.0,2.0,0.0,1,0,0,2,0.303,48,189,18
Game Outcome for Pitcher,in Sv Situ,43,183.0,154,36.0,48,5,1,8,9,1,25,46,1.84,0.312,0.411,0.513,0.924,79.0,2.0,1.0,3,0,1,4,0.4,103,167,34
Game Outcome for Pitcher,in non-Sv,24,100.0,85,15.0,24,7,2,3,2,0,9,15,1.67,0.282,0.374,0.518,0.891,44.0,2.0,4.0,1,1,2,0,0.309,95,139,12
Pitching Role,as Reliever,67,283.0,239,51.0,72,12,3,11,11,1,34,61,1.79,0.301,0.398,0.515,0.912,123.0,4.0,5.0,4,1,3,4,0.363,100,150,46
Batting Order Positions,Batting 1st,29,29.0,24,3.0,6,2,1,1,0,0,3,6,2.0,0.25,0.357,0.542,0.899,13.0,0.0,1.0,1,0,0,1,0.294,95,135,2
Batting Order Positions,Batting 2nd,26,26.0,23,6.0,5,0,0,0,0,0,3,9,3.0,0.217,0.308,0.217,0.525,5.0,1.0,0.0,0,0,0,1,0.357,20,43,5
Batting Order Positions,Batting 3rd,32,32.0,28,6.0,8,1,0,2,2,1,4,8,2.0,0.286,0.375,0.536,0.911,15.0,0.0,0.0,0,0,0,0,0.333,98,117,5
Batting Order Positions,Batting 4th,27,27.0,23,5.0,7,1,0,2,1,0,1,3,3.0,0.304,0.385,0.609,0.993,14.0,0.0,2.0,1,0,0,0,0.278,115,139,4
Batting Order Positions,Batting 5th,34,34.0,27,6.0,11,2,1,1,1,0,7,7,1.0,0.407,0.529,0.667,1.196,18.0,1.0,0.0,0,0,1,0,0.526,162,207,7
Batting Order Positions,Batting 6th,40,40.0,36,8.0,9,3,0,1,3,0,4,9,2.25,0.25,0.325,0.417,0.742,15.0,1.0,0.0,0,0,0,1,0.308,63,93,5
Batting Order Positions,Batting 7th,35,35.0,28,9.0,8,1,1,3,2,0,4,5,1.25,0.286,0.412,0.714,1.126,20.0,1.0,2.0,1,0,1,1,0.25,142,204,3
Batting Order Positions,Batting 8th,30,30.0,25,3.0,10,0,0,1,2,0,3,7,2.33,0.4,0.448,0.52,0.968,13.0,0.0,0.0,1,1,1,0,0.5,114,175,9
Batting Order Positions,Batting 9th,30,30.0,25,5.0,8,2,0,0,0,0,5,7,1.4,0.32,0.433,0.4,0.833,10.0,0.0,0.0,0,0,0,0,0.444,87,194,6
Batting Order Positions,"Bat1-2,non-P",36,55.0,47,9.0,11,2,1,1,0,0,6,15,2.5,0.234,0.333,0.383,0.716,18.0,1.0,1.0,1,0,0,2,0.323,58,90,7
Batting Order Positions,"Bat3-6,non-P",57,133.0,114,25.0,35,7,1,6,7,1,16,27,1.69,0.307,0.402,0.544,0.945,62.0,2.0,2.0,1,0,1,1,0.358,107,136,21
Batting Order Positions,"Bat7-9,non-P",44,95.0,78,17.0,26,3,1,4,4,0,12,19,1.58,0.333,0.43,0.551,0.981,43.0,1.0,2.0,2,1,2,1,0.393,115,178,18
Swung or Took First Pitch of PA,Swung at 1st Pitch,43,78.0,70,13.0,20,4,0,1,,,3,16,5.33,0.286,0.333,0.386,0.719,27.0,0.0,2.0,3,0,0,3,0.359,59,100,15
Swung or Took First Pitch of PA,Took 1st Pitch,65,205.0,169,37.0,52,8,3,10,,,31,45,1.45,0.308,0.422,0.568,0.99,96.0,4.0,3.0,1,1,3,1,0.365,116,161,31
Count/Balls-Strikes,First Pitch,20,29.0,25,7.0,10,2,0,0,,,0,0,,0.4,0.444,0.48,0.924,12.0,0.0,2.0,2,0,0,2,0.4,105,115,8
Count/Balls-Strikes,1-0 Count,12,15.0,15,11.0,8,1,0,4,,,0,0,,0.533,0.533,1.4,1.933,21.0,1.0,0.0,0,0,0,0,0.364,306,305,3
