Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,82,305.0,276,34.0,71,11,1,8,1,1,25,50,2.0,0.257,0.321,0.391,0.713,108.0,14.0,2.0,0,2,6,2,0.286,100,97,51
Platoon Splits,vs RHB,78,184.0,165,24.0,38,7,1,3,1,1,15,34,2.27,0.23,0.299,0.339,0.638,56.0,11.0,2.0,0,2,1,2,0.269,80,79,27
Platoon Splits,vs LHB,67,121.0,111,16.0,33,4,0,5,0,0,10,16,1.6,0.297,0.355,0.469,0.824,52.0,3.0,0.0,0,0,5,0,0.311,130,123,24
Platoon Splits,vs RHB as RHP,78,184.0,165,24.0,38,7,1,3,1,1,15,34,2.27,0.23,0.299,0.339,0.638,56.0,11.0,2.0,0,2,1,2,0.269,80,81,27
Platoon Splits,vs LHB as RHP,67,121.0,111,16.0,33,4,0,5,0,0,10,16,1.6,0.297,0.355,0.469,0.824,52.0,3.0,0.0,0,0,5,0,0.311,130,118,24
Home or Away,Home,45,169.0,152,20.0,42,7,0,3,0,1,14,27,1.93,0.276,0.343,0.382,0.725,58.0,9.0,2.0,0,1,3,1,0.317,105,104,32
Home or Away,Away,37,136.0,124,14.0,29,4,1,5,1,0,11,23,2.09,0.234,0.294,0.403,0.697,50.0,5.0,0.0,0,1,3,1,0.247,95,88,19
First or Second Half,1st Half,47,196.0,178,25.0,49,7,1,7,0,1,15,34,2.27,0.275,0.337,0.444,0.781,79.0,11.0,2.0,0,1,4,2,0.304,119,115,34
First or Second Half,2nd Half,35,109.0,98,9.0,22,4,0,1,1,0,10,16,1.6,0.225,0.294,0.296,0.59,29.0,3.0,0.0,0,1,2,0,0.256,67,64,17
Months,April/March,12,58.0,55,11.0,17,4,1,2,0,0,2,9,4.5,0.309,0.345,0.527,0.872,29.0,1.0,1.0,0,0,0,1,0.341,142,140,10
Months,May,12,50.0,45,11.0,17,2,0,2,0,0,4,6,1.5,0.378,0.42,0.556,0.976,25.0,3.0,0.0,0,1,1,1,0.395,173,167,13
Months,June,14,56.0,50,2.0,8,1,0,2,0,0,6,12,2.0,0.16,0.25,0.3,0.55,15.0,5.0,0.0,0,0,2,0,0.167,55,54,5
