Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,57,239.0,210,22.0,42,6,1,11,0,0,21,68,3.24,0.2,0.289,0.395,0.684,83.0,5.0,6.0,0,2,3,2,0.233,100,93,24
Platoon Splits,vs RHB,55,146.0,126,18.0,23,4,0,10,0,0,14,40,2.86,0.183,0.281,0.452,0.733,57.0,3.0,4.0,0,2,3,1,0.167,112,103,9
Platoon Splits,vs LHB,48,93.0,84,9.0,19,2,1,1,0,0,7,28,4.0,0.226,0.301,0.31,0.611,26.0,2.0,2.0,0,0,0,1,0.327,83,77,15
Platoon Splits,vs RHB as LHP,55,146.0,126,18.0,23,4,0,10,0,0,14,40,2.86,0.183,0.281,0.452,0.733,57.0,3.0,4.0,0,2,3,1,0.167,112,96,9
Platoon Splits,vs LHB as LHP,48,93.0,84,9.0,19,2,1,1,0,0,7,28,4.0,0.226,0.301,0.31,0.611,26.0,2.0,2.0,0,0,0,1,0.327,83,90,15
Home or Away,Home,28,120.0,107,11.0,28,1,1,5,0,0,9,45,5.0,0.262,0.325,0.43,0.755,46.0,5.0,2.0,0,2,0,1,0.39,121,117,21
Home or Away,Away,29,119.0,103,11.0,14,5,0,6,0,0,12,23,1.92,0.136,0.252,0.359,0.611,37.0,0.0,4.0,0,0,3,1,0.108,78,69,3
First or Second Half,1st Half,23,105.0,91,10.0,20,2,1,4,0,0,9,33,3.67,0.22,0.305,0.396,0.7,36.0,2.0,3.0,0,2,2,1,0.286,106,98,13
First or Second Half,2nd Half,34,134.0,119,12.0,22,4,0,7,0,0,12,35,2.92,0.185,0.276,0.395,0.671,47.0,3.0,3.0,0,0,1,1,0.195,96,89,11
Months,May,7,39.0,37,4.0,7,0,1,2,0,0,2,12,6.0,0.189,0.231,0.405,0.636,15.0,0.0,0.0,0,0,0,1,0.217,83,76,4
Months,June,8,40.0,31,5.0,8,2,0,1,0,0,6,12,2.0,0.258,0.375,0.419,0.794,13.0,1.0,1.0,0,2,2,0,0.35,136,122,5
Months,July,12,41.0,35,2.0,6,0,0,1,0,0,3,12,4.0,0.171,0.293,0.257,0.55,9.0,1.0,3.0,0,0,0,0,0.227,66,58,5
Months,August,16,67.0,61,6.0,9,0,0,4,0,0,4,23,5.75,0.148,0.224,0.344,0.568,21.0,1.0,2.0,0,0,0,1,0.147,65,59,5
Months,Sept/Oct,14,52.0,46,5.0,12,4,0,3,0,0,6,9,1.5,0.261,0.346,0.544,0.89,25.0,2.0,0.0,0,0,1,0,0.265,157,150,5
Game Outcome for Pitcher,in Wins,2,9.0,8,1.0,3,0,0,0,0,0,1,4,4.0,0.375,0.444,0.375,0.819,3.0,0.0,0.0,0,0,0,0,0.75,149,211,3
Game Outcome for Pitcher,in Losses,3,11.0,9,4.0,4,2,0,2,0,0,1,1,1.0,0.444,0.546,1.333,1.879,12.0,0.0,1.0,0,0,0,0,0.333,426,271,0
