Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,72,288.0,266,25.0,66,8,1,5,4,2,16,39,2.44,0.248,0.296,0.342,0.638,91.0,9.0,3.0,1,2,2,2,0.272,100,72,52
Platoon Splits,vs RHB,67,149.0,138,20.0,41,5,0,3,2,1,6,23,3.83,0.297,0.336,0.399,0.734,55.0,7.0,3.0,0,2,0,1,0.333,130,99,33
Platoon Splits,vs LHB,67,139.0,128,9.0,25,3,1,2,2,1,10,16,1.6,0.195,0.254,0.281,0.535,36.0,2.0,0.0,1,0,2,1,0.209,68,42,19
Platoon Splits,vs RHB as RHP,67,149.0,138,20.0,41,5,0,3,2,1,6,23,3.83,0.297,0.336,0.399,0.734,55.0,7.0,3.0,0,2,0,1,0.333,130,102,33
Platoon Splits,vs LHB as RHP,67,139.0,128,9.0,25,3,1,2,2,1,10,16,1.6,0.195,0.254,0.281,0.535,36.0,2.0,0.0,1,0,2,1,0.209,68,40,19
Home or Away,Home,37,150.0,141,19.0,41,5,1,3,3,1,8,16,2.0,0.291,0.327,0.404,0.731,57.0,5.0,0.0,0,1,1,1,0.309,129,100,32
Home or Away,Away,35,138.0,125,6.0,25,3,0,2,1,1,8,23,2.88,0.2,0.263,0.272,0.535,34.0,4.0,3.0,1,1,1,1,0.228,68,41,20
First or Second Half,1st Half,39,153.0,143,11.0,34,4,0,3,3,1,8,24,3.0,0.238,0.281,0.329,0.61,47.0,6.0,1.0,0,1,1,0,0.265,91,64,27
First or Second Half,2nd Half,33,135.0,123,14.0,32,4,1,2,1,1,8,15,1.88,0.26,0.313,0.358,0.671,44.0,3.0,2.0,1,1,1,2,0.28,110,80,25
Months,April/March,11,44.0,39,1.0,7,0,0,1,1,0,4,6,1.5,0.18,0.273,0.256,0.529,10.0,2.0,1.0,0,0,0,0,0.188,67,49,6
Months,May,11,48.0,45,6.0,15,1,0,1,0,0,3,10,3.33,0.333,0.375,0.422,0.797,19.0,3.0,0.0,0,0,1,0,0.412,150,115,13
Months,June,12,42.0,41,3.0,8,3,0,1,1,1,0,7,,0.195,0.191,0.342,0.532,14.0,0.0,0.0,0,1,0,0,0.206,64,35,4
Months,July,11,48.0,42,5.0,11,1,0,0,2,0,4,4,1.0,0.262,0.333,0.286,0.619,12.0,1.0,1.0,0,1,0,1,0.282,96,69,10
Months,August,14,58.0,52,5.0,13,3,0,1,0,1,4,8,2.0,0.25,0.316,0.365,0.681,19.0,2.0,1.0,1,0,1,1,0.279,114,81,9
Months,Sept/Oct,13,48.0,47,5.0,12,0,1,1,0,0,1,4,4.0,0.255,0.271,0.362,0.633,17.0,1.0,0.0,0,0,0,0,0.262,97,71,10
Game Outcome for Pitcher,in Wins,4,18.0,17,2.0,6,0,0,0,0,0,1,0,0.0,0.353,0.389,0.353,0.742,6.0,0.0,0.0,0,0,0,0,0.353,135,159,6
Game Outcome for Pitcher,in Losses,3,19.0,17,7.0,10,0,1,1,0,0,1,0,0.0,0.588,0.579,0.882,1.461,15.0,0.0,0.0,0,1,0,0,0.529,354,192,8
Game Outcome for Pitcher,in No Dec.,36,137.0,127,13.0,32,6,0,2,2,1,7,20,2.86,0.252,0.294,0.347,0.641,44.0,6.0,1.0,1,1,2,1,0.283,101,75,24
Game Outcome for Pitcher,in Saves,29,114.0,105,3.0,18,2,0,2,2,1,7,19,2.71,0.171,0.237,0.248,0.484,26.0,3.0,2.0,0,0,0,1,0.191,53,123,14
Game Outcome for Pitcher,in Sv Situ,45,187.0,170,17.0,41,4,1,4,2,1,12,27,2.25,0.241,0.301,0.347,0.648,59.0,5.0,3.0,1,1,2,2,0.264,103,96,32
Game Outcome for Pitcher,in non-Sv,27,101.0,96,8.0,25,4,0,1,2,1,4,12,3.0,0.26,0.287,0.333,0.62,32.0,4.0,0.0,0,1,0,0,0.286,94,68,20
Pitching Role,as Reliever,72,288.0,266,25.0,66,8,1,5,4,2,16,39,2.44,0.248,0.296,0.342,0.638,91.0,9.0,3.0,1,2,2,2,0.272,100,77,52
Batting Order Positions,Batting 1st,35,35.0,35,1.0,8,2,0,1,2,0,0,2,,0.229,0.229,0.371,0.6,13.0,1.0,0.0,0,0,0,0,0.219,86,57,5
Batting Order Positions,Batting 2nd,38,38.0,37,0.0,4,0,0,0,0,1,0,6,,0.108,0.132,0.108,0.24,4.0,2.0,1.0,0,0,0,0,0.129,-24,-37,4
Batting Order Positions,Batting 3rd,30,30.0,29,2.0,10,4,0,0,0,0,1,5,5.0,0.345,0.367,0.483,0.85,14.0,0.0,0.0,0,0,0,0,0.417,165,106,6
