Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,74,301.0,264,27.0,65,8,1,1,11,3,33,54,1.64,0.246,0.332,0.296,0.628,78.0,9.0,1.0,3,0,7,1,0.306,100,77,55
Platoon Splits,vs RHB,70,160.0,144,12.0,30,2,1,0,5,1,14,33,2.36,0.208,0.283,0.236,0.519,34.0,5.0,1.0,1,0,1,0,0.27,65,48,27
Platoon Splits,vs LHB,64,141.0,120,12.0,35,6,0,1,6,2,19,21,1.11,0.292,0.389,0.367,0.755,44.0,4.0,0.0,2,0,6,1,0.347,141,111,28
Platoon Splits,vs RHB as RHP,70,160.0,144,12.0,30,2,1,0,5,1,14,33,2.36,0.208,0.283,0.236,0.519,34.0,5.0,1.0,1,0,1,0,0.27,65,52,27
Platoon Splits,vs LHB as RHP,64,141.0,120,12.0,35,6,0,1,6,2,19,21,1.11,0.292,0.389,0.367,0.755,44.0,4.0,0.0,2,0,6,1,0.347,141,105,28
Home or Away,Home,41,161.0,141,16.0,34,4,1,0,8,2,18,31,1.72,0.241,0.331,0.284,0.615,40.0,6.0,1.0,1,0,5,1,0.309,96,78,29
Home or Away,Away,33,140.0,123,11.0,31,4,0,1,3,1,15,23,1.53,0.252,0.333,0.309,0.642,38.0,3.0,0.0,2,0,2,0,0.303,105,76,26
First or Second Half,1st Half,39,164.0,144,16.0,41,4,0,1,3,1,17,22,1.29,0.285,0.36,0.333,0.694,48.0,4.0,0.0,3,0,2,1,0.331,121,95,36
First or Second Half,2nd Half,35,137.0,120,11.0,24,4,1,0,8,2,16,32,2.0,0.2,0.299,0.25,0.549,30.0,5.0,1.0,0,0,5,0,0.273,75,56,19
Months,April/March,13,55.0,48,4.0,12,1,0,0,0,0,5,7,1.4,0.25,0.321,0.271,0.592,13.0,1.0,0.0,2,0,0,0,0.293,89,70,11
Months,May,9,39.0,32,7.0,10,1,0,1,1,1,7,6,0.86,0.313,0.436,0.438,0.873,14.0,2.0,0.0,0,0,1,1,0.36,180,143,8
Months,June,13,58.0,54,4.0,16,1,0,0,2,0,4,8,2.0,0.296,0.345,0.315,0.66,17.0,1.0,0.0,0,0,1,0,0.348,111,85,15
Months,July,11,41.0,37,5.0,10,2,1,0,1,0,3,6,2.0,0.27,0.325,0.378,0.703,14.0,1.0,0.0,1,0,1,0,0.323,126,94,7
Months,August,13,48.0,42,6.0,10,2,0,0,3,0,6,14,2.33,0.238,0.333,0.286,0.619,12.0,1.0,0.0,0,0,2,0,0.357,97,75,8
Months,Sept/Oct,15,60.0,51,1.0,7,1,0,0,4,2,8,13,1.63,0.137,0.267,0.157,0.424,8.0,3.0,1.0,0,0,2,0,0.184,34,23,6
Game Outcome for Pitcher,in Wins,2,11.0,9,0.0,2,0,0,0,1,1,1,3,3.0,0.222,0.364,0.222,0.586,2.0,1.0,1.0,0,0,1,0,0.333,85,109,2
Game Outcome for Pitcher,in Losses,6,38.0,28,11.0,14,2,0,0,2,0,9,3,0.33,0.5,0.622,0.571,1.193,16.0,1.0,0.0,1,0,1,1,0.56,281,163,12
Game Outcome for Pitcher,in No Dec.,51,198.0,178,16.0,42,5,1,1,8,2,19,36,1.89,0.236,0.31,0.292,0.602,52.0,5.0,0.0,1,0,5,0,0.291,92,72,35
Game Outcome for Pitcher,in Saves,15,54.0,49,0.0,7,1,0,0,0,0,4,12,3.0,0.143,0.208,0.163,0.371,8.0,2.0,0.0,1,0,0,0,0.189,18,75,6
Game Outcome for Pitcher,in Sv Situ,29,120.0,102,15.0,28,3,1,0,1,0,16,21,1.31,0.275,0.373,0.324,0.696,33.0,3.0,0.0,2,0,2,1,0.346,122,120,24
Game Outcome for Pitcher,in non-Sv,45,181.0,162,12.0,37,5,0,1,10,3,17,33,1.94,0.228,0.306,0.278,0.583,45.0,6.0,1.0,1,0,5,0,0.281,86,66,31
Pitching Role,as Reliever,74,301.0,264,27.0,65,8,1,1,11,3,33,54,1.64,0.246,0.332,0.296,0.628,78.0,9.0,1.0,3,0,7,1,0.306,100,83,55
Batting Order Positions,Batting 1st,30,30.0,24,1.0,8,3,0,0,0,0,5,8,1.6,0.333,0.448,0.458,0.907,11.0,1.0,0.0,1,0,0,0,0.5,190,155,5
Batting Order Positions,Batting 2nd,35,35.0,31,2.0,6,0,1,0,3,0,3,7,2.33,0.194,0.286,0.258,0.544,8.0,1.0,1.0,0,0,0,0,0.25,74,55,5
Batting Order Positions,Batting 3rd,30,30.0,24,3.0,4,0,0,0,3,0,6,8,1.33,0.167,0.333,0.167,0.5,4.0,0.0,0.0,0,0,2,0,0.25,57,31,4
Batting Order Positions,Batting 4th,37,37.0,31,3.0,9,2,0,0,3,0,6,5,0.83,0.29,0.405,0.355,0.76,11.0,3.0,0.0,0,0,2,0,0.346,142,93,7
Batting Order Positions,Batting 5th,35,35.0,33,1.0,8,1,0,0,0,0,2,8,4.0,0.242,0.286,0.273,0.558,9.0,1.0,0.0,0,0,0,0,0.32,79,51,7
Batting Order Positions,Batting 6th,31,31.0,26,2.0,7,1,0,0,2,0,4,4,1.0,0.269,0.367,0.308,0.674,8.0,0.0,0.0,1,0,2,0,0.318,115,87,6
Batting Order Positions,Batting 7th,35,34.0,32,4.0,8,0,0,0,0,2,1,3,3.0,0.25,0.273,0.25,0.523,8.0,1.0,0.0,1,0,0,1,0.276,67,51,8
Batting Order Positions,Batting 8th,35,34.0,32,4.0,11,1,0,0,0,1,2,2,1.0,0.344,0.382,0.375,0.757,12.0,1.0,0.0,0,0,1,0,0.367,142,126,10
Batting Order Positions,Batting 9th,35,35.0,31,4.0,4,0,0,1,0,0,4,9,2.25,0.129,0.229,0.226,0.454,7.0,1.0,0.0,0,0,0,0,0.143,46,66,3
Batting Order Positions,"Bat1-2,non-P",39,65.0,55,3.0,14,3,1,0,3,0,8,15,1.88,0.255,0.359,0.346,0.705,19.0,2.0,1.0,1,0,0,0,0.35,125,100,10
Batting Order Positions,"Bat3-6,non-P",55,133.0,114,9.0,28,4,0,0,8,0,18,25,1.39,0.246,0.349,0.281,0.629,32.0,4.0,0.0,1,0,6,0,0.315,100,67,24
Batting Order Positions,"Bat7-9,non-P",52,103.0,95,12.0,23,1,0,1,0,3,7,14,2.0,0.242,0.294,0.284,0.578,27.0,3.0,0.0,1,0,1,1,0.275,85,72,21
Swung or Took First Pitch of PA,Swung at 1st Pitch,49,75.0,70,10.0,18,4,0,0,,,3,10,3.33,0.257,0.288,0.314,0.602,22.0,4.0,0.0,2,0,0,1,0.3,93,72,14
Swung or Took First Pitch of PA,Took 1st Pitch,74,226.0,194,13.0,47,4,1,1,,,30,44,1.47,0.242,0.347,0.289,0.635,56.0,5.0,1.0,1,0,7,0,0.309,103,78,41
Count/Balls-Strikes,First Pitch,26,34.0,32,7.0,13,2,0,0,,,0,0,,0.406,0.406,0.469,0.875,15.0,3.0,0.0,2,0,0,1,0.406,181,106,11
Count/Balls-Strikes,1-0 Count,31,36.0,34,5.0,14,3,0,0,,,0,0,,0.412,0.429,0.5,0.929,17.0,2.0,1.0,1,0,0,0,0.412,199,114,11
Count/Balls-Strikes,2-0 Count,8,8.0,8,0.0,2,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,2.0,0.0,0.0,0,0,0,0,0.25,60,12,2
Count/Balls-Strikes,3-0 Count,11,12.0,2,0.0,0,0,0,0,,,10,0,0.0,0.0,0.833,0.0,0.833,0.0,0.0,0.0,0,0,7,0,0.0,151,-12,0
Count/Balls-Strikes,0-1 Count,23,24.0,24,0.0,5,1,0,0,,,0,0,,0.208,0.208,0.25,0.458,6.0,1.0,0.0,0,0,0,0,0.208,47,15,4
Count/Balls-Strikes,1-1 Count,19,22.0,22,2.0,5,0,1,0,,,0,0,,0.227,0.227,0.318,0.546,7.0,1.0,0.0,0,0,0,0,0.227,76,30,4
Count/Balls-Strikes,2-1 Count,17,20.0,20,3.0,8,0,0,0,,,0,0,,0.4,0.4,0.4,0.8,8.0,1.0,0.0,0,0,0,0,0.4,156,91,8
Count/Balls-Strikes,3-1 Count,15,17.0,8,0.0,2,0,0,0,,,9,0,0.0,0.25,0.647,0.25,0.897,2.0,0.0,0.0,0,0,0,0,0.25,180,33,2
Count/Balls-Strikes,0-2 Count,19,21.0,21,0.0,1,0,0,0,,,0,12,,0.048,0.048,0.048,0.095,1.0,0.0,0.0,0,0,0,0,0.111,-69,-47,1
Count/Balls-Strikes,1-2 Count,33,37.0,37,3.0,5,1,0,1,,,0,19,,0.135,0.135,0.243,0.378,9.0,1.0,0.0,0,0,0,0,0.235,23,80,3
Count/Balls-Strikes,2-2 Count,30,35.0,35,1.0,6,1,0,0,,,0,12,,0.171,0.171,0.2,0.371,7.0,0.0,0.0,0,0,0,0,0.261,19,61,5
Count/Balls-Strikes,Full Count,31,35.0,21,2.0,4,0,0,0,,,14,11,0.79,0.191,0.514,0.191,0.705,4.0,0.0,0.0,0,0,0,0,0.4,119,66,4
Count/Balls-Strikes,After 1-0,67,146.0,119,11.0,37,4,0,0,,,25,21,0.84,0.311,0.435,0.345,0.779,41.0,4.0,1.0,1,0,7,0,0.378,148,92,33
Count/Balls-Strikes,After 2-0,40,54.0,34,3.0,10,0,0,0,,,20,5,0.25,0.294,0.556,0.294,0.85,10.0,0.0,0.0,0,0,7,0,0.345,167,72,10
Count/Balls-Strikes,After 3-0,17,21.0,5,0.0,0,0,0,0,,,16,1,0.06,0.0,0.762,0.0,0.762,0.0,0.0,0.0,0,0,7,0,0.0,130,3,0
Count/Balls-Strikes,After 0-1,67,121.0,113,5.0,15,2,1,1,,,8,33,4.13,0.133,0.19,0.195,0.385,22.0,2.0,0.0,0,0,0,0,0.177,23,28,11
Count/Balls-Strikes,After 1-1,61,110.0,98,5.0,18,1,1,0,,,12,29,2.42,0.184,0.273,0.214,0.487,21.0,3.0,0.0,0,0,0,0,0.261,55,47,16
Count/Balls-Strikes,After 2-1,43,64.0,53,5.0,14,1,0,0,,,11,11,1.0,0.264,0.391,0.283,0.674,15.0,1.0,0.0,0,0,0,0,0.333,114,69,13
Count/Balls-Strikes,After 3-1,24,28.0,15,1.0,3,0,0,0,,,13,3,0.23,0.2,0.571,0.2,0.771,3.0,0.0,0.0,0,0,0,0,0.25,140,39,3
Count/Balls-Strikes,After 0-2,35,43.0,42,3.0,5,1,0,1,,,1,20,20.0,0.119,0.14,0.214,0.354,9.0,0.0,0.0,0,0,0,0,0.191,15,56,3
Count/Balls-Strikes,After 1-2,47,71.0,65,4.0,11,1,0,1,,,6,30,5.0,0.169,0.239,0.231,0.47,15.0,1.0,0.0,0,0,0,0,0.294,50,90,9
Count/Balls-Strikes,After 2-2,41,59.0,49,2.0,9,1,0,0,,,10,20,2.0,0.184,0.322,0.204,0.526,10.0,0.0,0.0,0,0,0,0,0.31,66,78,8
Count/Balls-Strikes,Zero Balls,55,79.0,77,7.0,19,3,0,0,,,0,12,,0.247,0.247,0.286,0.533,22.0,4.0,0.0,2,0,0,1,0.292,71,55,16
Count/Balls-Strikes,Zero Strikes,56,90.0,76,12.0,29,5,0,0,,,10,0,0.0,0.382,0.46,0.447,0.907,34.0,5.0,1.0,3,0,7,1,0.382,190,95,24
Count/Balls-Strikes,Three Balls,47,64.0,31,2.0,6,0,0,0,,,33,11,0.33,0.194,0.609,0.194,0.803,6.0,0.0,0.0,0,0,7,0,0.3,149,54,6
Count/Balls-Strikes,Two Strikes,68,128.0,114,7.0,16,2,0,1,,,14,54,3.86,0.14,0.234,0.184,0.419,21.0,1.0,0.0,0,0,0,0,0.254,33,63,13
Count/Balls-Strikes,Batter Ahead,66,128.0,93,10.0,30,3,0,0,,,33,11,0.33,0.323,0.504,0.355,0.859,33.0,3.0,1.0,1,0,7,0,0.366,172,78,27
Count/Balls-Strikes,Even Count,54,91.0,89,10.0,24,3,1,0,,,0,12,,0.27,0.27,0.326,0.596,29.0,4.0,0.0,2,0,0,1,0.312,92,75,20
Count/Balls-Strikes,Pitcher Ahead,57,82.0,82,3.0,11,2,0,1,,,0,31,,0.134,0.134,0.195,0.329,16.0,2.0,0.0,0,0,0,0,0.2,7,28,8
Leading Off Inning,First Batter,74,74.0,65,2.0,15,2,0,0,,,8,15,1.88,0.231,0.324,0.262,0.586,17.0,2.0,1.0,0,0,1,0,0.3,86,72,13
Leading Off Inning,Leadoff Inn.,64,69.0,58,0.0,13,2,0,0,,,10,10,1.0,0.224,0.348,0.259,0.606,15.0,0.0,1.0,0,0,0,0,0.271,93,73,11
