Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,79,333.0,295,28.0,68,16,1,2,6,0,31,54,1.74,0.231,0.31,0.312,0.622,92.0,5.0,3.0,4,0,12,2,0.276,100,73,49
Platoon Splits,vs RHB,75,180.0,167,13.0,43,13,0,1,3,0,9,27,3.0,0.258,0.303,0.353,0.657,59.0,4.0,2.0,2,0,2,2,0.302,111,83,29
Platoon Splits,vs LHB,70,153.0,128,9.0,25,3,1,1,3,0,22,27,1.23,0.195,0.318,0.258,0.576,33.0,1.0,1.0,2,0,10,0,0.24,85,59,20
Platoon Splits,vs RHB as RHP,75,180.0,167,13.0,43,13,0,1,3,0,9,27,3.0,0.258,0.303,0.353,0.657,59.0,4.0,2.0,2,0,2,2,0.302,111,86,29
Platoon Splits,vs LHB as RHP,70,153.0,128,9.0,25,3,1,1,3,0,22,27,1.23,0.195,0.318,0.258,0.576,33.0,1.0,1.0,2,0,10,0,0.24,85,57,20
Home or Away,Home,47,188.0,169,17.0,36,5,0,2,4,0,16,30,1.88,0.213,0.289,0.278,0.567,47.0,3.0,2.0,1,0,4,2,0.248,82,62,29
Home or Away,Away,32,145.0,126,11.0,32,11,1,0,2,0,15,24,1.6,0.254,0.338,0.357,0.695,45.0,2.0,1.0,3,0,8,0,0.314,124,87,20
First or Second Half,1st Half,41,174.0,153,16.0,38,8,1,1,1,0,18,30,1.67,0.248,0.335,0.333,0.669,51.0,2.0,2.0,1,0,7,0,0.303,115,84,28
First or Second Half,2nd Half,38,159.0,142,12.0,30,8,0,1,5,0,13,24,1.85,0.211,0.282,0.289,0.571,41.0,3.0,1.0,3,0,5,2,0.248,84,60,21
Months,April/March,11,39.0,38,6.0,10,4,0,1,1,0,1,8,8.0,0.263,0.282,0.447,0.73,17.0,0.0,0.0,0,0,0,0,0.31,134,95,5
Months,May,12,52.0,47,2.0,11,1,1,0,0,0,5,5,1.0,0.234,0.308,0.298,0.606,14.0,0.0,0.0,0,0,2,0,0.262,95,67,9
Months,June,13,54.0,46,3.0,9,0,0,0,0,0,6,14,2.33,0.196,0.315,0.196,0.511,9.0,2.0,2.0,0,0,1,0,0.281,64,44,9
Months,July,11,59.0,48,7.0,17,6,0,0,0,0,9,6,0.67,0.354,0.456,0.479,0.935,23.0,1.0,0.0,2,0,6,0,0.405,201,157,11
Months,August,17,72.0,63,5.0,10,2,0,0,4,0,8,13,1.63,0.159,0.264,0.191,0.454,12.0,2.0,1.0,0,0,3,0,0.2,46,29,8
Months,Sept/Oct,15,57.0,53,5.0,11,3,0,1,1,0,2,8,4.0,0.208,0.236,0.321,0.557,17.0,0.0,0.0,2,0,0,2,0.227,79,56,7
Game Outcome for Pitcher,in Wins,6,33.0,26,0.0,6,1,0,0,0,0,6,3,0.5,0.231,0.375,0.269,0.644,7.0,0.0,0.0,1,0,4,0,0.261,107,127,5
Game Outcome for Pitcher,in Losses,6,40.0,29,17.0,14,4,0,1,0,0,9,3,0.33,0.483,0.605,0.724,1.329,21.0,0.0,0.0,2,0,4,1,0.52,327,187,9
Game Outcome for Pitcher,in No Dec.,47,182.0,167,10.0,36,9,1,0,3,0,13,32,2.46,0.216,0.28,0.281,0.562,47.0,4.0,2.0,0,0,4,1,0.267,80,58,26
Game Outcome for Pitcher,in Saves,20,78.0,73,1.0,12,2,0,1,3,0,3,16,5.33,0.164,0.208,0.233,0.441,17.0,1.0,1.0,1,0,0,0,0.196,42,88,9
Game Outcome for Pitcher,in Sv Situ,41,159.0,147,6.0,29,5,0,2,4,0,8,36,4.5,0.197,0.253,0.272,0.525,40.0,4.0,3.0,1,0,0,0,0.248,69,56,22
Game Outcome for Pitcher,in non-Sv,38,174.0,148,22.0,39,11,1,0,2,0,23,18,0.78,0.264,0.363,0.351,0.714,52.0,1.0,0.0,3,0,12,2,0.3,130,98,27
Pitching Role,as Reliever,79,333.0,295,28.0,68,16,1,2,6,0,31,54,1.74,0.231,0.31,0.312,0.622,92.0,5.0,3.0,4,0,12,2,0.276,100,75,49
Batting Order Positions,Batting 1st,30,30.0,28,2.0,6,1,0,0,1,0,2,5,2.5,0.214,0.267,0.25,0.517,7.0,0.0,0.0,0,0,1,0,0.261,66,47,5
Batting Order Positions,Batting 2nd,31,32.0,31,1.0,12,4,0,0,1,0,1,3,3.0,0.387,0.406,0.516,0.922,16.0,0.0,0.0,0,0,1,0,0.429,196,151,8
Batting Order Positions,Batting 3rd,40,41.0,35,3.0,10,5,0,0,0,0,3,1,0.33,0.286,0.375,0.429,0.804,15.0,0.0,2.0,1,0,2,0,0.294,159,97,5
Batting Order Positions,Batting 4th,44,44.0,40,4.0,5,2,0,1,2,0,4,12,3.0,0.125,0.205,0.25,0.455,10.0,1.0,0.0,0,0,2,1,0.148,46,14,2
Batting Order Positions,Batting 5th,46,46.0,39,2.0,9,1,0,1,0,0,7,8,1.14,0.231,0.348,0.333,0.681,13.0,3.0,0.0,0,0,1,0,0.267,119,79,7
Batting Order Positions,Batting 6th,45,45.0,42,3.0,14,3,0,0,0,0,3,6,2.0,0.333,0.378,0.405,0.783,17.0,0.0,0.0,0,0,2,0,0.389,152,113,11
Batting Order Positions,Batting 7th,36,36.0,31,4.0,7,0,1,0,1,0,4,5,1.25,0.226,0.314,0.29,0.605,9.0,0.0,0.0,1,0,0,0,0.269,94,76,6
Batting Order Positions,Batting 8th,34,34.0,30,3.0,5,0,0,0,0,0,2,6,3.0,0.167,0.242,0.167,0.409,5.0,1.0,1.0,1,0,1,1,0.208,32,22,5
Batting Order Positions,Batting 9th,25,25.0,19,0.0,0,0,0,0,1,0,5,8,1.6,0.0,0.208,0.0,0.208,0.0,0.0,0.0,1,0,2,0,0.0,-33,-20,0
Batting Order Positions,"Bat1-2,non-P",43,62.0,59,3.0,18,5,0,0,2,0,3,8,2.67,0.305,0.339,0.39,0.729,23.0,0.0,0.0,0,0,2,0,0.353,134,102,13
Batting Order Positions,"Bat3-6,non-P",66,176.0,156,12.0,38,11,0,2,2,0,17,27,1.59,0.244,0.326,0.353,0.678,55.0,4.0,2.0,1,0,7,1,0.284,118,75,25
Batting Order Positions,"Bat7-9,non-P",45,94.0,79,7.0,12,0,1,0,2,0,11,19,1.73,0.152,0.264,0.177,0.441,14.0,1.0,1.0,3,0,3,1,0.2,42,33,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,63,120.0,111,13.0,29,7,0,1,,,5,18,3.6,0.261,0.299,0.351,0.651,39.0,2.0,1.0,3,0,0,1,0.304,109,84,21
