Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,71,300.0,273,37.0,65,15,2,7,3,1,23,72,3.13,0.238,0.301,0.385,0.686,105.0,2.0,2.0,0,1,5,1,0.297,100,86,41
Platoon Splits,vs RHB,65,145.0,137,27.0,36,11,0,4,1,1,5,31,6.2,0.263,0.292,0.431,0.722,59.0,2.0,1.0,0,1,1,0,0.311,109,95,21
Platoon Splits,vs LHB,67,155.0,136,18.0,29,4,2,3,2,0,18,41,2.28,0.213,0.31,0.338,0.648,46.0,0.0,1.0,0,0,4,1,0.283,91,76,20
Platoon Splits,vs RHB as RHP,65,145.0,137,27.0,36,11,0,4,1,1,5,31,6.2,0.263,0.292,0.431,0.722,59.0,2.0,1.0,0,1,1,0,0.311,109,98,21
Platoon Splits,vs LHB as RHP,67,155.0,136,18.0,29,4,2,3,2,0,18,41,2.28,0.213,0.31,0.338,0.648,46.0,0.0,1.0,0,0,4,1,0.283,91,73,20
Home or Away,Home,40,162.0,151,21.0,35,8,2,4,3,1,9,36,4.0,0.232,0.284,0.391,0.675,59.0,1.0,2.0,0,0,2,1,0.279,96,85,21
Home or Away,Away,31,138.0,122,16.0,30,7,0,3,0,0,14,36,2.57,0.246,0.321,0.377,0.698,46.0,1.0,0.0,0,1,3,0,0.321,105,87,20
First or Second Half,1st Half,42,180.0,159,26.0,38,10,2,6,0,1,18,50,2.78,0.239,0.324,0.44,0.764,70.0,1.0,2.0,0,0,5,1,0.311,122,105,20
First or Second Half,2nd Half,29,120.0,114,11.0,27,5,0,1,3,0,5,22,4.4,0.237,0.267,0.307,0.574,35.0,1.0,0.0,0,1,0,0,0.283,68,57,21
Months,April/March,12,52.0,46,7.0,10,4,1,2,0,0,6,16,2.67,0.217,0.308,0.478,0.786,22.0,1.0,0.0,0,0,2,1,0.286,127,115,3
Months,May,13,58.0,47,10.0,11,2,0,3,0,1,10,14,1.4,0.234,0.368,0.468,0.837,22.0,0.0,0.0,0,0,2,0,0.267,144,128,6
Months,June,14,59.0,55,8.0,15,2,1,1,0,0,2,17,8.5,0.273,0.322,0.4,0.722,22.0,0.0,2.0,0,0,1,0,0.378,111,91,11
Months,July,11,42.0,41,1.0,5,2,0,0,0,0,1,11,11.0,0.122,0.143,0.171,0.314,7.0,1.0,0.0,0,0,0,0,0.167,-8,-14,3
Months,August,10,48.0,43,8.0,15,4,0,1,1,0,4,4,1.0,0.349,0.396,0.512,0.907,22.0,0.0,0.0,0,1,0,0,0.359,165,142,10
Months,Sept/Oct,11,41.0,41,3.0,9,1,0,0,2,0,0,10,,0.22,0.22,0.244,0.463,10.0,0.0,0.0,0,0,0,0,0.29,37,28,8
Game Outcome for Pitcher,in Losses,5,29.0,27,11.0,17,3,1,0,0,0,2,1,0.5,0.63,0.655,0.815,1.47,22.0,0.0,0.0,0,0,1,0,0.654,329,207,13
Game Outcome for Pitcher,in No Dec.,53,221.0,198,24.0,41,10,1,7,2,1,19,58,3.05,0.207,0.282,0.374,0.656,74.0,2.0,2.0,0,1,4,1,0.254,91,81,23
Game Outcome for Pitcher,in Saves,13,50.0,48,2.0,7,2,0,0,1,0,2,13,6.5,0.146,0.18,0.188,0.368,9.0,0.0,0.0,0,0,0,0,0.2,9,59,5
Game Outcome for Pitcher,in Sv Situ,32,131.0,122,15.0,30,5,0,1,1,1,8,37,4.63,0.246,0.292,0.312,0.604,38.0,1.0,0.0,0,0,0,1,0.345,78,82,24
Game Outcome for Pitcher,in non-Sv,39,169.0,151,22.0,35,10,2,6,2,0,15,35,2.33,0.232,0.308,0.444,0.751,67.0,1.0,2.0,0,1,5,0,0.261,118,104,17
Pitching Role,as Reliever,71,300.0,273,37.0,65,15,2,7,3,1,23,72,3.13,0.238,0.301,0.385,0.686,105.0,2.0,2.0,0,1,5,1,0.297,100,91,41
Batting Order Positions,Batting 1st,31,31.0,29,4.0,6,0,2,0,0,0,2,5,2.5,0.207,0.258,0.345,0.603,10.0,0.0,0.0,0,0,0,1,0.25,75,57,4
Batting Order Positions,Batting 2nd,40,40.0,38,6.0,8,4,0,2,0,0,2,10,5.0,0.211,0.25,0.474,0.724,18.0,1.0,0.0,0,0,0,0,0.231,106,87,2
Batting Order Positions,Batting 3rd,43,43.0,37,5.0,10,2,0,2,1,0,5,13,2.6,0.27,0.372,0.487,0.859,18.0,0.0,1.0,0,0,2,0,0.364,150,108,6
Batting Order Positions,Batting 4th,41,40.0,32,6.0,5,2,0,1,0,1,7,6,0.86,0.156,0.3,0.313,0.613,10.0,0.0,0.0,0,1,1,0,0.154,81,57,2
Batting Order Positions,Batting 5th,31,31.0,28,1.0,5,1,0,0,0,0,3,7,2.33,0.179,0.258,0.214,0.472,6.0,1.0,0.0,0,0,1,0,0.238,41,28,4
Batting Order Positions,Batting 6th,29,29.0,28,6.0,10,1,0,0,1,0,0,8,,0.357,0.357,0.393,0.75,11.0,0.0,0.0,0,0,0,0,0.5,121,106,9
Batting Order Positions,Batting 7th,28,29.0,26,10.0,10,3,0,1,0,0,2,7,3.5,0.385,0.448,0.615,1.064,16.0,0.0,1.0,0,0,1,0,0.5,209,204,6
Batting Order Positions,Batting 8th,29,29.0,28,2.0,4,0,0,0,0,0,1,6,6.0,0.143,0.172,0.143,0.315,4.0,0.0,0.0,0,0,0,0,0.182,-6,-7,4
Batting Order Positions,Batting 9th,28,28.0,27,5.0,7,2,0,1,1,0,1,10,10.0,0.259,0.286,0.444,0.73,12.0,0.0,0.0,0,0,0,0,0.375,110,151,4
Batting Order Positions,"Bat1-2,non-P",45,71.0,67,10.0,14,4,2,2,0,0,4,15,3.75,0.209,0.254,0.418,0.671,28.0,1.0,0.0,0,0,0,1,0.24,93,74,6
Batting Order Positions,"Bat3-6,non-P",60,143.0,125,18.0,30,6,0,3,2,1,15,34,2.27,0.24,0.324,0.36,0.684,45.0,1.0,1.0,0,1,4,0,0.303,101,77,21
Batting Order Positions,"Bat7-9,non-P",42,83.0,78,17.0,21,5,0,2,1,0,4,20,5.0,0.269,0.313,0.41,0.724,32.0,0.0,1.0,0,0,1,0,0.339,111,110,14
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,78.0,72,10.0,22,5,1,1,,,5,14,2.8,0.306,0.359,0.444,0.803,32.0,0.0,1.0,0,0,0,0,0.368,135,124,15
Swung or Took First Pitch of PA,Took 1st Pitch,71,222.0,201,33.0,43,10,1,6,,,18,58,3.22,0.214,0.281,0.363,0.644,73.0,2.0,1.0,0,1,5,1,0.268,88,73,26
Count/Balls-Strikes,First Pitch,21,23.0,23,3.0,8,2,0,1,,,0,0,,0.348,0.348,0.565,0.913,13.0,0.0,0.0,0,0,0,0,0.318,162,96,5
Count/Balls-Strikes,1-0 Count,20,25.0,25,9.0,9,2,0,2,,,0,0,,0.36,0.36,0.68,1.04,17.0,1.0,0.0,0,0,0,0,0.304,196,111,5
Count/Balls-Strikes,2-0 Count,7,7.0,7,3.0,3,0,1,1,,,0,0,,0.429,0.429,1.143,1.572,8.0,0.0,0.0,0,0,0,0,0.333,339,202,1
Count/Balls-Strikes,3-0 Count,6,6.0,0,0.0,0,0,0,0,,,6,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,5,0,,,,0
Count/Balls-Strikes,0-1 Count,21,22.0,21,2.0,6,1,1,0,,,0,0,,0.286,0.273,0.429,0.701,9.0,0.0,0.0,0,1,0,0,0.273,102,68,4
Count/Balls-Strikes,1-1 Count,22,25.0,25,4.0,6,2,0,1,,,0,0,,0.24,0.24,0.44,0.68,11.0,0.0,0.0,0,0,0,0,0.208,94,53,3
Count/Balls-Strikes,2-1 Count,8,10.0,10,1.0,3,2,0,0,,,0,0,,0.3,0.3,0.5,0.8,5.0,0.0,0.0,0,0,0,0,0.3,130,74,1
Count/Balls-Strikes,3-1 Count,11,11.0,6,1.0,3,2,0,0,,,5,0,0.0,0.5,0.727,0.833,1.561,5.0,0.0,0.0,0,0,0,0,0.5,358,128,1
Count/Balls-Strikes,0-2 Count,20,22.0,21,0.0,3,1,0,0,,,0,10,,0.143,0.182,0.191,0.372,4.0,0.0,1.0,0,0,0,0,0.273,10,100,2
Count/Balls-Strikes,1-2 Count,41,57.0,55,5.0,5,0,0,0,,,0,27,,0.091,0.107,0.091,0.198,5.0,1.0,1.0,0,0,0,0,0.179,-41,-1,5
Count/Balls-Strikes,2-2 Count,37,41.0,41,7.0,8,1,0,1,,,0,18,,0.195,0.195,0.293,0.488,12.0,0.0,0.0,0,0,0,0,0.318,41,111,6
Count/Balls-Strikes,Full Count,39,51.0,39,8.0,11,2,0,1,,,12,17,1.42,0.282,0.451,0.41,0.861,16.0,0.0,0.0,0,0,0,1,0.476,156,112,8
Count/Balls-Strikes,After 1-0,61,121.0,104,21.0,24,6,1,4,,,16,27,1.69,0.231,0.333,0.423,0.756,44.0,1.0,0.0,0,0,5,1,0.274,121,80,13
Count/Balls-Strikes,After 2-0,27,36.0,24,7.0,10,3,1,2,,,12,6,0.5,0.417,0.611,0.875,1.486,21.0,0.0,0.0,0,0,5,1,0.5,330,200,4
Count/Balls-Strikes,After 3-0,13,15.0,8,2.0,4,2,0,1,,,7,4,0.57,0.5,0.733,1.125,1.858,9.0,0.0,0.0,0,0,5,0,1.0,436,207,1
Count/Balls-Strikes,After 0-1,65,156.0,146,19.0,33,7,1,2,,,7,45,6.43,0.226,0.269,0.329,0.598,48.0,1.0,2.0,0,1,0,0,0.31,75,95,23
Count/Balls-Strikes,After 1-1,64,135.0,123,14.0,19,4,0,2,,,10,45,4.5,0.155,0.224,0.236,0.46,29.0,1.0,1.0,0,0,0,0,0.224,36,36,13
Count/Balls-Strikes,After 2-1,46,67.0,53,6.0,9,3,0,0,,,14,21,1.5,0.17,0.343,0.226,0.57,12.0,0.0,0.0,0,0,0,1,0.281,73,43,6
Count/Balls-Strikes,After 3-1,25,28.0,19,5.0,7,2,0,1,,,9,6,0.67,0.368,0.571,0.632,1.203,12.0,0.0,0.0,0,0,0,0,0.5,254,129,4
Count/Balls-Strikes,After 0-2,40,59.0,57,8.0,13,3,0,0,,,1,21,21.0,0.228,0.254,0.281,0.535,16.0,0.0,1.0,0,0,0,0,0.361,57,138,10
Count/Balls-Strikes,After 1-2,55,94.0,90,14.0,17,2,0,1,,,2,37,18.5,0.189,0.215,0.244,0.46,22.0,1.0,1.0,0,0,0,0,0.308,35,81,14
Count/Balls-Strikes,After 2-2,51,75.0,67,11.0,15,3,0,1,,,8,29,3.63,0.224,0.307,0.313,0.62,21.0,0.0,0.0,0,0,0,1,0.378,83,107,11
Count/Balls-Strikes,Zero Balls,45,67.0,65,6.0,17,4,1,1,,,0,10,,0.262,0.269,0.4,0.669,26.0,0.0,1.0,0,1,0,0,0.291,93,85,11
Count/Balls-Strikes,Zero Strikes,39,61.0,55,15.0,20,4,1,4,,,6,0,0.0,0.364,0.426,0.691,1.117,38.0,1.0,0.0,0,0,5,0,0.314,221,119,11
