Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,73,286.0,235,18.0,29,7,0,1,8,4,45,104,2.31,0.123,0.267,0.166,0.433,39.0,4.0,2.0,1,3,4,3,0.211,100,21,21
Platoon Splits,vs RHB,68,156.0,129,7.0,15,4,0,0,6,2,24,56,2.33,0.116,0.258,0.147,0.405,19.0,4.0,1.0,1,1,1,2,0.203,85,15,11
Platoon Splits,vs LHB,65,130.0,106,9.0,14,3,0,1,2,2,21,48,2.29,0.132,0.277,0.189,0.466,20.0,0.0,1.0,0,2,3,1,0.22,118,28,10
Platoon Splits,vs RHB as RHP,68,156.0,129,7.0,15,4,0,0,6,2,24,56,2.33,0.116,0.258,0.147,0.405,19.0,4.0,1.0,1,1,1,2,0.203,85,17,11
Platoon Splits,vs LHB as RHP,65,130.0,106,9.0,14,3,0,1,2,2,21,48,2.29,0.132,0.277,0.189,0.466,20.0,0.0,1.0,0,2,3,1,0.22,118,26,10
Home or Away,Home,35,132.0,108,6.0,12,3,0,1,7,1,20,58,2.9,0.111,0.252,0.167,0.419,18.0,1.0,1.0,1,2,2,3,0.216,95,18,8
Home or Away,Away,38,154.0,127,12.0,17,4,0,0,1,3,25,46,1.84,0.134,0.279,0.165,0.445,21.0,3.0,1.0,0,1,2,0,0.207,104,23,13
First or Second Half,1st Half,43,162.0,131,9.0,14,5,0,1,6,1,28,55,1.96,0.107,0.267,0.168,0.435,22.0,2.0,1.0,1,1,2,1,0.171,101,22,8
First or Second Half,2nd Half,30,124.0,104,9.0,15,2,0,0,2,3,17,49,2.88,0.144,0.266,0.164,0.43,17.0,2.0,1.0,0,2,2,2,0.263,98,20,13
Months,April/March,14,49.0,37,3.0,2,0,0,0,2,1,12,19,1.58,0.054,0.286,0.054,0.34,2.0,2.0,0.0,0,0,0,0,0.111,40,2,2
Months,May,13,45.0,39,3.0,4,2,0,1,1,0,6,16,2.67,0.103,0.222,0.231,0.453,9.0,0.0,0.0,0,0,0,0,0.136,122,23,1
Months,June,13,54.0,43,2.0,6,1,0,0,3,0,8,18,2.25,0.14,0.283,0.163,0.446,7.0,0.0,1.0,1,1,2,1,0.231,104,25,5
Months,July,9,44.0,37,4.0,5,2,0,0,0,0,6,13,2.17,0.135,0.25,0.189,0.439,7.0,0.0,0.0,0,1,0,1,0.2,108,20,3
Months,August,12,52.0,45,4.0,9,2,0,0,2,1,7,20,2.86,0.2,0.308,0.244,0.552,11.0,1.0,0.0,0,0,2,0,0.36,162,48,7
Months,Sept/Oct,12,42.0,34,2.0,3,0,0,0,0,2,6,18,3.0,0.088,0.238,0.088,0.326,3.0,1.0,1.0,0,1,0,1,0.177,42,-4,3
Game Outcome for Pitcher,in Wins,10,42.0,33,2.0,6,3,0,0,3,2,9,13,1.44,0.182,0.357,0.273,0.63,9.0,2.0,0.0,0,0,1,0,0.3,198,127,3
Game Outcome for Pitcher,in Losses,1,4.0,2,3.0,1,0,0,0,0,0,2,1,0.5,0.5,0.75,0.5,1.25,1.0,0.0,0.0,0,0,0,0,1.0,482,168,1
Game Outcome for Pitcher,in No Dec.,46,173.0,145,10.0,16,2,0,1,5,2,24,63,2.63,0.11,0.238,0.145,0.383,21.0,1.0,1.0,1,2,3,2,0.181,77,8,13
Game Outcome for Pitcher,in Saves,16,67.0,55,3.0,6,2,0,0,0,0,10,27,2.7,0.109,0.254,0.146,0.399,8.0,1.0,1.0,0,1,0,1,0.207,83,68,4
Game Outcome for Pitcher,in Sv Situ,37,167.0,132,17.0,20,7,0,1,3,1,30,54,1.8,0.152,0.313,0.227,0.541,30.0,1.0,2.0,1,2,3,2,0.241,154,57,12
Game Outcome for Pitcher,in non-Sv,36,119.0,103,1.0,9,0,0,0,5,3,15,50,3.33,0.087,0.202,0.087,0.289,9.0,3.0,0.0,0,1,1,1,0.167,28,-19,9
Pitching Role,as Reliever,73,286.0,235,18.0,29,7,0,1,8,4,45,104,2.31,0.123,0.267,0.166,0.433,39.0,4.0,2.0,1,3,4,3,0.211,100,21,21
Batting Order Positions,Batting 1st,36,36.0,26,4.0,5,4,0,1,0,0,9,8,0.89,0.192,0.417,0.462,0.878,12.0,1.0,1.0,0,0,0,0,0.235,335,128,0
Batting Order Positions,Batting 2nd,39,39.0,33,0.0,2,0,0,0,1,2,4,16,4.0,0.061,0.184,0.061,0.245,2.0,0.0,1.0,1,0,0,2,0.118,6,-34,2
Batting Order Positions,Batting 3rd,31,30.0,26,3.0,3,0,0,0,1,1,3,10,3.33,0.115,0.2,0.115,0.315,3.0,2.0,0.0,0,1,0,0,0.177,44,-18,3
Batting Order Positions,Batting 4th,28,27.0,23,6.0,3,0,0,0,0,1,2,12,6.0,0.13,0.185,0.13,0.316,3.0,0.0,0.0,0,2,1,0,0.231,48,-18,3
Batting Order Positions,Batting 5th,20,20.0,16,0.0,1,0,0,0,2,0,4,6,1.5,0.063,0.25,0.063,0.313,1.0,0.0,0.0,0,0,1,0,0.1,32,-9,1
Batting Order Positions,Batting 6th,26,26.0,24,1.0,4,0,0,0,1,0,2,8,4.0,0.167,0.231,0.167,0.398,4.0,0.0,0.0,0,0,0,0,0.25,87,11,4
Batting Order Positions,Batting 7th,31,32.0,26,0.0,2,1,0,0,0,0,6,16,2.67,0.077,0.25,0.115,0.365,3.0,0.0,0.0,0,0,1,1,0.2,63,8,1
Batting Order Positions,Batting 8th,34,35.0,29,0.0,6,2,0,0,1,0,6,10,1.67,0.207,0.343,0.276,0.619,8.0,1.0,0.0,0,0,0,0,0.316,195,81,4
Batting Order Positions,Batting 9th,41,41.0,32,2.0,3,0,0,0,2,0,9,18,2.0,0.094,0.293,0.094,0.387,3.0,0.0,0.0,0,0,1,0,0.214,66,39,3
Batting Order Positions,"Bat1-2,non-P",46,75.0,59,4.0,7,4,0,1,1,2,13,24,1.85,0.119,0.297,0.237,0.535,14.0,1.0,2.0,1,0,0,2,0.177,154,39,2
Batting Order Positions,"Bat3-6,non-P",50,103.0,89,10.0,11,0,0,0,4,2,11,36,3.27,0.124,0.214,0.124,0.337,11.0,2.0,0.0,0,3,2,0,0.196,55,-8,11
Batting Order Positions,"Bat7-9,non-P",50,108.0,87,2.0,11,3,0,0,3,0,21,44,2.1,0.126,0.296,0.161,0.457,14.0,1.0,0.0,0,0,2,1,0.256,108,36,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,40,53.0,50,2.0,9,1,0,0,,,2,17,8.5,0.18,0.212,0.2,0.412,10.0,2.0,0.0,1,0,0,3,0.273,100,14,8
Swung or Took First Pitch of PA,Took 1st Pitch,71,233.0,185,14.0,20,6,0,1,,,43,87,2.02,0.108,0.279,0.157,0.436,29.0,2.0,2.0,0,3,4,0,0.19,99,21,13
Count/Balls-Strikes,First Pitch,18,20.0,19,2.0,7,1,0,0,,,0,0,,0.368,0.368,0.421,0.79,8.0,0.0,0.0,1,0,0,3,0.368,291,68,6
Count/Balls-Strikes,1-0 Count,9,12.0,9,3.0,1,1,0,0,,,0,0,,0.111,0.167,0.222,0.389,2.0,0.0,1.0,0,2,0,0,0.091,96,-18,0
Count/Balls-Strikes,2-0 Count,1,1.0,1,2.0,1,0,0,1,,,0,0,,1.0,1.0,4.0,5.0,4.0,0.0,0.0,0,0,0,0,,2684,745,0
Count/Balls-Strikes,3-0 Count,9,11.0,0,0.0,0,0,0,0,,,11,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,4,0,,,,0
Count/Balls-Strikes,0-1 Count,10,10.0,9,0.0,1,1,0,0,,,0,0,,0.111,0.2,0.222,0.422,2.0,2.0,1.0,0,0,0,0,0.111,109,0,0
Count/Balls-Strikes,1-1 Count,12,12.0,12,0.0,3,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,3.0,0.0,0.0,0,0,0,0,0.25,144,17,3
Count/Balls-Strikes,2-1 Count,17,18.0,18,2.0,3,2,0,0,,,0,0,,0.167,0.167,0.278,0.445,5.0,1.0,0.0,0,0,0,0,0.167,130,-9,1
Count/Balls-Strikes,3-1 Count,15,19.0,3,3.0,1,0,0,0,,,16,0,0.0,0.333,0.895,0.333,1.228,1.0,0.0,0.0,0,0,0,0,0.333,436,73,1
Count/Balls-Strikes,0-2 Count,24,27.0,27,2.0,2,0,0,0,,,0,16,,0.074,0.074,0.074,0.148,2.0,0.0,0.0,0,0,0,0,0.182,-28,-22,2
Count/Balls-Strikes,1-2 Count,36,49.0,49,0.0,4,0,0,0,,,0,35,,0.082,0.082,0.082,0.163,4.0,0.0,0.0,0,0,0,0,0.286,-20,-19,4
Count/Balls-Strikes,2-2 Count,44,60.0,59,2.0,5,1,0,0,,,0,35,,0.085,0.083,0.102,0.185,6.0,0.0,0.0,0,1,0,0,0.2,-8,-21,4
Count/Balls-Strikes,Full Count,36,47.0,29,0.0,1,1,0,0,,,18,18,1.0,0.035,0.404,0.069,0.473,2.0,1.0,0.0,0,0,0,0,0.091,93,8,0
Count/Balls-Strikes,After 1-0,59,121.0,84,12.0,12,3,0,1,,,33,38,1.15,0.143,0.38,0.214,0.595,18.0,0.0,1.0,0,3,4,0,0.229,171,44,8
Count/Balls-Strikes,After 2-0,35,45.0,23,4.0,4,2,0,1,,,22,9,0.41,0.174,0.578,0.391,0.969,9.0,0.0,0.0,0,0,4,0,0.231,352,90,1
Count/Balls-Strikes,After 3-0,18,22.0,4,1.0,1,0,0,0,,,18,2,0.11,0.25,0.864,0.25,1.114,1.0,0.0,0.0,0,0,4,0,0.5,374,64,1
Count/Balls-Strikes,After 0-1,71,145.0,132,2.0,10,3,0,0,,,12,66,5.5,0.076,0.159,0.099,0.257,13.0,4.0,1.0,0,0,0,0,0.152,19,-13,7
Count/Balls-Strikes,After 1-1,67,141.0,120,5.0,12,1,0,0,,,20,61,3.05,0.1,0.227,0.108,0.335,13.0,2.0,0.0,0,1,0,0,0.2,50,1,11
Count/Balls-Strikes,After 2-1,54,83.0,62,4.0,5,3,0,0,,,21,22,1.05,0.081,0.313,0.129,0.442,8.0,2.0,0.0,0,0,0,0,0.125,95,9,2
Count/Balls-Strikes,After 3-1,31,39.0,18,3.0,2,1,0,0,,,21,7,0.33,0.111,0.59,0.167,0.756,3.0,0.0,0.0,0,0,0,0,0.182,222,35,1
Count/Balls-Strikes,After 0-2,41,58.0,55,2.0,4,1,0,0,,,3,34,11.33,0.073,0.121,0.091,0.212,5.0,0.0,0.0,0,0,0,0,0.191,0,-5,3
Count/Balls-Strikes,After 1-2,56,99.0,92,2.0,8,1,0,0,,,6,64,10.67,0.087,0.141,0.098,0.239,9.0,0.0,0.0,0,1,0,0,0.276,12,-5,7
Count/Balls-Strikes,After 2-2,57,87.0,73,2.0,5,1,0,0,,,13,46,3.54,0.069,0.207,0.082,0.289,6.0,1.0,0.0,0,1,0,0,0.179,27,-3,4
Count/Balls-Strikes,Zero Balls,47,57.0,55,4.0,10,2,0,0,,,0,16,,0.182,0.196,0.218,0.415,12.0,2.0,1.0,1,0,0,3,0.256,105,14,8
Count/Balls-Strikes,Zero Strikes,32,44.0,29,7.0,9,2,0,1,,,11,0,0.0,0.31,0.488,0.483,0.971,14.0,0.0,1.0,1,2,4,3,0.267,374,93,6
Count/Balls-Strikes,Three Balls,47,77.0,32,3.0,2,1,0,0,,,45,18,0.4,0.063,0.61,0.094,0.704,3.0,1.0,0.0,0,0,4,0,0.143,185,33,1
Count/Balls-Strikes,Two Strikes,72,183.0,164,4.0,12,2,0,0,,,18,104,5.78,0.073,0.164,0.085,0.249,14.0,1.0,0.0,0,1,0,0,0.197,13,-4,10
Count/Balls-Strikes,Batter Ahead,59,108.0,60,10.0,7,4,0,1,,,45,18,0.4,0.117,0.491,0.233,0.724,14.0,2.0,1.0,0,2,4,0,0.14,224,46,2
Count/Balls-Strikes,Even Count,56,92.0,90,4.0,15,2,0,0,,,0,35,,0.167,0.165,0.189,0.354,17.0,0.0,0.0,1,1,0,3,0.268,76,-1,13
Count/Balls-Strikes,Pitcher Ahead,52,86.0,85,2.0,7,1,0,0,,,0,51,,0.082,0.093,0.094,0.187,8.0,2.0,1.0,0,0,0,0,0.206,-9,-26,6
Leading Off Inning,First Batter,73,73.0,65,0.0,9,0,0,0,,,8,24,3.0,0.139,0.233,0.139,0.371,9.0,2.0,0.0,0,0,0,2,0.22,70,7,9
Leading Off Inning,Leadoff Inn.,65,67.0,58,0.0,9,0,0,0,,,9,20,2.22,0.155,0.269,0.155,0.424,9.0,0.0,0.0,0,0,0,1,0.237,94,22,9
Opposition Defensive Position,vs. Non-P,73,286.0,235,16.0,29,7,0,1,8,4,45,104,2.31,0.123,0.267,0.166,0.433,39.0,4.0,2.0,1,3,4,3,0.211,100,19,21
Number of Outs in Inning,0 outs,66,94.0,80,0.0,10,0,0,0,1,0,14,32,2.29,0.125,0.255,0.125,0.38,10.0,2.0,0.0,0,0,0,2,0.208,71,8,10
Number of Outs in Inning,1 out,66,85.0,69,6.0,6,4,0,0,3,2,11,29,2.64,0.087,0.214,0.145,0.359,10.0,2.0,1.0,1,3,1,1,0.14,68,-1,2
Number of Outs in Inning,2 outs,70,107.0,86,10.0,13,3,0,1,4,2,20,43,2.15,0.151,0.318,0.221,0.539,19.0,0.0,1.0,0,0,3,0,0.286,152,51,9
Bases Occupied,RISP,31,78.0,60,16.0,10,2,0,1,1,1,15,25,1.67,0.167,0.321,0.25,0.571,15.0,2.0,0.0,0,3,4,1,0.243,171,50,7
Bases Occupied,---,66,158.0,133,0.0,15,4,0,0,0,0,23,59,2.57,0.113,0.253,0.143,0.396,19.0,0.0,2.0,0,0,0,1,0.203,81,15,11
Bases Occupied,Men On,47,128.0,102,16.0,14,3,0,1,8,4,22,45,2.05,0.137,0.284,0.196,0.48,20.0,4.0,0.0,1,3,4,2,0.22,124,28,10
Bases Occupied,1--,40,50.0,42,0.0,4,1,0,0,7,3,7,20,2.86,0.095,0.225,0.119,0.344,5.0,2.0,0.0,1,0,0,1,0.182,56,-5,3
Bases Occupied,-2-,17,22.0,16,5.0,4,2,0,1,0,1,6,6,1.0,0.25,0.455,0.563,1.017,9.0,0.0,0.0,0,0,2,0,0.333,410,163,1
Bases Occupied,--3,5,6.0,4,1.0,0,0,0,0,0,0,1,2,2.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0,1,1,0,0.0,-38,-54,0
Bases Occupied,12-,18,30.0,26,3.0,4,0,0,0,0,0,4,10,2.5,0.154,0.267,0.154,0.421,4.0,2.0,0.0,0,0,0,1,0.25,93,19,4
Bases Occupied,1-3,4,3.0,3,3.0,2,0,0,0,1,0,0,1,,0.667,0.667,0.667,1.333,2.0,0.0,0.0,0,0,0,0,1.0,552,231,2
Bases Occupied,-23,4,5.0,2,1.0,0,0,0,0,0,0,2,2,1.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0,1,1,0,0.0,50,1,0
Bases Occupied,123,6,12.0,9,3.0,0,0,0,0,0,0,2,4,2.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0,1,0,0,0.0,-38,-47,0
Bases Occupied,"on 1st, <2 out",26,50.0,41,3.0,3,0,0,0,1,0,7,20,2.86,0.073,0.204,0.073,0.277,3.0,4.0,0.0,1,1,0,2,0.136,20,-23,3
Bases Occupied,"on 3rd, <2 out",7,9.0,6,5.0,1,0,0,0,0,0,0,4,,0.167,0.111,0.167,0.278,1.0,0.0,0.0,0,3,0,0,0.2,42,-39,1
Bases Occupied,"on 3rd, 2 out",11,17.0,12,3.0,1,0,0,0,0,0,5,5,1.0,0.083,0.353,0.083,0.436,1.0,0.0,0.0,0,0,2,0,0.143,82,23,1
Bases Occupied,"0 out, ---",65,67.0,58,0.0,9,0,0,0,0,0,9,20,2.22,0.155,0.269,0.155,0.424,9.0,0.0,0.0,0,0,0,1,0.237,94,22,9
Bases Occupied,"0 out, 1--",18,17.0,13,0.0,1,0,0,0,1,0,4,7,1.75,0.077,0.294,0.077,0.371,1.0,2.0,0.0,0,0,0,0,0.167,57,3,1
Bases Occupied,"0 out, -2-",2,2.0,2,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 12-",6,6.0,5,0.0,0,0,0,0,0,0,1,3,3.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0,0,0,1,0.0,-38,-49,0
Bases Occupied,"0 out, 123",2,2.0,2,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, ---",47,48.0,39,0.0,3,3,0,0,0,0,8,16,2.0,0.077,0.25,0.154,0.404,6.0,0.0,1.0,0,0,0,0,0.13,86,18,0
Bases Occupied,"1 out, 1--",18,14.0,12,0.0,1,0,0,0,3,1,1,5,5.0,0.083,0.154,0.083,0.237,1.0,0.0,0.0,1,0,0,1,0.143,8,-34,1
Bases Occupied,"1 out, -2-",9,8.0,7,1.0,1,1,0,0,0,1,1,2,2.0,0.143,0.25,0.286,0.536,2.0,0.0,0.0,0,0,1,0,0.2,166,40,0
Bases Occupied,"1 out, --3",2,2.0,1,1.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, 12-",8,8.0,7,0.0,0,0,0,0,0,0,1,3,3.0,0.0,0.125,0.0,0.125,0.0,2.0,0.0,0,0,0,0,0.0,-53,-63,0
Bases Occupied,"1 out, 1-3",1,1.0,1,2.0,1,0,0,0,0,0,0,0,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0,0,0,0,1.0,877,375,1
Bases Occupied,"1 out, -23",2,2.0,1,1.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, 123",2,2.0,1,1.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,-100,-100,0
Bases Occupied,"2 out, ---",43,43.0,36,0.0,3,1,0,0,0,0,6,23,3.83,0.083,0.233,0.111,0.344,4.0,0.0,1.0,0,0,0,0,0.231,54,0,2
Bases Occupied,"2 out, 1--",25,19.0,17,0.0,2,1,0,0,3,2,2,8,4.0,0.118,0.211,0.177,0.387,3.0,0.0,0.0,0,0,0,0,0.222,85,7,1
Bases Occupied,"2 out, -2-",11,12.0,7,4.0,3,1,0,1,0,0,5,3,0.6,0.429,0.667,1.0,1.667,7.0,0.0,0.0,0,0,1,0,0.667,752,329,1
Bases Occupied,"2 out, --3",4,4.0,3,0.0,0,0,0,0,0,0,1,1,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0,0,1,0,0.0,-6,-29,0
Bases Occupied,"2 out, 12-",13,16.0,14,3.0,4,0,0,0,0,0,2,4,2.0,0.286,0.375,0.286,0.661,4.0,0.0,0.0,0,0,0,0,0.4,213,93,4
Bases Occupied,"2 out, 1-3",3,2.0,2,1.0,1,0,0,0,1,0,0,1,,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0,1.0,389,160,1
Bases Occupied,"2 out, -23",3,3.0,1,0.0,0,0,0,0,0,0,2,1,0.5,0.0,0.667,0.0,0.667,0.0,0.0,0.0,0,0,1,0,,150,75,0
Bases Occupied,"2 out, 123",5,8.0,6,2.0,0,0,0,0,0,0,2,2,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0,0,0,0,0.0,-6,-18,0
Clutch Stats,"2 outs, RISP",26,45.0,33,10.0,8,1,0,1,1,0,12,12,1.0,0.242,0.444,0.364,0.808,12.0,0.0,0.0,0,0,3,0,0.35,286,120,6
Clutch Stats,Late & Close,49,188.0,149,13.0,22,6,0,1,7,4,35,70,2.0,0.148,0.316,0.208,0.524,31.0,2.0,2.0,1,1,4,2,0.266,144,50,15
Clutch Stats,Tie Game,21,64.0,53,0.0,5,0,0,0,4,4,11,29,2.64,0.094,0.25,0.094,0.344,5.0,2.0,0.0,0,0,4,0,0.208,50,0,5
Clutch Stats,Within 1 R,35,130.0,106,7.0,13,4,0,1,6,4,20,53,2.65,0.123,0.271,0.189,0.46,20.0,2.0,2.0,1,1,4,1,0.226,115,29,8
Clutch Stats,Within 2 R,47,195.0,155,13.0,24,6,0,1,7,4,36,70,1.94,0.155,0.32,0.213,0.533,33.0,3.0,2.0,1,1,4,2,0.271,148,49,17
Clutch Stats,Within 3 R,63,254.0,207,14.0,28,7,0,1,8,4,43,94,2.19,0.135,0.289,0.184,0.472,38.0,3.0,2.0,1,1,4,2,0.239,119,33,20
Clutch Stats,Within 4 R,69,273.0,225,15.0,29,7,0,1,8,4,43,102,2.37,0.129,0.272,0.173,0.445,39.0,4.0,2.0,1,2,4,2,0.226,106,25,21
Clutch Stats,Margin > 4 R,4,13.0,10,1.0,0,0,0,0,0,0,2,2,1.0,0.0,0.154,0.0,0.154,0.0,0.0,0.0,0,1,0,1,0.0,-42,-53,0
Clutch Stats,Ahead,47,186.0,151,14.0,20,7,0,1,2,0,29,59,2.03,0.133,0.276,0.199,0.474,30.0,1.0,2.0,1,3,0,3,0.202,123,35,12
Clutch Stats,Behind,11,36.0,31,2.0,4,0,0,0,2,0,5,16,3.2,0.129,0.25,0.129,0.379,4.0,1.0,0.0,0,0,0,0,0.267,71,4,4
Leverage,High Lvrge,42,143.0,110,13.0,19,4,0,1,5,3,29,48,1.66,0.173,0.352,0.236,0.589,26.0,2.0,2.0,1,1,4,2,0.29,174,62,14
Leverage,Medium Lvrge,39,58.0,52,0.0,4,2,0,0,2,1,6,20,3.33,0.077,0.172,0.115,0.288,6.0,1.0,0.0,0,0,0,0,0.125,34,-20,2
Leverage,Low Lvrge,37,85.0,73,3.0,6,1,0,0,1,0,10,36,3.6,0.082,0.188,0.096,0.284,7.0,1.0,0.0,0,2,0,1,0.154,28,-20,5
Times Facing Opponent in Game,"1st PA in G, as RP",73,284.0,233,16.0,29,7,0,1,,,45,104,2.31,0.125,0.269,0.167,0.436,39.0,4.0,2.0,1,3,4,3,0.214,101,23,21
Times Facing Opponent in Game,"2nd PA in G, as RP",2,2.0,2,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Pitch Count,Pitch 1-25,73,267.0,223,14.0,27,7,0,1,,,38,99,2.61,0.121,0.252,0.166,0.418,37.0,4.0,2.0,1,3,3,3,0.206,94,16,19
Pitch Count,Pitch 26-50,7,19.0,12,2.0,2,0,0,0,,,7,5,0.71,0.167,0.474,0.167,0.64,2.0,0.0,0.0,0,0,1,0,0.286,178,87,2
Days of Rest,"0 Days,GR",17,50.0,47,0.0,4,1,0,0,0,0,3,19,6.33,0.085,0.14,0.106,0.246,5.0,1.0,0.0,0,0,0,0,0.143,16,-32,3
Days of Rest,"1 Day,GR",29,126.0,96,11.0,14,3,0,0,5,4,26,39,1.5,0.146,0.336,0.177,0.513,17.0,2.0,2.0,1,1,3,2,0.241,133,46,11
Days of Rest,"2 Days,GR",13,49.0,38,2.0,3,1,0,1,3,0,10,21,2.1,0.079,0.265,0.184,0.45,7.0,0.0,0.0,0,1,1,1,0.118,110,25,1
Days of Rest,"3 Days,GR",7,25.0,23,1.0,2,0,0,0,0,0,2,14,7.0,0.087,0.16,0.087,0.247,2.0,0.0,0.0,0,0,0,0,0.222,12,-28,2
