Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,70,272.0,249,30.0,65,10,2,8,1,2,15,41,2.73,0.261,0.307,0.414,0.721,103.0,6.0,3.0,2,3,2,2,0.281,100,99,45
Platoon Splits,vs RHB,65,155.0,143,15.0,35,6,1,4,1,2,7,31,4.43,0.245,0.288,0.385,0.672,55.0,1.0,2.0,2,1,2,2,0.284,87,86,24
Platoon Splits,vs LHB,57,117.0,106,20.0,30,4,1,4,0,0,8,10,1.25,0.283,0.333,0.453,0.786,48.0,5.0,1.0,0,2,0,0,0.277,118,115,21
Platoon Splits,vs RHB as RHP,65,155.0,143,15.0,35,6,1,4,1,2,7,31,4.43,0.245,0.288,0.385,0.672,55.0,1.0,2.0,2,1,2,2,0.284,87,91,24
Platoon Splits,vs LHB as RHP,57,117.0,106,20.0,30,4,1,4,0,0,8,10,1.25,0.283,0.333,0.453,0.786,48.0,5.0,1.0,0,2,0,0,0.277,118,109,21
Home or Away,Home,42,166.0,150,18.0,40,6,0,4,1,2,11,22,2.0,0.267,0.327,0.387,0.714,58.0,4.0,3.0,1,1,1,1,0.288,100,103,30
Home or Away,Away,28,106.0,99,12.0,25,4,2,4,0,0,4,19,4.75,0.253,0.276,0.455,0.731,45.0,2.0,0.0,1,2,1,1,0.269,100,94,15
First or Second Half,1st Half,33,127.0,116,16.0,31,3,2,4,0,0,6,19,3.17,0.267,0.31,0.431,0.741,50.0,3.0,2.0,1,2,1,1,0.284,105,103,22
First or Second Half,2nd Half,37,145.0,133,14.0,34,7,0,4,1,2,9,22,2.44,0.256,0.306,0.399,0.704,53.0,3.0,1.0,1,1,1,1,0.278,96,94,23
Months,April/March,7,24.0,23,1.0,3,1,1,1,0,0,1,5,5.0,0.13,0.167,0.391,0.558,9.0,0.0,0.0,0,0,0,0,0.118,49,52,0
Months,May,12,43.0,40,3.0,10,1,1,1,0,0,2,9,4.5,0.25,0.279,0.4,0.679,16.0,2.0,0.0,0,1,1,0,0.29,88,85,7
Months,June,11,49.0,44,12.0,17,1,0,2,0,0,2,5,2.5,0.386,0.429,0.546,0.974,24.0,1.0,2.0,0,1,0,1,0.395,171,167,14
Months,July,10,32.0,28,2.0,7,0,0,0,0,0,1,4,4.0,0.25,0.267,0.25,0.517,7.0,0.0,0.0,2,1,0,1,0.28,47,44,7
Months,August,15,61.0,56,7.0,14,3,0,2,0,0,4,6,1.5,0.25,0.312,0.411,0.722,23.0,2.0,1.0,0,0,1,0,0.25,101,99,9
Months,Sept/Oct,15,63.0,58,5.0,14,4,0,2,1,2,5,12,2.4,0.241,0.302,0.414,0.715,24.0,1.0,0.0,0,0,0,0,0.273,98,99,8
Game Outcome for Pitcher,in Wins,3,10.0,8,0.0,1,1,0,0,0,1,2,1,0.5,0.125,0.3,0.25,0.55,2.0,0.0,0.0,0,0,0,0,0.143,58,94,0
Game Outcome for Pitcher,in Losses,8,37.0,32,15.0,16,1,1,4,0,1,2,2,1.0,0.5,0.528,0.969,1.497,31.0,0.0,1.0,1,1,0,2,0.444,306,211,10
Game Outcome for Pitcher,in No Dec.,40,161.0,148,14.0,37,7,0,3,1,0,9,26,2.89,0.25,0.294,0.358,0.652,53.0,3.0,1.0,1,2,2,0,0.281,82,84,27
Game Outcome for Pitcher,in Saves,19,64.0,61,1.0,11,1,1,1,0,0,2,12,6.0,0.18,0.219,0.279,0.498,17.0,3.0,1.0,0,0,0,0,0.208,39,136,8
Game Outcome for Pitcher,in Sv Situ,29,100.0,92,8.0,20,3,1,2,0,0,4,17,4.25,0.217,0.27,0.337,0.607,31.0,4.0,3.0,0,1,1,1,0.243,69,89,14
Game Outcome for Pitcher,in non-Sv,41,172.0,157,22.0,45,7,1,6,1,2,11,24,2.18,0.287,0.329,0.459,0.788,72.0,2.0,0.0,2,2,1,1,0.302,118,119,31
Pitching Role,as Reliever,70,272.0,249,30.0,65,10,2,8,1,2,15,41,2.73,0.261,0.307,0.414,0.721,103.0,6.0,3.0,2,3,2,2,0.281,100,106,45
Batting Order Positions,Batting 1st,32,32.0,31,3.0,11,3,1,1,0,0,1,1,1.0,0.355,0.375,0.613,0.988,19.0,0.0,0.0,0,0,0,0,0.345,170,173,6
Batting Order Positions,Batting 2nd,27,27.0,27,5.0,7,2,1,0,0,0,0,5,,0.259,0.259,0.407,0.667,11.0,1.0,0.0,0,0,0,1,0.318,83,84,4
Batting Order Positions,Batting 3rd,28,28.0,25,1.0,4,0,0,0,1,0,3,4,1.33,0.16,0.25,0.16,0.41,4.0,1.0,0.0,0,0,2,0,0.191,20,6,4
Batting Order Positions,Batting 4th,26,27.0,22,7.0,8,0,0,2,0,1,2,1,0.5,0.364,0.444,0.636,1.081,14.0,0.0,2.0,0,1,0,0,0.3,198,165,6
Batting Order Positions,Batting 5th,30,30.0,30,5.0,8,0,0,2,0,0,0,5,,0.267,0.267,0.467,0.733,14.0,1.0,0.0,0,0,0,0,0.261,100,90,6
Batting Order Positions,Batting 6th,33,33.0,29,6.0,8,2,0,1,0,1,3,4,1.33,0.276,0.364,0.448,0.812,13.0,1.0,1.0,0,0,0,0,0.292,127,120,5
Batting Order Positions,Batting 7th,32,32.0,29,4.0,8,0,0,1,0,0,2,9,4.5,0.276,0.323,0.379,0.702,11.0,0.0,0.0,1,0,0,0,0.368,97,99,7
Batting Order Positions,Batting 8th,29,29.0,26,1.0,5,2,0,0,0,0,2,6,3.0,0.192,0.25,0.269,0.519,7.0,1.0,0.0,1,0,0,1,0.25,46,55,3
Batting Order Positions,Batting 9th,34,34.0,30,3.0,6,1,0,1,0,0,2,6,3.0,0.2,0.235,0.333,0.569,10.0,1.0,0.0,0,2,0,0,0.2,57,105,4
Batting Order Positions,"Bat1-2,non-P",39,59.0,58,8.0,18,5,2,1,0,0,1,6,6.0,0.31,0.322,0.517,0.839,30.0,1.0,0.0,0,0,0,1,0.333,130,132,10
Batting Order Positions,"Bat3-6,non-P",51,118.0,106,19.0,28,2,0,5,1,2,8,14,1.75,0.264,0.331,0.425,0.755,45.0,3.0,3.0,0,1,2,0,0.261,111,94,21
Batting Order Positions,"Bat7-9,non-P",48,95.0,85,8.0,19,3,0,2,0,0,6,21,3.5,0.224,0.269,0.329,0.598,28.0,2.0,0.0,2,2,0,1,0.266,67,75,14
Swung or Took First Pitch of PA,Swung at 1st Pitch,41,66.0,63,13.0,20,4,0,2,,,0,5,,0.318,0.313,0.476,0.789,30.0,2.0,0.0,2,1,0,1,0.316,117,118,14
Swung or Took First Pitch of PA,Took 1st Pitch,69,206.0,186,22.0,45,6,2,6,,,15,36,2.4,0.242,0.306,0.393,0.698,73.0,4.0,3.0,0,2,2,1,0.267,94,92,31
Count/Balls-Strikes,First Pitch,28,34.0,32,4.0,12,2,0,1,,,0,0,,0.375,0.394,0.531,0.925,17.0,1.0,1.0,1,0,0,1,0.355,157,113,9
Count/Balls-Strikes,1-0 Count,14,18.0,18,4.0,6,1,1,1,,,0,0,,0.333,0.333,0.667,1.0,12.0,3.0,0.0,0,0,0,0,0.294,170,115,3
Count/Balls-Strikes,2-0 Count,3,3.0,3,2.0,2,0,0,0,,,0,0,,0.667,0.667,0.667,1.333,2.0,0.0,0.0,0,0,0,0,0.667,278,199,2
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,18,21.0,21,2.0,5,1,0,0,,,0,0,,0.238,0.238,0.286,0.524,6.0,0.0,0.0,0,0,0,0,0.238,47,32,4
Count/Balls-Strikes,1-1 Count,24,28.0,27,6.0,10,2,0,1,,,0,0,,0.37,0.393,0.556,0.949,15.0,0.0,1.0,0,0,0,1,0.346,162,127,7
