Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,65,242.0,209,24.0,53,8,0,6,1,1,24,46,1.92,0.254,0.342,0.378,0.72,79.0,4.0,5.0,2,2,2,0,0.296,100,93,39
Platoon Splits,vs RHB,63,164.0,138,23.0,36,5,0,6,1,1,17,33,1.94,0.261,0.358,0.428,0.786,59.0,1.0,5.0,2,2,2,0,0.297,118,113,25
Platoon Splits,vs LHB,48,78.0,71,2.0,17,3,0,0,0,0,7,13,1.86,0.239,0.308,0.282,0.589,20.0,3.0,0.0,0,0,0,0,0.293,65,57,14
Platoon Splits,vs RHB as LHP,63,164.0,138,23.0,36,5,0,6,1,1,17,33,1.94,0.261,0.358,0.428,0.786,59.0,1.0,5.0,2,2,2,0,0.297,118,105,25
Platoon Splits,vs LHB as LHP,48,78.0,71,2.0,17,3,0,0,0,0,7,13,1.86,0.239,0.308,0.282,0.589,20.0,3.0,0.0,0,0,0,0,0.293,65,70,14
Home or Away,Home,30,117.0,99,15.0,29,2,0,4,0,1,11,23,2.09,0.293,0.391,0.434,0.826,43.0,1.0,5.0,2,0,0,0,0.347,129,127,23
Home or Away,Away,35,125.0,110,9.0,24,6,0,2,1,0,13,23,1.77,0.218,0.296,0.327,0.623,36.0,3.0,0.0,0,2,2,0,0.253,73,63,16
First or Second Half,1st Half,34,128.0,114,11.0,27,3,0,2,0,1,9,34,3.78,0.237,0.31,0.316,0.625,36.0,2.0,3.0,2,0,0,0,0.321,74,69,22
First or Second Half,2nd Half,31,114.0,95,13.0,26,5,0,4,1,0,15,12,0.8,0.274,0.377,0.453,0.83,43.0,2.0,2.0,0,2,2,0,0.272,130,121,17
Months,April/March,8,38.0,33,5.0,10,0,0,1,0,1,3,12,4.0,0.303,0.395,0.394,0.789,13.0,0.0,2.0,0,0,0,0,0.45,120,109,9
Months,May,12,46.0,43,6.0,12,2,0,1,0,0,3,7,2.33,0.279,0.326,0.395,0.721,17.0,1.0,0.0,0,0,0,0,0.314,100,92,9
Months,June,10,32.0,26,0.0,3,1,0,0,0,0,3,11,3.67,0.115,0.233,0.154,0.387,4.0,1.0,1.0,2,0,0,0,0.2,9,9,2
Months,July,11,37.0,32,6.0,9,1,0,2,0,0,4,7,1.75,0.281,0.351,0.5,0.851,16.0,1.0,0.0,0,1,0,0,0.292,135,126,6
Months,August,9,31.0,27,2.0,5,1,0,1,1,0,1,2,2.0,0.185,0.258,0.333,0.591,9.0,0.0,2.0,0,1,0,0,0.16,64,54,3
