Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,70,311.0,282,16.0,62,10,3,3,0,1,26,93,3.58,0.22,0.288,0.309,0.597,87.0,2.0,1.0,1,0,5,1,0.317,100,65,46
Platoon Splits,vs RHB,63,166.0,156,12.0,36,6,2,1,0,0,8,45,5.63,0.231,0.273,0.314,0.587,49.0,2.0,1.0,1,0,0,1,0.318,96,64,27
Platoon Splits,vs LHB,63,145.0,126,8.0,26,4,1,2,0,1,18,48,2.67,0.206,0.306,0.302,0.607,38.0,0.0,0.0,0,0,5,0,0.316,104,67,19
Platoon Splits,vs RHB as RHP,63,166.0,156,12.0,36,6,2,1,0,0,8,45,5.63,0.231,0.273,0.314,0.587,49.0,2.0,1.0,1,0,0,1,0.318,96,66,27
Platoon Splits,vs LHB as RHP,63,145.0,126,8.0,26,4,1,2,0,1,18,48,2.67,0.206,0.306,0.302,0.607,38.0,0.0,0.0,0,0,5,0,0.316,104,64,19
Home or Away,Home,38,181.0,163,10.0,39,6,3,2,0,0,17,53,3.12,0.239,0.311,0.35,0.661,57.0,2.0,0.0,0,0,4,1,0.343,121,88,28
Home or Away,Away,32,130.0,119,6.0,23,4,0,1,0,1,9,40,4.44,0.193,0.256,0.252,0.508,30.0,0.0,1.0,1,0,1,0,0.282,70,37,18
First or Second Half,1st Half,35,163.0,145,8.0,34,4,1,1,0,0,16,50,3.13,0.235,0.315,0.297,0.611,43.0,0.0,1.0,1,0,3,0,0.351,106,69,28
First or Second Half,2nd Half,35,148.0,137,8.0,28,6,2,2,0,1,10,43,4.3,0.204,0.259,0.321,0.58,44.0,2.0,0.0,0,0,2,1,0.283,94,61,18
Months,April/March,8,34.0,29,2.0,5,1,0,0,0,0,5,9,1.8,0.172,0.294,0.207,0.501,6.0,0.0,0.0,0,0,1,0,0.25,69,40,4
Months,May,11,49.0,45,3.0,11,2,0,0,0,0,3,22,7.33,0.244,0.306,0.289,0.595,13.0,0.0,1.0,0,0,1,0,0.478,100,65,9
Months,June,12,60.0,55,3.0,15,1,1,1,0,0,5,14,2.8,0.273,0.333,0.382,0.715,21.0,0.0,0.0,0,0,1,0,0.35,139,96,12
Months,July,13,57.0,52,4.0,13,3,0,1,0,0,4,19,4.75,0.25,0.304,0.365,0.669,19.0,0.0,0.0,1,0,0,0,0.375,124,82,9
Months,August,12,54.0,48,2.0,10,0,2,0,0,0,5,13,2.6,0.208,0.283,0.292,0.575,14.0,2.0,0.0,0,0,2,1,0.286,93,61,8
Months,Sept/Oct,14,57.0,53,2.0,8,3,0,1,0,1,4,16,4.0,0.151,0.211,0.264,0.475,14.0,0.0,0.0,0,0,0,0,0.194,59,34,4
Game Outcome for Pitcher,in Wins,3,15.0,13,2.0,3,0,0,1,0,0,2,3,1.5,0.231,0.333,0.462,0.795,6.0,0.0,0.0,0,0,0,0,0.222,165,174,2
Game Outcome for Pitcher,in Losses,3,20.0,19,3.0,8,3,2,0,0,0,1,4,4.0,0.421,0.45,0.79,1.24,15.0,0.0,0.0,0,0,0,0,0.533,312,159,3
Game Outcome for Pitcher,in No Dec.,16,84.0,71,5.0,19,4,0,0,0,0,11,20,1.82,0.268,0.366,0.324,0.69,23.0,1.0,0.0,1,0,4,1,0.373,132,95,15
Game Outcome for Pitcher,in Saves,48,192.0,179,6.0,32,3,1,2,0,1,12,66,5.5,0.179,0.234,0.24,0.475,43.0,1.0,1.0,0,0,1,0,0.27,59,103,26
Game Outcome for Pitcher,in Sv Situ,53,227.0,210,14.0,46,8,3,3,0,1,16,72,4.5,0.219,0.278,0.329,0.606,69.0,1.0,1.0,0,0,2,0,0.319,103,80,32
Game Outcome for Pitcher,in non-Sv,17,84.0,72,2.0,16,2,0,0,0,0,10,21,2.1,0.222,0.317,0.25,0.567,18.0,1.0,0.0,1,0,3,1,0.314,91,58,14
Pitching Role,as Reliever,70,311.0,282,16.0,62,10,3,3,0,1,26,93,3.58,0.22,0.288,0.309,0.597,87.0,2.0,1.0,1,0,5,1,0.317,100,68,46
Batting Order Positions,Batting 1st,30,31.0,27,0.0,3,0,0,0,0,0,3,10,3.33,0.111,0.2,0.111,0.311,3.0,1.0,0.0,0,0,0,0,0.177,5,-10,3
Batting Order Positions,Batting 2nd,38,38.0,36,2.0,7,2,0,0,0,0,2,10,5.0,0.194,0.237,0.25,0.487,9.0,0.0,0.0,0,0,0,0,0.269,63,34,5
Batting Order Positions,Batting 3rd,38,39.0,33,4.0,10,1,1,1,0,0,6,12,2.0,0.303,0.41,0.485,0.895,16.0,0.0,0.0,0,0,2,0,0.45,199,119,7
Batting Order Positions,Batting 4th,39,40.0,36,5.0,10,4,1,1,0,0,4,12,3.0,0.278,0.35,0.528,0.878,19.0,0.0,0.0,0,0,0,0,0.391,192,116,4
Batting Order Positions,Batting 5th,37,37.0,35,5.0,8,2,0,0,0,0,2,11,5.5,0.229,0.27,0.286,0.556,10.0,0.0,0.0,0,0,1,0,0.333,86,46,6
Batting Order Positions,Batting 6th,34,34.0,31,0.0,4,0,1,0,0,1,3,8,2.67,0.129,0.206,0.194,0.399,6.0,1.0,0.0,0,0,1,0,0.174,34,10,3
Batting Order Positions,Batting 7th,32,32.0,31,0.0,4,0,0,0,0,0,1,11,11.0,0.129,0.156,0.129,0.285,4.0,0.0,0.0,0,0,0,1,0.2,-4,-17,4
Batting Order Positions,Batting 8th,28,29.0,26,1.0,9,0,0,0,0,0,2,8,4.0,0.346,0.414,0.346,0.76,9.0,0.0,1.0,0,0,0,0,0.5,156,126,9
Batting Order Positions,Batting 9th,31,31.0,27,3.0,7,1,0,1,0,0,3,11,3.67,0.259,0.333,0.407,0.741,11.0,0.0,0.0,1,0,1,0,0.4,147,166,5
Batting Order Positions,"Bat1-2,non-P",43,69.0,63,2.0,10,2,0,0,0,0,5,20,4.0,0.159,0.221,0.191,0.411,12.0,1.0,0.0,0,0,0,0,0.233,38,16,8
Batting Order Positions,"Bat3-6,non-P",54,150.0,135,14.0,32,7,3,2,0,1,15,43,2.87,0.237,0.313,0.378,0.691,51.0,1.0,0.0,0,0,4,0,0.333,131,77,20
Batting Order Positions,"Bat7-9,non-P",47,91.0,84,4.0,20,1,0,1,0,0,6,30,5.0,0.238,0.297,0.286,0.582,24.0,0.0,1.0,0,0,1,1,0.359,96,73,18
Swung or Took First Pitch of PA,Swung at 1st Pitch,37,65.0,62,3.0,19,2,0,0,,,1,16,16.0,0.307,0.328,0.339,0.667,21.0,1.0,1.0,1,0,0,0,0.413,124,91,17
Swung or Took First Pitch of PA,Took 1st Pitch,70,246.0,220,17.0,43,8,3,3,,,25,77,3.08,0.196,0.278,0.3,0.578,66.0,1.0,0.0,0,0,5,1,0.286,94,59,29
Count/Balls-Strikes,First Pitch,20,21.0,21,1.0,7,0,0,0,,,0,0,,0.333,0.333,0.333,0.667,7.0,0.0,0.0,0,0,0,0,0.333,123,60,7
Count/Balls-Strikes,1-0 Count,14,15.0,15,1.0,5,0,1,1,,,0,0,,0.333,0.333,0.667,1.0,10.0,0.0,0.0,0,0,0,0,0.286,232,118,3
Count/Balls-Strikes,2-0 Count,4,4.0,4,0.0,1,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0,0,0,0,0.25,68,14,1
Count/Balls-Strikes,3-0 Count,6,6.0,0,0.0,0,0,0,0,,,6,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,5,0,,,,0
Count/Balls-Strikes,0-1 Count,20,27.0,26,4.0,10,2,0,1,,,0,0,,0.385,0.385,0.577,0.962,15.0,0.0,0.0,1,0,0,0,0.36,220,138,7
Count/Balls-Strikes,1-1 Count,15,19.0,19,2.0,6,1,0,0,,,0,0,,0.316,0.316,0.368,0.684,7.0,0.0,0.0,0,0,0,1,0.316,129,70,5
Count/Balls-Strikes,2-1 Count,15,15.0,15,1.0,3,1,0,0,,,0,0,,0.2,0.2,0.267,0.467,4.0,0.0,0.0,0,0,0,0,0.2,56,11,2
