Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,64,245.0,215,27.0,51,4,1,8,1,0,21,67,3.19,0.237,0.317,0.377,0.694,81.0,5.0,5.0,2,2,3,3,0.303,100,92,38
Platoon Splits,vs RHB,57,114.0,101,17.0,30,0,0,6,1,0,7,28,4.0,0.297,0.372,0.475,0.847,48.0,3.0,5.0,1,0,2,1,0.358,143,135,24
Platoon Splits,vs LHB,59,131.0,114,12.0,21,4,1,2,0,0,14,39,2.79,0.184,0.269,0.29,0.559,33.0,2.0,0.0,1,2,1,2,0.253,62,53,14
Platoon Splits,vs RHB as RHP,57,114.0,101,17.0,30,0,0,6,1,0,7,28,4.0,0.297,0.372,0.475,0.847,48.0,3.0,5.0,1,0,2,1,0.358,143,138,24
Platoon Splits,vs LHB as RHP,59,131.0,114,12.0,21,4,1,2,0,0,14,39,2.79,0.184,0.269,0.29,0.559,33.0,2.0,0.0,1,2,1,2,0.253,62,50,14
Home or Away,Home,32,120.0,106,17.0,27,2,1,4,1,0,7,31,4.43,0.255,0.319,0.406,0.725,43.0,2.0,4.0,1,2,1,2,0.315,108,102,20
Home or Away,Away,32,125.0,109,10.0,24,2,0,4,0,0,14,36,2.57,0.22,0.315,0.349,0.663,38.0,3.0,1.0,1,0,2,1,0.29,92,82,18
First or Second Half,1st Half,39,152.0,140,15.0,31,3,0,4,0,0,6,50,8.33,0.221,0.272,0.329,0.6,46.0,3.0,4.0,1,1,0,2,0.31,73,66,24
First or Second Half,2nd Half,25,93.0,75,12.0,20,1,1,4,1,0,15,17,1.13,0.267,0.391,0.467,0.858,35.0,2.0,1.0,1,1,3,1,0.291,147,136,14
Months,April/March,13,52.0,49,3.0,12,2,0,1,0,0,2,20,10.0,0.245,0.289,0.347,0.635,17.0,2.0,1.0,0,0,0,0,0.393,83,77,9
Months,May,12,48.0,45,6.0,9,0,0,1,0,0,2,14,7.0,0.2,0.234,0.267,0.501,12.0,0.0,0.0,1,0,0,1,0.267,45,39,8
Months,June,10,36.0,33,5.0,8,1,0,2,0,0,1,11,11.0,0.242,0.278,0.455,0.732,15.0,1.0,1.0,0,1,0,0,0.286,108,101,5
Months,July,10,42.0,37,3.0,10,0,0,1,1,0,3,10,3.33,0.27,0.357,0.351,0.709,13.0,1.0,2.0,0,0,1,1,0.346,106,94,9
Months,August,11,38.0,32,2.0,5,1,0,0,0,0,4,8,2.0,0.156,0.263,0.188,0.451,6.0,1.0,1.0,0,1,0,0,0.2,33,28,4
Months,Sept/Oct,8,29.0,19,8.0,7,0,1,3,0,0,9,4,0.44,0.368,0.571,0.947,1.519,18.0,0.0,0.0,1,0,2,1,0.333,331,316,3
