Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,74,323.0,282,29.0,66,15,1,3,4,2,32,84,2.63,0.234,0.325,0.326,0.651,92.0,5.0,6.0,3,0,3,6,0.323,100,76,47
Platoon Splits,vs RHB,69,207.0,185,25.0,46,12,1,3,1,1,20,56,2.8,0.249,0.329,0.373,0.702,69.0,3.0,2.0,0,0,3,5,0.341,116,91,30
Platoon Splits,vs LHB,63,116.0,97,3.0,20,3,0,0,3,1,12,28,2.33,0.206,0.319,0.237,0.556,23.0,2.0,4.0,3,0,0,1,0.29,71,50,17
Platoon Splits,vs RHB as LHP,69,207.0,185,25.0,46,12,1,3,1,1,20,56,2.8,0.249,0.329,0.373,0.702,69.0,3.0,2.0,0,0,3,5,0.341,116,83,30
Platoon Splits,vs LHB as LHP,63,116.0,97,3.0,20,3,0,0,3,1,12,28,2.33,0.206,0.319,0.237,0.556,23.0,2.0,4.0,3,0,0,1,0.29,71,62,17
Home or Away,Home,38,158.0,139,5.0,24,6,0,0,3,2,13,44,3.38,0.173,0.268,0.216,0.483,30.0,4.0,5.0,1,0,0,4,0.253,49,35,18
Home or Away,Away,36,165.0,143,24.0,42,9,1,3,1,0,19,40,2.11,0.294,0.38,0.434,0.814,62.0,1.0,1.0,2,0,3,2,0.39,150,113,29
First or Second Half,1st Half,39,169.0,146,19.0,36,10,0,3,2,1,17,32,1.88,0.247,0.337,0.377,0.714,55.0,5.0,3.0,3,0,2,5,0.297,119,92,23
First or Second Half,2nd Half,35,154.0,136,10.0,30,5,1,0,2,1,15,52,3.47,0.221,0.312,0.272,0.584,37.0,0.0,3.0,0,0,1,1,0.357,79,59,24
Months,April/March,11,49.0,40,11.0,12,4,0,1,0,0,6,8,1.33,0.3,0.404,0.475,0.879,19.0,1.0,1.0,2,0,2,3,0.355,170,131,7
