Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,68,286.0,248,27.0,54,11,1,4,2,1,30,80,2.67,0.218,0.305,0.319,0.624,79.0,2.0,3.0,1,4,2,1,0.298,100,79,38
Platoon Splits,vs RHB,63,153.0,137,16.0,25,7,0,1,0,0,11,47,4.27,0.183,0.248,0.256,0.504,35.0,2.0,2.0,0,3,0,0,0.261,61,43,17
Platoon Splits,vs LHB,63,133.0,111,15.0,29,4,1,3,2,1,19,33,1.74,0.261,0.371,0.396,0.768,44.0,0.0,1.0,1,1,2,1,0.342,146,122,21
Platoon Splits,vs RHB as RHP,63,153.0,137,16.0,25,7,0,1,0,0,11,47,4.27,0.183,0.248,0.256,0.504,35.0,2.0,2.0,0,3,0,0,0.261,61,46,17
Platoon Splits,vs LHB as RHP,63,133.0,111,15.0,29,4,1,3,2,1,19,33,1.74,0.261,0.371,0.396,0.768,44.0,0.0,1.0,1,1,2,1,0.342,146,119,21
Home or Away,Home,35,147.0,131,13.0,27,6,0,1,1,0,14,52,3.71,0.206,0.286,0.275,0.561,36.0,1.0,1.0,0,1,1,1,0.329,80,64,20
Home or Away,Away,33,139.0,117,14.0,27,5,1,3,1,1,16,28,1.75,0.231,0.326,0.368,0.694,43.0,1.0,2.0,1,3,1,0,0.27,122,94,18
First or Second Half,1st Half,40,169.0,147,18.0,32,8,0,4,0,0,17,49,2.88,0.218,0.298,0.354,0.651,52.0,1.0,1.0,1,3,1,1,0.289,109,85,20
First or Second Half,2nd Half,28,117.0,101,9.0,22,3,1,0,2,1,13,31,2.38,0.218,0.316,0.267,0.584,27.0,1.0,2.0,0,1,1,0,0.31,87,69,18
Months,April/March,9,42.0,35,3.0,8,2,0,1,0,0,5,11,2.2,0.229,0.342,0.371,0.713,13.0,0.0,1.0,1,0,1,0,0.304,128,112,5
Months,May,11,45.0,39,7.0,9,2,0,1,0,0,4,14,3.5,0.231,0.289,0.359,0.648,14.0,0.0,0.0,0,2,0,0,0.308,107,83,6
Months,June,14,51.0,47,4.0,8,2,0,1,0,0,4,15,3.75,0.17,0.235,0.277,0.512,13.0,1.0,0.0,0,0,0,0,0.226,64,42,5
Months,July,10,46.0,39,7.0,11,3,0,1,0,1,5,14,2.8,0.282,0.37,0.436,0.806,17.0,0.0,1.0,0,1,0,1,0.4,158,127,7
Months,August,10,47.0,39,4.0,8,1,0,0,1,0,8,10,1.25,0.205,0.34,0.231,0.571,9.0,0.0,0.0,0,0,1,0,0.276,84,67,7
Months,Sept/Oct,14,55.0,49,2.0,10,1,1,0,1,0,4,16,4.0,0.204,0.273,0.265,0.538,13.0,1.0,1.0,0,1,0,0,0.294,73,56,8
Game Outcome for Pitcher,in Wins,6,23.0,21,1.0,5,1,0,0,0,0,2,7,3.5,0.238,0.304,0.286,0.59,6.0,0.0,0.0,0,0,0,0,0.357,89,123,4
Game Outcome for Pitcher,in Losses,6,37.0,34,7.0,11,3,0,0,0,0,3,8,2.67,0.324,0.378,0.412,0.79,14.0,0.0,0.0,0,0,1,1,0.423,153,68,8
Game Outcome for Pitcher,in No Dec.,29,121.0,103,17.0,25,4,0,4,0,1,14,30,2.14,0.243,0.333,0.398,0.731,41.0,0.0,1.0,1,2,1,0,0.296,134,113,17
Game Outcome for Pitcher,in Saves,27,105.0,90,2.0,13,3,1,0,2,0,11,35,3.18,0.144,0.248,0.2,0.448,18.0,2.0,2.0,0,2,0,0,0.228,44,114,9
Game Outcome for Pitcher,in Sv Situ,32,131.0,110,9.0,20,3,1,1,2,0,17,40,2.35,0.182,0.298,0.255,0.552,28.0,2.0,2.0,0,2,0,0,0.268,78,71,15
Game Outcome for Pitcher,in non-Sv,36,155.0,138,18.0,34,8,0,3,0,1,13,40,3.08,0.246,0.312,0.37,0.681,51.0,0.0,1.0,1,2,2,1,0.32,118,94,23
