Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,79,335.0,253,29.0,43,12,1,2,2,0,65,93,1.43,0.17,0.363,0.249,0.612,63.0,7.0,12.0,4,1,3,2,0.258,100,69,28
Platoon Splits,vs RHB,77,182.0,135,15.0,27,7,1,0,2,0,38,46,1.21,0.2,0.398,0.267,0.665,36.0,4.0,7.0,1,1,2,1,0.3,117,86,19
Platoon Splits,vs LHB,74,153.0,118,12.0,16,5,0,2,0,0,27,47,1.74,0.136,0.32,0.229,0.549,27.0,3.0,5.0,3,0,1,1,0.203,80,48,9
Platoon Splits,vs RHB as RHP,77,182.0,135,15.0,27,7,1,0,2,0,38,46,1.21,0.2,0.398,0.267,0.665,36.0,4.0,7.0,1,1,2,1,0.3,117,90,19
Platoon Splits,vs LHB as RHP,74,153.0,118,12.0,16,5,0,2,0,0,27,47,1.74,0.136,0.32,0.229,0.549,27.0,3.0,5.0,3,0,1,1,0.203,80,46,9
Home or Away,Home,37,163.0,122,13.0,22,7,0,2,0,0,35,50,1.43,0.18,0.383,0.287,0.67,35.0,7.0,5.0,1,0,0,2,0.286,121,88,13
Home or Away,Away,42,172.0,131,16.0,21,5,1,0,2,0,30,43,1.43,0.16,0.343,0.214,0.557,28.0,0.0,7.0,3,1,3,0,0.236,80,51,15
First or Second Half,1st Half,46,195.0,142,18.0,24,8,1,1,2,0,42,46,1.1,0.169,0.38,0.261,0.641,37.0,5.0,7.0,3,1,2,2,0.24,110,77,14
First or Second Half,2nd Half,33,140.0,111,11.0,19,4,0,1,0,0,23,47,2.04,0.171,0.338,0.234,0.572,26.0,2.0,5.0,1,0,1,0,0.286,87,57,14
Months,April/March,11,44.0,30,7.0,6,3,0,0,1,0,9,7,0.78,0.2,0.429,0.3,0.729,9.0,2.0,3.0,2,0,1,1,0.261,139,97,3
Months,May,14,60.0,47,2.0,7,2,0,1,0,0,12,20,1.67,0.149,0.333,0.255,0.589,12.0,2.0,1.0,0,0,0,1,0.231,94,61,4
Months,June,15,67.0,46,8.0,8,2,1,0,1,0,17,12,0.71,0.174,0.409,0.261,0.67,12.0,0.0,2.0,1,1,1,0,0.229,118,90,5
Months,July,14,56.0,45,4.0,6,2,0,0,0,0,8,19,2.38,0.133,0.304,0.178,0.481,8.0,1.0,3.0,0,0,0,0,0.231,55,35,4
Months,August,11,49.0,36,4.0,6,2,0,0,0,0,10,15,1.5,0.167,0.375,0.222,0.597,8.0,0.0,2.0,1,0,1,0,0.286,93,63,4
Months,Sept/Oct,14,59.0,49,4.0,10,1,0,1,0,0,9,20,2.22,0.204,0.339,0.286,0.625,14.0,2.0,1.0,0,0,0,0,0.321,108,72,8
Game Outcome for Pitcher,in Wins,2,10.0,8,0.0,1,0,0,0,0,0,2,2,1.0,0.125,0.3,0.125,0.425,1.0,0.0,0.0,0,0,0,0,0.167,33,48,1
Game Outcome for Pitcher,in Losses,4,21.0,14,7.0,8,1,0,0,1,0,4,1,0.25,0.571,0.714,0.643,1.357,9.0,1.0,3.0,0,0,0,0,0.615,355,188,7
Game Outcome for Pitcher,in No Dec.,58,241.0,179,20.0,25,10,1,2,1,0,49,67,1.37,0.14,0.346,0.24,0.586,43.0,4.0,8.0,4,1,3,2,0.207,92,63,12
Game Outcome for Pitcher,in Saves,15,63.0,52,2.0,9,1,0,0,0,0,10,23,2.3,0.173,0.318,0.192,0.51,10.0,2.0,1.0,0,0,0,0,0.31,64,118,8
Game Outcome for Pitcher,in Sv Situ,47,188.0,145,10.0,22,6,1,1,1,0,34,63,1.85,0.152,0.335,0.228,0.563,33.0,5.0,6.0,3,0,2,1,0.259,84,66,14
Game Outcome for Pitcher,in non-Sv,32,147.0,108,19.0,21,6,0,1,1,0,31,30,0.97,0.194,0.397,0.278,0.675,30.0,2.0,6.0,1,1,1,1,0.256,121,86,14
Pitching Role,as Reliever,79,335.0,253,29.0,43,12,1,2,2,0,65,93,1.43,0.17,0.363,0.249,0.612,63.0,7.0,12.0,4,1,3,2,0.258,100,72,28
Batting Order Positions,Batting 1st,37,37.0,29,2.0,3,1,0,0,0,0,8,10,1.25,0.103,0.297,0.138,0.435,4.0,1.0,0.0,0,0,0,0,0.158,37,19,2
Batting Order Positions,Batting 2nd,49,48.0,33,5.0,5,1,0,1,0,0,9,11,1.22,0.152,0.37,0.273,0.642,9.0,0.0,3.0,2,1,0,2,0.182,112,75,3
Batting Order Positions,Batting 3rd,48,48.0,37,2.0,7,2,1,0,1,0,9,17,1.89,0.189,0.362,0.297,0.659,11.0,0.0,1.0,1,0,1,0,0.35,119,63,4
Batting Order Positions,Batting 4th,46,46.0,38,6.0,8,2,0,1,1,0,8,13,1.63,0.211,0.348,0.342,0.69,13.0,1.0,0.0,0,0,1,0,0.292,133,72,5
Batting Order Positions,Batting 5th,43,43.0,31,1.0,3,1,0,0,0,0,10,13,1.3,0.097,0.349,0.129,0.478,4.0,3.0,2.0,0,0,1,0,0.167,48,32,2
Batting Order Positions,Batting 6th,32,32.0,26,2.0,7,2,0,0,0,0,6,6,1.0,0.269,0.406,0.346,0.753,9.0,1.0,0.0,0,0,0,0,0.35,151,101,5
Batting Order Positions,Batting 7th,28,27.0,19,1.0,3,1,0,0,0,0,7,3,0.43,0.158,0.407,0.211,0.618,4.0,1.0,1.0,0,0,0,0,0.188,97,79,2
Batting Order Positions,Batting 8th,25,25.0,24,7.0,6,1,0,0,0,0,1,9,9.0,0.25,0.28,0.292,0.572,7.0,0.0,0.0,0,0,0,0,0.4,94,63,5
Batting Order Positions,Batting 9th,29,29.0,16,1.0,1,1,0,0,0,0,7,11,1.57,0.063,0.464,0.125,0.589,2.0,0.0,5.0,1,0,0,0,0.2,78,113,0
Batting Order Positions,"Bat1-2,non-P",52,85.0,62,7.0,8,2,0,1,0,0,17,21,1.24,0.129,0.337,0.21,0.547,13.0,1.0,3.0,2,1,0,2,0.171,77,49,5
Batting Order Positions,"Bat3-6,non-P",71,169.0,132,11.0,25,7,1,1,2,0,33,49,1.48,0.189,0.363,0.28,0.643,37.0,5.0,3.0,1,0,3,0,0.293,112,66,16
Batting Order Positions,"Bat7-9,non-P",47,81.0,59,9.0,10,3,0,0,0,0,15,23,1.53,0.17,0.388,0.22,0.608,13.0,1.0,6.0,1,0,0,0,0.278,95,79,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,49,67.0,56,8.0,9,2,0,0,,,6,18,3.0,0.161,0.277,0.196,0.473,11.0,2.0,3.0,2,0,0,1,0.237,55,38,7
Swung or Took First Pitch of PA,Took 1st Pitch,79,268.0,197,19.0,34,10,1,2,,,59,75,1.27,0.173,0.384,0.264,0.648,52.0,5.0,9.0,2,1,3,1,0.265,112,75,21
Count/Balls-Strikes,First Pitch,14,15.0,10,3.0,1,1,0,0,,,0,0,,0.1,0.357,0.2,0.557,2.0,0.0,4.0,1,0,0,1,0.1,79,39,0
Count/Balls-Strikes,1-0 Count,8,10.0,10,1.0,2,1,0,0,,,0,0,,0.2,0.2,0.3,0.5,3.0,1.0,0.0,0,0,0,0,0.2,76,12,1
Count/Balls-Strikes,2-0 Count,3,3.0,3,0.0,1,1,0,0,,,0,0,,0.333,0.333,0.667,1.0,2.0,0.0,0.0,0,0,0,0,0.333,260,91,0
Count/Balls-Strikes,3-0 Count,12,14.0,0,2.0,0,0,0,0,,,13,0,0.0,,1.0,,,0.0,0.0,1.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,21,23.0,20,1.0,3,1,0,0,,,0,0,,0.15,0.261,0.2,0.461,4.0,1.0,3.0,0,0,0,0,0.15,52,22,2
Count/Balls-Strikes,1-1 Count,19,31.0,29,8.0,13,2,1,1,,,0,0,,0.448,0.467,0.69,1.156,20.0,1.0,1.0,1,0,0,0,0.429,306,171,9
Count/Balls-Strikes,2-1 Count,6,7.0,6,0.0,1,0,0,0,,,0,0,,0.167,0.167,0.167,0.333,1.0,0.0,0.0,1,0,0,1,0.167,13,-21,1
Count/Balls-Strikes,3-1 Count,21,23.0,4,0.0,1,0,0,0,,,18,0,0.0,0.25,0.864,0.25,1.114,1.0,0.0,0.0,1,0,0,0,0.25,238,63,1
Count/Balls-Strikes,0-2 Count,34,39.0,38,3.0,5,1,0,0,,,0,24,,0.132,0.128,0.158,0.286,6.0,3.0,0.0,0,1,0,0,0.333,-1,50,4
Count/Balls-Strikes,1-2 Count,42,59.0,57,3.0,8,3,0,0,,,0,32,,0.14,0.17,0.193,0.363,11.0,0.0,2.0,0,0,0,0,0.32,24,71,5
Count/Balls-Strikes,2-2 Count,34,40.0,40,1.0,4,2,0,0,,,0,20,,0.1,0.1,0.15,0.25,6.0,0.0,0.0,0,0,0,0,0.2,-12,4,2
Count/Balls-Strikes,Full Count,53,71.0,36,5.0,4,0,0,1,,,34,17,0.5,0.111,0.549,0.194,0.744,7.0,1.0,1.0,0,0,0,0,0.167,129,68,3
Count/Balls-Strikes,After 1-0,71,164.0,112,13.0,19,4,1,2,,,49,35,0.71,0.17,0.429,0.277,0.706,31.0,2.0,2.0,1,0,3,1,0.227,129,69,12
Count/Balls-Strikes,After 2-0,47,65.0,31,4.0,4,1,0,1,,,31,11,0.35,0.129,0.578,0.258,0.836,8.0,1.0,2.0,1,0,3,1,0.158,163,62,2
