Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,70,284,252,19.0,49,11,0,2,7,2,22,92,4.18,0.194,0.278,0.262,0.54,66.0,4.0,7.0,3,0,4,5,0.298,100,52,36
Platoon Splits,vs RHB,67,159,142,13.0,24,6,0,2,5,1,12,61,5.08,0.169,0.248,0.254,0.502,36.0,2.0,3.0,2,0,1,3,0.279,86,43,16
Platoon Splits,vs LHB,56,125,110,12.0,25,5,0,0,2,1,10,31,3.1,0.227,0.315,0.273,0.587,30.0,2.0,4.0,1,0,3,2,0.317,118,64,20
Platoon Splits,vs RHB as RHP,67,159,142,13.0,24,6,0,2,5,1,12,61,5.08,0.169,0.248,0.254,0.502,36.0,2.0,3.0,2,0,1,3,0.279,86,46,16
Platoon Splits,vs LHB as RHP,56,125,110,12.0,25,5,0,0,2,1,10,31,3.1,0.227,0.315,0.273,0.587,30.0,2.0,4.0,1,0,3,2,0.317,118,61,20
Home or Away,Home,35,139,123,6.0,17,3,0,0,3,2,10,50,5.0,0.138,0.226,0.163,0.389,20.0,0.0,4.0,2,0,1,2,0.233,44,14,14
Home or Away,Away,35,145,129,13.0,32,8,0,2,4,0,12,42,3.5,0.248,0.326,0.357,0.683,46.0,4.0,3.0,1,0,3,3,0.353,154,87,22
First or Second Half,1st Half,38,139,130,7.0,22,6,0,2,2,1,6,47,7.83,0.169,0.223,0.262,0.485,34.0,2.0,3.0,0,0,1,3,0.247,80,37,14
First or Second Half,2nd Half,32,145,122,12.0,27,5,0,0,5,1,16,45,2.81,0.221,0.331,0.262,0.593,32.0,2.0,4.0,3,0,3,2,0.351,119,67,22
Months,April/March,11,38,34,0.0,3,1,0,0,1,0,3,11,3.67,0.088,0.184,0.118,0.302,4.0,0.0,1.0,0,0,1,1,0.13,11,-11,2
Months,May,12,46,43,3.0,9,1,0,1,1,1,2,15,7.5,0.209,0.261,0.302,0.563,13.0,1.0,1.0,0,0,0,1,0.296,109,59,7
Months,June,10,33,31,2.0,5,1,0,1,0,0,1,11,11.0,0.161,0.212,0.29,0.502,9.0,1.0,1.0,0,0,0,0,0.211,87,40,3
Months,July,11,46,39,6.0,8,5,0,0,0,0,6,16,2.67,0.205,0.326,0.333,0.659,13.0,0.0,1.0,0,0,1,1,0.348,144,86,3
Months,August,14,71,61,8.0,16,2,0,0,3,0,7,19,2.71,0.262,0.348,0.295,0.643,18.0,2.0,1.0,2,0,2,1,0.381,138,80,14
Months,Sept/Oct,12,50,44,0.0,8,1,0,0,2,1,3,20,6.67,0.182,0.265,0.205,0.47,9.0,0.0,2.0,1,0,0,1,0.333,74,32,7
Game Outcome for Pitcher,in Wins,2,8,8,0.0,0,0,0,0,0,0,0,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,5,21,14,7.0,6,3,0,1,1,0,6,5,0.83,0.429,0.619,0.857,1.476,12.0,0.0,1.0,0,0,2,0,0.625,450,210,2
Game Outcome for Pitcher,in No Dec.,50,207,184,9.0,35,6,0,0,6,2,15,69,4.6,0.19,0.27,0.223,0.492,41.0,4.0,5.0,3,0,2,4,0.304,82,42,29
Game Outcome for Pitcher,in Saves,13,48,46,3.0,8,2,0,1,0,0,1,14,14.0,0.174,0.208,0.283,0.491,13.0,0.0,1.0,0,0,0,0,0.226,83,119,5
Game Outcome for Pitcher,in Sv Situ,40,169,150,11.0,33,5,0,1,5,1,13,46,3.54,0.22,0.299,0.273,0.573,41.0,4.0,4.0,2,0,3,3,0.311,112,78,27
Game Outcome for Pitcher,in non-Sv,30,115,102,8.0,16,6,0,1,2,1,9,46,5.11,0.157,0.246,0.245,0.491,25.0,0.0,3.0,1,0,1,2,0.273,82,38,9
Pitching Role,as Reliever,70,284,252,19.0,49,11,0,2,7,2,22,92,4.18,0.194,0.278,0.262,0.54,66.0,4.0,7.0,3,0,4,5,0.298,100,56,36
Batting Order Positions,Batting 1st,31,32,31,1.0,4,1,0,0,2,0,1,13,13.0,0.129,0.156,0.161,0.318,5.0,0.0,0.0,0,0,0,1,0.222,18,-13,3
Batting Order Positions,Batting 2nd,30,30,27,2.0,6,0,0,0,0,0,1,9,9.0,0.222,0.3,0.222,0.522,6.0,0.0,2.0,0,0,0,0,0.333,93,43,6
Batting Order Positions,Batting 3rd,29,29,26,1.0,4,1,0,0,2,0,3,7,2.33,0.154,0.241,0.192,0.434,5.0,1.0,0.0,0,0,0,0,0.211,60,10,3
Batting Order Positions,Batting 4th,32,32,28,1.0,5,2,0,1,0,0,4,11,2.75,0.179,0.281,0.357,0.638,10.0,0.0,0.0,0,0,2,1,0.25,137,61,2
Batting Order Positions,Batting 5th,33,33,30,3.0,6,0,0,0,0,1,2,14,7.0,0.2,0.273,0.2,0.473,6.0,1.0,1.0,0,0,0,0,0.375,75,34,6
Batting Order Positions,Batting 6th,31,31,25,7.0,7,3,0,1,0,0,2,11,5.5,0.28,0.419,0.52,0.939,13.0,0.0,4.0,0,0,0,0,0.462,249,165,3
Batting Order Positions,Batting 7th,32,32,26,4.0,7,2,0,0,1,0,5,10,2.0,0.269,0.387,0.346,0.733,9.0,1.0,0.0,1,0,2,1,0.438,171,116,5
Batting Order Positions,Batting 8th,34,34,32,5.0,10,2,0,0,2,0,0,6,,0.313,0.313,0.375,0.688,12.0,0.0,0.0,2,0,0,1,0.385,156,107,8
Batting Order Positions,Batting 9th,30,31,27,1.0,0,0,0,0,0,1,4,11,2.75,0.0,0.129,0.0,0.129,0.0,1.0,0.0,0,0,0,1,0.0,-54,-50,0
Batting Order Positions,"Bat1-2,non-P",41,62,58,3.0,10,1,0,0,2,0,2,22,11.0,0.172,0.226,0.19,0.416,11.0,0.0,2.0,0,0,0,1,0.278,54,15,9
Batting Order Positions,"Bat3-6,non-P",57,125,109,12.0,22,6,0,2,2,1,11,43,3.91,0.202,0.304,0.312,0.616,34.0,2.0,5.0,0,0,2,1,0.313,128,64,14
Batting Order Positions,"Bat7-9,non-P",42,96,84,10.0,17,4,0,0,3,1,9,27,3.0,0.202,0.28,0.25,0.53,21.0,2.0,0.0,3,0,2,2,0.298,96,61,13
Swung or Took First Pitch of PA,Swung at 1st Pitch,40,55,51,8.0,14,5,0,1,,,1,13,13.0,0.275,0.289,0.431,0.72,22.0,2.0,0.0,3,0,0,0,0.351,168,98,8
Swung or Took First Pitch of PA,Took 1st Pitch,67,229,201,15.0,35,6,0,1,,,21,79,3.76,0.174,0.275,0.219,0.494,44.0,2.0,7.0,0,0,4,5,0.281,83,40,28
Count/Balls-Strikes,First Pitch,21,23,20,3.0,4,3,0,0,,,0,0,,0.2,0.238,0.35,0.588,7.0,0.0,1.0,2,0,0,0,0.2,119,32,1
Count/Balls-Strikes,1-0 Count,9,11,11,3.0,3,2,0,0,,,0,0,,0.273,0.273,0.455,0.727,5.0,2.0,0.0,0,0,0,0,0.273,172,61,1
Count/Balls-Strikes,2-0 Count,9,10,9,3.0,3,2,0,0,,,0,0,,0.333,0.4,0.556,0.956,5.0,0.0,1.0,0,0,0,1,0.333,256,98,1
Count/Balls-Strikes,3-0 Count,8,9,0,0.0,0,0,0,0,,,9,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,4,0,,,,0
Count/Balls-Strikes,0-1 Count,22,30,29,6.0,11,1,0,1,,,0,0,,0.379,0.379,0.517,0.897,15.0,1.0,0.0,1,0,0,1,0.357,234,123,9
Count/Balls-Strikes,1-1 Count,20,22,21,2.0,7,1,0,0,,,0,0,,0.333,0.364,0.381,0.745,8.0,0.0,1.0,0,0,0,1,0.333,176,82,6
Count/Balls-Strikes,2-1 Count,8,8,8,0.0,4,0,0,0,,,0,0,,0.5,0.5,0.5,1.0,4.0,0.0,0.0,0,0,0,1,0.5,271,142,4
Count/Balls-Strikes,3-1 Count,11,12,5,1.0,1,0,0,0,,,7,0,0.0,0.2,0.667,0.2,0.867,1.0,0.0,0.0,0,0,0,0,0.2,216,28,1
Count/Balls-Strikes,0-2 Count,25,34,33,1.0,3,0,0,0,,,0,21,,0.091,0.118,0.091,0.209,3.0,0.0,1.0,0,0,0,0,0.25,-23,10,3
Count/Balls-Strikes,1-2 Count,38,56,55,1.0,5,0,0,0,,,0,37,,0.091,0.107,0.091,0.198,5.0,1.0,1.0,0,0,0,0,0.278,-27,-2,5
Count/Balls-Strikes,2-2 Count,33,44,42,2.0,6,2,0,1,,,0,23,,0.143,0.182,0.262,0.444,11.0,0.0,2.0,0,0,0,1,0.278,66,93,3
Count/Balls-Strikes,Full Count,22,25,19,1.0,2,0,0,0,,,6,11,1.83,0.105,0.32,0.105,0.425,2.0,0.0,0.0,0,0,0,0,0.25,55,2,2
Count/Balls-Strikes,After 1-0,59,116,96,10.0,17,5,0,1,,,18,33,1.83,0.177,0.319,0.26,0.579,25.0,2.0,2.0,0,0,4,3,0.258,114,44,11
Count/Balls-Strikes,After 2-0,36,43,28,3.0,4,2,0,0,,,14,10,0.71,0.143,0.442,0.214,0.656,6.0,0.0,1.0,0,0,4,1,0.222,141,33,2
Count/Balls-Strikes,After 3-0,13,15,3,0.0,0,0,0,0,,,12,0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0,0,4,0,0.0,188,9,0
Count/Balls-Strikes,After 0-1,60,145,136,10.0,28,3,0,1,,,4,59,14.75,0.206,0.25,0.25,0.5,34.0,2.0,4.0,1,0,0,2,0.355,85,67,24
Count/Balls-Strikes,After 1-1,57,103,94,6.0,18,1,0,1,,,7,37,5.29,0.192,0.262,0.234,0.496,22.0,0.0,2.0,0,0,0,3,0.304,84,51,16
Count/Balls-Strikes,After 2-1,38,49,42,3.0,7,0,0,1,,,7,18,2.57,0.167,0.286,0.238,0.524,10.0,0.0,0.0,0,0,0,2,0.261,94,34,6
Count/Balls-Strikes,After 3-1,21,23,14,1.0,1,0,0,0,,,9,6,0.67,0.071,0.435,0.071,0.506,1.0,0.0,0.0,0,0,0,0,0.125,84,-9,1
Count/Balls-Strikes,After 0-2,45,74,70,2.0,9,2,0,0,,,1,45,45.0,0.129,0.176,0.157,0.333,11.0,1.0,3.0,0,0,0,0,0.36,23,49,7
Count/Balls-Strikes,After 1-2,56,90,84,2.0,11,2,0,0,,,3,53,17.67,0.131,0.189,0.155,0.344,13.0,1.0,3.0,0,0,0,0,0.355,27,41,9
Count/Balls-Strikes,After 2-2,41,58,52,3.0,8,2,0,1,,,4,28,7.0,0.154,0.241,0.25,0.491,13.0,0.0,2.0,0,0,0,1,0.304,82,68,5
Count/Balls-Strikes,Zero Balls,50,87,82,12.0,18,4,0,1,,,0,21,,0.22,0.238,0.305,0.543,25.0,1.0,2.0,3,0,0,1,0.283,102,54,13
Count/Balls-Strikes,Zero Strikes,39,53,40,11.0,10,7,0,0,,,9,0,0.0,0.25,0.412,0.425,0.837,17.0,2.0,2.0,2,0,4,1,0.25,210,79,3
Count/Balls-Strikes,Three Balls,34,46,24,2.0,3,0,0,0,,,22,11,0.5,0.125,0.544,0.125,0.669,3.0,0.0,0.0,0,0,4,0,0.231,143,29,3
Count/Balls-Strikes,Two Strikes,66,159,149,5.0,16,2,0,1,,,6,92,15.33,0.107,0.164,0.141,0.304,21.0,1.0,4.0,0,0,0,1,0.268,13,19,13
Count/Balls-Strikes,Batter Ahead,48,75,52,8.0,13,4,0,0,,,22,11,0.5,0.25,0.48,0.327,0.807,17.0,2.0,1.0,0,0,4,2,0.317,198,70,9
Count/Balls-Strikes,Even Count,51,89,83,7.0,17,6,0,1,,,0,23,,0.205,0.241,0.313,0.555,26.0,0.0,4.0,2,0,0,2,0.271,106,60,10
Count/Balls-Strikes,Pitcher Ahead,54,120,117,8.0,19,1,0,1,,,0,58,,0.162,0.177,0.197,0.373,23.0,2.0,2.0,1,0,0,1,0.31,39,46,17
Leading Off Inning,First Batter,70,70,63,4.0,18,3,0,1,,,6,21,3.5,0.286,0.357,0.381,0.738,24.0,1.0,1.0,0,0,0,0,0.415,174,114,14
Leading Off Inning,Leadoff Inn.,54,60,48,2.0,14,3,0,2,,,10,15,1.5,0.292,0.433,0.479,0.913,23.0,0.0,2.0,0,0,0,0,0.387,239,156,9
Opposition Defensive Position,vs. Pitcher,1,1,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,-100,-100,0
Opposition Defensive Position,vs. Non-P,70,283,251,25.0,49,11,0,2,7,2,22,92,4.18,0.195,0.279,0.263,0.542,66.0,4.0,7.0,3,0,4,4,0.299,101,51,36
Number of Outs in Inning,0 outs,57,93,75,5.0,18,4,0,2,1,1,12,29,2.42,0.24,0.367,0.373,0.74,28.0,1.0,3.0,3,0,1,1,0.364,174,106,12
Number of Outs in Inning,1 out,61,90,86,12.0,18,4,0,0,2,1,3,31,10.33,0.209,0.244,0.256,0.5,22.0,3.0,1.0,0,0,0,0,0.327,86,40,14
Number of Outs in Inning,2 outs,65,101,91,8.0,13,3,0,0,4,0,7,32,4.57,0.143,0.228,0.176,0.404,16.0,0.0,3.0,0,0,3,4,0.22,49,17,10
Bases Occupied,RISP,36,85,74,21.0,13,3,0,0,3,0,8,31,3.88,0.176,0.274,0.216,0.49,16.0,2.0,2.0,1,0,4,2,0.302,81,35,10
Bases Occupied,---,59,138,122,2.0,24,5,0,2,0,0,13,41,3.15,0.197,0.29,0.287,0.577,35.0,0.0,3.0,0,0,0,2,0.279,114,67,17
Bases Occupied,Men On,54,146,130,23.0,25,6,0,0,7,2,9,51,5.67,0.192,0.266,0.239,0.504,31.0,4.0,4.0,3,0,4,3,0.317,87,38,19
Bases Occupied,1--,39,61,56,2.0,12,3,0,0,4,2,1,20,20.0,0.214,0.254,0.268,0.522,15.0,2.0,2.0,2,0,0,1,0.333,94,41,9
Bases Occupied,-2-,18,25,20,2.0,1,0,0,0,2,0,4,10,2.5,0.05,0.24,0.05,0.29,1.0,0.0,1.0,0,0,2,2,0.1,5,-18,1
Bases Occupied,--3,8,14,11,4.0,3,1,0,0,0,0,3,5,1.67,0.273,0.429,0.364,0.792,4.0,0.0,0.0,0,0,1,0,0.5,193,99,2
Bases Occupied,12-,17,23,21,6.0,6,2,0,0,0,0,0,7,,0.286,0.318,0.381,0.699,8.0,1.0,1.0,1,0,0,0,0.429,160,99,4
Bases Occupied,1-3,11,14,14,5.0,1,0,0,0,1,0,0,6,,0.071,0.071,0.071,0.143,1.0,0.0,0.0,0,0,0,0,0.125,-47,-60,1
