Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,62,242.0,226,18.0,44,4,2,7,3,2,11,67,6.09,0.195,0.241,0.323,0.564,73.0,3.0,3.0,1,1,1,1,0.242,100,55,31
Platoon Splits,vs RHB,58,118.0,110,14.0,24,2,2,5,1,2,4,37,9.25,0.218,0.256,0.409,0.666,45.0,2.0,2.0,1,1,0,1,0.275,133,82,15
Platoon Splits,vs LHB,59,124.0,116,5.0,20,2,0,2,2,0,7,30,4.29,0.172,0.226,0.241,0.467,28.0,1.0,1.0,0,0,1,0,0.214,68,30,16
Platoon Splits,vs RHB as RHP,58,118.0,110,14.0,24,2,2,5,1,2,4,37,9.25,0.218,0.256,0.409,0.666,45.0,2.0,2.0,1,1,0,1,0.275,133,86,15
Platoon Splits,vs LHB as RHP,59,124.0,116,5.0,20,2,0,2,2,0,7,30,4.29,0.172,0.226,0.241,0.467,28.0,1.0,1.0,0,0,1,0,0.214,68,26,16
Home or Away,Home,35,129.0,124,12.0,25,3,2,5,2,2,4,29,7.25,0.202,0.225,0.379,0.604,47.0,1.0,0.0,0,1,0,0,0.22,111,68,15
Home or Away,Away,27,113.0,102,6.0,19,1,0,2,1,0,7,38,5.43,0.186,0.259,0.255,0.514,26.0,2.0,3.0,1,0,1,1,0.274,86,41,16
First or Second Half,1st Half,33,132.0,124,9.0,25,2,1,4,3,1,5,35,7.0,0.202,0.244,0.331,0.575,41.0,1.0,2.0,1,0,1,0,0.247,104,58,18
First or Second Half,2nd Half,29,110.0,102,9.0,19,2,1,3,0,1,6,32,5.33,0.186,0.236,0.314,0.55,32.0,2.0,1.0,0,1,0,1,0.235,95,52,13
Months,April/March,9,38.0,37,6.0,9,1,0,3,0,0,1,10,10.0,0.243,0.263,0.514,0.777,19.0,0.0,0.0,0,0,0,0,0.25,168,113,5
Months,May,11,45.0,38,2.0,8,1,0,1,1,1,4,9,2.25,0.211,0.318,0.316,0.634,12.0,1.0,2.0,1,0,1,0,0.25,130,76,6
Months,June,10,36.0,36,1.0,6,0,1,0,2,0,0,12,,0.167,0.167,0.222,0.389,8.0,0.0,0.0,0,0,0,0,0.25,38,6,5
Months,July,8,33.0,32,1.0,5,0,0,0,0,0,1,10,10.0,0.156,0.182,0.156,0.338,5.0,0.0,0.0,0,0,0,0,0.227,24,-5,5
Months,August,13,44.0,41,3.0,6,1,0,2,0,1,2,14,7.0,0.146,0.205,0.317,0.522,13.0,1.0,1.0,0,0,0,0,0.16,83,43,3
Months,Sept/Oct,11,46.0,42,5.0,10,1,1,1,0,0,3,12,4.0,0.238,0.283,0.381,0.664,16.0,1.0,0.0,0,1,0,1,0.3,135,84,7
Game Outcome for Pitcher,in Wins,1,6.0,6,0.0,0,0,0,0,0,0,0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,1,4.0,4,2.0,2,0,0,1,0,0,0,1,,0.5,0.5,1.25,1.75,5.0,0.0,0.0,0,0,0,0,0.5,495,255,1
Game Outcome for Pitcher,in No Dec.,38,155.0,141,16.0,32,4,2,6,3,2,9,42,4.67,0.227,0.286,0.411,0.697,58.0,2.0,3.0,1,1,1,1,0.277,146,95,20
Game Outcome for Pitcher,in Saves,22,77.0,75,0.0,10,0,0,0,0,0,2,22,11.0,0.133,0.156,0.133,0.289,10.0,1.0,0.0,0,0,0,0,0.189,6,36,10
Game Outcome for Pitcher,in Sv Situ,26,92.0,90,3.0,14,0,0,3,0,1,2,24,12.0,0.156,0.174,0.256,0.43,23.0,1.0,0.0,0,0,0,0,0.175,52,33,11
Game Outcome for Pitcher,in non-Sv,36,150.0,136,15.0,30,4,2,4,3,1,9,43,4.78,0.221,0.282,0.368,0.65,50.0,2.0,3.0,1,1,1,1,0.289,131,81,20
Pitching Role,as Reliever,62,242.0,226,18.0,44,4,2,7,3,2,11,67,6.09,0.195,0.241,0.323,0.564,73.0,3.0,3.0,1,1,1,1,0.242,100,61,31
