Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,77,300.0,272,29.0,61,11,2,4,3,0,18,71,3.94,0.224,0.277,0.324,0.601,88.0,13.0,3.0,4,3,2,7,0.285,100,61,44
Platoon Splits,vs RHB,71,154.0,140,25.0,32,7,1,3,1,0,9,40,4.44,0.229,0.283,0.357,0.64,50.0,6.0,2.0,2,1,0,3,0.296,112,73,21
Platoon Splits,vs LHB,64,146.0,132,14.0,29,4,1,1,2,0,9,31,3.44,0.22,0.271,0.288,0.559,38.0,7.0,1.0,2,2,2,4,0.275,87,48,23
Platoon Splits,vs RHB as RHP,71,154.0,140,25.0,32,7,1,3,1,0,9,40,4.44,0.229,0.283,0.357,0.64,50.0,6.0,2.0,2,1,0,3,0.296,112,78,21
Platoon Splits,vs LHB as RHP,64,146.0,132,14.0,29,4,1,1,2,0,9,31,3.44,0.22,0.271,0.288,0.559,38.0,7.0,1.0,2,2,2,4,0.275,87,45,23
Home or Away,Home,43,150.0,138,8.0,23,6,1,1,0,0,9,41,4.56,0.167,0.222,0.246,0.468,34.0,5.0,1.0,1,1,1,3,0.227,56,29,15
Home or Away,Away,34,150.0,134,21.0,38,5,1,3,3,0,9,30,3.33,0.284,0.333,0.403,0.736,54.0,8.0,2.0,3,2,1,4,0.34,145,92,29
First or Second Half,1st Half,47,191.0,169,25.0,41,9,1,4,1,0,14,43,3.07,0.243,0.309,0.379,0.687,64.0,7.0,3.0,3,2,2,6,0.298,129,86,27
First or Second Half,2nd Half,30,109.0,103,4.0,20,2,1,0,2,0,4,28,7.0,0.194,0.222,0.233,0.455,24.0,6.0,0.0,1,1,0,1,0.263,52,21,17
Months,April/March,15,59.0,50,3.0,6,2,0,0,1,0,7,14,2.0,0.12,0.237,0.16,0.397,8.0,5.0,1.0,0,1,0,2,0.162,35,11,4
Months,May,13,55.0,47,12.0,16,2,0,2,0,0,3,13,4.33,0.34,0.396,0.511,0.907,24.0,0.0,2.0,2,1,1,2,0.424,201,146,12
Months,June,12,51.0,47,5.0,10,4,0,0,0,0,3,14,4.67,0.213,0.26,0.298,0.558,14.0,1.0,0.0,1,0,0,2,0.303,86,50,6
Months,July,10,39.0,36,6.0,12,1,1,2,0,0,3,4,1.33,0.333,0.385,0.583,0.968,21.0,3.0,0.0,0,0,1,1,0.333,219,152,8
Months,August,14,52.0,50,3.0,12,2,0,0,1,0,1,13,13.0,0.24,0.255,0.28,0.535,14.0,2.0,0.0,1,0,0,0,0.324,79,42,10
Months,Sept/Oct,13,44.0,42,0.0,5,0,1,0,1,0,1,13,13.0,0.119,0.136,0.167,0.303,7.0,2.0,0.0,0,1,0,0,0.167,1,-20,4
Game Outcome for Pitcher,in Wins,4,15.0,14,0.0,1,0,0,0,0,0,1,2,2.0,0.071,0.133,0.071,0.205,1.0,1.0,0.0,0,0,1,0,0.083,-30,-29,1
Game Outcome for Pitcher,in Losses,8,49.0,40,20.0,22,3,0,3,1,0,3,9,3.0,0.55,0.565,0.85,1.415,34.0,0.0,1.0,3,2,1,2,0.633,366,189,16
Game Outcome for Pitcher,in No Dec.,56,206.0,192,9.0,36,8,1,1,1,0,10,53,5.3,0.188,0.234,0.255,0.489,49.0,10.0,2.0,1,1,0,4,0.252,63,33,26
