Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,64,248.0,214,24.0,46,10,1,5,8,0,26,39,1.5,0.215,0.307,0.341,0.649,73.0,4.0,3.0,4,1,4,2,0.24,100,81,30
Platoon Splits,vs RHB,56,117.0,103,16.0,24,3,1,4,2,0,9,12,1.33,0.233,0.304,0.398,0.702,41.0,3.0,2.0,2,1,2,0,0.227,116,97,16
Platoon Splits,vs LHB,59,131.0,111,13.0,22,7,0,1,6,0,17,27,1.59,0.198,0.31,0.288,0.598,32.0,1.0,1.0,2,0,2,2,0.253,85,67,14
Platoon Splits,vs RHB as RHP,56,117.0,103,16.0,24,3,1,4,2,0,9,12,1.33,0.233,0.304,0.398,0.702,41.0,3.0,2.0,2,1,2,0,0.227,116,102,16
Platoon Splits,vs LHB as RHP,59,131.0,111,13.0,22,7,0,1,6,0,17,27,1.59,0.198,0.31,0.288,0.598,32.0,1.0,1.0,2,0,2,2,0.253,85,64,14
Home or Away,Home,34,134.0,115,7.0,22,4,0,2,8,0,13,23,1.77,0.191,0.288,0.278,0.566,32.0,3.0,3.0,2,1,1,1,0.22,75,63,16
Home or Away,Away,30,114.0,99,17.0,24,6,1,3,0,0,13,16,1.23,0.242,0.33,0.414,0.745,41.0,1.0,0.0,2,0,3,1,0.263,129,103,14
First or Second Half,1st Half,36,135.0,118,9.0,24,4,0,2,3,0,15,22,1.47,0.203,0.299,0.288,0.587,34.0,3.0,1.0,1,0,0,1,0.234,82,67,18
First or Second Half,2nd Half,28,113.0,96,15.0,22,6,1,3,5,0,11,17,1.55,0.229,0.318,0.406,0.725,39.0,1.0,2.0,3,1,4,1,0.247,123,98,12
Months,April/March,12,43.0,39,3.0,7,2,0,0,0,0,4,8,2.0,0.18,0.256,0.231,0.487,9.0,0.0,0.0,0,0,0,0,0.226,51,39,5
Months,May,11,42.0,34,3.0,8,0,0,0,1,0,8,4,0.5,0.235,0.381,0.235,0.616,8.0,2.0,0.0,0,0,0,1,0.267,93,79,8
