Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,58,288.0,256,22.0,52,14,0,6,3,4,27,79,2.93,0.203,0.284,0.328,0.612,84.0,5.0,2.0,3,0,3,2,0.269,100,71,32
Platoon Splits,vs RHB,53,155.0,136,15.0,27,8,0,5,0,2,17,40,2.35,0.199,0.292,0.368,0.66,50.0,5.0,1.0,1,0,3,0,0.242,115,85,14
Platoon Splits,vs LHB,55,133.0,120,7.0,25,6,0,1,3,2,10,39,3.9,0.208,0.275,0.283,0.558,34.0,0.0,1.0,2,0,0,2,0.3,83,55,18
Platoon Splits,vs RHB as LHP,53,155.0,136,15.0,27,8,0,5,0,2,17,40,2.35,0.199,0.292,0.368,0.66,50.0,5.0,1.0,1,0,3,0,0.242,115,76,14
Platoon Splits,vs LHB as LHP,55,133.0,120,7.0,25,6,0,1,3,2,10,39,3.9,0.208,0.275,0.283,0.558,34.0,0.0,1.0,2,0,0,2,0.3,83,71,18
Home or Away,Home,30,154.0,134,16.0,29,6,0,4,3,2,18,43,2.39,0.216,0.314,0.351,0.664,47.0,4.0,1.0,1,0,3,1,0.287,118,90,19
Home or Away,Away,28,134.0,122,6.0,23,8,0,2,0,2,9,36,4.0,0.189,0.25,0.303,0.553,37.0,1.0,1.0,2,0,0,1,0.25,80,51,13
First or Second Half,1st Half,33,158.0,139,14.0,34,10,0,3,2,1,16,38,2.38,0.245,0.327,0.381,0.708,53.0,2.0,1.0,2,0,1,1,0.316,131,100,21
First or Second Half,2nd Half,25,130.0,117,8.0,18,4,0,3,1,3,11,41,3.73,0.154,0.233,0.265,0.498,31.0,3.0,1.0,1,0,2,1,0.206,63,37,11
Months,April/March,10,50.0,45,7.0,13,5,0,2,0,0,4,12,3.0,0.289,0.347,0.533,0.88,24.0,0.0,0.0,1,0,0,1,0.355,185,145,6
Months,May,10,46.0,38,5.0,9,3,0,1,0,0,7,11,1.57,0.237,0.37,0.395,0.764,15.0,0.0,1.0,0,0,0,0,0.308,151,117,5
Months,June,11,53.0,48,2.0,11,2,0,0,1,1,4,11,2.75,0.229,0.289,0.271,0.559,13.0,2.0,0.0,1,0,0,0,0.297,84,60,9
Months,July,9,52.0,48,2.0,7,0,0,1,2,1,3,16,5.33,0.146,0.212,0.208,0.42,10.0,1.0,1.0,0,0,2,0,0.194,38,18,6
Months,August,9,47.0,44,1.0,5,2,0,1,0,0,3,14,4.67,0.114,0.17,0.227,0.398,10.0,0.0,0.0,0,0,0,1,0.138,29,7,2
Months,Sept/Oct,9,40.0,33,5.0,7,2,0,1,0,2,6,15,2.5,0.212,0.333,0.364,0.697,12.0,2.0,0.0,1,0,1,0,0.353,128,93,4
Game Outcome for Pitcher,in Wins,2,16.0,14,0.0,2,0,0,0,0,0,1,4,4.0,0.143,0.2,0.143,0.343,2.0,0.0,0.0,1,0,0,1,0.2,14,22,2
Game Outcome for Pitcher,in Losses,2,20.0,14,3.0,4,1,0,0,0,0,4,2,0.5,0.286,0.474,0.357,0.831,5.0,0.0,1.0,1,0,1,0,0.333,176,88,3
Game Outcome for Pitcher,in No Dec.,46,224.0,200,18.0,40,12,0,5,3,3,22,62,2.82,0.2,0.283,0.335,0.618,67.0,4.0,1.0,1,0,2,1,0.263,102,75,23
Game Outcome for Pitcher,in Saves,8,28.0,28,1.0,6,1,0,1,0,1,0,11,,0.214,0.214,0.357,0.571,10.0,1.0,0.0,0,0,0,0,0.313,84,152,4
Game Outcome for Pitcher,in Sv Situ,27,122.0,114,14.0,27,8,0,4,0,2,7,36,5.14,0.237,0.281,0.412,0.693,47.0,3.0,0.0,1,0,1,1,0.311,125,107,15
Game Outcome for Pitcher,in non-Sv,31,166.0,142,8.0,25,6,0,2,3,2,20,43,2.15,0.176,0.287,0.261,0.547,37.0,2.0,2.0,2,0,2,1,0.237,81,57,17
Pitching Role,as Reliever,58,288.0,256,22.0,52,14,0,6,3,4,27,79,2.93,0.203,0.284,0.328,0.612,84.0,5.0,2.0,3,0,3,2,0.269,100,76,32
Batting Order Positions,Batting 1st,34,35.0,32,5.0,8,3,0,0,0,1,3,8,2.67,0.25,0.314,0.344,0.658,11.0,1.0,0.0,0,0,0,1,0.333,115,82,5
Batting Order Positions,Batting 2nd,34,35.0,30,1.0,7,1,0,1,0,0,4,8,2.0,0.233,0.343,0.367,0.71,11.0,0.0,1.0,0,0,0,0,0.286,133,101,5
Batting Order Positions,Batting 3rd,40,40.0,37,3.0,6,4,0,1,1,0,3,14,4.67,0.162,0.225,0.351,0.576,13.0,1.0,0.0,0,0,0,0,0.227,86,41,1
Batting Order Positions,Batting 4th,35,35.0,30,4.0,6,1,0,2,1,1,3,9,3.0,0.2,0.294,0.433,0.727,13.0,1.0,1.0,1,0,2,0,0.211,136,82,3
Batting Order Positions,Batting 5th,32,32.0,30,0.0,5,2,0,0,1,1,2,13,6.5,0.167,0.219,0.233,0.452,7.0,1.0,0.0,0,0,0,1,0.294,48,22,3
Batting Order Positions,Batting 6th,27,28.0,27,1.0,3,0,0,1,0,0,0,11,,0.111,0.111,0.222,0.333,6.0,0.0,0.0,1,0,0,0,0.133,7,-11,2
Batting Order Positions,Batting 7th,26,28.0,24,2.0,7,1,0,0,0,0,4,6,1.5,0.292,0.393,0.333,0.726,8.0,0.0,0.0,0,0,1,0,0.389,140,113,6
Batting Order Positions,Batting 8th,26,28.0,26,4.0,4,2,0,1,0,1,1,4,4.0,0.154,0.185,0.346,0.531,9.0,1.0,0.0,1,0,0,0,0.143,71,54,1
Batting Order Positions,Batting 9th,26,27.0,20,2.0,6,0,0,0,0,0,7,6,0.86,0.3,0.482,0.3,0.782,6.0,0.0,0.0,0,0,0,0,0.429,161,187,6
Batting Order Positions,"Bat1-2,non-P",39,70.0,62,6.0,15,4,0,1,0,1,7,16,2.29,0.242,0.329,0.355,0.683,22.0,1.0,1.0,0,0,0,1,0.311,124,91,10
Batting Order Positions,"Bat3-6,non-P",49,135.0,124,8.0,20,7,0,4,3,2,8,47,5.88,0.161,0.218,0.315,0.533,39.0,3.0,1.0,2,0,2,1,0.219,73,38,9
Batting Order Positions,"Bat7-9,non-P",37,83.0,70,8.0,17,3,0,1,0,1,12,16,1.33,0.243,0.354,0.329,0.682,23.0,1.0,0.0,1,0,1,0,0.302,125,105,13
Swung or Took First Pitch of PA,Swung at 1st Pitch,38,63.0,59,7.0,16,3,0,1,,,1,11,11.0,0.271,0.307,0.373,0.679,22.0,0.0,2.0,1,0,0,0,0.319,122,95,12
Swung or Took First Pitch of PA,Took 1st Pitch,56,225.0,197,15.0,36,11,0,5,,,26,68,2.62,0.183,0.278,0.315,0.593,62.0,5.0,0.0,2,0,3,2,0.25,94,64,20
Count/Balls-Strikes,First Pitch,27,32.0,32,5.0,12,3,0,1,,,0,0,,0.375,0.375,0.563,0.938,18.0,0.0,0.0,0,0,0,0,0.355,204,119,8
Count/Balls-Strikes,1-0 Count,17,19.0,18,1.0,5,2,0,1,,,0,0,,0.278,0.278,0.556,0.833,10.0,1.0,0.0,1,0,0,0,0.235,167,84,2
Count/Balls-Strikes,2-0 Count,3,3.0,3,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,5,7.0,0,1.0,0,0,0,0,,,7,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,21,24.0,23,2.0,6,1,0,1,,,0,0,,0.261,0.261,0.435,0.696,10.0,1.0,0.0,1,0,0,1,0.227,125,73,4
Count/Balls-Strikes,1-1 Count,18,22.0,22,2.0,5,2,0,0,,,0,0,,0.227,0.227,0.318,0.546,7.0,0.0,0.0,0,0,0,1,0.227,77,35,3
Count/Balls-Strikes,2-1 Count,10,11.0,11,0.0,5,2,0,0,,,0,0,,0.455,0.455,0.636,1.091,7.0,0.0,0.0,0,0,0,0,0.455,254,150,3
Count/Balls-Strikes,3-1 Count,12,16.0,8,4.0,2,0,0,2,,,7,0,0.0,0.25,0.6,1.0,1.6,8.0,1.0,0.0,1,0,0,0,0.0,416,146,0
Count/Balls-Strikes,0-2 Count,29,37.0,36,1.0,3,0,0,0,,,0,26,,0.083,0.108,0.083,0.191,3.0,1.0,1.0,0,0,0,0,0.3,-37,6,3
Count/Balls-Strikes,1-2 Count,30,39.0,39,0.0,3,0,0,0,,,0,23,,0.077,0.077,0.077,0.154,3.0,1.0,0.0,0,0,0,0,0.188,-49,-25,3
