Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,68,337.0,300,34.0,70,11,1,9,2,0,33,86,2.61,0.233,0.309,0.367,0.675,110.0,5.0,1.0,0,3,2,0,0.293,100,87,49
Platoon Splits,vs RHB,66,188.0,169,20.0,36,5,1,5,1,0,15,48,3.2,0.213,0.277,0.343,0.62,58.0,4.0,1.0,0,3,0,0,0.261,83,71,25
Platoon Splits,vs LHB,60,149.0,131,16.0,34,6,0,4,1,0,18,38,2.11,0.26,0.349,0.397,0.746,52.0,1.0,0.0,0,0,2,0,0.337,121,107,24
Platoon Splits,vs RHB as RHP,66,188.0,169,20.0,36,5,1,5,1,0,15,48,3.2,0.213,0.277,0.343,0.62,58.0,4.0,1.0,0,3,0,0,0.261,83,75,25
Platoon Splits,vs LHB as RHP,60,149.0,131,16.0,34,6,0,4,1,0,18,38,2.11,0.26,0.349,0.397,0.746,52.0,1.0,0.0,0,0,2,0,0.337,121,103,24
Home or Away,Home,36,174.0,156,18.0,31,5,0,5,1,0,17,45,2.65,0.199,0.276,0.327,0.603,51.0,5.0,0.0,0,1,0,0,0.243,78,70,21
Home or Away,Away,32,163.0,144,16.0,39,6,1,4,1,0,16,41,2.56,0.271,0.344,0.41,0.753,59.0,0.0,1.0,0,2,2,0,0.347,123,104,28
First or Second Half,1st Half,36,192.0,171,16.0,40,7,0,4,2,0,18,42,2.33,0.234,0.302,0.345,0.647,59.0,5.0,0.0,0,3,0,0,0.281,92,81,29
First or Second Half,2nd Half,32,145.0,129,18.0,30,4,1,5,0,0,15,44,2.93,0.233,0.317,0.395,0.713,51.0,0.0,1.0,0,0,2,0,0.313,110,93,20
Months,April/March,11,57.0,54,10.0,16,4,0,3,0,0,2,13,6.5,0.296,0.316,0.537,0.853,29.0,1.0,0.0,0,1,0,0,0.333,149,140,9
Months,May,9,47.0,42,1.0,8,1,0,0,0,0,5,10,2.0,0.191,0.277,0.214,0.491,9.0,2.0,0.0,0,0,0,0,0.25,48,42,7
Months,June,12,70.0,62,3.0,12,2,0,1,1,0,7,15,2.14,0.194,0.271,0.274,0.546,17.0,1.0,0.0,0,1,0,0,0.234,62,50,9
Months,July,11,60.0,48,7.0,15,3,0,2,1,0,10,16,1.6,0.313,0.433,0.5,0.933,24.0,1.0,1.0,0,1,0,0,0.419,176,154,10
Months,August,11,41.0,37,7.0,7,1,0,2,0,0,4,13,3.25,0.189,0.268,0.378,0.647,14.0,0.0,0.0,0,0,1,0,0.227,90,76,4
Months,Sept/Oct,14,62.0,57,6.0,12,0,1,1,0,0,5,19,3.8,0.211,0.274,0.298,0.572,17.0,0.0,0.0,0,0,1,0,0.297,70,56,10
Game Outcome for Pitcher,in Wins,7,31.0,29,1.0,5,0,0,0,0,0,2,12,6.0,0.172,0.226,0.172,0.398,5.0,0.0,0.0,0,0,0,0,0.294,20,52,5
Game Outcome for Pitcher,in Losses,1,10.0,9,3.0,4,0,0,0,0,0,1,0,0.0,0.444,0.5,0.444,0.944,4.0,0.0,0.0,0,0,0,0,0.444,183,100,4
Game Outcome for Pitcher,in No Dec.,52,259.0,226,29.0,57,11,0,8,2,0,29,62,2.14,0.252,0.336,0.407,0.743,92.0,5.0,1.0,0,3,1,0,0.308,120,108,38
Game Outcome for Pitcher,in Saves,8,37.0,36,1.0,4,0,1,1,0,0,1,12,12.0,0.111,0.135,0.25,0.385,9.0,0.0,0.0,0,0,1,0,0.13,12,74,2
Game Outcome for Pitcher,in Sv Situ,21,97.0,88,9.0,17,2,1,2,0,0,8,20,2.5,0.193,0.258,0.307,0.565,27.0,0.0,0.0,0,1,2,0,0.224,67,65,12
Game Outcome for Pitcher,in non-Sv,47,240.0,212,25.0,53,9,0,7,2,0,25,66,2.64,0.25,0.329,0.392,0.721,83.0,5.0,1.0,0,2,0,0,0.326,113,99,37
Pitching Role,as Reliever,68,337.0,300,34.0,70,11,1,9,2,0,33,86,2.61,0.233,0.309,0.367,0.675,110.0,5.0,1.0,0,3,2,0,0.293,100,89,49
Batting Order Positions,Batting 1st,41,41.0,39,3.0,11,1,0,0,1,0,1,12,12.0,0.282,0.293,0.308,0.6,12.0,1.0,0.0,0,1,0,0,0.393,79,60,10
Batting Order Positions,Batting 2nd,34,35.0,30,11.0,10,0,0,3,0,0,4,5,1.25,0.333,0.4,0.633,1.033,19.0,0.0,0.0,0,1,0,0,0.304,202,163,7
Batting Order Positions,Batting 3rd,27,27.0,23,2.0,5,0,1,2,0,0,4,3,0.75,0.217,0.333,0.565,0.899,13.0,0.0,0.0,0,0,0,0,0.167,162,119,2
Batting Order Positions,Batting 4th,28,30.0,27,3.0,9,1,0,1,0,0,2,5,2.5,0.333,0.367,0.482,0.848,13.0,1.0,0.0,0,1,0,0,0.364,150,118,7
Batting Order Positions,Batting 5th,35,35.0,32,4.0,10,4,0,0,0,0,2,9,4.5,0.313,0.371,0.438,0.809,14.0,2.0,1.0,0,0,0,0,0.435,139,120,6
Batting Order Positions,Batting 6th,37,37.0,31,5.0,6,1,0,1,0,0,6,12,2.0,0.194,0.324,0.323,0.647,10.0,1.0,0.0,0,0,2,0,0.278,93,82,4
Batting Order Positions,Batting 7th,42,43.0,39,0.0,3,1,0,0,1,0,4,15,3.75,0.077,0.163,0.103,0.265,4.0,0.0,0.0,0,0,0,0,0.125,-19,-20,2
Batting Order Positions,Batting 8th,43,44.0,39,4.0,7,2,0,1,0,0,5,14,2.8,0.18,0.273,0.308,0.58,12.0,0.0,0.0,0,0,0,0,0.25,72,76,4
Batting Order Positions,Batting 9th,44,45.0,40,4.0,9,1,0,1,0,0,5,11,2.2,0.225,0.311,0.325,0.636,13.0,0.0,0.0,0,0,0,0,0.286,89,125,7
Batting Order Positions,"Bat1-2,non-P",42,76.0,69,14.0,21,1,0,3,1,0,5,17,3.4,0.304,0.342,0.449,0.791,31.0,1.0,0.0,0,2,0,0,0.353,133,105,17
Batting Order Positions,"Bat3-6,non-P",49,129.0,113,14.0,30,6,1,4,0,0,14,29,2.07,0.266,0.349,0.443,0.791,50.0,4.0,1.0,0,1,2,0,0.321,133,108,19
Batting Order Positions,"Bat7-9,non-P",57,123.0,109,8.0,16,4,0,2,1,0,14,37,2.64,0.147,0.244,0.239,0.482,26.0,0.0,0.0,0,0,0,0,0.2,44,45,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,50,102.0,98,14.0,28,4,1,3,,,1,26,26.0,0.286,0.294,0.439,0.733,43.0,3.0,1.0,0,2,0,0,0.352,115,102,20
Swung or Took First Pitch of PA,Took 1st Pitch,67,235.0,202,20.0,42,7,0,6,,,32,60,1.88,0.208,0.315,0.332,0.647,67.0,2.0,0.0,0,1,2,0,0.263,92,79,29
Count/Balls-Strikes,First Pitch,23,34.0,33,5.0,13,3,0,2,,,0,0,,0.394,0.382,0.667,1.049,22.0,2.0,0.0,0,1,0,0,0.344,205,123,8
Count/Balls-Strikes,1-0 Count,10,11.0,11,3.0,4,0,0,1,,,0,0,,0.364,0.364,0.636,1.0,7.0,1.0,0.0,0,0,0,0,0.3,191,118,3
Count/Balls-Strikes,2-0 Count,5,5.0,5,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,6,6.0,1,0.0,0,0,0,0,,,5,0,0.0,0.0,0.833,0.0,0.833,0.0,0.0,0.0,0,0,2,0,0.0,170,-11,0
Count/Balls-Strikes,0-1 Count,21,27.0,26,3.0,10,0,0,0,,,0,0,,0.385,0.37,0.385,0.755,10.0,1.0,0.0,0,1,0,0,0.37,125,89,10
Count/Balls-Strikes,1-1 Count,26,32.0,32,6.0,10,1,0,1,,,0,0,,0.313,0.313,0.438,0.75,14.0,0.0,0.0,0,0,0,0,0.29,121,68,8
Count/Balls-Strikes,2-1 Count,14,16.0,16,6.0,5,0,0,2,,,0,0,,0.313,0.313,0.688,1.0,11.0,0.0,0.0,0,0,0,0,0.214,189,107,3
Count/Balls-Strikes,3-1 Count,12,12.0,4,0.0,1,0,0,0,,,8,0,0.0,0.25,0.75,0.25,1.0,1.0,0.0,0.0,0,0,0,0,0.25,211,42,1
Count/Balls-Strikes,0-2 Count,24,28.0,27,0.0,2,0,0,0,,,0,16,,0.074,0.107,0.074,0.181,2.0,1.0,1.0,0,0,0,0,0.182,-45,1,2
Count/Balls-Strikes,1-2 Count,36,52.0,52,1.0,5,2,0,0,,,0,26,,0.096,0.096,0.135,0.231,7.0,0.0,0.0,0,0,0,0,0.192,-32,14,3
Count/Balls-Strikes,2-2 Count,44,59.0,58,5.0,11,4,1,1,,,0,33,,0.19,0.186,0.345,0.531,20.0,0.0,0.0,0,1,0,0,0.4,54,127,5
Count/Balls-Strikes,Full Count,35,55.0,35,5.0,9,1,0,2,,,20,11,0.55,0.257,0.527,0.457,0.984,16.0,0.0,0.0,0,0,0,0,0.318,195,145,6
Count/Balls-Strikes,After 1-0,60,135.0,113,12.0,23,5,0,4,,,22,29,1.32,0.204,0.333,0.354,0.687,40.0,1.0,0.0,0,0,2,0,0.238,104,68,14
Count/Balls-Strikes,After 2-0,37,50.0,30,4.0,8,1,0,2,,,20,5,0.25,0.267,0.56,0.5,1.06,15.0,0.0,0.0,0,0,2,0,0.261,218,116,5
Count/Balls-Strikes,After 3-0,17,18.0,5,0.0,2,0,0,0,,,13,0,0.0,0.4,0.833,0.4,1.233,2.0,0.0,0.0,0,0,2,0,0.4,279,99,2
Count/Balls-Strikes,After 0-1,62,168.0,154,17.0,34,3,1,3,,,11,57,5.18,0.221,0.274,0.312,0.586,48.0,2.0,1.0,0,2,0,0,0.323,74,94,27
Count/Balls-Strikes,After 1-1,61,145.0,136,18.0,28,6,1,3,,,8,43,5.38,0.206,0.248,0.331,0.579,45.0,0.0,0.0,0,1,0,0,0.275,70,68,18
Count/Balls-Strikes,After 2-1,42,68.0,56,13.0,16,3,1,4,,,11,14,1.27,0.286,0.397,0.589,0.986,33.0,0.0,0.0,0,1,0,0,0.308,189,145,8
Count/Balls-Strikes,After 3-1,25,30.0,13,0.0,4,0,0,0,,,17,2,0.12,0.308,0.7,0.308,1.008,4.0,0.0,0.0,0,0,0,0,0.364,211,84,4
Count/Balls-Strikes,After 0-2,45,70.0,64,1.0,7,1,0,1,,,5,38,7.6,0.109,0.186,0.172,0.358,11.0,1.0,1.0,0,0,0,0,0.24,7,64,5
Count/Balls-Strikes,After 1-2,55,114.0,105,4.0,13,4,0,1,,,9,56,6.22,0.124,0.193,0.191,0.384,20.0,0.0,0.0,0,0,0,0,0.25,14,55,8
Count/Balls-Strikes,After 2-2,55,96.0,84,10.0,17,5,1,3,,,11,42,3.82,0.202,0.292,0.393,0.685,33.0,0.0,0.0,0,1,0,0,0.35,102,130,8
Count/Balls-Strikes,Zero Balls,49,89.0,86,8.0,25,3,0,2,,,0,16,,0.291,0.292,0.395,0.687,34.0,4.0,1.0,0,2,0,0,0.329,102,94,20
Count/Balls-Strikes,Zero Strikes,36,56.0,50,8.0,17,3,0,3,,,5,0,0.0,0.34,0.393,0.58,0.973,29.0,3.0,0.0,0,1,2,0,0.292,185,95,11
Count/Balls-Strikes,Three Balls,43,73.0,40,5.0,10,1,0,2,,,33,11,0.33,0.25,0.589,0.425,1.014,17.0,0.0,0.0,0,0,2,0,0.296,206,109,7
Count/Balls-Strikes,Two Strikes,65,194.0,172,12.0,27,7,1,3,,,20,86,4.3,0.157,0.247,0.262,0.509,45.0,1.0,1.0,0,1,0,0,0.286,51,98,16
Count/Balls-Strikes,Batter Ahead,50,105.0,72,14.0,19,1,0,5,,,33,11,0.33,0.264,0.495,0.486,0.981,35.0,1.0,0.0,0,0,2,0,0.25,193,100,13
Count/Balls-Strikes,Even Count,58,125.0,123,16.0,34,8,1,4,,,0,33,,0.276,0.272,0.455,0.727,56.0,2.0,0.0,0,2,0,0,0.341,112,101,21
Count/Balls-Strikes,Pitcher Ahead,53,107.0,105,4.0,17,2,0,0,,,0,42,,0.162,0.168,0.181,0.349,19.0,2.0,1.0,0,1,0,0,0.266,4,42,15
Leading Off Inning,First Batter,68,68.0,59,4.0,11,3,1,1,,,7,21,3.0,0.186,0.279,0.322,0.601,19.0,0.0,1.0,0,1,0,0,0.263,78,67,6
Leading Off Inning,Leadoff Inn.,62,75.0,67,2.0,14,3,1,2,,,7,20,2.86,0.209,0.293,0.373,0.666,25.0,0.0,1.0,0,0,0,0,0.267,97,82,8
Opposition Defensive Position,vs. Pitcher,9,9.0,9,0.0,3,0,0,0,0,0,0,3,,0.333,0.333,0.333,0.667,3.0,0.0,0.0,0,0,0,0,0.5,99,357,3
Opposition Defensive Position,vs. Non-P,68,328.0,291,36.0,67,11,1,9,2,0,33,83,2.52,0.23,0.308,0.368,0.676,107.0,5.0,1.0,0,3,2,0,0.287,100,84,46
Number of Outs in Inning,0 outs,64,102.0,94,2.0,15,3,1,2,0,0,7,32,4.57,0.16,0.226,0.277,0.502,26.0,3.0,1.0,0,0,0,0,0.217,48,35,9
Number of Outs in Inning,1 out,64,117.0,99,20.0,26,7,0,4,1,0,15,29,1.93,0.263,0.35,0.455,0.805,45.0,2.0,0.0,0,3,0,0,0.319,137,122,15
Number of Outs in Inning,2 outs,66,118.0,107,14.0,29,1,0,3,1,0,11,25,2.27,0.271,0.339,0.365,0.704,39.0,0.0,0.0,0,0,2,0,0.329,109,101,25
Bases Occupied,RISP,37,83.0,71,27.0,17,3,0,3,1,0,9,26,2.89,0.239,0.313,0.409,0.722,29.0,1.0,0.0,0,3,2,0,0.311,113,91,11
Bases Occupied,---,64,186.0,166,4.0,37,5,1,4,0,0,19,44,2.32,0.223,0.307,0.337,0.644,56.0,0.0,1.0,0,0,0,0,0.28,91,83,27
Bases Occupied,Men On,50,151.0,134,32.0,33,6,0,5,2,0,14,42,3.0,0.246,0.311,0.403,0.714,54.0,5.0,0.0,0,3,2,0,0.311,111,90,22
Bases Occupied,1--,41,68.0,63,5.0,16,3,0,2,1,0,5,16,3.2,0.254,0.309,0.397,0.706,25.0,4.0,0.0,0,0,0,0,0.311,108,90,11
Bases Occupied,-2-,17,20.0,15,3.0,3,1,0,1,0,0,5,6,1.2,0.2,0.4,0.467,0.867,7.0,0.0,0.0,0,0,1,0,0.25,157,135,1
Bases Occupied,--3,6,8.0,6,2.0,1,0,0,0,0,0,1,2,2.0,0.167,0.25,0.167,0.417,1.0,0.0,0.0,0,1,1,0,0.2,26,6,1
Bases Occupied,12-,23,31.0,30,11.0,7,1,0,2,0,0,1,11,11.0,0.233,0.258,0.467,0.725,14.0,1.0,0.0,0,0,0,0,0.294,111,99,4
Bases Occupied,1-3,9,12.0,10,4.0,3,0,0,0,1,0,1,2,2.0,0.3,0.333,0.3,0.633,3.0,0.0,0.0,0,1,0,0,0.333,90,69,3
Bases Occupied,-23,5,7.0,6,5.0,3,1,0,0,0,0,1,3,3.0,0.5,0.571,0.667,1.238,4.0,0.0,0.0,0,0,0,0,1.0,267,213,2
