Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,62,260.0,230,21.0,45,9,0,2,1,0,20,65,3.25,0.196,0.286,0.261,0.547,60.0,4.0,9.0,0,0,2,1,0.264,100,58,34
Platoon Splits,vs RHB,60,153.0,138,12.0,22,4,0,1,0,0,8,45,5.63,0.159,0.237,0.21,0.447,29.0,4.0,6.0,0,0,0,1,0.228,63,28,17
Platoon Splits,vs LHB,54,107.0,92,12.0,23,5,0,1,1,0,12,20,1.67,0.25,0.355,0.337,0.692,31.0,0.0,3.0,0,0,2,0,0.31,153,102,17
Platoon Splits,vs RHB as RHP,60,153.0,138,12.0,22,4,0,1,0,0,8,45,5.63,0.159,0.237,0.21,0.447,29.0,4.0,6.0,0,0,0,1,0.228,63,31,17
Platoon Splits,vs LHB as RHP,54,107.0,92,12.0,23,5,0,1,1,0,12,20,1.67,0.25,0.355,0.337,0.692,31.0,0.0,3.0,0,0,2,0,0.31,153,99,17
Home or Away,Home,31,130.0,114,11.0,22,2,0,2,1,0,10,34,3.4,0.193,0.287,0.263,0.55,30.0,2.0,5.0,0,0,2,1,0.256,101,61,18
Home or Away,Away,31,130.0,116,10.0,23,7,0,0,0,0,10,31,3.1,0.198,0.285,0.259,0.543,30.0,2.0,4.0,0,0,0,0,0.271,99,54,16
First or Second Half,1st Half,41,163.0,148,7.0,27,3,0,0,1,0,9,44,4.89,0.182,0.253,0.203,0.456,30.0,3.0,5.0,0,0,2,1,0.26,66,33,24
First or Second Half,2nd Half,21,97.0,82,14.0,18,6,0,2,0,0,11,21,1.91,0.22,0.34,0.366,0.706,30.0,1.0,4.0,0,0,0,0,0.271,159,102,10
Months,April/March,11,42.0,39,1.0,7,1,0,0,0,0,2,11,5.5,0.18,0.238,0.205,0.443,8.0,0.0,1.0,0,0,0,0,0.25,62,33,6
Months,May,12,47.0,47,0.0,8,1,0,0,0,0,0,15,,0.17,0.17,0.192,0.362,9.0,3.0,0.0,0,0,0,1,0.25,33,2,7
Months,June,12,49.0,43,2.0,7,1,0,0,1,0,3,12,4.0,0.163,0.25,0.186,0.436,8.0,0.0,2.0,0,0,1,0,0.226,59,25,6
Months,July,10,45.0,34,7.0,7,0,0,1,0,0,8,10,1.25,0.206,0.4,0.294,0.694,10.0,0.0,3.0,0,0,1,0,0.261,153,101,6
Months,August,6,25.0,20,4.0,5,1,0,0,0,0,3,6,2.0,0.25,0.4,0.3,0.7,6.0,1.0,2.0,0,0,0,0,0.357,155,104,4
Months,Sept/Oct,11,52.0,47,7.0,11,5,0,1,0,0,4,11,2.75,0.234,0.308,0.404,0.712,19.0,0.0,1.0,0,0,0,0,0.286,163,103,5
Game Outcome for Pitcher,in Wins,7,31.0,28,2.0,4,1,0,0,0,0,2,8,4.0,0.143,0.226,0.179,0.404,5.0,2.0,1.0,0,0,0,0,0.2,48,54,3
Game Outcome for Pitcher,in Losses,4,22.0,14,10.0,7,2,0,1,0,0,5,3,0.6,0.5,0.682,0.857,1.539,12.0,0.0,3.0,0,0,0,0,0.6,467,223,4
Game Outcome for Pitcher,in No Dec.,31,127.0,112,6.0,22,3,0,1,0,0,12,28,2.33,0.196,0.291,0.25,0.541,28.0,2.0,3.0,0,0,2,1,0.253,98,60,18
Game Outcome for Pitcher,in Saves,20,80.0,76,3.0,12,3,0,0,1,0,1,26,26.0,0.158,0.19,0.197,0.387,15.0,0.0,2.0,0,0,0,0,0.24,42,85,9
Game Outcome for Pitcher,in Sv Situ,33,139.0,122,14.0,25,5,0,1,1,0,10,37,3.7,0.205,0.297,0.271,0.568,33.0,1.0,6.0,0,0,0,1,0.286,107,75,19
Game Outcome for Pitcher,in non-Sv,29,121.0,108,7.0,20,4,0,1,0,0,10,28,2.8,0.185,0.273,0.25,0.523,27.0,3.0,3.0,0,0,2,0,0.241,91,51,15
Pitching Role,as Reliever,62,260.0,230,21.0,45,9,0,2,1,0,20,65,3.25,0.196,0.286,0.261,0.547,60.0,4.0,9.0,0,0,2,1,0.264,100,60,34
Batting Order Positions,Batting 1st,29,29.0,27,2.0,3,0,0,0,0,0,1,8,8.0,0.111,0.172,0.111,0.284,3.0,1.0,1.0,0,0,0,0,0.158,3,-18,3
Batting Order Positions,Batting 2nd,25,25.0,22,1.0,4,0,0,0,0,0,2,5,2.5,0.182,0.28,0.182,0.462,4.0,1.0,1.0,0,0,1,0,0.235,68,27,4
Batting Order Positions,Batting 3rd,31,31.0,26,8.0,7,2,0,2,0,0,4,8,2.0,0.269,0.387,0.577,0.964,15.0,1.0,1.0,0,0,0,0,0.313,256,150,3
Batting Order Positions,Batting 4th,32,32.0,28,0.0,6,1,0,0,0,0,2,8,4.0,0.214,0.29,0.25,0.54,7.0,0.0,1.0,0,0,0,0,0.3,97,50,5
Batting Order Positions,Batting 5th,30,30.0,24,3.0,5,1,0,0,1,0,4,7,1.75,0.208,0.367,0.25,0.617,6.0,1.0,2.0,0,0,0,0,0.294,124,83,4
Batting Order Positions,Batting 6th,29,29.0,27,2.0,6,2,0,0,0,0,2,8,4.0,0.222,0.276,0.296,0.572,8.0,0.0,0.0,0,0,0,1,0.316,110,67,4
Batting Order Positions,Batting 7th,30,30.0,27,5.0,7,1,0,0,0,0,1,4,4.0,0.259,0.333,0.296,0.63,8.0,0.0,2.0,0,0,0,0,0.304,130,91,6
Batting Order Positions,Batting 8th,27,27.0,24,1.0,2,0,0,0,0,0,3,7,2.33,0.083,0.185,0.083,0.269,2.0,0.0,0.0,0,0,1,0,0.118,-4,-14,2
