Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,70,286.0,256,26.0,56,16,0,2,4,1,25,99,3.96,0.219,0.291,0.305,0.596,78.0,5.0,2.0,1,2,2,1,0.344,100,67,38
Platoon Splits,vs RHB,66,146.0,131,17.0,34,10,0,1,3,1,12,49,4.08,0.26,0.317,0.359,0.676,47.0,3.0,0.0,1,2,2,1,0.398,127,91,23
Platoon Splits,vs LHB,68,140.0,125,12.0,22,6,0,1,1,0,13,50,3.85,0.176,0.264,0.248,0.512,31.0,2.0,2.0,0,0,0,0,0.284,72,42,15
Platoon Splits,vs RHB as RHP,66,146.0,131,17.0,34,10,0,1,3,1,12,49,4.08,0.26,0.317,0.359,0.676,47.0,3.0,0.0,1,2,2,1,0.398,127,95,23
Platoon Splits,vs LHB as RHP,68,140.0,125,12.0,22,6,0,1,1,0,13,50,3.85,0.176,0.264,0.248,0.512,31.0,2.0,2.0,0,0,0,0,0.284,72,40,15
Home or Away,Home,34,131.0,119,10.0,21,7,0,1,2,1,10,46,4.6,0.177,0.244,0.261,0.505,31.0,2.0,1.0,0,1,1,1,0.274,69,45,13
Home or Away,Away,36,155.0,137,16.0,35,9,0,1,2,0,15,53,3.53,0.256,0.331,0.343,0.674,47.0,3.0,1.0,1,1,1,0,0.405,126,85,25
First or Second Half,1st Half,38,156.0,135,14.0,28,8,0,1,3,0,17,58,3.41,0.207,0.303,0.289,0.592,39.0,2.0,2.0,1,1,1,0,0.351,99,70,19
First or Second Half,2nd Half,32,130.0,121,12.0,28,8,0,1,1,1,8,41,5.13,0.231,0.277,0.322,0.599,39.0,3.0,0.0,0,1,1,1,0.338,101,64,19
Months,April/March,8,42.0,32,10.0,13,4,0,0,2,0,7,11,1.57,0.406,0.512,0.531,1.044,17.0,0.0,1.0,1,1,1,0,0.591,250,199,9
