Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,60,257.0,232,20.0,48,9,1,5,2,0,23,73,3.17,0.207,0.277,0.319,0.596,74.0,3.0,0.0,1,1,0,0,0.277,100,65,33
Platoon Splits,vs RHB,55,130.0,119,15.0,27,4,0,4,0,0,10,42,4.2,0.227,0.285,0.361,0.646,43.0,1.0,0.0,0,1,0,0,0.311,116,78,19
Platoon Splits,vs LHB,59,127.0,113,8.0,21,5,1,1,2,0,13,31,2.38,0.186,0.27,0.274,0.544,31.0,2.0,0.0,1,0,0,0,0.247,83,52,14
Platoon Splits,vs RHB as RHP,55,130.0,119,15.0,27,4,0,4,0,0,10,42,4.2,0.227,0.285,0.361,0.646,43.0,1.0,0.0,0,1,0,0,0.311,116,82,19
Platoon Splits,vs LHB as RHP,59,127.0,113,8.0,21,5,1,1,2,0,13,31,2.38,0.186,0.27,0.274,0.544,31.0,2.0,0.0,1,0,0,0,0.247,83,49,14
Home or Away,Home,31,138.0,126,12.0,24,4,0,4,2,0,10,39,3.9,0.191,0.248,0.318,0.566,40.0,1.0,0.0,1,1,0,0,0.238,89,59,16
Home or Away,Away,29,119.0,106,8.0,24,5,1,1,0,0,13,34,2.62,0.226,0.311,0.321,0.632,34.0,2.0,0.0,0,0,0,0,0.324,113,73,17
First or Second Half,1st Half,30,136.0,120,12.0,25,6,0,3,1,0,15,44,2.93,0.208,0.294,0.333,0.627,40.0,1.0,0.0,0,1,0,0,0.297,111,76,16
First or Second Half,2nd Half,30,121.0,112,8.0,23,3,1,2,1,0,8,29,3.63,0.205,0.258,0.304,0.562,34.0,2.0,0.0,1,0,0,0,0.259,88,53,17
Months,April/March,5,27.0,27,0.0,5,0,0,0,0,0,0,12,,0.185,0.185,0.185,0.37,5.0,0.0,0.0,0,0,0,0,0.333,25,7,5
Months,May,12,50.0,43,4.0,7,1,0,2,0,0,7,19,2.71,0.163,0.28,0.326,0.606,14.0,0.0,0.0,0,0,0,0,0.227,103,71,4
Months,June,10,46.0,40,3.0,9,4,0,0,1,0,5,12,2.4,0.225,0.304,0.325,0.629,13.0,1.0,0.0,0,1,0,0,0.31,112,73,5
Months,July,11,39.0,33,5.0,8,1,1,1,0,0,6,11,1.83,0.242,0.359,0.424,0.783,14.0,1.0,0.0,0,0,0,0,0.333,163,113,5
Months,August,10,40.0,37,5.0,9,1,0,2,0,0,3,9,3.0,0.243,0.3,0.432,0.732,16.0,1.0,0.0,0,0,0,0,0.269,144,99,6
Months,Sept/Oct,12,55.0,52,3.0,10,2,0,0,1,0,2,10,5.0,0.192,0.222,0.231,0.453,12.0,0.0,0.0,1,0,0,0,0.238,53,24,8
Game Outcome for Pitcher,in Wins,5,18.0,18,0.0,1,0,0,0,1,0,0,5,,0.056,0.056,0.056,0.111,1.0,0.0,0.0,0,0,0,0,0.077,-62,-58,1
Game Outcome for Pitcher,in Losses,4,23.0,19,7.0,10,2,0,1,0,0,3,4,1.33,0.526,0.591,0.79,1.38,15.0,0.0,0.0,1,0,0,0,0.643,361,180,7
Game Outcome for Pitcher,in No Dec.,43,182.0,164,13.0,34,6,1,4,1,0,17,56,3.29,0.207,0.28,0.329,0.61,54.0,2.0,0.0,0,1,0,0,0.286,104,71,23
Game Outcome for Pitcher,in Saves,8,34.0,31,0.0,3,1,0,0,0,0,3,8,2.67,0.097,0.177,0.129,0.306,4.0,1.0,0.0,0,0,0,0,0.13,4,39,2
Game Outcome for Pitcher,in Sv Situ,17,72.0,66,8.0,14,3,1,3,1,0,5,14,2.8,0.212,0.268,0.424,0.692,28.0,1.0,0.0,1,0,0,0,0.225,130,99,7
Game Outcome for Pitcher,in non-Sv,43,185.0,166,12.0,34,6,0,2,1,0,18,59,3.28,0.205,0.281,0.277,0.558,46.0,2.0,0.0,0,1,0,0,0.302,88,56,26
