Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,76,309.0,267,15.0,48,8,0,6,13,2,40,126,3.15,0.18,0.291,0.277,0.569,74.0,4.0,2.0,0,0,5,0,0.311,100,55,34
Platoon Splits,vs RHB,73,149.0,132,14.0,27,5,0,4,7,1,17,65,3.82,0.205,0.295,0.333,0.629,44.0,3.0,0.0,0,0,2,0,0.365,122,71,18
Platoon Splits,vs LHB,74,160.0,135,5.0,21,3,0,2,6,1,23,61,2.65,0.156,0.288,0.222,0.51,30.0,1.0,2.0,0,0,3,0,0.264,79,39,16
Platoon Splits,vs RHB as RHP,73,149.0,132,14.0,27,5,0,4,7,1,17,65,3.82,0.205,0.295,0.333,0.629,44.0,3.0,0.0,0,0,2,0,0.365,122,73,18
Platoon Splits,vs LHB as RHP,74,160.0,135,5.0,21,3,0,2,6,1,23,61,2.65,0.156,0.288,0.222,0.51,30.0,1.0,2.0,0,0,3,0,0.264,79,36,16
Home or Away,Home,41,168.0,147,4.0,25,8,0,2,6,1,20,66,3.3,0.17,0.274,0.265,0.539,39.0,2.0,1.0,0,0,3,0,0.291,90,50,15
Home or Away,Away,35,141.0,120,11.0,23,0,0,4,7,1,20,60,3.0,0.192,0.312,0.292,0.604,35.0,2.0,1.0,0,0,2,0,0.339,113,61,19
First or Second Half,1st Half,43,174.0,147,8.0,24,6,0,3,11,1,26,75,2.88,0.163,0.293,0.265,0.558,39.0,1.0,1.0,0,0,4,0,0.304,96,53,15
First or Second Half,2nd Half,33,135.0,120,7.0,24,2,0,3,2,1,14,51,3.64,0.2,0.289,0.292,0.581,35.0,3.0,1.0,0,0,1,0,0.318,105,58,19
Months,April/March,13,49.0,42,2.0,7,1,0,0,3,1,6,17,2.83,0.167,0.286,0.191,0.476,8.0,1.0,1.0,0,0,0,0,0.28,67,37,6
Months,May,13,49.0,43,1.0,6,1,0,1,3,0,6,27,4.5,0.14,0.245,0.233,0.478,10.0,0.0,0.0,0,0,1,0,0.333,68,30,4
Months,June,14,61.0,51,2.0,8,3,0,1,4,0,10,24,2.4,0.157,0.295,0.275,0.57,14.0,0.0,0.0,0,0,3,0,0.269,101,52,4
Months,July,9,40.0,33,4.0,7,3,0,1,1,0,7,17,2.43,0.212,0.35,0.394,0.744,13.0,0.0,0.0,0,0,0,0,0.4,163,99,3
Months,August,15,58.0,52,0.0,9,0,0,0,1,1,5,21,4.2,0.173,0.259,0.173,0.432,9.0,2.0,1.0,0,0,0,0,0.29,52,19,9
Months,Sept/Oct,12,52.0,46,6.0,11,0,0,3,1,0,6,20,3.33,0.239,0.327,0.435,0.762,20.0,1.0,0.0,0,0,1,0,0.348,169,105,8
Game Outcome for Pitcher,in Wins,1,7.0,7,0.0,1,0,0,0,0,0,0,3,,0.143,0.143,0.143,0.286,1.0,0.0,0.0,0,0,0,0,0.25,1,-1,1
Game Outcome for Pitcher,in Losses,4,27.0,18,7.0,6,0,0,2,2,0,9,4,0.44,0.333,0.556,0.667,1.222,12.0,1.0,0.0,0,0,2,0,0.333,332,150,4
Game Outcome for Pitcher,in No Dec.,32,128.0,111,8.0,24,5,0,4,9,1,16,52,3.25,0.216,0.32,0.369,0.69,41.0,2.0,1.0,0,0,3,0,0.364,143,88,15
Game Outcome for Pitcher,in Saves,39,147.0,131,0.0,17,3,0,0,2,1,15,67,4.47,0.13,0.225,0.153,0.377,20.0,1.0,1.0,0,0,0,0,0.266,32,73,14
Game Outcome for Pitcher,in Sv Situ,56,214.0,188,9.0,32,4,0,4,6,2,24,88,3.67,0.17,0.271,0.255,0.526,48.0,2.0,2.0,0,0,2,0,0.292,85,61,24
Game Outcome for Pitcher,in non-Sv,20,95.0,79,6.0,16,4,0,2,7,0,16,38,2.38,0.203,0.337,0.329,0.666,26.0,2.0,0.0,0,0,3,0,0.359,135,82,10
Pitching Role,as Reliever,76,309.0,267,15.0,48,8,0,6,13,2,40,126,3.15,0.18,0.291,0.277,0.569,74.0,4.0,2.0,0,0,5,0,0.311,100,59,34
Batting Order Positions,Batting 1st,32,32.0,26,3.0,4,0,0,1,0,0,6,10,1.67,0.154,0.313,0.269,0.582,7.0,1.0,0.0,0,0,0,0,0.2,105,58,3
Batting Order Positions,Batting 2nd,37,37.0,32,2.0,7,1,0,0,4,0,5,17,3.4,0.219,0.324,0.25,0.574,8.0,0.0,0.0,0,0,0,0,0.467,102,51,6
Batting Order Positions,Batting 3rd,36,36.0,30,1.0,9,1,0,1,2,1,5,10,2.0,0.3,0.417,0.433,0.85,13.0,2.0,1.0,0,0,2,0,0.421,200,110,7
Batting Order Positions,Batting 4th,37,37.0,31,4.0,5,1,0,1,3,1,5,20,4.0,0.161,0.297,0.29,0.588,9.0,0.0,1.0,0,0,1,0,0.4,107,50,3
Batting Order Positions,Batting 5th,39,39.0,35,1.0,4,1,0,0,1,0,4,16,4.0,0.114,0.205,0.143,0.348,5.0,0.0,0.0,0,0,0,0,0.211,22,-6,3
Batting Order Positions,Batting 6th,37,37.0,32,1.0,4,0,0,0,2,0,5,16,3.2,0.125,0.243,0.125,0.368,4.0,0.0,0.0,0,0,1,0,0.25,29,5,4
Batting Order Positions,Batting 7th,32,32.0,27,6.0,9,3,0,3,1,0,5,10,2.0,0.333,0.438,0.778,1.215,21.0,0.0,0.0,0,0,1,0,0.429,331,224,3
Batting Order Positions,Batting 8th,31,32.0,28,0.0,3,0,0,0,0,0,4,18,4.5,0.107,0.219,0.107,0.326,3.0,0.0,0.0,0,0,0,0,0.3,14,-3,3
Batting Order Positions,Batting 9th,27,27.0,26,1.0,3,1,0,0,0,0,1,9,9.0,0.115,0.148,0.154,0.302,4.0,1.0,0.0,0,0,0,0,0.177,7,5,2
Batting Order Positions,"Bat1-2,non-P",41,69.0,58,5.0,11,1,0,1,4,0,11,27,2.45,0.19,0.319,0.259,0.577,15.0,1.0,0.0,0,0,0,0,0.333,103,54,9
Batting Order Positions,"Bat3-6,non-P",62,149.0,128,7.0,22,3,0,2,8,2,19,62,3.26,0.172,0.289,0.242,0.531,31.0,2.0,2.0,0,0,4,0,0.313,87,40,17
Batting Order Positions,"Bat7-9,non-P",47,91.0,81,7.0,15,4,0,3,1,0,10,37,3.7,0.185,0.275,0.346,0.62,28.0,1.0,0.0,0,0,1,0,0.293,119,75,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,48,68.0,67,2.0,11,1,0,0,,,0,29,,0.164,0.177,0.179,0.356,12.0,0.0,1.0,0,0,0,0,0.29,25,-1,10
Swung or Took First Pitch of PA,Took 1st Pitch,76,241.0,200,16.0,37,7,0,6,,,40,97,2.43,0.185,0.324,0.31,0.634,62.0,4.0,1.0,0,0,5,0,0.32,123,71,24
Count/Balls-Strikes,First Pitch,17,20.0,20,0.0,3,1,0,0,,,0,0,,0.15,0.15,0.2,0.35,4.0,0.0,0.0,0,0,0,0,0.15,24,-24,2
Count/Balls-Strikes,1-0 Count,8,8.0,8,4.0,2,0,0,1,,,0,0,,0.25,0.25,0.625,0.875,5.0,0.0,0.0,0,0,0,0,0.143,212,75,1
Count/Balls-Strikes,2-0 Count,6,6.0,6,1.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,10,12.0,1,0.0,1,0,0,0,,,11,0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0,0,5,0,1.0,605,127,1
Count/Balls-Strikes,0-1 Count,10,11.0,11,1.0,7,2,0,0,,,0,0,,0.636,0.636,0.818,1.455,9.0,0.0,0.0,0,0,0,0,0.636,414,243,5
Count/Balls-Strikes,1-1 Count,17,20.0,20,5.0,7,1,0,3,,,0,0,,0.35,0.35,0.85,1.2,17.0,3.0,0.0,0,0,0,0,0.235,327,150,3
Count/Balls-Strikes,2-1 Count,6,6.0,6,0.0,3,0,0,0,,,0,0,,0.5,0.5,0.5,1.0,3.0,0.0,0.0,0,0,0,0,0.5,252,124,3
Count/Balls-Strikes,3-1 Count,14,16.0,6,2.0,3,1,0,1,,,10,0,0.0,0.5,0.813,1.167,1.979,7.0,0.0,0.0,0,0,0,0,0.4,601,190,1
Count/Balls-Strikes,0-2 Count,37,44.0,43,0.0,2,0,0,0,,,0,35,,0.047,0.068,0.047,0.115,2.0,0.0,1.0,0,0,0,0,0.25,-60,-37,2
Count/Balls-Strikes,1-2 Count,43,58.0,57,2.0,4,0,0,0,,,0,42,,0.07,0.086,0.07,0.156,4.0,1.0,1.0,0,0,0,0,0.267,-45,-20,4
Count/Balls-Strikes,2-2 Count,40,46.0,46,1.0,9,2,0,0,,,0,26,,0.196,0.196,0.239,0.435,11.0,0.0,0.0,0,0,0,0,0.45,54,87,7
Count/Balls-Strikes,Full Count,47,62.0,43,2.0,7,1,0,1,,,19,23,1.21,0.163,0.419,0.256,0.675,11.0,0.0,0.0,0,0,0,0,0.316,136,60,5
Count/Balls-Strikes,After 1-0,63,150.0,119,14.0,23,5,0,5,,,31,47,1.52,0.193,0.36,0.361,0.721,43.0,3.0,0.0,0,0,5,0,0.269,154,70,13
Count/Balls-Strikes,After 2-0,38,59.0,34,3.0,10,2,0,1,,,25,11,0.44,0.294,0.593,0.441,1.034,15.0,0.0,0.0,0,0,5,0,0.409,263,102,7
Count/Balls-Strikes,After 3-0,19,29.0,11,0.0,3,1,0,0,,,18,4,0.22,0.273,0.724,0.364,1.088,4.0,0.0,0.0,0,0,5,0,0.429,280,69,2
Count/Balls-Strikes,After 0-1,70,139.0,128,4.0,22,2,0,1,,,9,79,8.78,0.172,0.237,0.211,0.448,27.0,1.0,2.0,0,0,0,0,0.438,58,47,19
Count/Balls-Strikes,After 1-1,66,139.0,124,9.0,20,3,0,4,,,14,61,4.36,0.161,0.252,0.282,0.534,35.0,4.0,1.0,0,0,0,0,0.271,88,53,13
Count/Balls-Strikes,After 2-1,44,63.0,49,5.0,12,2,0,2,,,14,19,1.36,0.245,0.413,0.408,0.821,20.0,0.0,0.0,0,0,0,0,0.357,189,97,8
Count/Balls-Strikes,After 3-1,33,44.0,26,2.0,5,1,0,1,,,18,11,0.61,0.192,0.523,0.346,0.869,9.0,0.0,0.0,0,0,0,0,0.286,205,60,3
Count/Balls-Strikes,After 0-2,54,72.0,70,1.0,6,0,0,0,,,1,54,54.0,0.086,0.111,0.086,0.197,6.0,0.0,1.0,0,0,0,0,0.375,-31,-9,6
Count/Balls-Strikes,After 1-2,64,108.0,99,2.0,12,1,0,0,,,8,68,8.5,0.121,0.194,0.131,0.326,13.0,1.0,1.0,0,0,0,0,0.387,14,33,11
Count/Balls-Strikes,After 2-2,56,80.0,69,3.0,14,3,0,1,,,11,38,3.45,0.203,0.313,0.29,0.602,20.0,0.0,0.0,0,0,0,0,0.433,112,97,10
Count/Balls-Strikes,Zero Balls,54,75.0,74,1.0,12,3,0,0,,,0,35,,0.162,0.173,0.203,0.376,15.0,0.0,1.0,0,0,0,0,0.308,33,5,9
Count/Balls-Strikes,Zero Strikes,44,46.0,35,5.0,6,1,0,1,,,11,0,0.0,0.171,0.37,0.286,0.655,10.0,0.0,0.0,0,0,5,0,0.147,130,38,4
Count/Balls-Strikes,Three Balls,54,90.0,50,4.0,11,2,0,2,,,40,23,0.58,0.22,0.567,0.38,0.947,19.0,0.0,0.0,0,0,5,0,0.36,232,89,7
Count/Balls-Strikes,Two Strikes,75,210.0,189,5.0,22,3,0,1,,,19,126,6.63,0.116,0.205,0.148,0.353,28.0,1.0,2.0,0,0,0,0,0.339,24,35,18
Count/Balls-Strikes,Batter Ahead,61,110.0,70,9.0,16,2,0,3,,,40,23,0.58,0.229,0.509,0.386,0.895,27.0,0.0,0.0,0,0,5,0,0.296,214,79,11
Count/Balls-Strikes,Even Count,55,86.0,86,6.0,19,4,0,3,,,0,26,,0.221,0.221,0.372,0.593,32.0,3.0,0.0,0,0,0,0,0.281,110,61,12
Count/Balls-Strikes,Pitcher Ahead,62,113.0,111,3.0,13,2,0,0,,,0,77,,0.117,0.133,0.135,0.268,15.0,1.0,2.0,0,0,0,0,0.382,-6,6,11
Leading Off Inning,First Batter,76,76.0,65,3.0,10,1,0,0,,,10,31,3.1,0.154,0.276,0.169,0.446,11.0,0.0,1.0,0,0,0,0,0.294,56,31,9
Leading Off Inning,Leadoff Inn.,71,73.0,60,0.0,9,2,0,0,,,12,27,2.25,0.15,0.301,0.183,0.485,11.0,0.0,1.0,0,0,0,0,0.273,70,36,7
Opposition Defensive Position,vs. Non-P,76,309.0,267,19.0,48,8,0,6,13,2,40,126,3.15,0.18,0.291,0.277,0.569,74.0,4.0,2.0,0,0,5,0,0.311,100,52,34
Number of Outs in Inning,0 outs,72,101.0,86,1.0,14,3,0,0,3,1,14,42,3.0,0.163,0.287,0.198,0.485,17.0,2.0,1.0,0,0,1,0,0.318,70,33,11
Number of Outs in Inning,1 out,72,99.0,87,9.0,16,3,0,3,6,1,11,41,3.73,0.184,0.283,0.322,0.605,28.0,2.0,1.0,0,0,2,0,0.302,114,62,10
Number of Outs in Inning,2 outs,70,109.0,94,9.0,18,2,0,3,4,0,15,43,2.87,0.192,0.303,0.309,0.611,29.0,0.0,0.0,0,0,2,0,0.313,116,71,13
Bases Occupied,RISP,39,84.0,69,14.0,9,0,0,2,7,0,15,40,2.67,0.13,0.286,0.217,0.503,15.0,1.0,0.0,0,0,5,0,0.259,77,34,7
Bases Occupied,---,71,168.0,143,3.0,33,6,0,3,0,0,23,61,2.65,0.231,0.345,0.336,0.681,48.0,0.0,2.0,0,0,0,0,0.38,140,89,24
Bases Occupied,Men On,59,141.0,124,16.0,15,2,0,3,13,2,17,65,3.82,0.121,0.227,0.21,0.437,26.0,4.0,0.0,0,0,5,0,0.214,54,17,10
Bases Occupied,1--,49,57.0,55,2.0,6,2,0,1,6,2,2,25,12.5,0.109,0.14,0.2,0.34,11.0,3.0,0.0,0,0,0,0,0.172,20,-11,3
Bases Occupied,-2-,27,35.0,28,3.0,3,0,0,1,0,0,7,18,2.57,0.107,0.286,0.214,0.5,6.0,0.0,0.0,0,0,2,0,0.222,76,34,2
Bases Occupied,--3,6,6.0,4,0.0,0,0,0,0,0,0,2,4,2.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0,0,1,0,,14,-10,0
Bases Occupied,12-,14,17.0,15,4.0,2,0,0,1,4,0,2,8,4.0,0.133,0.235,0.333,0.569,5.0,1.0,0.0,0,0,0,0,0.167,101,53,1
Bases Occupied,1-3,11,7.0,6,4.0,3,0,0,0,3,0,1,2,2.0,0.5,0.571,0.5,1.071,3.0,0.0,0.0,0,0,1,0,0.75,277,175,3
Bases Occupied,-23,6,7.0,5,0.0,0,0,0,0,0,0,2,3,1.5,0.0,0.286,0.0,0.286,0.0,0.0,0.0,0,0,1,0,0.0,-2,-27,0
Bases Occupied,123,6,12.0,11,3.0,1,0,0,0,0,0,1,5,5.0,0.091,0.167,0.091,0.258,1.0,0.0,0.0,0,0,0,0,0.167,-10,-28,1
Bases Occupied,"on 1st, <2 out",32,55.0,51,8.0,8,1,0,1,0,1,4,26,6.5,0.157,0.218,0.235,0.454,12.0,4.0,0.0,0,0,1,0,0.292,60,17,6
Bases Occupied,"on 3rd, <2 out",6,13.0,10,5.0,3,0,0,0,0,0,3,3,1.0,0.3,0.462,0.3,0.762,3.0,0.0,0.0,0,0,1,0,0.429,167,84,3
Bases Occupied,"on 3rd, 2 out",15,19.0,16,1.0,1,0,0,0,0,0,3,11,3.67,0.063,0.211,0.063,0.273,1.0,0.0,0.0,0,0,2,0,0.2,-5,-22,1
Bases Occupied,"0 out, ---",71,73.0,60,0.0,9,2,0,0,0,0,12,27,2.25,0.15,0.301,0.183,0.485,11.0,0.0,1.0,0,0,0,0,0.273,70,36,7
Bases Occupied,"0 out, 1--",19,17.0,17,0.0,3,1,0,0,2,1,0,10,,0.177,0.177,0.235,0.412,4.0,1.0,0.0,0,0,0,0,0.429,45,4,2
Bases Occupied,"0 out, -2-",4,4.0,3,0.0,1,0,0,0,0,0,1,2,2.0,0.333,0.5,0.333,0.833,1.0,0.0,0.0,0,0,0,0,1.0,192,119,1
Bases Occupied,"0 out, 12-",3,3.0,3,0.0,0,0,0,0,0,0,0,2,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 1-3",3,2.0,1,1.0,1,0,0,0,1,0,1,0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0,0,1,0,1.0,605,371,1
Bases Occupied,"0 out, -23",1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
