Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,63,260.0,225,31.0,51,14,1,4,3,1,28,72,2.57,0.227,0.324,0.351,0.675,79.0,4.0,5.0,1,1,2,1,0.313,100,93,32
Platoon Splits,vs RHB,58,133.0,114,10.0,22,7,0,1,2,1,17,43,2.53,0.193,0.296,0.281,0.576,32.0,2.0,0.0,1,1,0,0,0.296,71,65,14
Platoon Splits,vs LHB,59,127.0,111,21.0,29,7,1,3,1,0,11,29,2.64,0.261,0.354,0.423,0.778,47.0,2.0,5.0,0,0,2,1,0.329,130,123,18
Platoon Splits,vs RHB as RHP,58,133.0,114,10.0,22,7,0,1,2,1,17,43,2.53,0.193,0.296,0.281,0.576,32.0,2.0,0.0,1,1,0,0,0.296,71,68,14
Platoon Splits,vs LHB as RHP,59,127.0,111,21.0,29,7,1,3,1,0,11,29,2.64,0.261,0.354,0.423,0.778,47.0,2.0,5.0,0,0,2,1,0.329,130,120,18
Home or Away,Home,35,143.0,126,15.0,26,7,0,2,2,1,13,42,3.23,0.206,0.294,0.31,0.603,39.0,2.0,3.0,0,1,1,1,0.289,79,76,17
Home or Away,Away,28,117.0,99,16.0,25,7,1,2,1,0,15,30,2.0,0.253,0.362,0.404,0.766,40.0,2.0,2.0,1,0,1,0,0.343,127,115,15
First or Second Half,1st Half,33,139.0,123,18.0,31,10,1,1,1,0,14,47,3.36,0.252,0.331,0.374,0.705,46.0,2.0,1.0,0,1,1,1,0.395,109,101,19
First or Second Half,2nd Half,30,121.0,102,13.0,20,4,0,3,2,1,14,25,1.79,0.196,0.317,0.324,0.64,33.0,2.0,4.0,1,0,1,0,0.23,90,84,13
Months,April/March,5,18.0,18,1.0,4,2,0,0,0,0,0,5,,0.222,0.222,0.333,0.556,6.0,2.0,0.0,0,0,0,0,0.308,63,63,2
Months,May,11,50.0,43,8.0,11,1,1,1,1,0,6,16,2.67,0.256,0.36,0.395,0.755,17.0,0.0,1.0,0,0,0,1,0.385,124,114,8
Months,June,10,45.0,38,5.0,10,4,0,0,0,0,6,18,3.0,0.263,0.356,0.368,0.724,14.0,0.0,0.0,0,1,1,0,0.476,115,103,6
Months,July,12,50.0,47,6.0,14,5,0,0,0,0,3,13,4.33,0.298,0.34,0.404,0.744,19.0,0.0,0.0,0,0,0,0,0.412,120,110,9
Months,August,10,44.0,37,5.0,8,2,0,1,1,0,6,8,1.33,0.216,0.341,0.351,0.692,13.0,0.0,1.0,0,0,0,0,0.25,105,98,5
Months,Sept/Oct,15,53.0,42,6.0,4,0,0,2,1,1,7,12,1.71,0.095,0.269,0.238,0.507,10.0,2.0,3.0,1,0,1,0,0.071,51,48,2
Game Outcome for Pitcher,in Wins,6,25.0,20,2.0,2,0,0,1,1,1,4,7,1.75,0.1,0.28,0.25,0.53,5.0,0.0,1.0,0,0,0,0,0.083,58,101,1
Game Outcome for Pitcher,in Losses,7,36.0,26,14.0,10,3,0,1,1,0,8,11,1.38,0.385,0.514,0.615,1.13,16.0,0.0,0.0,1,1,2,1,0.6,234,138,6
Game Outcome for Pitcher,in No Dec.,28,107.0,97,7.0,20,7,0,1,0,0,8,26,3.25,0.206,0.28,0.309,0.59,30.0,3.0,2.0,0,0,0,0,0.271,75,72,12
Game Outcome for Pitcher,in Saves,22,92.0,82,8.0,19,4,1,1,1,0,8,28,3.5,0.232,0.315,0.342,0.657,28.0,1.0,2.0,0,0,0,0,0.34,94,214,13
Game Outcome for Pitcher,in Sv Situ,29,123.0,108,20.0,30,6,1,2,2,0,13,37,2.85,0.278,0.366,0.407,0.773,44.0,2.0,2.0,0,0,0,1,0.406,129,137,21
Game Outcome for Pitcher,in non-Sv,34,137.0,117,11.0,21,8,0,2,1,1,15,35,2.33,0.18,0.287,0.299,0.586,35.0,2.0,3.0,1,1,2,0,0.235,74,68,11
Pitching Role,as Reliever,63,260.0,225,31.0,51,14,1,4,3,1,28,72,2.57,0.227,0.324,0.351,0.675,79.0,4.0,5.0,1,1,2,1,0.313,100,96,32
Batting Order Positions,Batting 1st,22,22.0,20,2.0,2,2,0,0,0,0,1,7,7.0,0.1,0.143,0.2,0.343,4.0,0.0,0.0,1,0,0,1,0.154,1,-4,0
Batting Order Positions,Batting 2nd,22,22.0,18,2.0,6,1,0,0,0,0,4,5,1.25,0.333,0.455,0.389,0.843,7.0,0.0,0.0,0,0,1,0,0.462,151,128,5
Batting Order Positions,Batting 3rd,29,29.0,27,2.0,5,1,0,0,1,0,1,7,7.0,0.185,0.241,0.222,0.464,6.0,0.0,1.0,0,0,0,0,0.25,38,24,4
Batting Order Positions,Batting 4th,29,29.0,23,6.0,11,4,0,2,0,1,6,6,1.0,0.478,0.586,0.913,1.499,21.0,0.0,0.0,0,0,0,0,0.6,341,301,5
Batting Order Positions,Batting 5th,30,30.0,23,3.0,9,3,0,0,0,0,6,4,0.67,0.391,0.533,0.522,1.055,12.0,0.0,1.0,0,0,0,0,0.474,213,206,6
Batting Order Positions,Batting 6th,34,34.0,27,6.0,4,0,0,1,1,0,6,15,2.5,0.148,0.324,0.259,0.583,7.0,0.0,1.0,0,0,1,0,0.273,74,73,3
Batting Order Positions,Batting 7th,36,36.0,33,2.0,5,1,0,0,1,0,2,10,5.0,0.152,0.222,0.182,0.404,6.0,2.0,1.0,0,0,0,0,0.217,20,23,4
Batting Order Positions,Batting 8th,33,33.0,29,3.0,4,2,0,0,0,0,2,9,4.5,0.138,0.212,0.207,0.419,6.0,1.0,1.0,0,1,0,0,0.191,24,29,2
Batting Order Positions,Batting 9th,25,25.0,25,5.0,5,0,1,1,0,0,0,9,,0.2,0.2,0.4,0.6,10.0,1.0,0.0,0,0,0,0,0.267,76,85,3
Batting Order Positions,"Bat1-2,non-P",28,44.0,38,4.0,8,3,0,0,0,0,5,12,2.4,0.211,0.302,0.29,0.592,11.0,0.0,0.0,1,0,1,1,0.308,76,63,5
Batting Order Positions,"Bat3-6,non-P",51,122.0,100,17.0,29,8,0,3,2,1,19,32,1.68,0.29,0.418,0.46,0.878,46.0,0.0,3.0,0,0,1,0,0.4,160,145,18
Batting Order Positions,"Bat7-9,non-P",44,94.0,87,10.0,14,3,1,1,1,0,4,28,7.0,0.161,0.213,0.253,0.466,22.0,4.0,2.0,0,1,0,0,0.22,38,43,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,52,83.0,74,15.0,21,3,1,3,,,7,18,2.57,0.284,0.354,0.473,0.827,35.0,0.0,1.0,1,0,0,0,0.34,144,138,14
Swung or Took First Pitch of PA,Took 1st Pitch,63,177.0,151,13.0,30,11,0,1,,,21,54,2.57,0.199,0.311,0.291,0.602,44.0,4.0,4.0,0,1,2,1,0.299,79,72,18
Count/Balls-Strikes,First Pitch,26,28.0,26,5.0,10,2,1,1,,,0,0,,0.385,0.407,0.654,1.061,17.0,0.0,1.0,1,0,0,0,0.36,212,134,6
Count/Balls-Strikes,1-0 Count,13,14.0,13,0.0,4,1,0,0,,,0,0,,0.308,0.357,0.385,0.742,5.0,0.0,1.0,0,0,0,0,0.308,120,72,3
Count/Balls-Strikes,2-0 Count,3,3.0,3,2.0,2,2,0,0,,,0,0,,0.667,0.667,1.333,2.0,4.0,0.0,0.0,0,0,0,0,0.667,486,310,0
Count/Balls-Strikes,3-0 Count,3,3.0,0,0.0,0,0,0,0,,,3,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,17,19.0,18,5.0,8,2,0,1,,,0,0,,0.444,0.474,0.722,1.196,13.0,0.0,1.0,0,0,0,0,0.412,252,189,5
Count/Balls-Strikes,1-1 Count,15,16.0,15,1.0,2,0,0,0,,,0,0,,0.133,0.188,0.133,0.321,2.0,1.0,1.0,0,0,0,0,0.133,-4,-16,2
Count/Balls-Strikes,2-1 Count,15,16.0,15,4.0,5,1,0,1,,,0,0,,0.333,0.375,0.6,0.975,9.0,1.0,1.0,0,0,0,0,0.286,187,116,3
Count/Balls-Strikes,3-1 Count,10,10.0,6,0.0,3,1,0,0,,,4,0,0.0,0.5,0.7,0.667,1.367,4.0,1.0,0.0,0,0,0,0,0.5,306,109,2
Count/Balls-Strikes,0-2 Count,18,22.0,22,1.0,0,0,0,0,,,0,14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,-100,-100,0
Count/Balls-Strikes,1-2 Count,27,33.0,32,3.0,5,1,0,0,,,0,19,,0.156,0.152,0.188,0.339,6.0,0.0,0.0,0,1,0,0,0.357,1,67,4
Count/Balls-Strikes,2-2 Count,38,48.0,48,4.0,7,2,0,1,,,0,27,,0.146,0.146,0.25,0.396,12.0,1.0,0.0,0,0,0,0,0.3,16,74,4
Count/Balls-Strikes,Full Count,33,48.0,27,3.0,5,2,0,0,,,21,12,0.57,0.185,0.542,0.259,0.801,7.0,0.0,0.0,0,0,0,0,0.333,141,100,3
