Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,70,264.0,240,25.0,44,10,1,10,1,1,22,53,2.41,0.183,0.25,0.358,0.608,86.0,2.0,0.0,0,2,4,3,0.19,100,61,23
Platoon Splits,vs RHB,65,161.0,147,13.0,24,3,1,7,1,0,13,35,2.69,0.163,0.23,0.34,0.57,50.0,1.0,0.0,0,1,2,2,0.16,87,53,13
Platoon Splits,vs LHB,58,103.0,93,13.0,20,7,0,3,0,1,9,18,2.0,0.215,0.282,0.387,0.669,36.0,1.0,0.0,0,1,2,1,0.233,121,75,10
Platoon Splits,vs RHB as RHP,65,161.0,147,13.0,24,3,1,7,1,0,13,35,2.69,0.163,0.23,0.34,0.57,50.0,1.0,0.0,0,1,2,2,0.16,87,57,13
Platoon Splits,vs LHB as RHP,58,103.0,93,13.0,20,7,0,3,0,1,9,18,2.0,0.215,0.282,0.387,0.669,36.0,1.0,0.0,0,1,2,1,0.233,121,71,10
Home or Away,Home,33,118.0,107,12.0,18,3,0,5,0,1,10,24,2.4,0.168,0.237,0.336,0.574,36.0,1.0,0.0,0,1,3,2,0.165,89,56,10
Home or Away,Away,37,146.0,133,13.0,26,7,1,5,1,0,12,29,2.42,0.196,0.26,0.376,0.636,50.0,1.0,0.0,0,1,1,1,0.21,109,64,13
First or Second Half,1st Half,41,164.0,148,13.0,25,2,1,6,0,1,14,27,1.93,0.169,0.238,0.318,0.555,47.0,2.0,0.0,0,2,3,3,0.162,84,50,16
First or Second Half,2nd Half,29,100.0,92,12.0,19,8,0,4,1,0,8,26,3.25,0.207,0.27,0.424,0.694,39.0,0.0,0.0,0,0,1,0,0.242,126,80,7
Months,April/March,12,47.0,45,2.0,7,0,0,1,0,0,1,7,7.0,0.156,0.17,0.222,0.392,10.0,2.0,0.0,0,1,0,1,0.158,30,7,6
Months,May,13,56.0,47,4.0,8,1,1,3,0,0,9,11,1.22,0.17,0.304,0.426,0.729,20.0,0.0,0.0,0,0,2,0,0.152,141,97,3
Months,June,13,46.0,43,2.0,7,1,0,0,0,0,3,7,2.33,0.163,0.217,0.186,0.403,8.0,0.0,0.0,0,0,0,0,0.194,39,10,6
Months,July,8,32.0,29,5.0,5,2,0,2,0,1,2,4,2.0,0.172,0.219,0.448,0.667,13.0,0.0,0.0,0,1,1,2,0.125,113,70,1
Months,August,14,50.0,48,6.0,10,4,0,2,1,0,2,17,8.5,0.208,0.24,0.417,0.657,20.0,0.0,0.0,0,0,0,0,0.276,113,70,4
Months,Sept/Oct,10,33.0,28,6.0,7,2,0,2,0,0,5,7,1.4,0.25,0.364,0.536,0.899,15.0,0.0,0.0,0,0,1,0,0.263,195,136,3
Game Outcome for Pitcher,in Wins,5,16.0,14,3.0,2,0,0,2,0,0,2,4,2.0,0.143,0.25,0.571,0.821,8.0,0.0,0.0,0,0,0,0,0.0,160,171,0
Game Outcome for Pitcher,in Losses,6,23.0,20,12.0,11,1,0,6,0,0,2,1,0.5,0.55,0.565,1.5,2.065,30.0,1.0,0.0,0,1,2,1,0.357,545,304,4
Game Outcome for Pitcher,in No Dec.,46,185.0,168,8.0,25,7,1,2,1,0,17,37,2.18,0.149,0.227,0.238,0.465,40.0,1.0,0.0,0,0,2,1,0.178,57,27,15
Game Outcome for Pitcher,in Saves,13,40.0,38,2.0,6,2,0,0,0,1,1,11,11.0,0.158,0.175,0.211,0.386,8.0,0.0,0.0,0,1,0,1,0.214,29,69,4
Game Outcome for Pitcher,in Sv Situ,44,167.0,154,16.0,27,7,0,4,1,1,12,35,2.92,0.175,0.234,0.299,0.532,46.0,1.0,0.0,0,1,2,1,0.198,77,52,16
Game Outcome for Pitcher,in non-Sv,26,97.0,86,9.0,17,3,1,6,0,0,10,18,1.8,0.198,0.278,0.465,0.744,40.0,1.0,0.0,0,1,2,2,0.175,141,98,7
Pitching Role,as Reliever,70,264.0,240,25.0,44,10,1,10,1,1,22,53,2.41,0.183,0.25,0.358,0.608,86.0,2.0,0.0,0,2,4,3,0.19,100,65,23
Batting Order Positions,Batting 1st,26,26.0,25,2.0,8,1,1,0,1,0,1,7,7.0,0.32,0.346,0.44,0.786,11.0,0.0,0.0,0,0,0,0,0.444,161,106,6
Batting Order Positions,Batting 2nd,28,28.0,27,2.0,2,0,0,1,0,0,1,7,7.0,0.074,0.107,0.185,0.292,5.0,1.0,0.0,0,0,0,0,0.053,-6,-23,1
Batting Order Positions,Batting 3rd,29,29.0,25,6.0,6,1,0,3,0,0,4,3,0.75,0.24,0.345,0.64,0.985,16.0,0.0,0.0,0,0,2,0,0.158,217,134,2
Batting Order Positions,Batting 4th,31,31.0,27,1.0,2,0,0,1,0,0,4,7,1.75,0.074,0.194,0.185,0.379,5.0,1.0,0.0,0,0,1,2,0.053,29,-7,1
Batting Order Positions,Batting 5th,26,26.0,23,3.0,3,0,0,1,0,0,3,5,1.67,0.13,0.231,0.261,0.492,6.0,0.0,0.0,0,0,0,1,0.118,65,27,2
Batting Order Positions,Batting 6th,29,29.0,26,3.0,5,2,0,1,0,0,2,3,1.5,0.192,0.241,0.385,0.626,10.0,0.0,0.0,0,1,1,0,0.174,104,62,2
Batting Order Positions,Batting 7th,34,34.0,33,5.0,10,4,0,2,0,1,1,8,8.0,0.303,0.324,0.606,0.93,20.0,0.0,0.0,0,0,0,0,0.348,199,149,4
