Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,57,245.0,216,15.0,35,9,0,3,5,0,25,69,2.76,0.162,0.257,0.245,0.503,53.0,1.0,3.0,0,1,1,0,0.221,100,44,23
Platoon Splits,vs RHB,52,108.0,95,10.0,14,3,0,1,3,0,9,30,3.33,0.147,0.241,0.211,0.451,20.0,1.0,3.0,0,1,0,0,0.2,80,30,10
Platoon Splits,vs LHB,55,137.0,121,5.0,21,6,0,2,2,0,16,39,2.44,0.174,0.27,0.273,0.543,33.0,0.0,0.0,0,0,1,0,0.238,117,58,13
Platoon Splits,vs RHB as RHP,52,108.0,95,10.0,14,3,0,1,3,0,9,30,3.33,0.147,0.241,0.211,0.451,20.0,1.0,3.0,0,1,0,0,0.2,80,32,10
Platoon Splits,vs LHB as RHP,55,137.0,121,5.0,21,6,0,2,2,0,16,39,2.44,0.174,0.27,0.273,0.543,33.0,0.0,0.0,0,0,1,0,0.238,117,55,13
Home or Away,Home,29,128.0,112,9.0,19,8,0,2,3,0,15,35,2.33,0.17,0.266,0.295,0.56,33.0,1.0,0.0,0,1,1,0,0.224,124,63,9
Home or Away,Away,28,117.0,104,6.0,16,1,0,1,2,0,10,34,3.4,0.154,0.248,0.192,0.44,20.0,0.0,3.0,0,0,0,0,0.217,75,26,14
First or Second Half,1st Half,35,146.0,125,10.0,18,4,0,3,4,0,18,42,2.33,0.144,0.26,0.248,0.508,31.0,1.0,2.0,0,1,1,0,0.185,102,46,11
First or Second Half,2nd Half,22,99.0,91,5.0,17,5,0,0,1,0,7,27,3.86,0.187,0.253,0.242,0.494,22.0,0.0,1.0,0,0,0,0,0.266,97,43,12
Months,April/March,8,30.0,29,2.0,5,2,0,1,0,0,0,11,,0.172,0.2,0.345,0.545,10.0,0.0,1.0,0,0,0,0,0.235,119,59,2
Months,May,9,42.0,35,5.0,6,0,0,1,2,0,6,13,2.17,0.171,0.31,0.257,0.567,9.0,0.0,1.0,0,0,0,0,0.238,126,64,5
Months,June,11,47.0,39,2.0,4,1,0,1,2,0,7,12,1.71,0.103,0.234,0.205,0.439,8.0,1.0,0.0,0,1,0,0,0.111,75,25,2
Months,July,10,41.0,35,1.0,6,3,0,0,0,0,6,8,1.33,0.171,0.293,0.257,0.55,9.0,0.0,0.0,0,0,1,0,0.222,119,58,3
Months,August,9,39.0,35,4.0,9,2,0,0,1,0,3,10,3.33,0.257,0.333,0.314,0.648,11.0,0.0,1.0,0,0,0,0,0.36,158,86,7
Months,Sept/Oct,10,46.0,43,1.0,5,1,0,0,0,0,3,15,5.0,0.116,0.174,0.14,0.313,6.0,0.0,0.0,0,0,0,0,0.179,25,-8,4
Game Outcome for Pitcher,in Wins,6,38.0,30,3.0,3,1,0,1,3,0,7,6,0.86,0.1,0.263,0.233,0.497,7.0,1.0,0.0,0,1,0,0,0.083,97,88,1
Game Outcome for Pitcher,in Losses,4,20.0,15,5.0,6,0,0,1,0,0,4,4,1.0,0.4,0.55,0.6,1.15,9.0,0.0,1.0,0,0,0,0,0.5,359,144,5
Game Outcome for Pitcher,in No Dec.,13,53.0,47,5.0,9,2,0,1,2,0,5,11,2.2,0.192,0.283,0.298,0.581,14.0,0.0,1.0,0,0,0,0,0.229,132,70,6
Game Outcome for Pitcher,in Saves,34,134.0,124,2.0,17,6,0,0,0,0,9,48,5.33,0.137,0.202,0.186,0.387,23.0,0.0,1.0,0,0,1,0,0.224,54,85,11
Game Outcome for Pitcher,in Sv Situ,37,150.0,138,6.0,22,7,0,1,1,0,11,51,4.64,0.159,0.227,0.232,0.459,32.0,0.0,1.0,0,0,1,0,0.244,83,41,14
