Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,69,304.0,267,25.0,56,17,0,8,5,1,27,71,2.63,0.21,0.287,0.363,0.65,97.0,3.0,4.0,1,5,2,1,0.249,100,72,31
Platoon Splits,vs RHB,67,171.0,150,19.0,32,7,0,5,3,1,15,49,3.27,0.213,0.292,0.36,0.652,54.0,2.0,3.0,0,3,1,1,0.273,101,75,20
Platoon Splits,vs LHB,61,133.0,117,11.0,24,10,0,3,2,0,12,22,1.83,0.205,0.28,0.368,0.648,43.0,1.0,1.0,1,2,1,0,0.223,99,70,11
Platoon Splits,vs RHB as RHP,67,171.0,150,19.0,32,7,0,5,3,1,15,49,3.27,0.213,0.292,0.36,0.652,54.0,2.0,3.0,0,3,1,1,0.273,101,79,20
Platoon Splits,vs LHB as RHP,61,133.0,117,11.0,24,10,0,3,2,0,12,22,1.83,0.205,0.28,0.368,0.648,43.0,1.0,1.0,1,2,1,0,0.223,99,68,11
Home or Away,Home,37,165.0,147,20.0,35,10,0,7,1,1,13,41,3.15,0.238,0.299,0.449,0.748,66.0,0.0,1.0,1,3,0,0,0.275,128,98,18
Home or Away,Away,32,139.0,120,5.0,21,7,0,1,4,0,14,30,2.14,0.175,0.273,0.258,0.532,31.0,3.0,3.0,0,2,2,1,0.22,66,42,13
First or Second Half,1st Half,37,170.0,146,14.0,31,9,0,5,3,1,19,40,2.11,0.212,0.308,0.377,0.684,55.0,2.0,2.0,1,2,0,1,0.252,111,83,17
First or Second Half,2nd Half,32,134.0,121,11.0,25,8,0,3,2,0,8,31,3.88,0.207,0.261,0.347,0.608,42.0,1.0,2.0,0,3,2,0,0.244,87,60,14
Months,April/March,13,51.0,45,6.0,8,1,0,3,1,1,5,14,2.8,0.178,0.275,0.4,0.675,18.0,0.0,1.0,0,0,0,0,0.179,106,81,4
Months,May,13,64.0,55,7.0,14,5,0,2,2,0,9,9,1.0,0.255,0.359,0.455,0.814,25.0,1.0,0.0,0,0,0,1,0.273,150,117,7
Months,June,9,44.0,35,1.0,6,2,0,0,0,0,5,15,3.0,0.171,0.279,0.229,0.508,8.0,1.0,1.0,1,2,0,0,0.273,60,38,4
Months,July,10,48.0,42,4.0,10,4,0,0,1,0,4,10,2.5,0.238,0.313,0.333,0.646,14.0,0.0,1.0,0,1,0,0,0.303,101,72,6
Months,August,15,56.0,51,4.0,10,4,0,2,1,0,2,15,7.5,0.196,0.232,0.392,0.624,20.0,0.0,1.0,0,2,2,0,0.222,89,57,4
Months,Sept/Oct,9,41.0,39,3.0,8,1,0,1,0,0,2,8,4.0,0.205,0.244,0.308,0.552,12.0,1.0,0.0,0,0,0,0,0.233,70,50,6
Game Outcome for Pitcher,in Wins,9,42.0,38,3.0,7,1,0,1,0,0,2,15,7.5,0.184,0.22,0.29,0.509,11.0,0.0,0.0,1,1,0,0,0.261,56,79,5
Game Outcome for Pitcher,in Losses,3,18.0,14,6.0,4,1,0,2,0,0,3,5,1.67,0.286,0.444,0.786,1.23,11.0,0.0,1.0,0,0,0,0,0.286,271,138,1
Game Outcome for Pitcher,in No Dec.,49,198.0,174,15.0,36,13,0,5,5,1,19,40,2.11,0.207,0.283,0.368,0.651,64.0,2.0,1.0,0,4,2,1,0.233,100,75,18
Game Outcome for Pitcher,in Saves,8,46.0,41,1.0,9,2,0,0,0,0,3,11,3.67,0.22,0.304,0.268,0.573,11.0,1.0,2.0,0,0,0,0,0.3,80,139,7
Game Outcome for Pitcher,in Sv Situ,23,106.0,94,5.0,19,4,0,2,0,0,6,27,4.5,0.202,0.257,0.309,0.566,29.0,1.0,2.0,1,3,1,0,0.25,75,60,13
Game Outcome for Pitcher,in non-Sv,45,193.0,168,19.0,35,11,0,6,5,1,21,43,2.05,0.208,0.301,0.381,0.682,64.0,2.0,2.0,0,2,1,1,0.24,110,80,18
Pitching Role,as Starter,1,5.0,5,1.0,2,2,0,0,0,0,0,1,,0.4,0.4,0.8,1.2,4.0,0.0,0.0,0,0,0,0,0.5,260,205,0
Pitching Role,as Reliever,68,299.0,262,24.0,54,15,0,8,5,1,27,70,2.59,0.206,0.285,0.355,0.64,93.0,3.0,4.0,1,5,2,1,0.243,97,71,31
Run Support,3-5 Runs Scored,1,5.0,5,1.0,2,2,0,0,0,0,0,1,,0.4,0.4,0.8,1.2,4.0,0.0,0.0,0,0,0,0,0.5,260,210,0
Batting Order Positions,Batting 1st,29,29.0,26,2.0,10,3,0,0,1,0,2,10,5.0,0.385,0.448,0.5,0.948,13.0,0.0,1.0,0,0,0,0,0.625,194,146,7
Batting Order Positions,Batting 2nd,34,34.0,29,6.0,9,2,0,2,1,0,2,6,3.0,0.31,0.333,0.586,0.92,17.0,1.0,0.0,1,2,0,0,0.304,178,120,5
Batting Order Positions,Batting 3rd,36,36.0,31,8.0,9,3,0,2,0,0,4,9,2.25,0.29,0.361,0.581,0.942,18.0,0.0,0.0,0,1,1,0,0.333,186,127,4
Batting Order Positions,Batting 4th,35,35.0,31,4.0,6,0,0,1,0,0,3,9,3.0,0.194,0.257,0.29,0.547,9.0,1.0,0.0,0,1,0,0,0.227,69,37,5
Batting Order Positions,Batting 5th,37,37.0,31,4.0,5,3,0,1,0,0,4,8,2.0,0.161,0.27,0.355,0.625,11.0,0.0,1.0,0,1,1,1,0.174,92,62,1
Batting Order Positions,Batting 6th,35,35.0,32,5.0,6,3,0,2,0,0,2,4,2.0,0.188,0.257,0.469,0.726,15.0,1.0,1.0,0,0,0,0,0.154,119,90,1
Batting Order Positions,Batting 7th,33,33.0,30,1.0,3,1,0,0,2,1,3,5,1.67,0.1,0.182,0.133,0.315,4.0,0.0,0.0,0,0,0,0,0.12,0,-9,2
Batting Order Positions,Batting 8th,33,33.0,28,0.0,5,2,0,0,0,0,4,11,2.75,0.179,0.303,0.25,0.553,7.0,0.0,1.0,0,0,0,0,0.294,74,62,3
Batting Order Positions,Batting 9th,32,32.0,29,0.0,3,0,0,0,1,0,3,9,3.0,0.103,0.188,0.103,0.291,3.0,0.0,0.0,0,0,0,0,0.15,-6,2,3
