Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,46,228.0,203,29.0,44,6,2,2,3,1,22,79,3.59,0.217,0.291,0.296,0.586,60.0,5.0,0.0,1,2,4,1,0.339,100,66,34
Platoon Splits,vs RHB,42,112.0,100,14.0,26,5,1,1,0,0,10,37,3.7,0.26,0.321,0.36,0.681,36.0,1.0,0.0,0,2,2,0,0.391,132,94,19
Platoon Splits,vs LHB,44,116.0,103,10.0,18,1,1,1,3,1,12,42,3.5,0.175,0.261,0.233,0.494,24.0,4.0,0.0,1,0,2,1,0.283,68,40,15
Platoon Splits,vs RHB as RHP,42,112.0,100,14.0,26,5,1,1,0,0,10,37,3.7,0.26,0.321,0.36,0.681,36.0,1.0,0.0,0,2,2,0,0.391,132,98,19
Platoon Splits,vs LHB as RHP,44,116.0,103,10.0,18,1,1,1,3,1,12,42,3.5,0.175,0.261,0.233,0.494,24.0,4.0,0.0,1,0,2,1,0.283,68,36,15
Home or Away,Home,21,111.0,101,16.0,25,3,1,1,1,1,10,39,3.9,0.248,0.315,0.327,0.642,33.0,1.0,0.0,0,0,1,0,0.393,119,84,20
Home or Away,Away,25,117.0,102,13.0,19,3,1,1,2,0,12,40,3.33,0.186,0.267,0.265,0.532,27.0,4.0,0.0,1,2,3,1,0.286,81,49,14
First or Second Half,1st Half,16,103.0,91,20.0,26,3,1,2,2,0,10,35,3.5,0.286,0.353,0.407,0.76,37.0,3.0,0.0,1,1,2,1,0.436,159,113,20
First or Second Half,2nd Half,30,125.0,112,9.0,18,3,1,0,1,1,12,44,3.67,0.161,0.24,0.205,0.445,23.0,2.0,0.0,0,1,2,0,0.261,52,28,14
Months,May,4,30.0,28,6.0,5,0,0,0,2,0,2,13,6.5,0.179,0.233,0.179,0.412,5.0,0.0,0.0,0,0,0,0,0.333,41,18,5
Months,June,8,49.0,43,7.0,13,1,0,2,0,0,5,15,3.0,0.302,0.375,0.465,0.84,20.0,3.0,0.0,1,0,1,0,0.423,186,136,10
Months,July,10,61.0,52,9.0,12,3,1,0,0,1,7,22,3.14,0.231,0.312,0.327,0.638,17.0,0.0,0.0,0,2,1,1,0.375,117,82,8
Months,August,14,50.0,47,3.0,8,1,1,0,1,0,3,21,7.0,0.17,0.22,0.234,0.454,11.0,1.0,0.0,0,0,1,0,0.308,55,28,6
Months,Sept/Oct,10,38.0,33,4.0,6,1,0,0,0,0,5,8,1.6,0.182,0.29,0.212,0.502,7.0,1.0,0.0,0,0,1,0,0.24,71,46,5
