Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,73,296.0,258,23.0,49,9,0,4,2,2,34,80,2.35,0.19,0.283,0.271,0.555,70.0,2.0,0.0,2,1,3,2,0.257,100,50,36
Platoon Splits,vs RHB,67,142.0,126,16.0,23,5,0,3,2,1,13,39,3.0,0.183,0.257,0.294,0.551,37.0,1.0,0.0,2,1,3,0,0.235,99,50,15
Platoon Splits,vs LHB,70,154.0,132,4.0,26,4,0,1,0,1,21,41,1.95,0.197,0.307,0.25,0.557,33.0,1.0,0.0,0,0,0,2,0.278,101,49,21
Platoon Splits,vs RHB as RHP,67,142.0,126,16.0,23,5,0,3,2,1,13,39,3.0,0.183,0.257,0.294,0.551,37.0,1.0,0.0,2,1,3,0,0.235,99,53,15
Platoon Splits,vs LHB as RHP,70,154.0,132,4.0,26,4,0,1,0,1,21,41,1.95,0.197,0.307,0.25,0.557,33.0,1.0,0.0,0,0,0,2,0.278,101,47,21
Home or Away,Home,42,169.0,148,16.0,31,4,0,3,2,2,18,47,2.61,0.21,0.295,0.297,0.593,44.0,1.0,0.0,2,0,1,1,0.286,114,64,24
Home or Away,Away,31,127.0,110,7.0,18,5,0,1,0,0,16,33,2.06,0.164,0.268,0.236,0.504,26.0,1.0,0.0,0,1,2,1,0.221,82,34,12
First or Second Half,1st Half,42,173.0,148,11.0,27,7,0,1,2,2,24,51,2.13,0.182,0.297,0.25,0.547,37.0,1.0,0.0,1,0,2,1,0.271,97,49,19
First or Second Half,2nd Half,31,123.0,110,12.0,22,2,0,3,0,0,10,29,2.9,0.2,0.265,0.3,0.565,33.0,1.0,0.0,1,1,1,1,0.241,104,51,17
Months,April/March,9,38.0,31,2.0,4,1,0,1,0,0,6,8,1.33,0.129,0.27,0.258,0.528,8.0,0.0,0.0,1,0,1,0,0.136,91,41,2
Months,May,16,70.0,58,4.0,11,3,0,0,2,0,12,18,1.5,0.19,0.329,0.241,0.57,14.0,1.0,0.0,0,0,1,0,0.275,105,56,8
Months,June,11,40.0,36,0.0,5,1,0,0,0,2,4,20,5.0,0.139,0.225,0.167,0.392,6.0,0.0,0.0,0,0,0,0,0.313,41,10,4
Months,July,14,53.0,47,5.0,8,2,0,0,0,0,5,12,2.4,0.17,0.25,0.213,0.463,10.0,0.0,0.0,1,0,0,1,0.229,67,27,6
Months,August,11,49.0,43,6.0,14,2,0,2,0,0,5,12,2.4,0.326,0.388,0.512,0.899,22.0,1.0,0.0,0,1,1,0,0.4,226,134,10
Months,Sept/Oct,12,46.0,43,6.0,7,0,0,1,0,0,2,10,5.0,0.163,0.2,0.233,0.433,10.0,0.0,0.0,0,0,0,1,0.188,57,17,6
Game Outcome for Pitcher,in Wins,3,12.0,10,0.0,3,1,0,0,0,1,1,2,2.0,0.3,0.364,0.4,0.764,4.0,0.0,0.0,1,0,0,0,0.375,176,158,2
Game Outcome for Pitcher,in Losses,6,36.0,26,17.0,15,3,0,1,1,0,9,1,0.11,0.577,0.667,0.808,1.474,21.0,0.0,0.0,0,1,2,1,0.56,434,205,11
Game Outcome for Pitcher,in No Dec.,26,103.0,88,3.0,12,3,0,1,0,1,13,32,2.46,0.136,0.248,0.205,0.452,18.0,0.0,0.0,1,0,1,0,0.2,63,25,8
Game Outcome for Pitcher,in Saves,38,145.0,134,3.0,19,2,0,2,1,0,11,45,4.09,0.142,0.207,0.202,0.408,27.0,2.0,0.0,0,0,0,1,0.195,47,75,15
Game Outcome for Pitcher,in Sv Situ,48,191.0,169,16.0,30,5,0,3,1,0,21,52,2.48,0.178,0.267,0.26,0.527,44.0,2.0,0.0,0,1,2,2,0.235,90,54,22
Game Outcome for Pitcher,in non-Sv,25,105.0,89,7.0,19,4,0,1,1,2,13,28,2.15,0.214,0.314,0.292,0.606,26.0,0.0,0.0,2,0,1,0,0.3,119,65,14
Pitching Role,as Reliever,73,296.0,258,23.0,49,9,0,4,2,2,34,80,2.35,0.19,0.283,0.271,0.555,70.0,2.0,0.0,2,1,3,2,0.257,100,53,36
Batting Order Positions,Batting 1st,23,23.0,20,2.0,4,0,0,1,1,0,2,7,3.5,0.2,0.273,0.35,0.623,7.0,0.0,0.0,0,0,0,0,0.25,126,64,3
Batting Order Positions,Batting 2nd,20,19.0,14,1.0,3,1,0,0,0,1,4,2,0.5,0.214,0.389,0.286,0.675,4.0,0.0,0.0,1,0,0,1,0.25,143,84,2
