Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,74,291.0,254,27.0,49,10,0,4,2,1,30,77,2.57,0.193,0.281,0.28,0.561,71.0,0.0,2.0,3,2,1,3,0.257,100,58,35
Platoon Splits,vs RHB,72,164.0,137,19.0,29,5,0,3,1,1,23,48,2.09,0.212,0.327,0.314,0.641,43.0,0.0,1.0,2,1,0,1,0.299,129,83,21
Platoon Splits,vs LHB,64,127.0,117,9.0,20,5,0,1,1,0,7,29,4.14,0.171,0.222,0.239,0.462,28.0,0.0,1.0,1,1,1,2,0.216,64,28,14
Platoon Splits,vs RHB as RHP,72,164.0,137,19.0,29,5,0,3,1,1,23,48,2.09,0.212,0.327,0.314,0.641,43.0,0.0,1.0,2,1,0,1,0.299,129,87,21
Platoon Splits,vs LHB as RHP,64,127.0,117,9.0,20,5,0,1,1,0,7,29,4.14,0.171,0.222,0.239,0.462,28.0,0.0,1.0,1,1,1,2,0.216,64,25,14
Home or Away,Home,37,150.0,132,8.0,20,4,0,3,0,0,16,46,2.88,0.152,0.253,0.25,0.503,33.0,0.0,2.0,0,0,1,2,0.205,79,44,13
Home or Away,Away,37,141.0,122,19.0,29,6,0,1,2,1,14,31,2.21,0.238,0.312,0.312,0.623,38.0,0.0,0.0,3,2,0,1,0.304,122,72,22
First or Second Half,1st Half,44,180.0,152,16.0,29,6,0,1,2,0,23,47,2.04,0.191,0.299,0.25,0.549,38.0,0.0,1.0,3,1,1,2,0.267,96,58,22
First or Second Half,2nd Half,30,111.0,102,11.0,20,4,0,3,0,1,7,30,4.29,0.196,0.252,0.324,0.576,33.0,0.0,1.0,0,1,0,1,0.243,105,58,13
Months,April/March,13,51.0,45,4.0,9,0,0,1,1,0,5,11,2.2,0.2,0.28,0.267,0.547,12.0,0.0,0.0,1,0,0,0,0.242,95,56,8
Months,May,12,57.0,45,2.0,9,2,0,0,1,0,11,14,1.27,0.2,0.357,0.244,0.602,11.0,0.0,0.0,1,0,1,1,0.29,114,74,7
Months,June,14,57.0,48,10.0,11,4,0,0,0,0,6,16,2.67,0.229,0.321,0.313,0.634,15.0,0.0,1.0,1,1,0,0,0.333,126,81,7
Months,July,12,39.0,36,1.0,2,0,0,0,0,0,3,12,4.0,0.056,0.128,0.056,0.184,2.0,0.0,0.0,0,0,0,1,0.083,-34,-46,2
Months,August,13,46.0,41,2.0,6,3,0,1,0,1,4,13,3.25,0.146,0.239,0.293,0.532,12.0,0.0,1.0,0,0,0,1,0.185,90,44,2
Months,Sept/Oct,10,41.0,39,8.0,12,1,0,2,0,0,1,11,11.0,0.308,0.317,0.487,0.804,19.0,0.0,0.0,0,1,0,0,0.37,187,119,9
Game Outcome for Pitcher,in Wins,5,24.0,19,0.0,3,0,0,0,0,0,5,6,1.2,0.158,0.333,0.158,0.491,3.0,0.0,0.0,0,0,1,1,0.231,75,77,3
Game Outcome for Pitcher,in Losses,3,16.0,13,11.0,10,3,0,1,1,0,2,1,0.5,0.769,0.8,1.231,2.031,16.0,0.0,0.0,1,0,0,0,0.818,624,335,6
Game Outcome for Pitcher,in No Dec.,55,215.0,188,16.0,36,7,0,3,1,1,21,60,2.86,0.192,0.277,0.277,0.554,52.0,0.0,2.0,2,2,0,1,0.26,98,58,26
Game Outcome for Pitcher,in Saves,11,36.0,34,0.0,0,0,0,0,0,0,2,10,5.0,0.0,0.056,0.0,0.056,0.0,0.0,0.0,0,0,0,1,0.0,-80,-75,0
Game Outcome for Pitcher,in Sv Situ,38,149.0,128,18.0,25,6,0,1,1,0,17,37,2.18,0.195,0.293,0.266,0.558,34.0,0.0,1.0,2,1,0,2,0.264,99,70,18
Game Outcome for Pitcher,in non-Sv,36,142.0,126,9.0,24,4,0,3,1,1,13,40,3.08,0.191,0.27,0.294,0.563,37.0,0.0,1.0,1,1,1,1,0.25,101,60,17
Pitching Role,as Reliever,74,291.0,254,27.0,49,10,0,4,2,1,30,77,2.57,0.193,0.281,0.28,0.561,71.0,0.0,2.0,3,2,1,3,0.257,100,62,35
Batting Order Positions,Batting 1st,32,32.0,28,2.0,6,3,0,1,0,0,4,7,1.75,0.214,0.313,0.429,0.741,12.0,0.0,0.0,0,0,0,1,0.25,165,103,2
Batting Order Positions,Batting 2nd,34,34.0,31,5.0,11,0,0,0,1,1,3,8,2.67,0.355,0.412,0.355,0.767,11.0,0.0,0.0,0,0,0,0,0.478,173,119,11
Batting Order Positions,Batting 3rd,35,35.0,29,1.0,6,0,0,0,0,0,5,10,2.0,0.207,0.324,0.207,0.53,6.0,0.0,0.0,1,0,0,1,0.316,89,38,6
Batting Order Positions,Batting 4th,37,37.0,29,9.0,4,0,0,2,0,0,5,12,2.4,0.138,0.27,0.345,0.615,10.0,0.0,1.0,0,2,0,0,0.118,119,56,2
Batting Order Positions,Batting 5th,37,37.0,35,6.0,9,2,0,1,1,0,2,10,5.0,0.257,0.297,0.4,0.697,14.0,0.0,0.0,0,0,1,1,0.333,149,84,6
Batting Order Positions,Batting 6th,30,30.0,28,2.0,3,1,0,0,0,0,1,10,10.0,0.107,0.138,0.143,0.281,4.0,0.0,0.0,1,0,0,0,0.167,0,-22,2
Batting Order Positions,Batting 7th,27,27.0,23,2.0,5,2,0,0,0,0,3,4,1.33,0.217,0.308,0.304,0.612,7.0,0.0,0.0,1,0,0,0,0.263,118,78,3
Batting Order Positions,Batting 8th,29,29.0,27,1.0,2,1,0,0,0,0,2,7,3.5,0.074,0.138,0.111,0.249,3.0,0.0,0.0,0,0,0,0,0.1,-11,-25,1
Batting Order Positions,Batting 9th,30,30.0,24,0.0,3,1,0,0,0,0,5,9,1.8,0.125,0.3,0.167,0.467,4.0,0.0,1.0,0,0,0,0,0.2,66,72,2
Batting Order Positions,"Bat1-2,non-P",38,66.0,59,7.0,17,3,0,1,1,1,7,15,2.14,0.288,0.364,0.39,0.753,23.0,0.0,0.0,0,0,0,1,0.372,169,111,13
Batting Order Positions,"Bat3-6,non-P",55,139.0,121,18.0,22,3,0,3,1,0,13,42,3.23,0.182,0.263,0.281,0.544,34.0,0.0,1.0,2,2,1,2,0.244,94,43,16
Batting Order Positions,"Bat7-9,non-P",46,85.0,73,3.0,9,4,0,0,0,0,10,20,2.0,0.123,0.238,0.178,0.416,13.0,0.0,1.0,1,0,0,0,0.17,48,26,5
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,72.0,66,7.0,12,2,0,1,,,3,14,4.67,0.182,0.214,0.258,0.472,17.0,0.0,0.0,2,1,0,2,0.212,68,36,9
Swung or Took First Pitch of PA,Took 1st Pitch,72,219.0,188,21.0,37,8,0,3,,,27,63,2.33,0.197,0.303,0.287,0.59,54.0,0.0,2.0,1,1,1,1,0.276,110,65,26
Count/Balls-Strikes,First Pitch,22,26.0,25,2.0,5,1,0,0,,,0,0,,0.2,0.2,0.24,0.44,6.0,0.0,0.0,1,0,0,1,0.2,57,5,4
Count/Balls-Strikes,1-0 Count,14,14.0,14,1.0,4,1,0,0,,,0,0,,0.286,0.286,0.357,0.643,5.0,0.0,0.0,0,0,0,0,0.286,129,50,3
Count/Balls-Strikes,2-0 Count,7,7.0,7,1.0,3,2,0,0,,,0,0,,0.429,0.429,0.714,1.143,5.0,0.0,0.0,0,0,0,0,0.429,308,137,1
Count/Balls-Strikes,3-0 Count,6,6.0,0,0.0,0,0,0,0,,,6,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,22,23.0,21,8.0,8,2,0,2,,,0,0,,0.381,0.381,0.762,1.143,16.0,0.0,0.0,2,0,0,2,0.316,308,179,4
Count/Balls-Strikes,1-1 Count,24,27.0,25,5.0,7,0,0,2,,,0,0,,0.28,0.296,0.52,0.816,13.0,0.0,1.0,0,1,0,0,0.208,191,98,5
Count/Balls-Strikes,2-1 Count,10,12.0,12,3.0,3,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,3.0,0.0,0.0,0,0,0,0,0.25,78,19,3
Count/Balls-Strikes,3-1 Count,10,11.0,4,4.0,2,1,0,0,,,7,0,0.0,0.5,0.818,0.75,1.568,3.0,0.0,0.0,0,0,0,0,0.5,459,138,1
Count/Balls-Strikes,0-2 Count,25,31.0,31,2.0,3,0,0,0,,,0,18,,0.097,0.097,0.097,0.194,3.0,0.0,0.0,0,0,0,0,0.231,-31,5,3
Count/Balls-Strikes,1-2 Count,41,53.0,52,1.0,3,1,0,0,,,0,32,,0.058,0.057,0.077,0.134,4.0,0.0,0.0,0,1,0,0,0.143,-52,-36,2
Count/Balls-Strikes,2-2 Count,32,41.0,40,1.0,7,2,0,0,,,0,17,,0.175,0.195,0.225,0.42,9.0,0.0,1.0,0,0,0,0,0.304,50,82,5
Count/Balls-Strikes,Full Count,35,40.0,23,0.0,4,0,0,0,,,17,10,0.59,0.174,0.525,0.174,0.699,4.0,0.0,0.0,0,0,0,0,0.308,149,68,4
Count/Balls-Strikes,After 1-0,61,119.0,97,8.0,19,5,0,1,,,21,32,1.52,0.196,0.345,0.278,0.623,27.0,0.0,1.0,0,0,1,0,0.281,122,54,13
Count/Balls-Strikes,After 2-0,34,42.0,28,5.0,8,3,0,0,,,14,5,0.36,0.286,0.524,0.393,0.917,11.0,0.0,0.0,0,0,1,0,0.348,227,85,5
Count/Balls-Strikes,After 3-0,11,13.0,4,3.0,1,1,0,0,,,9,1,0.11,0.25,0.769,0.5,1.269,2.0,0.0,0.0,0,0,1,0,0.333,352,103,0
