Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,58,264.0,225,18.0,39,10,0,6,1,1,35,81,2.31,0.173,0.292,0.298,0.59,67.0,5.0,3.0,0,1,1,3,0.237,100,69,23
Platoon Splits,vs RHB,55,131.0,112,12.0,20,3,0,5,0,0,17,37,2.18,0.179,0.29,0.339,0.629,38.0,4.0,1.0,0,1,1,0,0.211,113,78,12
Platoon Splits,vs LHB,53,133.0,113,7.0,19,7,0,1,1,1,18,44,2.44,0.168,0.293,0.257,0.55,29.0,1.0,2.0,0,0,0,3,0.265,87,61,11
Platoon Splits,vs RHB as RHP,55,131.0,112,12.0,20,3,0,5,0,0,17,37,2.18,0.179,0.29,0.339,0.629,38.0,4.0,1.0,0,1,1,0,0.211,113,81,12
Platoon Splits,vs LHB as RHP,53,133.0,113,7.0,19,7,0,1,1,1,18,44,2.44,0.168,0.293,0.257,0.55,29.0,1.0,2.0,0,0,0,3,0.265,87,59,11
Home or Away,Home,30,143.0,120,9.0,20,6,0,3,0,1,22,45,2.05,0.167,0.301,0.292,0.592,35.0,3.0,1.0,0,0,1,3,0.236,101,73,11
Home or Away,Away,28,121.0,105,9.0,19,4,0,3,1,0,13,36,2.77,0.181,0.281,0.305,0.586,32.0,2.0,2.0,0,1,0,0,0.239,99,65,12
First or Second Half,1st Half,33,151.0,129,8.0,19,4,0,3,1,0,18,48,2.67,0.147,0.265,0.248,0.513,32.0,1.0,3.0,0,1,0,1,0.203,74,48,12
First or Second Half,2nd Half,25,113.0,96,10.0,20,6,0,3,0,1,17,33,1.94,0.208,0.327,0.365,0.692,35.0,4.0,0.0,0,0,1,2,0.283,135,98,11
Months,April/March,8,31.0,27,0.0,1,0,0,0,0,0,4,11,2.75,0.037,0.161,0.037,0.198,1.0,0.0,0.0,0,0,0,0,0.063,-32,-38,1
Months,May,9,41.0,36,4.0,7,2,0,1,0,0,5,13,2.6,0.194,0.293,0.333,0.626,12.0,0.0,0.0,0,0,0,1,0.273,112,77,4
Months,June,9,44.0,38,2.0,6,0,0,2,0,0,4,15,3.75,0.158,0.273,0.316,0.589,12.0,0.0,2.0,0,0,0,0,0.191,100,64,4
Months,July,10,49.0,41,4.0,9,3,0,1,1,0,6,12,2.0,0.22,0.327,0.366,0.692,15.0,1.0,1.0,0,1,0,0,0.276,135,96,5
Months,August,11,45.0,41,2.0,7,2,0,1,0,0,4,13,3.25,0.171,0.244,0.293,0.537,12.0,2.0,0.0,0,0,0,1,0.222,82,53,4
Months,Sept/Oct,11,54.0,42,6.0,9,3,0,1,0,1,12,17,1.42,0.214,0.389,0.357,0.746,15.0,2.0,0.0,0,0,1,1,0.333,153,117,5
Game Outcome for Pitcher,in Wins,4,16.0,14,0.0,1,0,0,0,0,1,2,7,3.5,0.071,0.188,0.071,0.259,1.0,0.0,0.0,0,0,0,0,0.143,-12,1,1
Game Outcome for Pitcher,in Losses,3,21.0,18,6.0,7,2,0,2,0,0,3,9,3.0,0.389,0.476,0.833,1.31,15.0,0.0,0.0,0,0,0,1,0.714,343,166,3
Game Outcome for Pitcher,in No Dec.,31,147.0,124,12.0,26,6,0,4,1,0,21,41,1.95,0.21,0.327,0.355,0.681,44.0,3.0,1.0,0,1,1,1,0.275,131,99,16
Game Outcome for Pitcher,in Saves,20,80.0,69,0.0,5,2,0,0,0,0,9,24,2.67,0.073,0.2,0.101,0.301,7.0,2.0,2.0,0,0,0,1,0.111,2,43,3
Game Outcome for Pitcher,in Sv Situ,31,136.0,115,10.0,20,8,0,2,1,0,17,40,2.35,0.174,0.294,0.296,0.59,34.0,3.0,3.0,0,1,1,2,0.243,100,81,10
Game Outcome for Pitcher,in non-Sv,27,128.0,110,8.0,19,2,0,4,0,1,18,41,2.28,0.173,0.289,0.3,0.589,33.0,2.0,0.0,0,0,0,1,0.231,100,69,13
Pitching Role,as Reliever,58,264.0,225,18.0,39,10,0,6,1,1,35,81,2.31,0.173,0.292,0.298,0.59,67.0,5.0,3.0,0,1,1,3,0.237,100,72,23
Batting Order Positions,Batting 1st,29,29.0,26,5.0,5,2,0,2,0,0,2,8,4.0,0.192,0.241,0.5,0.741,13.0,1.0,0.0,0,1,0,0,0.177,150,103,1
Batting Order Positions,Batting 2nd,29,30.0,25,2.0,5,1,0,1,0,0,5,9,1.8,0.2,0.333,0.36,0.693,9.0,0.0,0.0,0,0,0,0,0.267,135,85,3
Batting Order Positions,Batting 3rd,29,30.0,29,3.0,2,0,0,1,0,0,1,14,14.0,0.069,0.1,0.172,0.272,5.0,1.0,0.0,0,0,0,1,0.071,-8,-30,1
Batting Order Positions,Batting 4th,29,29.0,24,1.0,3,0,0,1,0,0,5,10,2.0,0.125,0.276,0.25,0.526,6.0,1.0,0.0,0,0,0,0,0.154,78,46,2
Batting Order Positions,Batting 5th,29,29.0,23,2.0,5,1,0,0,0,0,4,7,1.75,0.217,0.379,0.261,0.64,6.0,0.0,2.0,0,0,0,0,0.313,117,90,4
Batting Order Positions,Batting 6th,30,30.0,27,1.0,6,3,0,0,0,0,3,11,3.67,0.222,0.3,0.333,0.633,9.0,0.0,0.0,0,0,0,0,0.375,115,85,3
Batting Order Positions,Batting 7th,28,28.0,23,2.0,7,2,0,1,0,1,5,7,1.4,0.304,0.429,0.522,0.95,12.0,0.0,0.0,0,0,0,1,0.4,222,184,4
Batting Order Positions,Batting 8th,28,28.0,23,2.0,4,1,0,0,0,0,5,7,1.4,0.174,0.321,0.217,0.539,5.0,0.0,0.0,0,0,1,0,0.25,83,69,3
Batting Order Positions,Batting 9th,31,31.0,25,1.0,2,0,0,0,1,0,5,8,1.6,0.08,0.258,0.08,0.338,2.0,2.0,1.0,0,0,0,1,0.118,15,12,2
Batting Order Positions,"Bat1-2,non-P",34,59.0,51,7.0,10,3,0,3,0,0,7,17,2.43,0.196,0.288,0.431,0.72,22.0,1.0,0.0,0,1,0,0,0.219,143,93,4
Batting Order Positions,"Bat3-6,non-P",49,118.0,103,7.0,16,4,0,2,0,0,13,42,3.23,0.155,0.263,0.252,0.515,26.0,2.0,2.0,0,0,0,1,0.237,75,45,10
Batting Order Positions,"Bat7-9,non-P",40,87.0,71,5.0,13,3,0,1,1,1,15,22,1.47,0.183,0.333,0.268,0.601,19.0,2.0,1.0,0,0,1,2,0.25,104,88,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,78.0,72,7.0,13,4,0,3,,,5,24,4.8,0.181,0.231,0.361,0.592,26.0,4.0,0.0,0,1,0,1,0.217,100,68,6
Swung or Took First Pitch of PA,Took 1st Pitch,58,186.0,153,10.0,26,6,0,3,,,30,57,1.9,0.17,0.317,0.268,0.585,41.0,1.0,3.0,0,0,1,2,0.247,99,68,17
Count/Balls-Strikes,First Pitch,20,22.0,20,5.0,5,2,0,2,,,0,0,,0.25,0.318,0.65,0.968,13.0,1.0,2.0,0,0,0,1,0.167,227,108,1
Count/Balls-Strikes,1-0 Count,8,9.0,9,2.0,4,2,0,0,,,0,0,,0.444,0.444,0.667,1.111,6.0,0.0,0.0,0,0,0,0,0.444,276,146,2
Count/Balls-Strikes,2-0 Count,6,6.0,6,0.0,2,0,0,0,,,0,0,,0.333,0.333,0.333,0.667,2.0,0.0,0.0,0,0,0,1,0.333,126,51,2
Count/Balls-Strikes,3-0 Count,9,9.0,0,1.0,0,0,0,0,,,9,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,15,17.0,16,1.0,6,3,0,1,,,0,0,,0.375,0.412,0.75,1.162,12.0,1.0,1.0,0,0,0,0,0.333,293,176,2
Count/Balls-Strikes,1-1 Count,17,17.0,17,0.0,2,1,0,0,,,0,0,,0.118,0.118,0.177,0.294,3.0,1.0,0.0,0,0,0,0,0.118,-1,-30,1
Count/Balls-Strikes,2-1 Count,7,7.0,7,0.0,1,0,0,0,,,0,0,,0.143,0.143,0.143,0.286,1.0,0.0,0.0,0,0,0,0,0.143,-3,-33,1
Count/Balls-Strikes,3-1 Count,9,10.0,3,0.0,0,0,0,0,,,7,0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0,0,0,0,0.0,140,-1,0
Count/Balls-Strikes,0-2 Count,27,35.0,34,1.0,2,0,0,0,,,0,24,,0.059,0.057,0.059,0.116,2.0,0.0,0.0,0,1,0,0,0.182,-61,-38,2
Count/Balls-Strikes,1-2 Count,40,57.0,57,5.0,8,0,0,2,,,0,32,,0.14,0.14,0.246,0.386,14.0,0.0,0.0,0,0,0,0,0.261,31,83,6
Count/Balls-Strikes,2-2 Count,30,37.0,37,2.0,7,2,0,1,,,0,13,,0.189,0.189,0.324,0.514,12.0,2.0,0.0,0,0,0,1,0.261,74,126,4
Count/Balls-Strikes,Full Count,30,38.0,19,0.0,2,0,0,0,,,19,12,0.63,0.105,0.553,0.105,0.658,2.0,0.0,0.0,0,0,0,0,0.286,125,55,2
Count/Balls-Strikes,After 1-0,51,88.0,66,5.0,11,2,0,1,,,22,19,0.86,0.167,0.375,0.242,0.617,16.0,0.0,0.0,0,0,1,1,0.217,110,58,8
Count/Balls-Strikes,After 2-0,35,45.0,24,1.0,5,0,0,0,,,21,6,0.29,0.208,0.578,0.208,0.786,5.0,0.0,0.0,0,0,1,1,0.278,168,63,5
Count/Balls-Strikes,After 3-0,15,18.0,2,1.0,0,0,0,0,,,16,1,0.06,0.0,0.889,0.0,0.889,0.0,0.0,0.0,0,0,1,0,0.0,205,21,0
Count/Balls-Strikes,After 0-1,57,154.0,139,7.0,23,6,0,3,,,13,62,4.77,0.166,0.24,0.273,0.514,38.0,4.0,1.0,0,1,0,1,0.267,74,75,14
Count/Balls-Strikes,After 1-1,52,97.0,84,4.0,7,2,0,2,,,13,33,2.54,0.083,0.206,0.179,0.385,15.0,2.0,0.0,0,0,0,1,0.102,31,18,3
Count/Balls-Strikes,After 2-1,37,54.0,39,0.0,4,1,0,0,,,15,14,0.93,0.103,0.352,0.128,0.48,5.0,1.0,0.0,0,0,0,0,0.16,64,24,3
Count/Balls-Strikes,After 3-1,18,24.0,10,0.0,0,0,0,0,,,14,3,0.21,0.0,0.583,0.0,0.583,0.0,0.0,0.0,0,0,0,0,0.0,100,0,0
Count/Balls-Strikes,After 0-2,45,74.0,72,4.0,12,1,0,1,,,1,42,42.0,0.167,0.176,0.222,0.398,16.0,1.0,0.0,0,1,0,0,0.367,35,84,10
Count/Balls-Strikes,After 1-2,50,86.0,82,7.0,14,1,0,3,,,4,42,10.5,0.171,0.209,0.293,0.502,24.0,1.0,0.0,0,0,0,1,0.297,70,106,10
