Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,74,332.0,287,17.0,45,7,0,6,17,4,40,131,3.28,0.157,0.266,0.244,0.51,70.0,4.0,3.0,1,1,2,0,0.258,100,44,32
Platoon Splits,vs RHB,70,179.0,154,19.0,27,3,0,4,12,0,23,74,3.22,0.175,0.285,0.273,0.558,42.0,1.0,1.0,0,1,0,0,0.299,119,60,20
Platoon Splits,vs LHB,71,153.0,133,7.0,18,4,0,2,5,4,17,57,3.35,0.135,0.243,0.211,0.454,28.0,3.0,2.0,1,0,2,0,0.216,78,27,12
Platoon Splits,vs RHB as RHP,70,179.0,154,19.0,27,3,0,4,12,0,23,74,3.22,0.175,0.285,0.273,0.558,42.0,1.0,1.0,0,1,0,0,0.299,119,62,20
Platoon Splits,vs LHB as RHP,71,153.0,133,7.0,18,4,0,2,5,4,17,57,3.35,0.135,0.243,0.211,0.454,28.0,3.0,2.0,1,0,2,0,0.216,78,24,12
Home or Away,Home,40,177.0,155,15.0,23,4,0,6,4,2,19,69,3.63,0.148,0.254,0.29,0.545,45.0,3.0,3.0,0,0,0,0,0.213,114,56,13
Home or Away,Away,34,155.0,132,2.0,22,3,0,0,13,2,21,62,2.95,0.167,0.279,0.189,0.469,25.0,1.0,0.0,1,1,2,0,0.31,82,32,19
First or Second Half,1st Half,41,181.0,159,11.0,20,4,0,2,9,1,19,77,4.05,0.126,0.227,0.189,0.415,30.0,1.0,2.0,0,1,1,0,0.222,63,20,14
First or Second Half,2nd Half,33,151.0,128,6.0,25,3,0,4,8,3,21,54,2.57,0.195,0.313,0.313,0.626,40.0,3.0,1.0,1,0,1,0,0.3,146,73,18
Months,April/March,11,49.0,42,1.0,5,0,0,0,2,1,7,19,2.71,0.119,0.245,0.119,0.364,5.0,0.0,0.0,0,0,0,0,0.217,41,8,5
Months,May,13,53.0,48,2.0,5,1,0,0,3,0,4,25,6.25,0.104,0.17,0.125,0.295,6.0,1.0,0.0,0,1,1,0,0.208,15,-15,4
Months,June,10,46.0,39,5.0,5,3,0,0,2,0,5,18,3.6,0.128,0.261,0.205,0.466,8.0,0.0,2.0,0,0,0,0,0.238,82,35,2
Months,July,14,62.0,55,3.0,7,0,0,2,3,0,7,25,3.57,0.127,0.226,0.236,0.462,13.0,0.0,0.0,0,0,0,0,0.179,82,30,5
Months,August,11,51.0,46,2.0,10,2,0,1,5,2,5,19,3.8,0.217,0.294,0.326,0.62,15.0,0.0,0.0,0,0,0,0,0.346,144,70,7
Months,Sept/Oct,15,71.0,57,4.0,13,1,0,3,2,1,12,25,2.08,0.228,0.371,0.404,0.775,23.0,3.0,1.0,1,0,1,0,0.345,205,113,9
Game Outcome for Pitcher,in Wins,6,29.0,25,3.0,4,0,0,1,1,0,4,6,1.5,0.16,0.276,0.28,0.556,7.0,0.0,0.0,0,0,0,0,0.167,119,101,3
Game Outcome for Pitcher,in Losses,4,23.0,19,7.0,6,2,0,2,1,1,2,10,5.0,0.316,0.435,0.737,1.172,14.0,0.0,2.0,0,0,1,0,0.571,366,142,2
Game Outcome for Pitcher,in No Dec.,55,239.0,208,6.0,32,4,0,3,13,3,28,97,3.46,0.154,0.256,0.216,0.473,45.0,4.0,1.0,1,1,1,0,0.266,85,36,25
Game Outcome for Pitcher,in Saves,9,41.0,35,1.0,3,1,0,0,2,0,6,18,3.0,0.086,0.22,0.114,0.334,4.0,0.0,0.0,0,0,0,0,0.177,29,50,2
Game Outcome for Pitcher,in Sv Situ,42,196.0,167,7.0,28,4,0,3,12,2,27,75,2.78,0.168,0.287,0.246,0.533,41.0,2.0,1.0,1,0,0,0,0.281,109,67,21
Game Outcome for Pitcher,in non-Sv,32,136.0,120,10.0,17,3,0,3,5,2,13,56,4.31,0.142,0.235,0.242,0.477,29.0,2.0,2.0,0,1,2,0,0.226,88,34,11
Pitching Role,as Reliever,74,332.0,287,17.0,45,7,0,6,17,4,40,131,3.28,0.157,0.266,0.244,0.51,70.0,4.0,3.0,1,1,2,0,0.258,100,47,32
Batting Order Positions,Batting 1st,31,31.0,28,3.0,5,2,0,2,1,2,3,15,5.0,0.179,0.258,0.464,0.722,13.0,1.0,0.0,0,0,0,0,0.273,187,93,1
Batting Order Positions,Batting 2nd,41,41.0,35,0.0,4,1,0,0,4,0,5,20,4.0,0.114,0.244,0.143,0.387,5.0,0.0,1.0,0,0,0,0,0.267,50,8,3
Batting Order Positions,Batting 3rd,41,41.0,33,6.0,4,1,0,1,2,0,7,11,1.57,0.121,0.268,0.242,0.511,8.0,0.0,0.0,0,1,0,0,0.136,100,29,2
Batting Order Positions,Batting 4th,47,47.0,42,2.0,10,2,0,0,2,1,5,14,2.8,0.238,0.319,0.286,0.605,12.0,0.0,0.0,0,0,2,0,0.357,137,57,8
Batting Order Positions,Batting 5th,45,45.0,35,8.0,8,0,0,1,4,1,9,16,1.78,0.229,0.4,0.314,0.714,11.0,0.0,1.0,0,0,0,0,0.389,179,101,7
Batting Order Positions,Batting 6th,34,34.0,32,4.0,6,0,0,1,2,0,2,15,7.5,0.188,0.235,0.281,0.517,9.0,1.0,0.0,0,0,0,0,0.313,104,46,5
Batting Order Positions,Batting 7th,31,31.0,29,2.0,4,1,0,1,1,0,1,16,16.0,0.138,0.194,0.276,0.469,8.0,1.0,1.0,0,0,0,0,0.25,86,35,2
Batting Order Positions,Batting 8th,32,32.0,29,0.0,2,0,0,0,0,0,3,13,4.33,0.069,0.156,0.069,0.225,2.0,1.0,0.0,0,0,0,0,0.125,-13,-29,2
Batting Order Positions,Batting 9th,30,30.0,24,1.0,2,0,0,0,1,0,5,11,2.2,0.083,0.241,0.083,0.325,2.0,0.0,0.0,1,0,0,0,0.154,25,22,2
Batting Order Positions,"Bat1-2,non-P",48,72.0,63,3.0,9,3,0,2,5,2,8,35,4.38,0.143,0.25,0.286,0.536,18.0,1.0,1.0,0,0,0,0,0.269,111,45,4
Batting Order Positions,"Bat3-6,non-P",58,167.0,142,20.0,28,3,0,3,10,2,23,56,2.43,0.197,0.311,0.282,0.593,40.0,1.0,1.0,0,1,2,0,0.298,133,59,22
Batting Order Positions,"Bat7-9,non-P",49,93.0,82,3.0,8,1,0,1,2,0,9,40,4.44,0.098,0.196,0.146,0.342,12.0,2.0,1.0,1,0,0,0,0.171,34,5,6
Swung or Took First Pitch of PA,Swung at 1st Pitch,51,74.0,70,5.0,12,1,0,2,,,1,23,23.0,0.171,0.192,0.271,0.463,19.0,2.0,1.0,1,1,0,0,0.217,83,28,9
Swung or Took First Pitch of PA,Took 1st Pitch,74,258.0,217,17.0,33,6,0,4,,,39,108,2.77,0.152,0.287,0.235,0.522,51.0,2.0,2.0,0,0,2,0,0.276,104,48,23
Count/Balls-Strikes,First Pitch,22,24.0,21,2.0,5,1,0,0,,,0,0,,0.238,0.261,0.286,0.547,6.0,1.0,1.0,1,1,0,0,0.227,115,27,4
Count/Balls-Strikes,1-0 Count,16,17.0,17,1.0,5,0,0,0,,,0,0,,0.294,0.294,0.294,0.588,5.0,1.0,0.0,0,0,0,0,0.294,131,39,5
Count/Balls-Strikes,2-0 Count,5,6.0,6,2.0,3,1,0,1,,,0,0,,0.5,0.5,1.167,1.667,7.0,0.0,0.0,0,0,0,0,0.4,566,221,1
Count/Balls-Strikes,3-0 Count,9,10.0,0,0.0,0,0,0,0,,,10,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,15,16.0,16,0.0,3,0,0,0,,,0,0,,0.188,0.188,0.188,0.375,3.0,0.0,0.0,0,0,0,0,0.188,48,-4,3
Count/Balls-Strikes,1-1 Count,15,17.0,17,0.0,7,2,0,0,,,0,0,,0.412,0.412,0.529,0.941,9.0,0.0,0.0,0,0,0,0,0.412,272,125,5
Count/Balls-Strikes,2-1 Count,9,10.0,9,3.0,5,1,0,1,,,0,0,,0.556,0.6,1.0,1.6,9.0,0.0,1.0,0,0,0,0,0.5,535,265,3
Count/Balls-Strikes,3-1 Count,11,13.0,5,1.0,1,0,0,0,,,8,0,0.0,0.2,0.692,0.2,0.892,1.0,0.0,0.0,0,0,0,0,0.2,242,32,1
Count/Balls-Strikes,0-2 Count,32,40.0,39,1.0,4,0,0,1,,,0,28,,0.103,0.125,0.18,0.305,7.0,0.0,1.0,0,0,0,0,0.3,20,52,3
Count/Balls-Strikes,1-2 Count,48,69.0,69,2.0,4,0,0,1,,,0,51,,0.058,0.058,0.101,0.159,7.0,0.0,0.0,0,0,0,0,0.177,-37,-26,3
Count/Balls-Strikes,2-2 Count,40,53.0,53,3.0,4,1,0,1,,,0,30,,0.076,0.076,0.151,0.226,8.0,2.0,0.0,0,0,0,0,0.136,-10,-5,2
Count/Balls-Strikes,Full Count,41,57.0,35,7.0,4,1,0,1,,,22,22,1.0,0.114,0.456,0.229,0.685,8.0,0.0,0.0,0,0,0,0,0.25,165,68,2
Count/Balls-Strikes,After 1-0,61,133.0,103,15.0,22,4,0,4,,,29,32,1.1,0.214,0.391,0.369,0.76,38.0,2.0,1.0,0,0,2,0,0.269,198,88,14
Count/Balls-Strikes,After 2-0,37,53.0,32,6.0,8,3,0,2,,,20,9,0.45,0.25,0.547,0.531,1.079,17.0,0.0,1.0,0,0,2,0,0.286,323,120,3
Count/Balls-Strikes,After 3-0,19,21.0,4,0.0,1,0,0,0,,,17,0,0.0,0.25,0.857,0.25,1.107,1.0,0.0,0.0,0,0,2,0,0.25,325,68,1
Count/Balls-Strikes,After 0-1,72,174.0,162,5.0,18,2,0,2,,,11,99,9.0,0.111,0.172,0.161,0.333,26.0,1.0,1.0,0,0,0,0,0.262,30,12,14
Count/Balls-Strikes,After 1-1,67,126.0,112,10.0,17,2,0,2,,,14,57,4.07,0.152,0.246,0.223,0.469,25.0,2.0,0.0,0,0,0,0,0.283,84,42,13
Count/Balls-Strikes,After 2-1,39,58.0,47,6.0,7,2,0,1,,,10,22,2.2,0.149,0.31,0.255,0.566,12.0,0.0,1.0,0,0,0,0,0.25,121,44,4
Count/Balls-Strikes,After 3-1,29,31.0,18,3.0,3,1,0,0,,,13,7,0.54,0.167,0.516,0.222,0.738,4.0,0.0,0.0,0,0,0,0,0.273,185,37,2
Count/Balls-Strikes,After 0-2,57,95.0,88,3.0,7,1,0,2,,,6,65,10.83,0.08,0.147,0.159,0.307,14.0,0.0,1.0,0,0,0,0,0.238,20,35,4
Count/Balls-Strikes,After 1-2,64,132.0,119,10.0,10,1,0,3,,,13,81,6.23,0.084,0.174,0.168,0.342,20.0,2.0,0.0,0,0,0,0,0.2,34,39,6
Count/Balls-Strikes,After 2-2,58,92.0,75,8.0,6,1,0,2,,,17,45,2.65,0.08,0.25,0.173,0.423,13.0,2.0,0.0,0,0,0,0,0.143,65,46,3
Count/Balls-Strikes,Zero Balls,56,80.0,76,4.0,12,1,0,1,,,0,28,,0.158,0.177,0.211,0.388,16.0,1.0,2.0,1,1,0,0,0.229,53,11,10
Count/Balls-Strikes,Zero Strikes,44,57.0,44,5.0,13,2,0,1,,,10,0,0.0,0.296,0.429,0.409,0.838,18.0,2.0,1.0,1,1,2,0,0.273,229,80,10
Count/Balls-Strikes,Three Balls,49,80.0,40,8.0,5,1,0,1,,,40,22,0.55,0.125,0.563,0.225,0.788,9.0,0.0,0.0,0,0,2,0,0.235,204,57,3
Count/Balls-Strikes,Two Strikes,73,219.0,196,16.0,16,2,0,4,,,22,131,5.95,0.082,0.178,0.153,0.331,30.0,2.0,1.0,0,0,0,0,0.197,30,29,10
Count/Balls-Strikes,Batter Ahead,58,113.0,72,14.0,18,3,0,3,,,40,22,0.55,0.25,0.522,0.417,0.939,30.0,1.0,1.0,0,0,2,0,0.319,267,97,12
Count/Balls-Strikes,Even Count,57,94.0,91,5.0,16,4,0,1,,,0,30,,0.176,0.183,0.253,0.436,23.0,3.0,1.0,1,1,0,0,0.246,73,25,11
