Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,65,240.0,205,17.0,31,5,0,2,6,2,30,96,3.2,0.151,0.267,0.205,0.472,42.0,4.0,3.0,0,2,1,2,0.266,100,38,24
Platoon Splits,vs RHB,63,139.0,118,9.0,13,2,0,0,6,2,20,65,3.25,0.11,0.237,0.127,0.365,15.0,3.0,0.0,0,1,0,2,0.241,51,8,11
Platoon Splits,vs LHB,56,101.0,87,9.0,18,3,0,2,0,0,10,31,3.1,0.207,0.307,0.31,0.617,27.0,1.0,3.0,0,1,1,0,0.291,166,79,13
Platoon Splits,vs RHB as RHP,63,139.0,118,9.0,13,2,0,0,6,2,20,65,3.25,0.11,0.237,0.127,0.365,15.0,3.0,0.0,0,1,0,2,0.241,51,10,11
Platoon Splits,vs LHB as RHP,56,101.0,87,9.0,18,3,0,2,0,0,10,31,3.1,0.207,0.307,0.31,0.617,27.0,1.0,3.0,0,1,1,0,0.291,166,77,13
Home or Away,Home,32,116.0,99,10.0,13,4,0,1,2,1,13,51,3.92,0.131,0.241,0.202,0.443,20.0,2.0,2.0,0,2,1,1,0.245,89,31,8
Home or Away,Away,33,124.0,106,7.0,18,1,0,1,4,1,17,45,2.65,0.17,0.29,0.208,0.498,22.0,2.0,1.0,0,0,0,1,0.283,110,43,16
First or Second Half,1st Half,39,143.0,123,7.0,18,4,0,0,4,1,19,59,3.11,0.146,0.266,0.179,0.445,22.0,1.0,1.0,0,0,0,1,0.281,87,31,14
First or Second Half,2nd Half,26,97.0,82,10.0,13,1,0,2,2,1,11,37,3.36,0.159,0.268,0.244,0.512,20.0,3.0,2.0,0,2,1,1,0.244,119,48,10
Months,April/March,10,40.0,31,4.0,7,1,0,0,0,0,8,16,2.0,0.226,0.4,0.258,0.658,8.0,1.0,1.0,0,0,0,0,0.467,176,100,6
Months,May,11,44.0,40,3.0,7,3,0,0,1,0,4,18,4.5,0.175,0.25,0.25,0.5,10.0,0.0,0.0,0,0,0,1,0.318,116,43,4
Months,June,12,36.0,31,0.0,1,0,0,0,2,1,5,15,3.0,0.032,0.167,0.032,0.199,1.0,0.0,0.0,0,0,0,0,0.063,-22,-39,1
Months,July,10,38.0,36,0.0,6,0,0,0,1,0,2,17,8.5,0.167,0.211,0.167,0.377,6.0,0.0,0.0,0,0,0,0,0.316,61,9,6
Months,August,12,39.0,32,6.0,5,0,0,2,0,1,5,12,2.4,0.156,0.282,0.344,0.626,11.0,1.0,1.0,0,1,0,0,0.158,173,78,3
Months,Sept/Oct,10,43.0,35,4.0,5,1,0,0,2,0,6,18,3.0,0.143,0.279,0.171,0.451,6.0,2.0,1.0,0,1,1,1,0.278,88,34,4
Game Outcome for Pitcher,in Wins,6,20.0,17,0.0,0,0,0,0,0,1,2,8,4.0,0.0,0.15,0.0,0.15,0.0,0.0,1.0,0,0,0,0,0.0,-44,-39,0
Game Outcome for Pitcher,in Losses,4,14.0,10,7.0,4,0,0,2,1,0,3,2,0.67,0.4,0.5,1.0,1.5,10.0,0.0,0.0,0,1,0,0,0.286,575,201,2
Game Outcome for Pitcher,in No Dec.,40,155.0,131,8.0,24,4,0,0,4,1,22,60,2.73,0.183,0.31,0.214,0.523,28.0,2.0,2.0,0,0,1,1,0.338,121,57,20
Game Outcome for Pitcher,in Saves,15,51.0,47,2.0,3,1,0,0,1,0,3,26,8.67,0.064,0.118,0.085,0.203,4.0,2.0,0.0,0,1,0,1,0.136,-14,-3,2
Game Outcome for Pitcher,in Sv Situ,43,163.0,138,9.0,22,4,0,0,6,1,22,65,2.95,0.159,0.282,0.188,0.471,26.0,4.0,2.0,0,1,1,2,0.297,97,47,18
Game Outcome for Pitcher,in non-Sv,22,77.0,67,8.0,9,1,0,2,0,1,8,31,3.88,0.134,0.234,0.239,0.473,16.0,0.0,1.0,0,1,0,0,0.2,104,36,6
Pitching Role,as Reliever,65,240.0,205,17.0,31,5,0,2,6,2,30,96,3.2,0.151,0.267,0.205,0.472,42.0,4.0,3.0,0,2,1,2,0.266,100,39,24
Batting Order Positions,Batting 1st,30,30.0,25,3.0,6,0,0,0,0,0,4,11,2.75,0.24,0.333,0.24,0.573,6.0,0.0,0.0,0,1,0,0,0.4,142,65,6
Batting Order Positions,Batting 2nd,26,26.0,21,3.0,5,1,0,1,0,0,3,8,2.67,0.238,0.346,0.429,0.775,9.0,1.0,1.0,0,1,0,1,0.308,239,105,3
Batting Order Positions,Batting 3rd,23,23.0,18,4.0,4,0,0,1,2,1,4,9,2.25,0.222,0.391,0.389,0.78,7.0,1.0,1.0,0,0,1,0,0.375,236,108,3
Batting Order Positions,Batting 4th,28,28.0,25,2.0,5,2,0,0,0,0,3,12,4.0,0.2,0.286,0.28,0.566,7.0,1.0,0.0,0,0,0,0,0.385,144,56,3
Batting Order Positions,Batting 5th,22,22.0,18,0.0,0,0,0,0,2,0,3,10,3.33,0.0,0.182,0.0,0.182,0.0,0.0,1.0,0,0,0,0,0.0,-32,-41,0
