Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,61,233.0,206,23.0,40,6,0,9,5,1,17,75,4.41,0.194,0.268,0.354,0.623,73.0,4.0,5.0,2,3,2,2,0.248,100,71,25
Platoon Splits,vs RHB,59,149.0,137,11.0,26,5,0,3,4,0,6,55,9.17,0.19,0.23,0.292,0.522,40.0,4.0,2.0,1,3,0,2,0.281,68,43,18
Platoon Splits,vs LHB,51,84.0,69,15.0,14,1,0,6,1,1,11,20,1.82,0.203,0.337,0.478,0.816,33.0,0.0,3.0,1,0,2,0,0.186,161,124,7
Platoon Splits,vs RHB as RHP,59,149.0,137,11.0,26,5,0,3,4,0,6,55,9.17,0.19,0.23,0.292,0.522,40.0,4.0,2.0,1,3,0,2,0.281,68,47,18
Platoon Splits,vs LHB as RHP,51,84.0,69,15.0,14,1,0,6,1,1,11,20,1.82,0.203,0.337,0.478,0.816,33.0,0.0,3.0,1,0,2,0,0.186,161,119,7
Home or Away,Home,28,108.0,98,8.0,17,4,0,4,2,1,7,36,5.14,0.174,0.241,0.337,0.577,33.0,0.0,2.0,0,1,1,2,0.22,85,61,9
Home or Away,Away,33,125.0,108,15.0,23,2,0,5,3,0,10,39,3.9,0.213,0.293,0.37,0.663,40.0,4.0,3.0,2,2,1,0,0.273,114,79,16
First or Second Half,1st Half,33,131.0,117,14.0,25,5,0,5,3,0,10,43,4.3,0.214,0.271,0.385,0.656,45.0,1.0,0.0,2,2,2,1,0.282,110,81,15
First or Second Half,2nd Half,28,102.0,89,9.0,15,1,0,4,2,1,7,32,4.57,0.169,0.265,0.315,0.579,28.0,3.0,5.0,0,1,0,1,0.204,88,58,10
Months,April/March,12,51.0,44,5.0,9,2,0,2,1,0,5,17,3.4,0.205,0.286,0.386,0.672,17.0,0.0,0.0,2,0,1,0,0.28,116,92,5
Months,May,8,35.0,32,3.0,8,1,0,2,1,0,3,11,3.67,0.25,0.314,0.469,0.783,15.0,1.0,0.0,0,0,1,0,0.316,150,118,5
Months,June,10,35.0,32,6.0,7,2,0,1,1,0,1,14,14.0,0.219,0.229,0.375,0.604,12.0,0.0,0.0,0,2,0,0,0.316,91,62,4
Months,July,9,28.0,26,2.0,3,0,0,1,0,0,1,7,7.0,0.115,0.179,0.231,0.409,6.0,0.0,1.0,0,0,0,1,0.111,32,11,2
Months,August,8,32.0,23,3.0,2,0,0,1,0,1,5,8,1.6,0.087,0.313,0.217,0.53,5.0,2.0,3.0,0,1,0,0,0.067,78,51,1
Months,Sept/Oct,14,52.0,49,4.0,11,1,0,2,2,0,2,18,9.0,0.225,0.269,0.367,0.637,18.0,1.0,1.0,0,0,0,1,0.31,104,71,8
Game Outcome for Pitcher,in Wins,5,21.0,20,3.0,4,0,0,2,1,0,1,10,10.0,0.2,0.238,0.5,0.738,10.0,0.0,0.0,0,0,1,0,0.25,130,172,2
Game Outcome for Pitcher,in Losses,5,22.0,16,11.0,8,2,0,2,2,0,3,3,1.0,0.5,0.55,1.0,1.55,16.0,0.0,0.0,2,1,1,0,0.5,388,205,4
Game Outcome for Pitcher,in No Dec.,35,132.0,115,8.0,20,3,0,4,2,1,10,38,3.8,0.174,0.265,0.304,0.57,35.0,3.0,5.0,0,2,0,1,0.213,85,60,13
