Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,62,267.0,243,16.0,52,14,0,5,3,0,17,58,3.41,0.214,0.274,0.333,0.608,81.0,5.0,4.0,1,2,2,0,0.258,100,68,33
Platoon Splits,vs RHB,61,144.0,136,13.0,33,10,0,4,1,0,3,34,11.33,0.243,0.28,0.404,0.684,55.0,3.0,4.0,1,0,1,0,0.296,124,86,19
Platoon Splits,vs LHB,60,123.0,107,7.0,19,4,0,1,2,0,14,24,1.71,0.178,0.268,0.243,0.511,26.0,2.0,0.0,0,2,1,0,0.214,71,44,14
Platoon Splits,vs RHB as RHP,61,144.0,136,13.0,33,10,0,4,1,0,3,34,11.33,0.243,0.28,0.404,0.684,55.0,3.0,4.0,1,0,1,0,0.296,124,91,19
Platoon Splits,vs LHB as RHP,60,123.0,107,7.0,19,4,0,1,2,0,14,24,1.71,0.178,0.268,0.243,0.511,26.0,2.0,0.0,0,2,1,0,0.214,71,41,14
Home or Away,Home,31,128.0,117,7.0,23,3,0,1,1,0,9,35,3.89,0.197,0.26,0.248,0.508,29.0,2.0,1.0,1,0,1,0,0.272,69,45,19
Home or Away,Away,31,139.0,126,9.0,29,11,0,4,2,0,8,23,2.88,0.23,0.288,0.413,0.701,52.0,3.0,3.0,0,2,1,0,0.248,129,88,14
First or Second Half,1st Half,30,132.0,118,9.0,22,6,0,1,3,0,11,38,3.45,0.186,0.258,0.263,0.52,31.0,2.0,1.0,0,2,0,0,0.259,73,47,15
First or Second Half,2nd Half,32,135.0,125,7.0,30,8,0,4,0,0,6,20,3.33,0.24,0.291,0.4,0.691,50.0,3.0,3.0,1,0,2,0,0.257,126,86,18
Months,April/March,9,50.0,42,5.0,11,3,0,0,1,0,6,14,2.33,0.262,0.36,0.333,0.693,14.0,2.0,1.0,0,1,0,0,0.379,131,102,8
Months,May,5,22.0,20,0.0,0,0,0,0,0,0,2,7,3.5,0.0,0.091,0.0,0.091,0.0,0.0,0.0,0,0,0,0,0.0,-67,-71,0
Months,June,11,42.0,38,3.0,7,2,0,1,2,0,3,10,3.33,0.184,0.238,0.316,0.554,12.0,0.0,0.0,0,1,0,0,0.214,82,50,4
Months,July,11,42.0,40,3.0,9,2,0,2,0,0,1,10,10.0,0.225,0.262,0.425,0.687,17.0,0.0,1.0,0,0,0,0,0.25,123,83,5
Months,August,11,52.0,49,1.0,11,2,0,1,0,0,2,7,3.5,0.225,0.255,0.327,0.581,16.0,1.0,0.0,1,0,2,0,0.244,91,60,8
Months,Sept/Oct,15,59.0,54,4.0,14,5,0,1,0,0,3,10,3.33,0.259,0.322,0.407,0.729,22.0,2.0,2.0,0,0,0,0,0.302,140,97,8
Game Outcome for Pitcher,in Wins,5,24.0,21,0.0,5,0,0,0,0,0,2,7,3.5,0.238,0.304,0.238,0.542,5.0,0.0,0.0,1,0,1,0,0.357,82,107,5
Game Outcome for Pitcher,in Losses,2,11.0,9,5.0,4,1,0,1,1,0,2,2,1.0,0.444,0.546,0.889,1.434,8.0,0.0,0.0,0,0,0,0,0.5,366,185,2
Game Outcome for Pitcher,in No Dec.,41,173.0,156,10.0,33,8,0,4,2,0,13,37,2.85,0.212,0.278,0.34,0.617,53.0,4.0,2.0,0,2,1,0,0.248,103,72,21
Game Outcome for Pitcher,in Saves,14,59.0,57,1.0,10,5,0,0,0,0,0,12,,0.175,0.203,0.263,0.467,15.0,1.0,2.0,0,0,0,0,0.222,53,111,5
Game Outcome for Pitcher,in Sv Situ,24,97.0,93,4.0,18,6,0,2,1,0,1,20,20.0,0.194,0.217,0.323,0.539,30.0,2.0,2.0,0,1,0,0,0.222,76,56,10
Game Outcome for Pitcher,in non-Sv,38,170.0,150,12.0,34,8,0,3,2,0,16,38,2.38,0.227,0.308,0.34,0.648,51.0,3.0,2.0,1,1,2,0,0.282,115,80,23
Pitching Role,as Reliever,62,267.0,243,16.0,52,14,0,5,3,0,17,58,3.41,0.214,0.274,0.333,0.608,81.0,5.0,4.0,1,2,2,0,0.258,100,70,33
Batting Order Positions,Batting 1st,24,24.0,20,0.0,1,1,0,0,0,0,4,3,0.75,0.05,0.208,0.1,0.308,2.0,0.0,0.0,0,0,1,0,0.059,6,-14,0
Batting Order Positions,Batting 2nd,24,24.0,22,1.0,7,3,0,0,0,0,2,4,2.0,0.318,0.375,0.455,0.83,10.0,0.0,0.0,0,0,0,0,0.389,174,115,4
Batting Order Positions,Batting 3rd,16,16.0,13,2.0,3,1,0,0,2,0,3,3,1.0,0.231,0.375,0.308,0.683,4.0,0.0,0.0,0,0,0,0,0.3,129,76,2
Batting Order Positions,Batting 4th,21,21.0,20,2.0,8,1,0,0,0,0,1,7,7.0,0.4,0.429,0.45,0.879,9.0,0.0,0.0,0,0,0,0,0.615,192,130,7
Batting Order Positions,Batting 5th,36,36.0,35,3.0,5,1,0,0,0,0,0,7,,0.143,0.139,0.171,0.31,6.0,1.0,0.0,0,1,0,0,0.172,2,-16,4
Batting Order Positions,Batting 6th,36,36.0,33,0.0,9,2,0,0,1,0,3,7,2.33,0.273,0.333,0.333,0.667,11.0,1.0,0.0,0,0,0,0,0.346,122,88,7
Batting Order Positions,Batting 7th,38,38.0,35,5.0,5,2,0,1,0,0,1,13,13.0,0.143,0.211,0.286,0.496,10.0,1.0,2.0,0,0,1,0,0.191,63,43,2
Batting Order Positions,Batting 8th,37,37.0,34,4.0,9,2,0,2,0,0,2,7,3.5,0.265,0.324,0.5,0.824,17.0,0.0,1.0,0,0,0,0,0.28,168,146,5
Batting Order Positions,Batting 9th,35,35.0,31,3.0,5,1,0,2,0,0,1,7,7.0,0.161,0.206,0.387,0.593,12.0,2.0,1.0,1,1,0,0,0.13,91,106,2
Batting Order Positions,"Bat1-2,non-P",30,48.0,42,1.0,8,4,0,0,0,0,6,7,1.17,0.191,0.292,0.286,0.577,12.0,0.0,0.0,0,0,1,0,0.229,93,53,4
Batting Order Positions,"Bat3-6,non-P",46,109.0,101,7.0,25,5,0,0,3,0,7,24,3.43,0.248,0.294,0.297,0.591,30.0,2.0,0.0,0,1,0,0,0.321,97,58,20
Batting Order Positions,"Bat7-9,non-P",52,110.0,100,12.0,19,5,0,5,0,0,4,27,6.75,0.19,0.248,0.39,0.638,39.0,3.0,4.0,1,1,1,0,0.203,108,87,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,47,77.0,75,5.0,12,1,0,2,,,0,14,,0.16,0.171,0.253,0.424,19.0,1.0,1.0,1,0,0,0,0.17,38,17,9
Swung or Took First Pitch of PA,Took 1st Pitch,61,190.0,168,15.0,40,13,0,3,,,17,44,2.59,0.238,0.316,0.369,0.685,62.0,4.0,3.0,0,2,2,0,0.301,126,89,24
Count/Balls-Strikes,First Pitch,24,35.0,32,2.0,7,1,0,1,,,0,0,,0.219,0.265,0.344,0.609,11.0,0.0,2.0,1,0,0,0,0.194,100,34,5
Count/Balls-Strikes,1-0 Count,8,8.0,8,0.0,1,0,0,0,,,0,0,,0.125,0.125,0.125,0.25,1.0,0.0,0.0,0,0,0,0,0.125,-17,-41,1
Count/Balls-Strikes,2-0 Count,8,8.0,8,0.0,3,3,0,0,,,0,0,,0.375,0.375,0.75,1.125,6.0,0.0,0.0,0,0,0,0,0.375,262,119,0
Count/Balls-Strikes,3-0 Count,7,7.0,0,0.0,0,0,0,0,,,7,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,23,26.0,25,3.0,5,1,0,2,,,0,0,,0.2,0.231,0.48,0.711,12.0,1.0,1.0,0,0,0,0,0.13,129,65,2
Count/Balls-Strikes,1-1 Count,18,20.0,20,1.0,4,2,0,0,,,0,0,,0.2,0.2,0.3,0.5,6.0,2.0,0.0,0,0,0,0,0.2,63,11,2
Count/Balls-Strikes,2-1 Count,5,5.0,5,0.0,4,2,0,0,,,0,0,,0.8,0.8,1.2,2.0,6.0,0.0,0.0,0,0,0,0,0.8,552,336,2
