Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,58,228,205,23.0,45,7,0,4,0,1,16,67,4.19,0.22,0.291,0.312,0.603,64.0,2.0,5.0,1,1,2,1,0.304,100,69,34
Platoon Splits,vs RHB,55,104,96,15.0,14,3,0,3,0,1,5,39,7.8,0.146,0.212,0.271,0.482,26.0,1.0,3.0,0,0,0,1,0.204,60,36,8
Platoon Splits,vs LHB,55,124,109,12.0,31,4,0,1,0,0,11,28,2.55,0.284,0.358,0.349,0.706,38.0,1.0,2.0,1,1,2,0,0.37,135,96,26
Platoon Splits,vs RHB as RHP,55,104,96,15.0,14,3,0,3,0,1,5,39,7.8,0.146,0.212,0.271,0.482,26.0,1.0,3.0,0,0,0,1,0.204,60,38,8
Platoon Splits,vs LHB as RHP,55,124,109,12.0,31,4,0,1,0,0,11,28,2.55,0.284,0.358,0.349,0.706,38.0,1.0,2.0,1,1,2,0,0.37,135,92,26
Home or Away,Home,34,137,123,13.0,29,4,0,3,0,1,10,40,4.0,0.236,0.302,0.342,0.643,42.0,1.0,2.0,1,1,1,0,0.321,113,84,22
Home or Away,Away,24,91,82,10.0,16,3,0,1,0,0,6,27,4.5,0.195,0.275,0.268,0.543,22.0,1.0,3.0,0,0,1,1,0.278,80,50,12
First or Second Half,1st Half,35,131,120,7.0,25,2,0,1,0,1,8,38,4.75,0.208,0.267,0.25,0.517,30.0,1.0,2.0,0,1,1,0,0.293,72,48,22
First or Second Half,2nd Half,23,97,85,16.0,20,5,0,3,0,0,8,29,3.63,0.235,0.323,0.4,0.723,34.0,1.0,3.0,1,0,1,1,0.321,139,97,12
Months,April/March,9,36,33,2.0,8,0,0,0,0,1,3,11,3.67,0.242,0.306,0.242,0.548,8.0,1.0,0.0,0,0,0,0,0.364,83,59,8
Months,May,13,45,43,0.0,6,1,0,0,0,0,0,16,,0.14,0.178,0.163,0.341,7.0,0.0,2.0,0,0,0,0,0.222,13,-3,5
Months,June,9,37,33,5.0,10,1,0,1,0,0,3,9,3.0,0.303,0.351,0.424,0.776,14.0,0.0,0.0,0,1,1,0,0.375,157,118,8
Months,July,9,32,29,0.0,4,0,0,0,0,0,3,12,4.0,0.138,0.219,0.138,0.357,4.0,0.0,0.0,0,0,0,0,0.235,20,4,4
Months,August,12,52,47,11.0,12,3,0,2,0,0,2,13,6.5,0.255,0.314,0.447,0.761,21.0,0.0,2.0,1,0,0,1,0.313,151,106,7
Months,Sept/Oct,6,26,20,5.0,5,2,0,1,0,0,5,6,1.2,0.25,0.423,0.5,0.923,10.0,1.0,1.0,0,0,1,0,0.308,206,152,2
Game Outcome for Pitcher,in Wins,2,6,6,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,2,13,10,6.0,5,0,0,1,0,0,1,2,2.0,0.5,0.583,0.8,1.383,8.0,0.0,1.0,1,0,0,0,0.571,357,191,4
Game Outcome for Pitcher,in No Dec.,25,101,90,15.0,22,5,0,3,0,1,8,31,3.88,0.244,0.317,0.4,0.717,36.0,1.0,2.0,0,1,2,1,0.333,137,102,14
Game Outcome for Pitcher,in Saves,29,108,99,2.0,18,2,0,0,0,0,7,33,4.71,0.182,0.25,0.202,0.452,20.0,1.0,2.0,0,0,0,0,0.273,51,102,16
Game Outcome for Pitcher,in Sv Situ,39,151,133,11.0,27,3,0,1,0,1,14,42,3.0,0.203,0.291,0.248,0.54,33.0,2.0,3.0,0,1,2,0,0.286,80,69,23
