Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,68,270.0,244,25.0,53,11,0,2,2,1,25,62,2.48,0.217,0.289,0.287,0.576,70.0,3.0,0.0,0,1,3,5,0.282,100,61,40
Platoon Splits,vs RHB,67,142.0,134,14.0,27,6,0,1,1,1,8,44,5.5,0.202,0.247,0.269,0.515,36.0,1.0,0.0,0,0,1,1,0.292,79,43,20
Platoon Splits,vs LHB,61,128.0,110,11.0,26,5,0,1,1,0,17,18,1.06,0.236,0.336,0.309,0.645,34.0,2.0,0.0,0,1,2,4,0.272,124,82,20
Platoon Splits,vs RHB as RHP,67,142.0,134,14.0,27,6,0,1,1,1,8,44,5.5,0.202,0.247,0.269,0.515,36.0,1.0,0.0,0,0,1,1,0.292,79,47,20
Platoon Splits,vs LHB as RHP,61,128.0,110,11.0,26,5,0,1,1,0,17,18,1.06,0.236,0.336,0.309,0.645,34.0,2.0,0.0,0,1,2,4,0.272,124,78,20
Home or Away,Home,35,135.0,122,9.0,23,6,0,1,0,0,12,32,2.67,0.189,0.259,0.262,0.522,32.0,1.0,0.0,0,1,1,4,0.244,81,49,16
Home or Away,Away,33,135.0,122,16.0,30,5,0,1,2,1,13,30,2.31,0.246,0.319,0.312,0.63,38.0,2.0,0.0,0,0,2,1,0.319,119,73,24
First or Second Half,1st Half,40,161.0,144,15.0,33,6,0,0,1,0,17,33,1.94,0.229,0.311,0.271,0.581,39.0,1.0,0.0,0,0,1,4,0.297,102,66,27
First or Second Half,2nd Half,28,109.0,100,10.0,20,5,0,2,1,1,8,29,3.63,0.2,0.257,0.31,0.567,31.0,2.0,0.0,0,1,2,1,0.257,97,54,13
Months,April/March,15,51.0,48,4.0,9,1,0,0,1,0,3,14,4.67,0.188,0.235,0.208,0.444,10.0,1.0,0.0,0,0,0,2,0.265,54,29,8
Months,May,10,44.0,40,5.0,13,2,0,0,0,0,4,4,1.0,0.325,0.386,0.375,0.761,15.0,0.0,0.0,0,0,0,1,0.361,164,117,11
Months,June,11,47.0,41,5.0,9,3,0,0,0,0,6,9,1.5,0.22,0.319,0.293,0.612,12.0,0.0,0.0,0,0,1,0,0.281,113,70,6
Months,July,8,37.0,32,1.0,4,0,0,0,1,0,5,12,2.4,0.125,0.243,0.125,0.368,4.0,0.0,0.0,0,0,0,1,0.2,28,5,4
Months,August,11,43.0,39,6.0,10,3,0,1,0,0,3,8,2.67,0.256,0.302,0.41,0.713,16.0,0.0,0.0,0,1,0,1,0.29,147,94,6
Months,Sept/Oct,13,48.0,44,4.0,8,2,0,1,0,1,4,15,3.75,0.182,0.25,0.296,0.546,13.0,2.0,0.0,0,0,2,0,0.25,89,48,5
Game Outcome for Pitcher,in Wins,6,24.0,22,2.0,5,2,0,0,1,0,2,4,2.0,0.227,0.292,0.318,0.61,7.0,1.0,0.0,0,0,1,0,0.278,112,130,3
Game Outcome for Pitcher,in Losses,6,31.0,24,14.0,14,3,0,0,0,0,7,3,0.43,0.583,0.677,0.708,1.386,17.0,0.0,0.0,0,0,1,0,0.667,381,188,11
Game Outcome for Pitcher,in No Dec.,41,162.0,148,6.0,24,3,0,2,1,1,14,42,3.0,0.162,0.235,0.223,0.458,33.0,1.0,0.0,0,0,1,5,0.212,59,30,19
Game Outcome for Pitcher,in Saves,15,53.0,50,3.0,10,3,0,0,0,0,2,13,6.5,0.2,0.226,0.26,0.486,13.0,1.0,0.0,0,1,0,0,0.263,69,120,7
Game Outcome for Pitcher,in Sv Situ,32,130.0,116,20.0,33,7,0,1,0,0,13,25,1.92,0.285,0.354,0.371,0.725,43.0,1.0,0.0,0,1,0,2,0.352,152,113,25
Game Outcome for Pitcher,in non-Sv,36,140.0,128,5.0,20,4,0,1,2,1,12,37,3.08,0.156,0.229,0.211,0.44,27.0,2.0,0.0,0,0,3,3,0.211,53,23,15
Pitching Role,as Reliever,68,270.0,244,25.0,53,11,0,2,2,1,25,62,2.48,0.217,0.289,0.287,0.576,70.0,3.0,0.0,0,1,3,5,0.282,100,63,40
Batting Order Positions,Batting 1st,35,35.0,31,2.0,7,1,0,1,0,0,4,8,2.0,0.226,0.314,0.355,0.669,11.0,1.0,0.0,0,0,0,1,0.273,132,77,5
Batting Order Positions,Batting 2nd,32,32.0,28,4.0,5,1,0,0,0,0,4,7,1.75,0.179,0.281,0.214,0.496,6.0,0.0,0.0,0,0,1,0,0.238,72,33,4
Batting Order Positions,Batting 3rd,30,30.0,27,1.0,6,1,0,0,0,0,3,3,1.0,0.222,0.3,0.259,0.559,7.0,0.0,0.0,0,0,1,0,0.25,94,43,5
Batting Order Positions,Batting 4th,27,27.0,22,2.0,4,0,0,0,2,0,4,8,2.0,0.182,0.296,0.182,0.478,4.0,1.0,0.0,0,1,0,0,0.267,66,30,4
Batting Order Positions,Batting 5th,29,29.0,29,7.0,9,3,0,0,0,1,0,10,,0.31,0.31,0.414,0.724,12.0,0.0,0.0,0,0,0,0,0.474,152,95,6
Batting Order Positions,Batting 6th,26,26.0,22,3.0,6,0,0,0,0,0,4,4,1.0,0.273,0.385,0.273,0.657,6.0,1.0,0.0,0,0,1,1,0.333,128,90,6
Batting Order Positions,Batting 7th,29,29.0,26,2.0,1,0,0,0,0,0,3,10,3.33,0.039,0.138,0.039,0.176,1.0,0.0,0.0,0,0,0,1,0.063,-39,-45,1
Batting Order Positions,Batting 8th,27,27.0,27,4.0,8,2,0,1,0,0,0,6,,0.296,0.296,0.482,0.778,13.0,0.0,0.0,0,0,0,0,0.35,170,131,5
Batting Order Positions,Batting 9th,35,35.0,32,0.0,7,3,0,0,0,0,3,6,2.0,0.219,0.286,0.313,0.598,10.0,0.0,0.0,0,0,0,2,0.269,108,112,4
Batting Order Positions,"Bat1-2,non-P",40,67.0,59,6.0,12,2,0,1,0,0,8,15,1.88,0.203,0.299,0.288,0.587,17.0,1.0,0.0,0,0,1,1,0.256,104,55,9
Batting Order Positions,"Bat3-6,non-P",50,112.0,100,13.0,25,4,0,0,2,1,11,25,2.27,0.25,0.321,0.29,0.611,29.0,2.0,0.0,0,1,2,1,0.329,112,65,21
Batting Order Positions,"Bat7-9,non-P",53,91.0,85,6.0,16,5,0,1,0,0,6,22,3.67,0.188,0.242,0.282,0.524,24.0,0.0,0.0,0,0,0,3,0.242,82,56,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,48,77.0,74,14.0,20,2,0,1,,,3,13,4.33,0.27,0.299,0.338,0.637,25.0,0.0,0.0,0,0,0,1,0.317,121,81,17
Swung or Took First Pitch of PA,Took 1st Pitch,67,193.0,170,11.0,33,9,0,1,,,22,49,2.23,0.194,0.285,0.265,0.55,45.0,3.0,0.0,0,1,3,4,0.265,91,53,23
Count/Balls-Strikes,First Pitch,24,25.0,25,6.0,10,0,0,1,,,0,0,,0.4,0.4,0.52,0.92,13.0,0.0,0.0,0,0,0,0,0.375,220,102,9
Count/Balls-Strikes,1-0 Count,16,17.0,17,2.0,4,1,0,0,,,0,0,,0.235,0.235,0.294,0.529,5.0,0.0,0.0,0,0,0,0,0.235,84,21,3
Count/Balls-Strikes,2-0 Count,5,5.0,5,0.0,2,1,0,0,,,0,0,,0.4,0.4,0.6,1.0,3.0,0.0,0.0,0,0,0,1,0.4,248,104,1
Count/Balls-Strikes,3-0 Count,6,6.0,0,0.0,0,0,0,0,,,6,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,16,16.0,16,1.0,2,1,0,0,,,0,0,,0.125,0.125,0.188,0.313,3.0,1.0,0.0,0,0,0,0,0.125,9,-25,1
Count/Balls-Strikes,1-1 Count,22,24.0,24,5.0,8,3,0,0,,,0,0,,0.333,0.333,0.458,0.792,11.0,1.0,0.0,0,0,0,1,0.333,175,77,5
Count/Balls-Strikes,2-1 Count,10,11.0,11,0.0,1,0,0,0,,,0,0,,0.091,0.091,0.091,0.182,1.0,0.0,0.0,0,0,0,0,0.091,-37,-58,1
Count/Balls-Strikes,3-1 Count,16,18.0,11,3.0,2,1,0,1,,,7,0,0.0,0.182,0.5,0.546,1.046,6.0,0.0,0.0,0,0,0,0,0.1,263,51,0
Count/Balls-Strikes,0-2 Count,26,29.0,29,1.0,6,0,0,0,,,0,13,,0.207,0.207,0.207,0.414,6.0,0.0,0.0,0,0,0,1,0.375,44,123,6
Count/Balls-Strikes,1-2 Count,46,58.0,58,5.0,10,2,0,0,,,0,27,,0.172,0.172,0.207,0.379,12.0,0.0,0.0,0,0,0,1,0.323,32,90,8
Count/Balls-Strikes,2-2 Count,23,27.0,26,2.0,5,1,0,0,,,0,12,,0.192,0.185,0.231,0.416,6.0,0.0,0.0,0,1,0,1,0.333,45,85,4
Count/Balls-Strikes,Full Count,28,34.0,22,0.0,3,1,0,0,,,12,10,0.83,0.136,0.441,0.182,0.623,4.0,1.0,0.0,0,0,0,0,0.25,116,48,2
Count/Balls-Strikes,After 1-0,53,95.0,77,7.0,17,7,0,0,,,17,16,0.94,0.221,0.358,0.312,0.67,24.0,0.0,0.0,0,1,3,3,0.274,133,65,10
Count/Balls-Strikes,After 2-0,26,31.0,20,0.0,5,1,0,0,,,11,4,0.36,0.25,0.516,0.3,0.816,6.0,0.0,0.0,0,0,3,1,0.313,183,66,4
Count/Balls-Strikes,After 3-0,10,10.0,2,0.0,0,0,0,0,,,8,0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0,0,3,0,0.0,177,10,0
Count/Balls-Strikes,After 0-1,62,150.0,142,12.0,26,4,0,1,,,8,46,5.75,0.183,0.227,0.232,0.459,33.0,3.0,0.0,0,0,0,2,0.263,59,53,21
Count/Balls-Strikes,After 1-1,58,111.0,100,10.0,17,6,0,1,,,10,30,3.0,0.17,0.243,0.26,0.503,26.0,2.0,0.0,0,1,0,3,0.229,75,48,10
Count/Balls-Strikes,After 2-1,43,56.0,44,4.0,6,1,0,1,,,11,10,0.91,0.136,0.304,0.227,0.531,10.0,1.0,0.0,0,1,0,0,0.147,84,33,4
Count/Balls-Strikes,After 3-1,22,24.0,15,3.0,3,1,0,1,,,9,1,0.11,0.2,0.5,0.467,0.967,7.0,1.0,0.0,0,0,0,0,0.154,236,84,1
Count/Balls-Strikes,After 0-2,48,70.0,66,6.0,15,2,0,0,,,4,28,7.0,0.227,0.271,0.258,0.529,17.0,0.0,0.0,0,0,0,1,0.395,84,141,13
Count/Balls-Strikes,After 1-2,56,88.0,82,6.0,15,4,0,0,,,6,39,6.5,0.183,0.239,0.232,0.47,19.0,0.0,0.0,0,0,0,2,0.349,64,90,11
Count/Balls-Strikes,After 2-2,40,55.0,44,2.0,7,2,0,0,,,10,21,2.1,0.159,0.309,0.205,0.514,9.0,0.0,0.0,0,1,0,1,0.292,78,74,5
Count/Balls-Strikes,Zero Balls,52,70.0,70,8.0,18,1,0,1,,,0,13,,0.257,0.257,0.314,0.571,22.0,1.0,0.0,0,0,0,1,0.304,98,63,16
Count/Balls-Strikes,Zero Strikes,35,53.0,47,8.0,16,2,0,1,,,6,0,0.0,0.34,0.415,0.447,0.862,21.0,0.0,0.0,0,0,3,1,0.326,199,78,13
Count/Balls-Strikes,Three Balls,37,58.0,33,3.0,5,2,0,1,,,25,10,0.4,0.152,0.517,0.303,0.82,10.0,1.0,0.0,0,0,3,0,0.182,185,66,2
Count/Balls-Strikes,Two Strikes,64,148.0,135,8.0,24,4,0,0,,,12,62,5.17,0.178,0.243,0.207,0.451,28.0,1.0,0.0,0,1,0,3,0.324,56,76,20
Count/Balls-Strikes,Batter Ahead,51,91.0,66,5.0,12,4,0,1,,,25,10,0.4,0.182,0.407,0.288,0.695,19.0,1.0,0.0,0,0,3,1,0.2,141,42,7
Count/Balls-Strikes,Even Count,48,76.0,75,13.0,23,4,0,1,,,0,12,,0.307,0.303,0.4,0.703,30.0,1.0,0.0,0,1,0,2,0.349,144,100,18
Count/Balls-Strikes,Pitcher Ahead,56,103.0,103,7.0,18,3,0,0,,,0,40,,0.175,0.175,0.204,0.379,21.0,1.0,0.0,0,0,0,2,0.286,32,53,15
Leading Off Inning,First Batter,68,68.0,64,1.0,16,5,0,0,,,4,18,4.5,0.25,0.294,0.328,0.622,21.0,0.0,0.0,0,0,0,3,0.348,116,73,11
Leading Off Inning,Leadoff Inn.,63,64.0,60,0.0,15,6,0,0,,,4,17,4.25,0.25,0.297,0.35,0.647,21.0,0.0,0.0,0,0,0,3,0.349,125,78,9
Opposition Defensive Position,vs. Non-P,68,270.0,244,25.0,53,11,0,2,2,1,25,62,2.48,0.217,0.289,0.287,0.576,70.0,3.0,0.0,0,1,3,5,0.282,100,59,40
Number of Outs in Inning,0 outs,63,91.0,85,0.0,18,6,0,0,0,0,6,22,3.67,0.212,0.264,0.282,0.546,24.0,2.0,0.0,0,0,0,3,0.286,90,48,12
Number of Outs in Inning,1 out,61,88.0,77,11.0,20,2,0,2,1,1,10,20,2.0,0.26,0.341,0.364,0.705,28.0,1.0,0.0,0,1,2,0,0.321,145,97,16
Number of Outs in Inning,2 outs,65,91.0,82,14.0,15,3,0,0,1,0,9,20,2.22,0.183,0.264,0.22,0.483,18.0,0.0,0.0,0,0,1,2,0.242,68,40,12
Bases Occupied,RISP,35,88.0,75,20.0,15,5,0,0,0,0,12,17,1.42,0.2,0.307,0.267,0.574,20.0,1.0,0.0,0,1,3,1,0.254,99,55,10
Bases Occupied,---,59,133.0,124,1.0,26,5,0,1,0,0,9,41,4.56,0.21,0.263,0.274,0.537,34.0,0.0,0.0,0,0,0,3,0.305,87,54,20
Bases Occupied,Men On,46,137.0,120,24.0,27,6,0,1,2,1,16,21,1.31,0.225,0.314,0.3,0.614,36.0,3.0,0.0,0,1,3,2,0.263,113,66,20
Bases Occupied,1--,38,49.0,45,4.0,12,1,0,1,2,1,4,4,1.0,0.267,0.327,0.356,0.682,16.0,2.0,0.0,0,0,0,1,0.275,137,86,10
Bases Occupied,-2-,22,32.0,29,3.0,7,2,0,0,0,0,3,6,2.0,0.241,0.313,0.31,0.623,9.0,0.0,0.0,0,0,0,0,0.304,116,70,5
Bases Occupied,--3,5,7.0,6,2.0,1,0,0,0,0,0,1,2,2.0,0.167,0.286,0.167,0.452,1.0,0.0,0.0,0,0,1,1,0.25,57,16,1
Bases Occupied,12-,16,22.0,19,1.0,1,1,0,0,0,0,3,4,1.33,0.053,0.182,0.105,0.287,2.0,0.0,0.0,0,0,0,0,0.067,0,-16,0
Bases Occupied,1-3,7,9.0,7,2.0,1,0,0,0,0,0,2,3,1.5,0.143,0.333,0.143,0.476,1.0,0.0,0.0,0,0,0,0,0.25,65,34,1
Bases Occupied,-23,6,8.0,5,2.0,1,0,0,0,0,0,2,1,0.5,0.2,0.375,0.2,0.575,1.0,0.0,0.0,0,1,2,0,0.2,99,49,1
Bases Occupied,123,8,10.0,9,10.0,4,2,0,0,0,0,1,1,1.0,0.444,0.5,0.667,1.167,6.0,1.0,0.0,0,0,0,0,0.5,305,192,2
Bases Occupied,"on 1st, <2 out",27,51.0,46,8.0,11,2,0,1,0,0,5,8,1.6,0.239,0.314,0.348,0.662,16.0,3.0,0.0,0,0,0,0,0.27,130,74,8
Bases Occupied,"on 3rd, <2 out",9,17.0,12,6.0,3,0,0,0,0,0,4,4,1.0,0.25,0.412,0.25,0.662,3.0,1.0,0.0,0,1,2,0,0.333,130,65,3
Bases Occupied,"on 3rd, 2 out",13,17.0,15,10.0,4,2,0,0,0,0,2,3,1.5,0.267,0.353,0.4,0.753,6.0,0.0,0.0,0,0,1,1,0.333,162,105,2
Bases Occupied,"0 out, ---",58,59.0,55,0.0,13,5,0,0,0,0,4,16,4.0,0.236,0.288,0.327,0.615,18.0,0.0,0.0,0,0,0,3,0.333,114,70,8
Bases Occupied,"0 out, 1--",14,14.0,13,0.0,3,0,0,0,0,0,1,1,1.0,0.231,0.286,0.231,0.517,3.0,2.0,0.0,0,0,0,0,0.25,79,38,3
Bases Occupied,"0 out, -2-",11,10.0,10,0.0,2,1,0,0,0,0,0,1,,0.2,0.2,0.3,0.5,3.0,0.0,0.0,0,0,0,0,0.222,74,29,1
Bases Occupied,"0 out, --3",1,1.0,1,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,-100,-100,0
Bases Occupied,"0 out, 12-",4,4.0,3,0.0,0,0,0,0,0,0,1,1,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0,0,0,0,0.0,-14,-27,0
Bases Occupied,"0 out, 1-3",1,1.0,1,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,-100,-100,0
Bases Occupied,"0 out, -23",1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 123",1,1.0,1,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,-100,-100,0
Bases Occupied,"1 out, ---",39,41.0,38,1.0,9,0,0,1,0,0,3,13,4.33,0.237,0.293,0.316,0.609,12.0,0.0,0.0,0,0,0,0,0.333,112,78,8
Bases Occupied,"1 out, 1--",18,16.0,15,3.0,5,1,0,1,1,1,1,1,1.0,0.333,0.375,0.6,0.975,9.0,0.0,0.0,0,0,0,0,0.308,239,154,3
Bases Occupied,"1 out, -2-",11,11.0,9,0.0,2,0,0,0,0,0,2,3,1.5,0.222,0.364,0.222,0.586,2.0,0.0,0.0,0,0,0,0,0.333,103,65,2
