Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,64,253.0,235,28.0,69,19,1,6,4,2,14,43,3.07,0.294,0.331,0.46,0.79,108.0,5.0,0.0,2,2,2,2,0.335,100,125,43
Platoon Splits,vs RHB,57,139.0,127,16.0,35,6,0,2,3,1,10,23,2.3,0.276,0.324,0.37,0.694,47.0,4.0,0.0,0,2,1,2,0.317,78,99,27
Platoon Splits,vs LHB,55,114.0,108,14.0,34,13,1,4,1,1,4,20,5.0,0.315,0.339,0.565,0.904,61.0,1.0,0.0,2,0,1,0,0.357,125,155,16
Platoon Splits,vs RHB as RHP,57,139.0,127,16.0,35,6,0,2,3,1,10,23,2.3,0.276,0.324,0.37,0.694,47.0,4.0,0.0,0,2,1,2,0.317,78,104,27
Platoon Splits,vs LHB as RHP,55,114.0,108,14.0,34,13,1,4,1,1,4,20,5.0,0.315,0.339,0.565,0.904,61.0,1.0,0.0,2,0,1,0,0.357,125,150,16
Home or Away,Home,33,136.0,126,18.0,41,16,1,4,2,2,8,19,2.38,0.325,0.363,0.564,0.927,71.0,2.0,0.0,1,1,1,2,0.356,132,166,20
Home or Away,Away,31,117.0,109,10.0,28,3,0,2,2,0,6,24,4.0,0.257,0.293,0.339,0.633,37.0,3.0,0.0,1,1,1,0,0.31,62,78,23
First or Second Half,1st Half,35,150.0,138,22.0,44,11,1,6,4,1,8,28,3.5,0.319,0.351,0.544,0.895,75.0,4.0,0.0,2,2,0,2,0.359,124,150,26
First or Second Half,2nd Half,29,103.0,97,6.0,25,8,0,0,0,1,6,15,2.5,0.258,0.301,0.34,0.641,33.0,1.0,0.0,0,0,2,0,0.305,65,86,17
Months,April/March,10,46.0,41,10.0,14,5,0,1,3,0,4,6,1.5,0.342,0.4,0.537,0.937,22.0,0.0,0.0,1,0,0,0,0.382,138,164,8
Months,May,10,41.0,38,4.0,10,1,0,3,1,1,2,6,3.0,0.263,0.293,0.526,0.819,20.0,2.0,0.0,0,1,0,1,0.233,103,126,6
Months,June,10,36.0,32,5.0,9,0,0,1,0,0,2,11,5.5,0.281,0.314,0.375,0.689,12.0,2.0,0.0,1,1,0,1,0.381,76,98,8
Months,July,10,41.0,41,4.0,14,6,1,1,0,0,0,5,,0.342,0.342,0.61,0.951,25.0,0.0,0.0,0,0,0,0,0.371,136,166,6
Months,August,14,48.0,45,3.0,12,3,0,0,0,1,3,9,3.0,0.267,0.313,0.333,0.646,15.0,0.0,0.0,0,0,1,0,0.333,67,88,9
Months,Sept/Oct,10,41.0,38,2.0,10,4,0,0,0,0,3,6,2.0,0.263,0.317,0.368,0.686,14.0,1.0,0.0,0,0,1,0,0.313,76,100,6
Game Outcome for Pitcher,in Wins,2,4.0,3,0.0,0,0,0,0,0,0,1,1,1.0,0.0,0.25,0.0,0.25,0.0,1.0,0.0,0,0,0,0,0.0,-25,-4,0
Game Outcome for Pitcher,in Losses,4,19.0,16,9.0,9,2,1,1,1,0,1,1,1.0,0.563,0.588,1.0,1.588,16.0,0.0,0.0,2,0,0,0,0.571,295,243,5
Game Outcome for Pitcher,in No Dec.,50,203.0,190,19.0,56,17,0,5,3,2,11,35,3.18,0.295,0.33,0.463,0.793,88.0,3.0,0.0,0,2,2,2,0.336,100,131,34
Game Outcome for Pitcher,in Saves,8,27.0,26,0.0,4,0,0,0,0,0,1,6,6.0,0.154,0.185,0.154,0.339,4.0,1.0,0.0,0,0,0,0,0.2,-11,53,4
Game Outcome for Pitcher,in Sv Situ,13,41.0,38,2.0,7,0,0,0,1,0,3,7,2.33,0.184,0.244,0.184,0.428,7.0,1.0,0.0,0,0,0,0,0.226,14,36,7
Game Outcome for Pitcher,in non-Sv,51,212.0,197,26.0,62,19,1,6,3,2,11,36,3.27,0.315,0.348,0.513,0.86,101.0,4.0,0.0,2,2,2,2,0.357,117,145,36
Pitching Role,as Reliever,64,253.0,235,28.0,69,19,1,6,4,2,14,43,3.07,0.294,0.331,0.46,0.79,108.0,5.0,0.0,2,2,2,2,0.335,100,130,43
Batting Order Positions,Batting 1st,28,28.0,26,4.0,11,3,0,0,0,0,1,3,3.0,0.423,0.429,0.539,0.967,14.0,0.0,0.0,0,1,1,0,0.458,147,170,8
Batting Order Positions,Batting 2nd,30,30.0,25,6.0,7,1,0,2,0,1,5,4,0.8,0.28,0.4,0.56,0.96,14.0,0.0,0.0,0,0,0,0,0.263,143,167,4
Batting Order Positions,Batting 3rd,30,31.0,30,4.0,11,2,0,2,1,1,1,4,4.0,0.367,0.387,0.633,1.02,19.0,1.0,0.0,0,0,0,0,0.375,155,151,7
Batting Order Positions,Batting 4th,30,30.0,29,4.0,8,2,0,1,1,0,1,5,5.0,0.276,0.3,0.448,0.748,13.0,2.0,0.0,0,0,0,1,0.304,88,97,5
Batting Order Positions,Batting 5th,21,21.0,19,0.0,2,1,1,0,0,0,2,7,3.5,0.105,0.191,0.263,0.454,5.0,2.0,0.0,0,0,1,0,0.167,15,23,0
