Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,66,278.0,240,28.0,44,6,0,10,12,2,32,89,2.78,0.183,0.285,0.333,0.619,80.0,1.0,3.0,1,2,2,4,0.238,100,66,28
Platoon Splits,vs RHB,65,156.0,137,19.0,25,4,0,5,9,0,14,45,3.21,0.183,0.269,0.321,0.59,44.0,1.0,3.0,0,2,0,3,0.225,91,60,16
Platoon Splits,vs LHB,62,122.0,103,14.0,19,2,0,5,3,2,18,44,2.44,0.185,0.306,0.35,0.655,36.0,0.0,0.0,1,0,2,1,0.259,113,74,12
Platoon Splits,vs RHB as RHP,65,156.0,137,19.0,25,4,0,5,9,0,14,45,3.21,0.183,0.269,0.321,0.59,44.0,1.0,3.0,0,2,0,3,0.225,91,62,16
Platoon Splits,vs LHB as RHP,62,122.0,103,14.0,19,2,0,5,3,2,18,44,2.44,0.185,0.306,0.35,0.655,36.0,0.0,0.0,1,0,2,1,0.259,113,71,12
Home or Away,Home,31,141.0,117,23.0,31,4,0,8,8,1,18,35,1.94,0.265,0.371,0.504,0.876,59.0,0.0,3.0,1,2,1,1,0.303,182,138,19
Home or Away,Away,35,137.0,123,5.0,13,2,0,2,4,1,14,54,3.86,0.106,0.197,0.171,0.368,21.0,1.0,0.0,0,0,1,3,0.164,21,-2,9
First or Second Half,1st Half,35,154.0,135,18.0,28,2,0,8,8,1,16,48,3.0,0.207,0.294,0.4,0.694,54.0,1.0,1.0,1,1,2,4,0.25,123,85,18
First or Second Half,2nd Half,31,124.0,105,10.0,16,4,0,2,4,1,16,41,2.56,0.152,0.274,0.248,0.522,26.0,0.0,2.0,0,1,0,0,0.222,71,43,10
Months,April/March,9,42.0,37,4.0,7,1,0,1,1,0,5,12,2.4,0.189,0.286,0.297,0.583,11.0,1.0,0.0,0,0,0,1,0.25,90,63,5
Months,May,12,51.0,43,5.0,7,0,0,3,3,0,7,15,2.14,0.163,0.294,0.372,0.666,16.0,0.0,1.0,0,0,1,2,0.16,115,78,4
Months,June,10,43.0,38,8.0,11,0,0,4,3,1,3,14,4.67,0.29,0.333,0.605,0.939,23.0,0.0,0.0,1,1,0,1,0.333,199,138,7
Months,July,13,54.0,49,3.0,8,2,0,0,2,0,5,21,4.2,0.163,0.241,0.204,0.445,10.0,0.0,0.0,0,0,1,0,0.286,46,21,6
Months,August,12,50.0,37,6.0,4,1,0,1,2,1,10,14,1.4,0.108,0.32,0.216,0.536,8.0,0.0,2.0,0,1,0,0,0.13,77,48,2
Months,Sept/Oct,10,38.0,36,2.0,7,2,0,1,1,0,2,13,6.5,0.194,0.237,0.333,0.57,12.0,0.0,0.0,0,0,0,0,0.273,83,53,4
Game Outcome for Pitcher,in Wins,4,17.0,15,1.0,3,0,0,1,0,0,2,2,1.0,0.2,0.294,0.4,0.694,6.0,0.0,0.0,0,0,0,0,0.167,123,138,2
Game Outcome for Pitcher,in Losses,6,33.0,26,12.0,12,4,0,3,2,0,7,4,0.57,0.462,0.576,0.962,1.537,25.0,0.0,0.0,0,0,1,0,0.474,391,205,5
Game Outcome for Pitcher,in No Dec.,22,100.0,79,11.0,15,1,0,3,5,1,16,26,1.63,0.19,0.333,0.317,0.65,25.0,1.0,2.0,1,2,1,4,0.231,112,80,11
Game Outcome for Pitcher,in Saves,34,128.0,120,4.0,14,1,0,3,5,1,7,57,8.14,0.117,0.172,0.2,0.372,24.0,0.0,1.0,0,0,0,0,0.183,20,71,10
Game Outcome for Pitcher,in Sv Situ,41,162.0,139,15.0,22,3,0,5,7,1,19,64,3.37,0.158,0.272,0.288,0.559,40.0,0.0,3.0,0,1,0,0,0.239,82,70,14
Game Outcome for Pitcher,in non-Sv,25,116.0,101,13.0,22,3,0,5,5,1,13,25,1.92,0.218,0.304,0.396,0.7,40.0,1.0,0.0,1,1,2,4,0.236,126,88,14
Pitching Role,as Reliever,66,278.0,240,28.0,44,6,0,10,12,2,32,89,2.78,0.183,0.285,0.333,0.619,80.0,1.0,3.0,1,2,2,4,0.238,100,71,28
Batting Order Positions,Batting 1st,31,31.0,26,5.0,7,1,0,2,4,0,5,10,2.0,0.269,0.387,0.539,0.926,14.0,1.0,0.0,0,0,0,1,0.357,197,144,4
Batting Order Positions,Batting 2nd,29,29.0,23,9.0,6,1,0,2,3,0,5,5,1.0,0.261,0.379,0.565,0.945,13.0,0.0,0.0,0,1,0,1,0.235,203,138,3
Batting Order Positions,Batting 3rd,29,29.0,22,2.0,3,0,0,1,0,1,5,8,1.6,0.136,0.31,0.273,0.583,6.0,0.0,1.0,0,1,2,1,0.143,91,46,2
Batting Order Positions,Batting 4th,33,33.0,29,7.0,7,1,0,3,1,0,3,10,3.33,0.241,0.333,0.586,0.92,17.0,0.0,1.0,0,0,0,0,0.25,193,124,3
Batting Order Positions,Batting 5th,32,32.0,31,2.0,3,0,0,0,1,0,0,17,,0.097,0.125,0.097,0.222,3.0,0.0,1.0,0,0,0,0,0.214,-27,-40,3
Batting Order Positions,Batting 6th,31,31.0,29,0.0,3,0,0,0,1,0,2,12,6.0,0.103,0.161,0.103,0.265,3.0,0.0,0.0,0,0,0,0,0.177,-13,-26,3
Batting Order Positions,Batting 7th,30,30.0,27,0.0,3,2,0,0,1,0,3,11,3.67,0.111,0.2,0.185,0.385,5.0,0.0,0.0,0,0,0,0,0.188,26,7,1
Batting Order Positions,Batting 8th,32,32.0,28,4.0,7,1,0,0,0,1,4,5,1.25,0.25,0.344,0.286,0.63,8.0,0.0,0.0,0,0,0,0,0.304,107,82,6
Batting Order Positions,Batting 9th,31,31.0,25,4.0,5,0,0,2,1,0,5,11,2.2,0.2,0.333,0.44,0.773,11.0,0.0,0.0,1,0,0,1,0.25,149,165,3
Batting Order Positions,"Bat1-2,non-P",36,60.0,49,14.0,13,2,0,4,7,0,10,15,1.5,0.265,0.383,0.551,0.934,27.0,1.0,0.0,0,1,0,2,0.29,200,141,7
Batting Order Positions,"Bat3-6,non-P",52,125.0,111,11.0,16,1,0,4,3,1,10,47,4.7,0.144,0.232,0.261,0.493,29.0,0.0,3.0,0,1,2,1,0.197,60,27,11
